anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
terrific,adj. 极好的；极其的，非常的；可怕的
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
do wonders for,"un. 惊奇得出了神；对…有极好的影响
 对…产生奇效"
take ... for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
melt away,"na. 融掉；消失；(钱)渐渐花光；(使)着迷
 融化；融化掉；融化或溶解而消失"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
 拔出；驶出；抽出"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
bedridden,adj. 卧床不起的
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
carefree,adj. 无忧无虑的；不负责的
emotion,n. 情感；情绪
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
homosexual,"n. 同性恋者
adj. 同性恋的"
invincible,adj. 无敌的；不能征服的
lesion,n. 损害；身体上的伤害；机能障碍
maintain,vt. 维持；继续；维修；主张；供养
mall,n. 购物商场；林荫路；铁圈球场
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
unprotected,"v. 无保护（unprotect的过去分词）
adj. 无保护的；未设防的；不受关税保护的"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
for sb.'s sake,找不到解释
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外；拖延
 闲逛；闲荡；出去消遣"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
hold in,"na. 抑制；忍住
 约束；认为-不屑一顾；举行"
in a way,"na. 在某一点上
 在某种程度上；从某种程度上说；在某点"
keep in,"na. 压住；下课后罚学生留校；排紧；让(火)烧着
 继续燃烧；闭门不出；不出外"
keep up,"na. 支持；保持；继续；停歇
 维持；坚持；持续"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
stick it out,"v. 忍耐到底
 坚持到底；顶下去；要坚持到底"
turn one's back on,"na. 不理睬；丢弃；逃出
 背弃；抛弃；拒绝"
abdominal,adj. 腹部的；有腹鳍的
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
conscience,n. 道德心，良心
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
core,找不到解释
cover-up,n. 掩饰；隐蔽
demonstrate,"vt. 证明；展示；论证
vi. 示威"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
enrich,vt. 使充实；使肥沃；使富足
ensure,vt. 保证，确保；使安全
ethics,n. 伦理学；伦理观；道德标准
expediency,n. 方便，权宜；私利
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
facade,n. 正面；表面；外观
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
fashionable,adj. 流行的；时髦的；上流社会的
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
genuine,adj. 真实的，真正的；诚恳的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
inevitably,adv. 不可避免地；必然地
inner,"n. 内部
adj. 内部的；内心的；精神的"
instinctively,adv. 本能地
integrity,n. 完整；正直；诚实；廉正
morality,n. 道德；品行，美德
motto,n. 座右铭，格言；箴言
nesting,"n.  嵌套；造巢；镶嵌
v. 为…筑巢；整天呆在家里；使套入（nest的ing形式）"
precisely,adv. 精确地；恰恰
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
progressively,adv. 渐进地；日益增多地
response,n. 响应；反应；回答
rightfully,adv. 正当地；正直地
rookie,"n. 新手
新人"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
seductive,adj. 有魅力的；性感的；引人注意的
siren,"n. 汽笛；迷人的女人；歌声动人的女歌手
adj. 迷人的
vt. 引诱
vi. 响着警报器行驶"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
succumb,vi. 屈服；死；被压垮
surgeon,n. 外科医生
surgical,"n. 外科手术；外科病房
adj. 外科的；手术上的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
triad,n. 三和音；三个一组；三价元素
unpleasing,adj. 不愉快的，讨厌的
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
at hand,"na. 在手边；即将到来
 在附近；眼前；近在手边"
back down,"na. 打退堂鼓；放弃权利等
 让步；放弃原主张；取消前言"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
engage in,"na. 从事；参加
 参与；从事于；忙于"
in short supply,"na. 供应不足
 短缺；供不应求；缺乏"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
rearview mirror,"n. 后视镜
 后照镜；汽车后视镜；内后视镜"
sell out,"na. 卖完；脱销；背叛；欺骗
 售完；卖光；出卖"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
win the day,"na. 得胜；成功；“win/carry the day”的变体
 胜利；战胜；获胜"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
aged,"v. 老化（age的过去式）；成熟；变老
adj. 年老的；…岁的；老年人特有的"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
capable,adj. 能干的，能胜任的；有才华的
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
circumstance,n. 环境，情况；事件；境遇
cite,vt. 引用；传讯；想起；表彰
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
elderly,adj. 上了年纪的；过了中年的；稍老的
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
favoritism,n. 偏袒；得宠
financial,adj. 金融的；财政的，财务的
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
involve,vt. 包含；牵涉；使陷于；潜心于
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
jealousy,n. 嫉妒；猜忌；戒备
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
sibling,n. 兄弟姊妹；民族成员
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
statistics,n. 统计；统计学； 统计资料
stigma,n.  柱头；耻辱；污名；烙印；特征
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
blessed,"v. 祝福（bless的过去分词）
adj. 幸福的；受祝福的；神圣的"
bee,n. 蜜蜂，蜂；勤劳的人
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
cling,vi. 坚持，墨守；紧贴；附着
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
drawl,"n. 慢吞吞拉长调子的说话方式
vt. 慢吞吞地说
vi. 慢吞吞地说"
excruciating,"adj. 折磨人的；使苦恼的
v. 折磨；使苦恼；使受酷刑（excruciate的ing形式）"
fateful,adj. 重大的；决定性的；宿命的
glamorous,adj. 迷人的，富有魅力的
glinting,"n. 闪烁；闪光
vi. 闪烁；（光线）反射；闪闪发光
vt. 使闪光；使发光"
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
indiscriminate,adj. 任意的；无差别的；不分皂白的
intensely,adv. 强烈地；紧张地；热情地
jolt,"vt. 使颠簸；使震惊；使摇动
vi. 摇晃；颠簸而行
n. 颠簸；摇晃；震惊；严重挫折"
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
laptop,n. 膝上型轻便电脑，笔记本电脑
lunge,"n. 刺；跃进；刺进；套马索
vt. 刺；戳；使前冲
vi. 刺；突进"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
procedure,n. 程序，手续；步骤
reassure,vt. 使…安心，使消除疑虑
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
roller-coaster,过山车
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
screech,"n. 尖叫声，尖利刺耳的声音；尖声喊叫
vt. 尖着声音讲或喊
vi. 发出尖锐的声音；发出恐惧或痛苦的叫喊声"
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
someday,adv. 有一天，有朝一日
soothing,"v. 安慰；减轻痛苦（soothe的现在分词）
adj. 抚慰的；使人宽心的"
soulful,adj. 感情上的；高尚的；充满精神的
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
swerve,"vt. 使转弯；使突然转向；使背离
vi. 转弯；突然转向；背离
n. 转向；偏离的程度"
takeoff,"起飞
开始
起跳
起跳的，起飞的"
terra firma,"n. 坚实的大地（与水和空中相对而言）
 泰丰资本；陆地；坚实的陆地"
thundercloud,n. 雷云
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
unbolt,"vt. 拔去门闩；打开；拧松
vi. 打开；拧松"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
cell phone,"n. 手机；移动电话
 行动电话；手机号码；大哥大"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
 到达；收割；进站"
pull oneself together,"na. 恢复精神
 振作起来；恢复镇定；打起精神，振作起来"
strap in, 拴上安全带；系上安全带；穿入绑带型
assortment,n. 分类；混合物
atmosphere,n. 气氛；大气；空气
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
birthstone,n. 诞生石
bittersweet,"n. 又苦又甜的东西；蜀羊泉
adj. 苦乐参半的；又苦又甜的"
chitchat,"n. 聊天；闲谈
vi. 闲谈"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
fondly,adv. 天真地；怜爱地；温柔地
generosity,n. 慷慨，大方；宽宏大量
gift-wrapped,"adj. 用花纸包装的
vt. 将…包装成礼品（gift-wrap的现在分词）"
holly,"n. 冬青树（等于holm oak）
adj. 冬青属植物的"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
legible,adj. 清晰的；易读的；易辨认的
perfunctory,adj. 敷衍的；马虎的；得过且过的
popularity,n. 普及，流行；名气；受大众欢迎
recollection,n. 回忆；回忆起的事物
relegate,vt. 把降低到；归入；提交
reminder,n. 暗示；提醒的人/物；催单
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
ruby,"n. 红宝石；红宝石色
adj. 红宝石色的
vt. 使带红宝石色"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
scrawl,"n. 潦草的笔迹
vt. 潦草地写；乱涂
vi. 乱涂，涂鸦；乱写"
shaped,"adj. 合适的；成某种形状的；有计划的
vt. 发展；成形（shape的过去分词和过去式）"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
succession,n. 连续；继位；继承权； 演替
surpass,vt. 超越；胜过，优于；非…所能办到或理解
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
tulip,n. 郁金香
valentine,n. 情人；情人节礼物
bulletin board,"n. 布告栏；告示栏；电子公告栏
 公布栏；公告牌；公告板"
give way to,"v. 让步；退却
 让位于；给…让路；给…让路，对…让步"
postal service,"n. 邮政业务；邮政部门；邮政系统
 邮政服务；邮局服务处；美国邮政"
put a lump in sb.'s throat,找不到解释
usher in,"na. 迎接(来客)；传报
 开创；开始；引领"
amphitheater,n. 竞技场； 圆形露天剧场；古罗马剧场
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
blond,"adj. 金发的
n. 白肤碧眼金发的人"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
colossal,adj. 巨大的；异常的，非常的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
cowboy,n. 牛仔；牧童；莽撞的人
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
entertainment,n. 娱乐；消遣；款待
furnishings,n. 家具；供应；穿戴用品（furnishing的复数）
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
location,n. 位置（形容词locational）；地点；外景拍摄场地
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
magnet,n. 磁铁； 磁体；磁石
neighboring,"adj. 邻近的；附近的（等于neighbouring）
v. 与…为邻；位于附近（neighbor的ing形式）"
occasionally,adv. 偶尔；间或
orchestra,n. 管弦乐队；乐队演奏处
palm-fringed,棕榈遮荫的
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
presidency,n. 总统（或董事长、会长、大学校长等）的职位（任期）；管辖；支配
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
starlet,n. 小星星；小明星；初涉影坛的演员
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
typecast,vt. 浇铸；使（演员）一再演出同类的角色
tyrant,n. 暴君
unscrupulous,adj. 肆无忌惮的；寡廉鲜耻的；不讲道德的
whatsoever,pron. 无论什么
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
hold on a tight rein,找不到解释
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
interfere in,"v. 干涉
 干预；在某件事上打扰；相关词组"
motion picture,"n. 电影
adj. 电影的
 影片；动作片；电影片"
agile,adj. 敏捷的；机敏的；活泼的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
binding,"n. 装订；捆绑；粘合物
v. 捆绑（bind的ing形式）
adj. 有约束力的；捆绑的"
bungalow,n. 平房；小屋
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
dazed,"adj. 头昏的；茫然的
vt. 使眩晕；使惶惑（daze的过去式）"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
despise,vt. 轻视，鄙视
earthen,adj. 土制的；陶制的；地球上的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
faded,adj. 已褪色的；已凋谢的
grub,"n. 蛆，幼虫；食物
vt. 挖掘寻找；将某物挖出；根除
vi. 翻掘；搜寻；挖土"
gruffness,"生硬
粗鲁"
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
heritage,n. 遗产；传统；继承物；继承权
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
hypocrisy,n. 虚伪；伪善
immense,adj. 巨大的，广大的；无边无际的；非常好的
indecision,n. 优柔寡断；犹豫不决
indefatigable,adj. 不知疲倦的；不屈不挠的；有耐性的
inestimable,adj. 无价的；难以估计的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
obligation,n. 义务；职责；债务
pantry,n. 餐具室；食品室；食品储藏室
peanut,n. 花生
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
peril,"n. 危险；冒险
vt. 危及；置…于险境"
pious,adj. 虔诚的；敬神的；可嘉的；尽责的
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
somber,adj. 忧郁的；昏暗的；严峻的；阴天的
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
thresh,"vt. 推敲；打谷；反复做
vi. 打；打谷；颠簸
n. 打谷"
treacherous,adj. 奸诈的，叛逆的，背叛的；危险的；不牢靠的
unctuous,adj. 油质的；虚情假意的；油腔滑调的
undiluted,adj. 未稀释的，未冲淡的；未搀水的
vendor,n. 卖主；小贩；供应商； 自动售货机
veranda,n. 走廊，游廊；阳台
voracious,adj. 贪婪的；贪吃的；狼吞虎咽的
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
make off,"na. 逃亡
 逃走；逃跑；急忙离开"
