abandon,"n. 放任；狂热
vt. 遗弃；放弃"
environment,n. 环境，外界
embody,vt. 体现，使具体化；具体表达
emphasis,n. 重点；强调；加强语气
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
enable,vt. 使能够，使成为可能；授予权利或方法
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
encourage,vt. 鼓励，怂恿；激励；支持
engine,n. 引擎，发动机；机车，火车头；工具
enhance,vt. 提高；加强；增加
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
enlighten,vt. 启发，启蒙；教导，开导；照耀
enrich,vt. 使充实；使肥沃；使富足
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forehead,n. 额，前额
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
foresee,vt. 预见；预知
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
geocentric,adj. 以地球为中心的；由地心开始测量的
geography,n. 地理；地形
geology,n. 地质学；地质情况
geometry,"n. 几何学
几何结构"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illusion,n. 幻觉，错觉；错误的观念或信仰
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
indocile,adj. 不顺从的；不听话的；难教的
ineffective,adj. 无效的，失效的；不起作用的
ineffectual,"n. 无用的人；无一技之长者
adj. 无效的，不起作用的；徒劳无益的"
inertia,n.  惯性；惰性，迟钝；不活动
inevitable,adj. 必然的，不可避免的
infirm,adj. 衰弱的；意志薄弱的；不坚固的
injury,n. 伤害，损害；受伤处
intact,adj. 完整的；原封不动的；未受损伤的
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
impair,vt. 损害；削弱；减少
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
increasingly,adv. 越来越多地；渐增地
indorse,vt. 背书（限指收款人自己背书）；承认；赞成
endorse,vt. 背书；认可；签署；赞同；在背面签名
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
intricate,adj. 复杂的；错综的，缠结的
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
indoor,adj. 室内的，户内的
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
inner,"n. 内部
adj. 内部的；内心的；精神的"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
insight,n. 洞察力；洞悉
installation,n. 安装，装置；就职
installment,n. 安装；分期付款；部分；就职
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
invasion,n. 入侵，侵略；侵袭；侵犯
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investigate,v. 调查；研究
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interdependence,n. 互相依赖
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interference,n. 干扰，冲突；干涉
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
interpret,"vi. 解释；翻译
vt. 说明；口译"
interval,n. 间隔；间距；幕间休息
interprovincial,adj. 省与省之间的，各省之间的，省际的
misfortune,n. 不幸；灾祸，灾难
mislead,vt. 误导；带错
misunderstand,vt. 误解；误会
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
obtain,"vi. 获得；流行
vt. 获得"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
outskirts,n. 市郊，郊区
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
overcoat,n. 大衣，外套
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
overvalue,vt. 对…估价过高；过分重视
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
paralyze,vt. 使麻痹；使瘫痪
parasite,n. 寄生虫；食客
parachute,"n. 降落伞
vi. 跳伞
空投"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
precedent,"n. 先例；前例
adj. 在前的；在先的"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
predecessor,n. 前任，前辈
pregnant,adj. 怀孕的；富有意义的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
preposition,n. 介词；前置词
prestige,n. 威望，声望；声誉
presumably,adv. 大概；推测起来；可假定
pretext,"n. 借口；托辞
vt. 以…为借口"
procreation,n. 生殖；生产
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
prolong,vt. 延长；拖延
prominent,adj. 突出的，显著的；杰出的；卓越的
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
protect,vt. 保护，防卫；警戒
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
prophet,n. 先知；预言者；提倡者
portray,vt. 描绘；扮演
pronoun,n. 代词
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
refute,vt. 反驳，驳斥；驳倒
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
restraint,n. 抑制，克制；约束
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
recovery,n. 恢复，复原；痊愈；重获
recreate,"vt. 再创造；使得到娱乐/消遣
vi. 娱乐；消遣"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
refine,vt. 精炼，提纯；改善；使…文雅
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
rehearsal,n. 排演；预演；练习；训练；叙述
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remarkable,adj. 卓越的；非凡的；值得注意的
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
remind,vt. 提醒；使想起
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
repetition,n. 重复；背诵；副本
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
resource,n. 资源，财力；办法；智谋
rescue,"n. 营救；援救；解救
vt. 营救；援救"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
