state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
enterprise,n. 企业；事业；进取心；事业心
include,vt. 包含，包括
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
accumulate,"vt. 积攒
vi. 累积；积聚"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
indicate,vt. 表明；指出；预示；象征
imply,vt. 意味；暗示；隐含
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
authorize,vt. 批准，认可；授权给；委托代替
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
enable,vt. 使能够，使成为可能；授予权利或方法
entitle,vt. 称做…；定名为…；给…称号；使…有权利
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
worth,"n. 价值；财产
adj. 值…的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
integrity,n. 完整；正直；诚实；廉正
conscience,n. 道德心，良心
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
argument,n. 论证；论据；争吵；内容提要
justification,n. 理由；辩护；认为有理，认为正当；释罪
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
matter,"n. 物质；事件
vi. 有关系；要紧"
edition,"n. 版本
版次
集"
version,n. 版本；译文；倒转术
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
distribute,vt. 分配；散布；分开；把…分类
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
perspective,"n. 观点；远景；透视图
adj. 透视的"
opinion,n. 意见；主张
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
viewpoint,n. 观点，看法；视角
standpoint,n. 立场；观点
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
scene,n. 场面；情景；景象；事件
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
panorama,n. 全景，全貌；全景画；概论
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
sake,n. 目的；利益；理由；日本米酒
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
virtue,n. 美德；优点；贞操；功效
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
assess,vt. 评定；估价；对…征税
appraise,vt. 评价，鉴定；估价
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
appear,vi. 出现；显得；似乎；出庭；登场
seem,vi. 似乎；像是；装作
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
arrive,vi. 到达；成功；达成；出生
emerge,vi. 浮现；摆脱；暴露
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
justice,n. 司法，法律制裁；正义；法官，审判员
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
legitimacy,n. 合法；合理；正统
legislation,n. 立法；法律
magistrate,n. 地方法官；文职官员；治安推事
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
afford,vt. 给予，提供；买得起
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
furnish,vt. 提供；供应；装备
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
questionnaire,n. 问卷；调查表
census,"n. 人口普查，人口调查
vt. 实施统计调查"
overview,n.  综述；概观
investigate,v. 调查；研究
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
interrogate,"vt. 审问；质问； 询问
vi. 审问；质问"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
mode,n. 模式；方式；风格；时尚
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
feud,"n. 不和；争执；封地;（部落或家族间的）世仇
vi. 长期不和；长期争斗"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
define,vt. 定义；使明确；规定
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
psychological,adj. 心理的；心理学的；精神上的
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
require,vt. 需要；要求；命令
necessitate,vt. 使成为必需，需要；迫使
involve,vt. 包含；牵涉；使陷于；潜心于
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
request,"n. 请求；需要
vt. 要求，请求"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
instruct,vt. 指导；通知；命令；教授
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
polish,找不到解释
refine,vt. 精炼，提纯；改善；使…文雅
cultivate,vt. 培养；陶冶；耕作
enhance,vt. 提高；加强；增加
argument,n. 论证；论据；争吵；内容提要
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
formulate,vt. 规划；用公式表示；明确地表达
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
conspire,"vi. 共谋；协力
vt.  密谋策划"
layout,n. 布局；设计；安排；陈列
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
thrive,vi. 繁荣，兴旺；茁壮成长
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
fund,"n. 基金；资金；存款
vt. 投资；资助"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
endow,vt. 赋予；捐赠；天生具有
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
subsidize,vt. 资助；给与奖助金；向…行贿
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
fabricate,vt. 制造；伪造；装配
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
generate,vt. 使形成；发生；生殖；产生物理反应
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
provoke,vt. 驱使；激怒；煽动；惹起
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
induce,vt. 诱导；引起；引诱；感应
incur,vt. 招致，引发；蒙受
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
narration,n. 叙述，讲述；故事
description,n. 描述，描写；类型；说明书
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
suppress,vt. 抑制；镇压；废止
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
restrain,vt. 抑制，控制；约束；制止
monopoly,n. 垄断；垄断者；专卖权
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
pact,n. 协定；公约；条约；契约
treaty,n. 条约，协议；谈判
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
transaction,n. 交易；事务；办理；会报，学报
auction,"n. 拍卖
vt. 拍卖；竞卖"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
statistic,"n. 统计数值
adj. 统计的，统计学的"
digit,n. 数字；手指或足趾；一指宽
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procedure,n. 程序，手续；步骤
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
commerce,n. 贸易；商业；商务
business,n. 商业； 生意； 交易；事情
industry,n. 产业；工业；勤勉
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
utilize,vt. 利用
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
exert,vt. 运用，发挥；施以影响
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
personality,n. 个性；品格；名人
disposition,n. 处置； 性情； 部署；倾向
attribute,"n. 属性；特质
vt. 归属；把…归于"
trait,n. 特性，特点；品质；少许
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
identity,n. 身份；同一性，一致；特性；恒等式
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
thorough,adj. 彻底的；十分的；周密的
entire,adj. 全部的，整个的；全体的
accomplish,vt. 完成；实现；达到
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
economy,n. 经济；节约；理财
thrift,n. 节俭；节约； 海石竹
exist,vi. 存在；生存；生活；继续存在
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
choose,"vt. 选择，决定
vi. 选择，挑选"
opt,vi. 选择
elite,n. 精英；精华；中坚分子
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
basis,n. 基础；底部；主要成分；基本原则或原理
foundation,n. 基础；地基；基金会；根据；创立
headquarters,n. 总部；指挥部；司令部
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
strive,vi. 努力；奋斗；抗争
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
effort,n. 努力；成就
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
strength,n. 力量；力气；兵力；长处
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
enforce,vt. 实施，执行；强迫，强制
compel,vt. 强迫，迫使；强使发生
impel,vt. 推动；驱使；激励
propel,vt. 推进；驱使；激励；驱策
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
limit,"n. 限制；限度；界线
vt. 限制；限定"
restrict,vt. 限制；约束；限定
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
constrain,vt. 驱使；强迫；束缚
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
confines,"n. 范围；界限；疆界（confine的复数）
v. 限制；禁闭（confine的三单形式）"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
