abdicate,"vt. 退位；放弃
vi. 退位；放弃"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
appease,vt. 使平息；使满足；使和缓；对…让步
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
apprehensive,adj. 忧虑的；不安的；敏悟的；知晓的
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
arbiter,n.  仲裁者；裁决人
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
aspect,n. 方面；方向；形势；外貌
aspire,vi. 渴望；立志；追求
assembly,n. 装配；集会，集合
assert,vt. 维护，坚持；断言；主张；声称
assess,vt. 评定；估价；对…征税
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assimilation,n. 同化；吸收； 同化作用
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
astrological,adj. 占星的；占星学的，占星术的
astronomy,n. 天文学
atmosphere,n. 气氛；大气；空气
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
auction,"n. 拍卖
vt. 拍卖；竞卖"
authority,n. 权威；权力；当局
automated,"adj. 自动化的；机械化的
v. 自动化（automate的过去分词）；自动操作"
available,adj. 可获得的；可购得的；可找到的；有空的
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
bankruptcy,n. 破产
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
behavior,n. 行为，举止；态度；反应
bellyful,n. 满腹；满肚子；过量
benefactor,n. 恩人；捐助者；施主
benign,adj. 良性的；和蔼的，亲切的；吉利的
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bilingual,"n. 通两种语言的人
adj. 双语的"
binary,adj.  二进制的；二元的，二态的
binding,"n. 装订；捆绑；粘合物
v. 捆绑（bind的ing形式）
adj. 有约束力的；捆绑的"
biographical,adj. 传记的，传记体的
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
boundary,n. 边界；范围；分界线
bribery,n.  贿赂；受贿；行贿
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
bureaucratic,adj. 官僚的；官僚政治的
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
candidate,n. 候选人，候补者；应试者
capable,adj. 能干的，能胜任的；有才华的
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
category,n. 种类，分类； 范畴
cater,vt. 投合，迎合；满足需要；提供饮食及服务
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cavity,n. 腔；洞，凹处
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
chronic,adj. 慢性的；长期的；习惯性的
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
clarity,n. 清楚，明晰；透明
client,n.  客户；顾客；委托人
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
coalition,n. 联合；结合，合并
cognitive,adj. 认知的，认识的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
coincidence,n. 巧合；一致；同时发生
collaborative,adj. 合作的，协作的
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
commemorate,vt. 庆祝，纪念；成为…的纪念
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commodity,n. 商品，货物；日用品
community,n. 社区； 群落；共同体；团体
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
competent,adj. 胜任的；有能力的；能干的；足够的
competitive,adj. 竞争的；比赛的；求胜心切的
compile,vt. 编译；编制；编辑； 汇编
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complicated,adj. 难懂的，复杂的
comply,vi. 遵守；顺从，遵从；答应
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
composition,n. 作文，作曲，作品； 构成；合成物；成分
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concept,n. 观念，概念
concession,n. 让步；特许（权）；承认；退位
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
condemn,vt. 谴责；判刑，定罪；声讨
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
confer,"vt. 授予；给予
vi. 协商"
confident,adj. 自信的；确信的
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
confirm,vt. 确认；确定；证实；批准；使巩固
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
confront,vt. 面对；遭遇；比较
confuse,vt. 使混乱；使困惑
conjunction,n. 结合； 连接词；同时发生
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conscience,n. 道德心，良心
conscious,adj. 意识到的；故意的；神志清醒的
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consequence,n. 结果；重要性；推论
conservative,找不到解释
consistent,adj. 始终如一的，一致的；坚持的
consolidation,n. 巩固；合并；团结
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constitute,vt. 组成，构成；建立；任命
constrain,vt. 驱使；强迫；束缚
construction,n. 建设；建筑物；解释；造句
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
contempt,n. 轻视，蔑视；耻辱
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
controversial,adj. 有争议的；有争论的
conventional,adj. 符合习俗的，传统的；常见的；惯例的
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convey,vt. 传达；运输；让与
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
convincing,"v. 使相信；使明白（convince的现在分词）
adj. 令人信服的；有说服力的"
cooperate,vi. 合作，配合；协力
coordination,n. 协调，调和；对等，同等
core,找不到解释
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correspond,vi. 符合，一致；相应；通信
corruption,n. 贪污，腐败；堕落
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
counterpart,n. 副本；配对物；极相似的人或物
courageous,adj. 有胆量的，勇敢的
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
crucial,adj. 重要的；决定性的；定局的；决断的
cue,"n. 提示，暗示；线索
vt. 给…暗示"
cultivate,vt. 培养；陶冶；耕作
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
curriculum,"n. 课程
总课程"
cursory,adj. 粗略的；草率的；匆忙的
dampen,"vt. 抑制；使…沮丧；使…潮湿
vi. 潮湿；丧气"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
dearth,n. 缺乏；饥馑；粮食不足
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
deceptive,adj. 欺诈的；迷惑的；虚伪的
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
decoration,n. 装饰，装潢；装饰品；奖章
dedicate,vt. 致力；献身；题献
deduce,vt. 推论，推断；演绎出
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
defend,"vi. 保卫；防守
vt. 辩护；防护"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
define,vt. 定义；使明确；规定
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
delusion,n. 迷惑，欺骗；错觉；幻想
democratic,adj. 民主的；民主政治的；大众的
demographic,adj. 人口统计学的；人口学的
dense,adj. 稠密的；浓厚的；愚钝的
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
depict,vt. 描述；描画
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
deprive,vt. 使丧失，剥夺
derive,"vt. 源于；得自；获得
vi. 起源"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
describe,vt. 描述，形容；描绘
deserve,"vi. 应受，应得
vt. 应受，应得"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
differentiate,"vt. 区分，区别
vi. 区分，区别"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
disaster,n. 灾难，灾祸；不幸
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
disclose,vt. 公开；揭露
disconcerting,adj. 令人不安的；打扰人的
discover,"vi. 发现
vt. 发现；发觉"
discrimination,n. 歧视；区别，辨别；识别力
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
disproportionately,adv. 不成比例地
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
disruptive,adj. 破坏的；分裂性的；制造混乱的
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distraction,n. 注意力分散；消遣；心烦意乱
distressed,"v. 使痛苦；使紧张；使困苦（distress的过去分词）
adj. 痛苦的；忧虑的；贫困的；受损的"
distribute,vt. 分配；散布；分开；把…分类
district,n. 区域；地方；行政区
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
diverse,adj. 不同的；多种多样的；变化多的
divisive,adj. 分裂的；区分的；造成不和的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
dreadful,adj. 可怕的；糟透的，令人不快的
drought,n. 干旱；缺乏
duplication,n. 复制；副本；成倍
durable,"n. 耐用品
adj. 耐用的，持久的"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
economic,adj. 经济的，经济上的；经济学的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
efficient,adj. 有效率的；有能力的；生效的
effort,n. 努力；成就
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
element,n. 元素；要素；原理；成分；自然环境
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
eliminate,vt. 消除；排除
elite,n. 精英；精华；中坚分子
embarrassing,adj. 使人尴尬的；令人为难的
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
emerge,vi. 浮现；摆脱；暴露
emigrate,"vi. 移居；移居外国
vt. 移民"
emission,n. （光、热等的）发射，散发；喷射；发行
emotional,adj. 情绪的；易激动的；感动人的
emphasize,vt. 强调，着重
empower,vt. 授权，允许；使能够
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
enhance,vt. 提高；加强；增加
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
enrage,vt. 激怒；使暴怒
ensure,vt. 保证，确保；使安全
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
entertainment,n. 娱乐；消遣；款待
enthusiasm,n. 热心，热忱，热情
entirely,adv. 完全地，彻底地
entitle,vt. 称做…；定名为…；给…称号；使…有权利
envision,vt. 想象；预想
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
equality,n. 平等；相等； 等式
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
establish,"vi. 植物定植
vt. 建立；创办；安置"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
eventually,adv. 最后，终于
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
excellent,adj. 卓越的；极好的；杰出的
exception,n. 例外；异议
excessive,adj. 过多的，极度的；过分的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
exert,vt. 运用，发挥；施以影响
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expensive,adj. 昂贵的；花钱的
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
explicit,adj. 明确的；清楚的；直率的；详述的
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
explosion,n. 爆炸；爆发；激增
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
expose,vt. 揭露，揭发；使曝光；显示
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
extinguish,vt. 熄灭；压制；偿清
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraordinarily,adv. 非常；格外地；非凡地
fabric,n. 织物；布；组织；构造；建筑物
facilitate,vt. 促进；帮助；使容易
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
feverish,adj. 发热的；极度兴奋的
fiction,n. 小说；虚构，编造；谎言
fierce,adj. 凶猛的；猛烈的；暴躁的
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
financial,adj. 金融的；财政的，财务的
finite,"n. 有限之物
adj. 有限的；限定的"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
flexibility,n. 灵活性；弹性；适应性
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
foresee,vt. 预见；预知
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
foundation,n. 基础；地基；基金会；根据；创立
