influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
conscious,adj. 意识到的；故意的；神志清醒的
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
investment,n. 投资；投入；封锁
moreover,adv. 而且；此外
consequence,n. 结果；重要性；推论
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
emotion,n. 情感；情绪
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
refute,vt. 反驳，驳斥；驳倒
award,"n. 奖品；判决
vt. 授予；判定"
category,n. 种类，分类； 范畴
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
conservative,找不到解释
establish,"vi. 植物定植
vt. 建立；创办；安置"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
insurance,n. 保险；保险费；保险契约；赔偿金
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reputation,n. 名声，名誉；声望
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
responsible,adj. 负责的，可靠的；有责任的
geology,n. 地质学；地质情况
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
preclude,vt. 排除；妨碍；阻止
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
authority,n. 权威；权力；当局
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
element,n. 元素；要素；原理；成分；自然环境
enhance,vt. 提高；加强；增加
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
expose,vt. 揭露，揭发；使曝光；显示
generate,vt. 使形成；发生；生殖；产生物理反应
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
highjack,v. 抢劫（走私卡车等），劫持
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
inevitable,adj. 必然的，不可避免的
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
pursuit,n. 追赶，追求；职业，工作
rely,vi. 依靠；信赖
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
responsibility,n. 责任，职责；义务
segment,"n. 段；部分
vt. 分割
vi. 分割"
liability,n. 责任；债务；倾向；可能性；不利因素
occur,vi. 发生；出现；存在
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
application,n. 应用；申请；应用程序；敷用
candidate,n. 候选人，候补者；应试者
capable,adj. 能干的，能胜任的；有才华的
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
competition,n. 竞争；比赛，竞赛
convey,vt. 传达；运输；让与
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
exclude,vt. 排除；排斥；拒绝接纳；逐出
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
indicate,vt. 表明；指出；预示；象征
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
revenue,n. 税收，国家的收入；收益
series,n. 系列，连续； 串联；级数；丛书
skeptical,adj. 怀疑的；怀疑论的，不可知论的
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
version,n. 版本；译文；倒转术
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
statistics,n. 统计；统计学； 统计资料
undergo,vt. 经历，经受；忍受
academy,n. 学院；研究院；学会；专科院校
admission,n. 承认；入场费；进入许可；坦白；录用
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
attractive,adj. 吸引人的；有魅力的；引人注目的
cater,vt. 投合，迎合；满足需要；提供饮食及服务
cognitive,adj. 认知的，认识的
commerce,n. 贸易；商业；商务
communication,n. 通讯， 通信；交流；信函
conservation,n. 保存，保持；保护
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
convince,vt. 说服；使确信，使信服
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
crucial,adj. 重要的；决定性的；定局的；决断的
dedicate,vt. 致力；献身；题献
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
ensure,vt. 保证，确保；使安全
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
maintain,vt. 维持；继续；维修；主张；供养
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
priority,n. 优先；优先权； 优先次序；优先考虑的事
property,n. 性质，性能；财产；所有权
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
emerge,vi. 浮现；摆脱；暴露
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
hospitality,n. 好客；殷勤
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
prolong,vt. 延长；拖延
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
acknowledge,vt. 承认；答谢；报偿；告知已收到
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
aggravate,vt. 加重；使恶化；激怒
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approval,n. 批准；认可；赞成
assess,vt. 评定；估价；对…征税
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
behalf,n. 代表；利益
comply,vi. 遵守；顺从，遵从；答应
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
considerable,adj. 相当大的；重要的，值得考虑的
controversy,n. 争论；论战；辩论
deprive,vt. 使丧失，剥夺
detect,vt. 察觉；发现；探测
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
economy,n. 经济；节约；理财
elite,n. 精英；精华；中坚分子
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
feedback,n. 反馈；成果，资料；回复
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
imply,vt. 意味；暗示；隐含
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
intelligent,adj. 智能的；聪明的；理解力强的
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
modify,"vt. 修改，修饰；更改
vi. 修改"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
option,n.  选项；选择权；买卖的特权
originate,"vt. 引起；创作
vi. 发源；发生；起航"
output,"n. 输出，输出量；产量；出产
vt. 输出"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
premier,"n. 总理，首相
adj. 第一的；最初的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
procedure,n. 程序，手续；步骤
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
requirement,n. 要求；必要条件；必需品
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
statute,n.  法规；法令；条例
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
whereas,conj. 然而；鉴于；反之
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
elementary,adj. 基本的；初级的； 元素的
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
agenda,n. 议程；日常工作事项；日程表
alter,"vt. 改变，更改
vi. 改变；修改"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
ambiguous,adj. 模糊不清的；引起歧义的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
assert,vt. 维护，坚持；断言；主张；声称
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
colony,n. 殖民地；移民队；种群；动物栖息地
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
comparison,n. 比较；对照；比喻；比较关系
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compete,vi. 竞争；比赛；对抗
comprehension,n. 理解；包含
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confront,vt. 面对；遭遇；比较
confuse,vt. 使混乱；使困惑
constrain,vt. 驱使；强迫；束缚
consultant,n. 顾问；咨询者；会诊医生
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
controversial,adj. 有争议的；有争论的
cooperate,vi. 合作，配合；协力
council,n. 委员会；会议；理事会；地方议会；顾问班子
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
democracy,n. 民主，民主主义；民主政治
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
diverse,adj. 不同的；多种多样的；变化多的
eliminate,vt. 消除；排除
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
exception,n. 例外；异议
excessive,adj. 过多的，极度的；过分的
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
fertile,adj. 富饶的，肥沃的；能生育的
flexible,adj. 灵活的；柔韧的；易弯曲的
framework,n. 框架，骨架；结构，构架
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
illusion,n. 幻觉，错觉；错误的观念或信仰
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
intuition,n. 直觉；直觉力；直觉的知识
invasion,n. 入侵，侵略；侵袭；侵犯
jury,"n.  陪审团；评判委员会
adj. 应急的"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
legislation,n. 立法；法律
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
mechanic,"n. 技工，机修工
adj. 手工的"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
motivate,vt. 刺激；使有动机；激发…的积极性
municipal,adj. 市政的，市的；地方自治的
occupy,vt. 占据，占领；居住；使忙碌
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
percentage,n. 百分比；百分率，百分数
physiology,n. 生理学；生理机能
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
prevail,vi. 盛行，流行；战胜，获胜
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
prudent,adj. 谨慎的；精明的；节俭的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
refine,vt. 精炼，提纯；改善；使…文雅
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
relief,n. 救济；减轻，解除；安慰；浮雕
reluctant,adj. 不情愿的；勉强的；顽抗的
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
retain,vt. 保持；雇；记住
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
setback,n. 挫折；退步；逆流
settlement,n. 解决，处理； 结算；沉降；殖民
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
subsidy,n. 补贴；津贴；补助金
sufficient,adj. 足够的；充分的
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
superfluous,adj. 多余的；不必要的；奢侈的
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
tendency,n. 倾向，趋势；癖好
territory,n. 领土，领域；范围；地域；版图
tolerate,vt. 忍受；默许；宽恕
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
trait,n. 特性，特点；品质；少许
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
valid,adj. 有效的；有根据的；合法的；正当的
variation,n. 变化； 变异，变种
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
abolish,vt. 废除，废止；取消，革除
abound,vi. 富于；充满
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
