take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
worse,"n. 更坏的事；更恶劣的事
adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级）
adv. 更糟；更坏；更恶劣地；更坏地"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
government,n. 政府；政体；管辖
take measures to do sth.,找不到解释
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
opportunity,n. 时机，机会
newborn,"adj. 新生的；再生的
n. 婴儿"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
garbage,n. 垃圾；废物
discourage,vt. 阻止；使气馁
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
huge,adj. 巨大的；庞大的；无限的
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
transportation,n. 运输；运输系统；运输工具；流放
excellent,adj. 卓越的；极好的；杰出的
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
artist,n. 艺术家；美术家（尤指画家）；大师
millions of,"det. 数百万
 数百万的；成百万的；数以百万计"
visitor,n. 访问者，参观者；视察者；候鸟
industry,n. 产业；工业；勤勉
chemistry,n. 化学；化学过程
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
homeless,"adj. 无家可归的
无家可归的人
无家可归"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
treatment,n. 治疗，疗法；处理；对待
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
secretary,n. 秘书；书记；部长；大臣
helper,n. 助手，帮手
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
basic,"n. 基础；要素
adj. 基本的；基础的"
human,"n. 人；人类
adj. 人的；人类的"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
homelessness,n. 无家可归
earn,vt. 赚，赚得；获得，挣得；使得到；博得
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
context,n. 环境；上下文；来龙去脉
laborer,n. 劳动者；工人
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
contribution,n. 贡献；捐献；投稿
make a contribution to,"na. 捐赠；贡献给
 为……做贡献；为……做出贡献；作出贡献"
encourage,vt. 鼓励，怂恿；激励；支持
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
importance,n. 价值；重要；重大；傲慢
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
college,n. 大学；学院；学会
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
hardly,adv. 几乎不，简直不；刚刚
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
plenty of,"na. 很多的
 许多；大量的；充足的"
sunshine,n. 阳光；愉快；晴天；快活
sunbathe,"n. 日光浴；太阳灯浴
vi. 沐日光浴"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
volleyball,n. 排球
cultural,adj. 文化的；教养的
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
bee,n. 蜜蜂，蜂；勤劳的人
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
several,"adj. 几个的；各自的
pron. 几个；数个"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
villager,n. 乡村居民，村民
destroy,vt. 破坏；消灭；毁坏
cut down,"na. 砍倒；削减；减价；夺去…活动力
 减少；缩短；降低"
pollute,vt. 污染；玷污；败坏
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
chest,n. 胸，胸部；衣柜；箱子；金库
awful,adj. 可怕的；极坏的；使人敬畏的
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
editor,n. 编者，编辑；社论撰写人；编辑装置
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
harmful,adj. 有害的；能造成损害的
be harmful to, 对…有害；对…有危害；对……是有害的
deaf,adj. 聋的
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
loss,n. 减少；亏损；失败；遗失
recently,adv. 最近；新近
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
do harm to,"v. 损害
 对…有害；伤害；对……造成伤害"
uncomfortable,adj. 不舒服的；不安的
unpleasant,adj. 讨厌的；使人不愉快的
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
environmental,adj. 环境的，周围的；有关环境的
including,prep. 包含，包括
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
create,vt. 创造，创作；造成
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
high blood pressure,"n. 高血压
 血压高；高血压与肥胖；你对高血压认识多少"
planet,n. 行星
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
sandstorm,n.  沙暴；大风沙
change into,"na. 变成；改穿
 把……变成；变为；转换成"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
 是人；指人类；泛指人"
although,conj. 尽管；虽然；但是；然而
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
completely,adv. 完全地，彻底地；完整地
user,"n. 用户
n. 使用者"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
here and there,"na. 到处；零零落落
 各处；处处；这儿那儿"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
untidy,"adj. 不整洁的，凌乱的；懒散的；不干净利落的，不简练的；不适宜的
v. 使不整洁；使杂乱无章"
worst,"n. 最坏；最坏的时候
adj. 最差的，最坏的；最不利的；效能最低的
adv. 最坏地；最不利地"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
behavior,n. 行为，举止；态度；反应
situation,n. 情况；形势；处境；位置
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
perhaps,"n. 假定；猜想；未定之事
adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能"
everybody,pron. 每个人；人人
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
take away,"adj. 买回去的
 拿走；带走；外带"
oxygen,n.  氧气， 氧
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
ozone,n.  臭氧；新鲜的空气
radiation,n. 辐射；发光；放射物
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
the greenhouse effect,"n. 温室效应
 造成温室效应；快乐工人；植物生长剂"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
shortage,n. 缺乏，缺少；不足
avoid,vt. 避免；避开，躲避；消除
resource,n. 资源，财力；办法；智谋
discover,"vi. 发现
vt. 发现；发觉"
reuse,"n. 重新使用，再用
vt. 再使用"
thirsty,adj. 口渴的，口干的；渴望的，热望的
nearly,adv. 差不多，几乎；密切地
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
protection,n. 保护；防卫；护照
organization,n. 组织；机构；体制；团体
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
agreement,n. 协议；同意，一致
disagreement,n. 不一致；争论；意见不同
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
hurry up,"na. 催促；赶快
 快点；赶紧；匆匆完成"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
 理应；应然；应该要"
shut off,"na. 阻断；使隔开
 关掉；切断；关闭"
electricity,n. 电力；电流；强烈的紧张情绪
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
cloth,"n. 布；织物；桌布
adj. 布制的"
action,n. 行动；活动；功能；战斗；情节
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
biogas,n. 生物气，沼气
technology,n. 技术；工艺；术语
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
disadvantage,n. 缺点；不利条件；损失
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
require,vt. 需要；要求；命令
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
best-known,adj. 流传久远的，最有名的
maglev,"n. 磁力悬浮火车
adj. 磁力悬浮火车的"
German,"n. 德语；德国人
adj. 德国的；德语的，德国人的"
per,prep. 每；经；按照；每一
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
efficient,adj. 有效率的；有能力的；生效的
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
path,n. 道路；小路；轨道
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
source,n. 来源；水源；原始资料
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
worldwide,"adj. 全世界的
adv. 在世界各地"
sunlight,n. 日光
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
insect,n. 昆虫；卑鄙的人
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
planter,n. 种植机， 播种机；种植者；种植园主；耕作者；殖民者
colleague,n. 同事，同僚
motorbike,n. 摩托车
gasoline,n. 汽油
anybody,"n. 重要人物
pron. 任何人"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
product,n. 产品；结果； 乘积；作品
excessive,adj. 过多的，极度的；过分的
goods,n. 商品；动产；合意的人；真本领
seriously,adv. 认真地；严重地，严肃地
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
historical,adj. 历史的；史学的；基于史实的
lifestyle,"n. 生活方式
保健的"
difference,n. 差异；不同；争执
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
widely,adv. 广泛地
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
from now on,"na. 从今以后
 从现在起；从现在开始；今后"
foreigner,n. 外地人，外国人
film-maker,n. 电影制作人
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
be pleased with ...,找不到解释
on business,"na. 因公
 因事；出差办事；有事"
tonight,"n. 今晚
adv. 在今晚"
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
be similar to,"na. 像
 与…相似；和……相似；类似"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
interpreter,n. 解释者；口译者；注释器
explain,v. 说明；解释
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
divide ... into ...,找不到解释
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
mother tongue,"n. 母语；本国语
 本族语；本国语言；母语式"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
trader,n. 交易者；商人；商船
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
foreign,adj. 外国的；外交的；异质的；不相关的
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
European,"n. 欧洲人
adj. 欧洲的；欧洲人的"
kingdom,n. 王国；界；领域
tourism,n. 旅游业；游览
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
Britain,n. 英国；不列颠
powerful,"adj. 强大的；强有力的
adv. 很；非常"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
see ... off,"na. 送行；送别；告别；赶走
 给…送行；为…送行；给某人送行"
stranger,n. 陌生人；外地人；局外人
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
ask for a ride,找不到解释
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
give sb. a ride, 搭车；搭载；让搭车
get on,"na. 上马；安上；过日子；相投 (with together)
 上车；进展；相处"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
guidebook,n. 旅行指南；指导手册
whenever,"conj. 每当；无论何时
adv. 不论何时；随便什么时候"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
do some research, 做研究；做些研究；做调查
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
puzzled,adj. 困惑的；茫然的；搞糊涂的
victory,n. 胜利；成功；克服
misunderstanding,n. 误解；误会；不和
typical,adj. 典型的；特有的；象征性的
differently,adv. 不同地；差异；各种
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
honest,adj. 诚实的，实在的；可靠的；坦率的
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
at times,"na. 时时
 有时；有时候；时常"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
magical,adj. 魔术的；有魔力的
creature,n. 动物，生物；人；创造物
emperor,n. 皇帝，君主
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
compare ... to ...,找不到解释
courage,n. 勇气；胆量
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
make mistakes, 犯错；犯错误；出错
peacock,"n. 孔雀；雄孔雀；爱虚荣的人
vi. 炫耀；神气活现地走"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
wisdom,n. 智慧，才智；明智；学识；至理名言
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
elevator,n. 电梯；升降机；升降舵；起卸机
pronunciation,n. 发音；读法
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
cookbook,n. 食谱
totally,adv. 完全地
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
oral,"n. 口试
adj. 口头的，口述的"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
sleepy,adj. 欲睡的；困乏的；不活跃的
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
retell,vt. 复述；再讲；重述
indirect,adj. 间接的；迂回的；非直截了当的
granddaughter,n. 孙女；外孙女
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
dialog,n. 对话；会话
composition,n. 作文，作曲，作品； 构成；合成物；成分
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
notebook,n. 笔记本，笔记簿；手册
diary,n. 日志，日记；日记簿
keep a diary,"na. 记日记
 写日记；坚持写日记；坚持记日记"
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
aloud,adv. 大声地；出声地
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
textbook,n. 教科书，课本
ability,n. 能力，能耐；才能
take a breath, 深呼吸；深深地吸一口气；喘口气
toothpaste,n. 牙膏
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
