morning tea,"n. 早茶
 上午茶；喝早茶；饮早茶"
tusk,"n. 长牙；尖头，尖形物
vt. 以牙刺戳；以长牙掘"
Africa,n. 非洲
Asia,n. 亚洲
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
scared,"v. 使害怕（scare的过去分词）
adj. 害怕的"
worried,adj. 担心的
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
proud,adj. 自豪的；得意的；自负的
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
happy,adj. 幸福的；高兴的；巧妙的
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
because,conj. 因为
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
competition,n. 竞争；比赛，竞赛
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
inventor,n. 发明家； 发明人；创造者
artist,n. 艺术家；美术家（尤指画家）；大师
scientist,n. 科学家
poet,n. 诗人
writer,n. 作家；作者
American,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的"
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
Danish,"n. 丹麦语
adj. 丹麦的；丹麦人的；丹麦语（文）的"
poem,n. 诗
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
invention,n. 发明；发明物；虚构；发明才能
invent,vt. 发明；创造；虚构
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
university,n. 大学；综合性大学；大学校舍
deaf,adj. 聋的
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
dumpling,n. 饺子，汤团；面团布丁
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
ice lantern,
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
be afraid of,"na. 怕
 害怕；害怕某物；害怕某事"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
pen pal,"abbr. (=pen-friend)
n. 笔友
 笔友---澎湃；笔友是；笔友们"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
look forward to,"na. 盼望
 期待；期望；期盼"
