triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
circumstance,n. 环境，情况；事件；境遇
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
responder,n. 响应器；回答者
widow,"n. 寡妇；孀妇
vt. 使成寡妇"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
solemnly,adv. 庄严地；严肃地
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
commitment,n. 承诺，保证；委托；承担义务；献身
automobile,"n. 汽车
vt. 驾驶汽车
"
distinct,adj. 明显的；独特的；清楚的；有区别的
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
establish,"vi. 植物定植
vt. 建立；创办；安置"
harmony,n. 协调；和睦；融洽；调和
reconcile,vt. 使一致；使和解；调停，调解；使顺从
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
conflicted,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
grief,n. 悲痛；忧伤；不幸
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
association,n. 协会，联盟，社团；联合；联想
legislation,n. 立法；法律
authority,n. 权威；权力；当局
intense,adj. 强烈的；紧张的；非常的；热情的
involve,vt. 包含；牵涉；使陷于；潜心于
fulfillment,n. 履行；实行
give one's life,捐躯，牺牲生命，献出自己的生命
ring out,"v. 响起
 突然响起；打出台外；宣布离去"
shield sb. from sb.,
shield sb. from sth.,
shield sth. from sth.,
shield sth. from sb.,
with grace,
with good grace, 欣然地；欣然的
with a good grace,"na. 高兴地
 欣然的；欣然地；情愿地"
be caught up in sth.,
get caught up in sth.,
in the words of sb.,
in sb.'s words,
reserve sth. for sb.,
reserve sth. for sth.,
relate to sth.,
relate to sb.,
make sense of sth.,
sum up,"na. 概括；总结
 总计；归纳；总括"
in need, 在危难中；需要帮助的；在困难时
count on sb.,
count on sth.,
count upon sb.,
count upon sth.,
lead to sth.,
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
call upon,"na. “call on”的变体；同“call on ”
 号召；拜访；求告"
Tucson,
Arizona,n. 美国亚利桑那州
Dory Stoddard,
Mavy,
Toronto,
Ryan Russell,
Nelson Mandela, 南非前总统曼德拉；纳尔逊·曼德拉；南非总统曼德拉
Eleanor McMahon,
Share the Road,
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
psychiatric,adj. 精神病学的；精神病治疗的
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
sake,n. 目的；利益；理由；日本米酒
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
addiction,n. 上瘾，沉溺；癖嗜
brand-new,adj. 崭新的；最近获得的
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
responsible,adj. 负责的，可靠的；有责任的
responsibly,adv. 负责地，可信赖地
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
absorption,n. 吸收；全神贯注，专心致志
generate,vt. 使形成；发生；生殖；产生物理反应
psychological,adj. 心理的；心理学的；精神上的
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
considerable,adj. 相当大的；重要的，值得考虑的
considerably,adv. 相当地；非常地
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
approximately,adv. 大约，近似地；近于
predictable,adj. 可预言的
predictably,adv. 可预言地
apparent,adj. 显然的；表面上的
symptom,n.  症状；征兆
numerous,adj. 许多的，很多的
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
attribute,"n. 属性；特质
vt. 归属；把…归于"
comparison,n. 比较；对照；比喻；比较关系
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
withdrawal,n. 撤退，收回；提款；取消；退股
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
obsessive,adj. 强迫性的；着迷的；分神的
ardent,adj. 热情的；热心的；激烈的；燃烧般的
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
exhausting,"v. 耗尽；使…精疲力竭；排出（exhaust的ing形式）
adj. 使筋疲力尽的；使耗尽的"
undermine,vt. 破坏，渐渐破坏；挖掘地基
compulsive,adj. 强制的；强迫的
extent,n. 程度；范围；长度
fly into a rage,"na. 勃然大怒
 大发雷霆；火冒三丈；暴跳如雷"
fly into a temper,"na. “get into a temper”的变体
 勃然大怒；大发脾气；突然表现出来"
devote one's time to sth.,
devote one's money to sth.,
devote one's attention to sth.,
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
be headed for sth.,
be heading for sth.,
be in danger of sth.,
be in danger of doing sth.,
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
thanks to sb.,
thanks to sth.,
go along,"na. 前进
 进行；沿着……一直走；同意"
in particular,"na. 特别；一一
 尤其；特别地；特别是"
interfere with sth.,
cut sb. off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
cut sb. from,
in turn,"na. 挨次
 依次；轮流；反过来"
as for,"na. 至于
 关于；就…而言；对于"
Zoey,
Amanda,
University of Houston,"音节分段：University of Houston; 4800 Calhoun, Houston, TX 77294-2161; Public; 25,052"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
install,vt. 安装；任命；安顿
ensure,vt. 保证，确保；使安全
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
