system,n. 制度，体制；系统；方法
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
competition,n. 竞争；比赛，竞赛
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
relationship,n. 关系；关联
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
create,vt. 创造，创作；造成
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
ethnic,adj. 种族的；人种的
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
planet,n. 行星
aspect,n. 方面；方向；形势；外貌
global,adj. 全球的；总体的；球形的
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
climate,n. 气候；风气；思潮；风土
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
bacteria,n.  细菌
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
multivitamin,"adj. 多种维他命的
n. 多种维他命剂"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
biography,n. 传记；档案；个人简介
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
available,adj. 可获得的；可购得的；可找到的；有空的
lane,n. 小巷； 航线；车道；罚球区
legal,adj. 法律的；合法的；法定的；依照法律的
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
athlete,n. 运动员，体育家；身强力壮的人
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
organism,n. 有机体；生物体；微生物
appearance,n. 外貌，外观；出现，露面
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
recently,adv. 最近；新近
concept,n. 观念，概念
survival,n. 幸存，残存；幸存者，残存物
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
define,vt. 定义；使明确；规定
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
chemical,"n. 化学制品，化学药品
adj. 化学的"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
intelligent,adj. 智能的；聪明的；理解力强的
belief,n. 相信，信赖；信仰；教义
manufacturer,n. 制造商； 厂商
finally,adv. 最后；终于；决定性地
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
attitude,n. 态度；看法；意见；姿势
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
consist,vi. 由…组成；在于；符合
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
immigration,n. 外来移民；移居
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
management,n. 管理；管理人员；管理部门；操纵；经营手段
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
activity,n. 活动；行动；活跃
universe,n. 宇宙；世界；领域
decade,n. 十年，十年期；十
performance,n. 性能；绩效；表演；执行；表现
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
highly,adv. 高度地；非常；非常赞许地
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
instrument,n. 仪器；工具；乐器；手段；器械
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
diversity,n. 多样性；差异
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
trivial,adj. 不重要的，琐碎的；琐细的
deprive,vt. 使丧失，剥夺
hemisphere,n. 半球
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
transition,n. 过渡；转变； 转换；变调
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
department,n. 部；部门；系；科；局
insertion,n. 插入；嵌入；插入物
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
practitioner,n. 开业者，从业者，执业医生
resident,"n. 居民；住院医生
adj. 居住的；定居的"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
option,n.  选项；选择权；买卖的特权
molecule,n.  分子；微小颗粒，微粒
element,n. 元素；要素；原理；成分；自然环境
emotion,n. 情感；情绪
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
perspective,"n. 观点；远景；透视图
adj. 透视的"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
obtain,"vi. 获得；流行
vt. 获得"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
avoid,vt. 避免；避开，躲避；消除
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
sufficient,adj. 足够的；充分的
virtually,adv. 事实上，几乎；实质上
improvement,n. 改进，改善；提高
growth,n. 增长；发展；生长；种植
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
confront,vt. 面对；遭遇；比较
action,n. 行动；活动；功能；战斗；情节
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
transaction,n. 交易；事务；办理；会报，学报
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
responsible,adj. 负责的，可靠的；有责任的
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
vitamin,n.  维生素； 维他命
suburb,n. 郊区；边缘
confirm,vt. 确认；确定；证实；批准；使巩固
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
powerful,"adj. 强大的；强有力的
adv. 很；非常"
evolution,n. 演变；进化论；进展
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
inevitable,adj. 必然的，不可避免的
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
accident,n. 事故；意外； 意外事件；机遇
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
civilization,n. 文明；文化
client,n.  客户；顾客；委托人
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
gullible,adj. 易受骗的；轻信的
instruction,n. 指令，命令；指示；教导；用法说明
navigation,n. 航行；航海
revolution,n. 革命；旋转；运行；循环
scientific,adj. 科学的，系统的
sue,"vt. 控告；请求
vi. 控告；提出请求"
attribute,"n. 属性；特质
vt. 归属；把…归于"
existence,n. 存在，实在；生存，生活；存在物，实在物
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
capacity,n. 能力；容量；资格，地位；生产力
instance,"n. 实例；情况；建议
vt. 举...为例"
notion,n. 概念；见解；打算
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
poverty,n. 贫困；困难；缺少；低劣
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
statement,n. 声明；陈述，叙述；报表，清单
competitive,adj. 竞争的；比赛的；求胜心切的
detective,"n. 侦探
adj. 侦探的"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
expansion,n. 膨胀；阐述；扩张物
obvious,adj. 明显的；显著的；平淡无奇的
north,
generally,adv. 通常；普遍地，一般地
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
cancer, 巨蟹座
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
suppress,vt. 抑制；镇压；废止
deficit,n. 赤字；不足额
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
conspicuous,adj. 显著的；显而易见的
cater,vt. 投合，迎合；满足需要；提供饮食及服务
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
insight,n. 洞察力；洞悉
rarely,adv. 很少地；难得；罕有地
gaze,"n. 凝视；注视
vi. 凝视；注视"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
publication,n. 出版；出版物；发表
destruction,n. 破坏，毁灭；摧毁
addition,n. 添加； 加法；增加物
pollution,"n. 污染
污染物"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
inner,"n. 内部
adj. 内部的；内心的；精神的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
convey,vt. 传达；运输；让与
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
generate,vt. 使形成；发生；生殖；产生物理反应
achievement,n. 成就；完成；达到；成绩
rely,vi. 依靠；信赖
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
battlefield,n. 战场；沙场
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
deadline,n. 截止期限，最后期限
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
electronics,n. 电子学；电子工业
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
fluctuation,n. 起伏，波动
fragile,adj. 脆的；易碎的
gloomy,adj. 黑暗的；沮丧的；阴郁的
individualism,n. 个人主义；利己主义；个人特征
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
insurance,n. 保险；保险费；保险契约；赔偿金
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
majority,n. 多数；成年
merely,adv. 仅仅，只不过；只是
nervous,adj. 神经的；紧张不安的；强健有力的
regulate,vt. 调节，规定；控制；校准；有系统的管理
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
satellite,n. 卫星；人造卫星；随从；卫星国家
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
magnetic,adj. 地磁的；有磁性的；有吸引力的
candidate,n. 候选人，候补者；应试者
argument,n. 论证；论据；争吵；内容提要
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
writer,n. 作家；作者
involve,vt. 包含；牵涉；使陷于；潜心于
highway,n. 公路，大路；捷径
typical,adj. 典型的；特有的；象征性的
context,n. 环境；上下文；来龙去脉
enhance,vt. 提高；加强；增加
efficient,adj. 有效率的；有能力的；生效的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
presumably,adv. 大概；推测起来；可假定
depress,vt. 压抑；使沮丧；使萧条
conservation,n. 保存，保持；保护
user,"n. 用户
n. 使用者"
complaint,n. 抱怨；诉苦；疾病；委屈
increasingly,adv. 越来越多地；渐增地
threat,n. 威胁，恐吓；凶兆
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
perception,n. 知觉； 感觉；看法；洞察力；获取
imply,vt. 意味；暗示；隐含
theory,n. 理论；原理；学说；推测
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
adult,"n. 成年人
adj. 成年的；成熟的"
audience,n. 观众；听众；读者；接见；正式会见；拜会
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
efficiency,n. 效率；效能；功效
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
strategy,n. 战略，策略
obligation,n. 义务；职责；债务
electronic,"adj. 电子的
n. 电子电路；电子器件"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
excessive,adj. 过多的，极度的；过分的
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
procedure,n. 程序，手续；步骤
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
consequence,n. 结果；重要性；推论
transmission,n. 传动装置， 变速器；传递；传送；播送
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
disaster,n. 灾难，灾祸；不幸
intensity,n. 强度；强烈； 亮度；紧张
superiority,n. 优越，优势；优越性
prevalent,adj. 流行的；普遍的，广传的
integrity,n. 完整；正直；诚实；廉正
unemployment,n. 失业；失业率；失业人数
comply,vi. 遵守；顺从，遵从；答应
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
probability,n. 可能性；机率； 或然率
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
generalise,"vi. 推广；笼统地讲；概括（等于generalize）
vt. 概括；归纳；普及"
disable,vt. 使失去能力；使残废；使无资格
ambiguous,adj. 模糊不清的；引起歧义的
stability,n. 稳定性；坚定，恒心
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
ascribe,vt. 归因于；归咎于
literacy,n. 读写能力；精通文学
rectify,vt. 改正；精馏；整流
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
manipulate,vt. 操纵；操作；巧妙地处理；篡改
entity,n. 实体；存在；本质
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
confidential,adj. 机密的；表示信任的；获信任的
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
construct,"n. 构想，概念
vt. 建造，构造；创立"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
maintain,vt. 维持；继续；维修；主张；供养
priority,n. 优先；优先权； 优先次序；优先考虑的事
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
ensure,vt. 保证，确保；使安全
elsewhere,adv. 在别处；到别处
china,
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
supermarket,n. 超级市场；自助售货商店
largely,adv. 主要地；大部分；大量地
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
authority,n. 权威；权力；当局
motivate,vt. 刺激；使有动机；激发…的积极性
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
region,n. 地区；范围；部位
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
core,
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
vital,adj. 至关重要的；生死攸关的；有活力的
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
faculty,n. 科，系；能力；全体教员
capable,adj. 能干的，能胜任的；有才华的
reader,n. 读者；阅读器；读物
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
afford,vt. 给予，提供；买得起
covert,"n. 隐藏处；树丛；蔽覆羽翮基部的羽毛
adj. 隐蔽的；隐密的；偷偷摸摸的；在丈夫保护下的"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
