absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
life-hack,
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
makeup,n. 化妆品；组成；补充；补考
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
matter,"n. 物质；事件
vi. 有关系；要紧"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
millennial,adj. 一千年的；千禧年的
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
newsroom,n. 新闻编辑部；报刊阅览室
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
occupation,n. 职业；占有；消遣；占有期
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
one-size-fits-all,一刀切；一体适用；万全之策
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
path,n. 道路；小路；轨道
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
pluck,"n. 勇气；内脏；快而猛的拉
vt. 摘；拔；扯
vi. 拉；拽；扯"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
practical,adj. 实际的；实用性的
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
president,n. 总统；董事长；校长；主席
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
proceeds,n. 收入，收益；实收款项
prosocial,adj. 亲社会的；忠实于既定社会道德准则的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
providing,"conj. 假如，以…为条件
v. 供给（provide的ing形式）；预备"
publicly-traded, 公开交易；一家公开交易的；血液分析仪器的上市
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
put-down,n. 降落；使对方不再做声的反驳；贬低的行为
quasi-,pref. 准；类似（用以构成复合词）
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recount,"n. 重算
vt. 叙述；重新计算"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
renewables,n. 可继续的，可续订的( renewable的名词复数 )
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
roughly,adv. 粗糙地；概略地
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
shortfall,n. 差额；缺少
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
signature,n. 署名；签名；信号
single-use,一次性的
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
speech,n. 演讲；讲话； 语音；演说
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
string,n. 线，弦，细绳；一串，一行
stroller,n. 散步者；流浪者；（美）折叠式婴儿车；巡回演出的演员
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
takeaway,"n. 外卖食品；外卖餐馆
adj. 外卖的；外吃的"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
thorny,adj. 多刺的；痛苦的；令人苦恼的
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
virtually,adv. 事实上，几乎；实质上
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
weigh-in,n. 赛前称体重
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
whopping,"adj. 巨大的；天大的
adv. 非常地；异常地
v. 猛打；抽出（whop的ing形式）"
wisdom,n. 智慧，才智；明智；学识；至理名言
around the clock,"na. 夜以继日地
 昼夜不停地；昼夜不断地；全天候"
around the corner,"na. (=  round the corner)在拐角那里
 在拐角处；即将来临；即将到来"
at bottom,"na. 实际上；本质上
 内心里；在内心深处；根本上"
bang for your buck, 物超所值；平板卧推不是最划算；追求货真价实
be down to sb.,
be hot stuff, 是个能手
be prone to sth.,
be prone to do sth.,
bed of roses,"na. 安乐的生活；安乐窝
 玫瑰花床；终有一天感动你；玫瑰床"
better off,"adj. 富有的；富裕的；境况良好
 情况更好；更富裕；经济状况好的"
bird of passage,漂泊不定的人，过路的客人； 候鸟
boom and bust,"un. 一时性繁荣
 繁荣与萧条；大起大落；繁荣与崩溃"
boot camp,"n. 新兵训练营；（青少年犯的）改造营
 逃离改造营；训练营地；新兵营"
brain drain,"n. 人才外流；人才流失
 脑力人才外流；智囊流失；人材外流"
buy into sth.,
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
 赶上；追上；跟上"
cling to sth.,
come to terms with sth.,
come under fire, 遭到谴责；遭到射击；遭受各方责难
be under fire, 受到批评；遭到射击；遭受抨击
common good,"na. 公益
 共善；公共利益；共同利益"
crop up,"v. 突然发生；出现
 突然出现；出其不意；突然发生或出现"
dip in,"v. 拿取自己的一份
 浸泡；蘸；沾"
dip into,"na. 舀出；取出；看一看；探究
 浏览；浸一浸；翻阅一下"
drive back," 驾车返回, 驱车返回; 迫使后退; 逐退; 却"
far off,"adj. 远方的；遥远的
 在远处；远离；远隔的"
file for sth.,
for good,"na. 永久地
 永远；一劳永逸地；永远地"
glass ceiling,"n. 无形顶障（虽无明文规定却实际存在的对妇女等在职务升迁上的无形限制）
 玻璃天花板；玻璃屋顶；玻璃天花板效应"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
grapple with sth.,
hail from,"v. 来自
 出生于；来自于；来自或发源于"
hail sb. as sth.,
hail sth. as sth.,
hand out,"na. 分；拿出来；施舍
 分发；散发；分给"
hand sth. out,"na. 分；拿出来；施舍
 分发；散发；分给"
have sth. down to an art,
in that,"na. 因为；以…的理由
 由于；在于；在…方面"
kick back,"na. 反冲；踢回；突然退缩；交付(租金,佣金,酬金等)
 休息；回扣；轻松休息"
lingua franca,"n. （母语不同的人共用的）通用语
 混合语；共通语；通用语言"
make ends meet, 使收支相抵；量入为出；收支平衡
make up for sth.,
oceans of sth.,
old hat,"n. 陈腐的事物；过时的东西
 不合时尚的；旧帽；旧式的"
on account of sth.,
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
plug into,v. 把（电器）插头插入; 接通; 收听; 收看
pop into one's mind,
pour your heart out, 推心置腹
quick fix,"n. 权宜之计
 快速修复；锦囊妙句；快速修正"
report card,"na. (学生)成绩报告单
 成绩单；报告卡；成绩报告卡"
rip off,"v. 剥削；抢劫；强奸；剽窃
 宰客；宰人；撕掉"
rip sth. off,"v. 剥削；抢劫；强奸；剽窃
 宰客；宰人；撕掉"
rolled into one, 栖于一身；汇成一体之物；合为一体的
sb. in question,
sth. in question,
secondary school,"n. 中学；中等学校
 中学教育；高中；初中"
security blanket,"n. （儿童借以得到安全感的）安慰毯；保护物；防护措施；安全保障
 保护伞；安全毯；安心毯"
shrug off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
shrug sth. off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
 关机；停工；使关闭"
shut sth. down,"na. 关闭；关拢(窗等)；停业；禁止
 关机；停工；使关闭"
silver bullet,n. 喻指新技术，尤指人们寄予厚望的某种新科技
silver lining,"na. (失望或不幸中的)一线希望
 银边；一线光明；银线"
sinking ship, 正在下沉的船；沉船；沉船岭
sit on sb.,
spin off,"na. 母公司收回子公司全部股本使之脱离的做法；有用的副产品
 分拆；剥离；衍生"
spin sth. off,"na. 母公司收回子公司全部股本使之脱离的做法；有用的副产品
 分拆；剥离；衍生"
stick it out,"v. 忍耐到底
 坚持到底；顶下去；要坚持到底"
stick to sth.,
in a rut,n. 刻板乏味，墨守成规。字面意思是在车辙里（行走）。
stuck in a rut,
swine flu,"n. 猪流感；（人类感染的）猪流感（基因与猪流感相似，可引致死亡）
 甲流；新流感；猪流感病毒"
tear away,"na. 撕掉；扯开；飞跑
 撕开；勉强离去；扯掉"
tear sb. away,"na. 撕掉；扯开；飞跑
 撕开；勉强离去；扯掉"
tease out,"na. (将纠缠在一起的东西)整理；得出
 梳理；哄取；挑出"
tease sth. out,"na. (将纠缠在一起的东西)整理；得出
 梳理；哄取；挑出"
the community, 社区；社会；社群
the cream of sth.,
the home front, 后方战线；家庭面前；民政阵线
the letter of the law,"na. 法律字面上的意义
 法律条文；法律的字面意义；法律的字面意思"
thin out,"na. 间(苗)；(听众)减少；变薄
 尖灭；煤层薄；稀薄"
to the core,"na. 到心
 彻底；彻底地；透顶的"
touch on sth.,
touch upon sth.,
trade up,"n. 卖次买好；以次换好的买卖
 买更贵的东西；向上消费；向上营销"
trade down,"un. 经营低挡商品增加销售量
 换取低价物；消费降级；降级消费"
turn sth. on its head,
up front,"na. 在前面；预先
 前线；沙场乐；在前台"
wage slave, 工资奴隶；雇佣奴隶；人工奴隶
wear off,"na. (精力)衰退；(衣服等)渐破
 逐渐消失；磨损；渐渐减少"
weigh down,"na. 使负重担；压迫
 压倒；使…负重担；沉重地压在心头"
weigh sb. down,"na. 使负重担；压迫
 压倒；使…负重担；沉重地压在心头"
weigh in,"v. 参加，称重量，比赛前量体重
vi. （口语）发表评论; 施加影响"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
