compatible,adj. 兼容的；能共处的；可并立的
vapour,n. 蒸气（等于vapor）；水蒸气
constrain,vt. 驱使；强迫；束缚
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
faithfully,adv. 忠实地；如实地；诚心诚意地；深信着地
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
impair,vt. 损害；削弱；减少
tragic,adj. 悲剧的；悲痛的，不幸的
pop,abbr. 卖点广告（Point of Purchase）
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
removal,n. 免职；移动；排除；搬迁
assert,vt. 维护，坚持；断言；主张；声称
daunt,vt. 使气馁，使畏缩；威吓
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
basement,n. 地下室；地窖
sympathy,n. 同情；慰问；赞同
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
lapse,n. (一时的) 走神，判断错误
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
horizon,n.  地平线；视野；眼界；范围
intersection,n. 交叉；十字路口；交集；交叉点
destiny,n. 命运，定数，天命
vegetation,n. 植被；植物，草木；呆板单调的生活
carriage,n. 运输；运费；四轮马车；举止；客车厢
prominent,adj. 突出的，显著的；杰出的；卓越的
editorial,"n. 社论
adj. 编辑的；社论的"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
strawberry,n. 草莓；草莓色
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
infer,"vi. 推断；作出推论
vt. 推断；推论"
utilise,vt. 使用（等于utilize）；利用
utilize,vt. 利用
preposition,n. 介词；前置词
repel,vt. 击退；抵制；使厌恶；使不愉快
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
heroin,n.  海洛因，吗啡
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
define,vt. 定义；使明确；规定
fiscal,adj. 会计的，财政的；国库的
obesity,n. 肥大，肥胖
partial,adj. 局部的；偏爱的；不公平的
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
amuse,vt. 娱乐；消遣；使发笑；使愉快
symptom,n.  症状；征兆
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
remarkable,adj. 卓越的；非凡的；值得注意的
category,n. 种类，分类； 范畴
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
strive,vi. 努力；奋斗；抗争
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
creature,n. 动物，生物；人；创造物
eyesight,n. 视力；目力
delivery,n.  交付；分娩；递送
delegate,"n. 代表
vt. 委派…为代表"
depict,vt. 描述；描画
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
liberate,vt. 解放；放出；释放
baggage,n. 行李； 辎重（军队的）
poetry,n. 诗；诗意，诗情；诗歌艺术
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
tanker,n. 油轮；运油飞机；油槽车；坦克手
mathematical,adj. 数学的，数学上的；精确的
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
blog,n. 博客；部落格；网络日志
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
usage,n. 使用；用法；惯例
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
odds,n. 几率；胜算；不平等；差别
audio,adj. 声音的； 音频的， 声频的
implicit,adj. 含蓄的；暗示的；盲从的
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
location,n. 位置（形容词locational）；地点；外景拍摄场地
operational,adj. 操作的；运作的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
compel,vt. 强迫，迫使；强使发生
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
inquiry,n. 探究；调查；质询
enquiry,n.  询问， 询盘
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
exceed,"vt. 超过；胜过
vi. 超过其他"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
philosophy,n. 哲学；哲理；人生观
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
hygiene,n. 卫生；卫生学；保健法
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
technician,n. 技师，技术员；技巧纯熟的人
variation,n. 变化； 变异，变种
microphone,n. 扩音器，麦克风
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
ethnic,adj. 种族的；人种的
apt,adj. 恰当的；有…倾向的；灵敏的
condemn,vt. 谴责；判刑，定罪；声讨
province,n. 省；领域；职权
fell,"n.  一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
philosopher,n. 哲学家；哲人
geometry,"n. 几何学
几何结构"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
per,prep. 每；经；按照；每一
density,n. 密度
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
quota,n. 配额；定额；限额
historian,n. 历史学家
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
fragrant,adj. 芳香的；愉快的
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
cemetery,n. 墓地；公墓
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
municipal,adj. 市政的，市的；地方自治的
clergy,n. 神职人员；牧师；僧侣
destructive,adj. 破坏的；毁灭性的；有害的，消极的
