appoint,"vt. 任命；指定；约定
vi. 任命；委派"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
comparative,"n. 比较级；对手
adj. 比较的；相当的"
comparison,n. 比较；对照；比喻；比较关系
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
significance,n. 意义；重要性；意思
certainly,adv. 当然；行（用于回答）；必定
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
anxious,adj. 焦虑的；担忧的；渴望的；急切的
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
information,n. 信息，资料；知识；情报；通知
conservative,
confident,adj. 自信的；确信的
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
imply,vt. 意味；暗示；隐含
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
status,n. 地位；状态；情形；重要身份
determination,n. 决心；果断；测定
accurate,adj. 精确的
adequate,adj. 充足的；适当的；胜任的
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
excessive,adj. 过多的，极度的；过分的
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
urgent,adj. 紧急的；急迫的
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
partial,adj. 局部的；偏爱的；不公平的
extensive,adj. 广泛的；大量的；广阔的
beneficial,adj. 有益的，有利的；可享利益的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
preferable,adj. 更好的，更可取的；更合意的
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
extension,n. 延长；延期；扩大；伸展；电话分机
extent,n. 程度；范围；长度
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
accumulate,"vt. 积攒
vi. 累积；积聚"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
include,vt. 包含，包括
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
involve,vt. 包含；牵涉；使陷于；潜心于
comprise,vt. 包含；由…组成
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
event,n. 事件，大事；项目；结果
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
difference,n. 差异；不同；争执
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
relation,n. 关系；叙述；故事；亲属关系
owing,"adj. 未付的；欠着的
v. 欠；把…归功于（owe的ing形式）"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
inevitable,adj. 必然的，不可避免的
poverty,n. 贫困；困难；缺少；低劣
vigorous,adj. 有力的；精力充沛的
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
application,n. 应用；申请；应用程序；敷用
applicant,n. 申请人，申请者；请求者
applicable,adj. 可适用的；可应用的；合适的
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
vain,adj. 徒劳的；自负的；无结果的；无用的
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
loss,n. 减少；亏损；失败；遗失
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
omit,vt. 省略；遗漏；删除；疏忽
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
lest,conj. 唯恐，以免；担心
mood,n. 情绪，语气；心境；气氛
emotion,n. 情感；情绪
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
attitude,n. 态度；看法；意见；姿势
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
moment,n. 片刻，瞬间，时刻；重要，契机
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
amaze,vt. 使吃惊
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
amuse,vt. 娱乐；消遣；使发笑；使愉快
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
trait,n. 特性，特点；品质；少许
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
appear,vi. 出现；显得；似乎；出庭；登场
appearance,n. 外貌，外观；出现，露面
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
confuse,vt. 使混乱；使困惑
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
assess,vt. 评定；估价；对…征税
assignment,n. 分配；任务；作业；功课
exception,n. 例外；异议
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
motivate,vt. 刺激；使有动机；激发…的积极性
perspective,"n. 观点；远景；透视图
adj. 透视的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
actual,adj. 真实的，实际的；现行的，目前的
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
necessarily,adv. 必要地；必定地，必然地
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
intact,adj. 完整的；原封不动的；未受损伤的
remarkable,adj. 卓越的；非凡的；值得注意的
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
adapt,"vi. 适应
vt. 使适应；改编"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
regulate,vt. 调节，规定；控制；校准；有系统的管理
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
response,n. 响应；反应；回答
responsible,adj. 负责的，可靠的；有责任的
settlement,n. 解决，处理； 结算；沉降；殖民
solution,n. 解决方案；溶液；溶解；解答
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
reap,"vt. 收获，获得；收割
vi. 收割，收获"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
deduct,vt. 扣除，减去；演绎
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
violent,adj. 暴力的；猛烈的
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
virtue,n. 美德；优点；贞操；功效
property,n. 性质，性能；财产；所有权
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
advisable,adj. 明智的，可取的，适当的
available,adj. 可获得的；可购得的；可找到的；有空的
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
capacity,n. 能力；容量；资格，地位；生产力
strength,n. 力量；力气；兵力；长处
length,n. 长度，长；时间的长短；（语）音长
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
possibility,n. 可能性；可能发生的事物
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
quantity,n. 量，数量；大量；总量
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
interval,n. 间隔；间距；幕间休息
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
tedious,adj. 沉闷的；冗长乏味的
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
arise,vi. 出现；上升；起立
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
undermine,vt. 破坏，渐渐破坏；挖掘地基
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
injure,vt. 伤害，损害
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
passion,n. 激情；热情；酷爱；盛怒
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
pollute,vt. 污染；玷污；败坏
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
tolerate,vt. 忍受；默许；宽恕
undergo,vt. 经历，经受；忍受
person,n. 人；身体；容貌，外表；人称
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
boundary,n. 边界；范围；分界线
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
association,n. 协会，联盟，社团；联合；联想
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
intention,n. 意图；目的；意向；愈合
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
considerable,adj. 相当大的；重要的，值得考虑的
