private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
soda,n. 苏打；碳酸水
mineral water,"n. 矿泉水；一杯（或一瓶）矿泉水
 矿水；矿质水；矿物水"
iced coffee, 冰咖啡；冰咖色；招牌冰咖啡
Coca-Cola,n. 可口可乐（美国饮料公司）
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
knock sth. off sth.,
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
 下班；停工；打落"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
knock sth. over,"na. 弄倒；屈服；死；逮捕
 打翻；撞倒；撞翻"
knock sb. out,"na. 敲出；敲空；使屈服；使无用
 击倒；击昏；打破"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
boxer,n. 拳师，拳击手
flowerpot,n. 花盆；花钵
candlestick,n. 烛台
goods,n. 商品；动产；合意的人；真本领
at midday, 在正午；在中午；中午
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
airfield,n. 飞机场
Customs,
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
precious,adj. 宝贵的；珍贵的；矫揉造作的
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
babysit,vi. （临时代人）照看婴孩
put sth. out,"v. 扑灭；熄灭；放出；伸出
 关；关熄；消灭，关"
let sth. out,"na. 放宽；打；放出；泄漏
 泄露；发出；放掉"
let sb. out,"na. 放宽；打；放出；泄漏
 泄露；发出；放掉"
tear sth. up,"na. 撕碎；连根拔起；扰乱；跑上
 撕毁；撕掉；拔出"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
give sth. away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
cut sth. off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
lift sth. up,
lift sb. up,
send sth. away,
send sb. away,
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
permission,n. 允许，许可
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
as soon as,"na. 一…就；见 soon 条
 一……就；一怎么样就怎么样；一经"
worth,"n. 价值；财产
adj. 值…的"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
path,n. 道路；小路；轨道
Confucius,n. 孔子（中国哲学家，教育家）
good-looking,adj. 好看的；美貌的
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
in order,"na. 整整齐齐；合规则；情况正常；健康
 按顺序；秩序井然；按次序"
Olympic Games,"n. 奥林匹克运动会；奥运会
 北京奥运会；雅典奥运会；奥林匹克竞技会"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
Tomb-sweeping Day, 清明节；日清明节；扫墓节
heavily,adv. 沉重地；猛烈地；沉闷地
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
alarm clock,"n. 闹钟
 闹铃时钟；响闹式时钟；闹钟功能"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
musical instrument,"n. 乐器
 西式乐器；琴；音乐器材"
clavichord,n. 古钢琴，翼琴
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
string,n. 线，弦，细绳；一串，一行
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
MRI scanner,
invent,vt. 发明；创造；虚构
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
electricity bill, 电费；电费单；电费账单
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
newsagent,n. 报刊经销商
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
headmaster,n. 校长
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
destroy,vt. 破坏；消灭；毁坏
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
deserve,"vi. 应受，应得
vt. 应受，应得"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
at once,"na. 立刻；同时
 马上；立即；即刻"
educational,adj. 教育的；有教育意义的
portrait,n. 肖像；描写；半身雕塑像
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
tai chi, 太极；太极拳；中国太极
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
firefighter,n. 消防队员
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
stranger,n. 陌生人；外地人；局外人
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
Taj Mahal,
emperor,n. 皇帝，君主
ruler,n. 尺；统治者； 划线板，划线的人
in honour of,"na. 向…表示敬意
 为纪念；为了纪念；向……表示敬意"
in sb.'s honour,
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
call sb. in,"na. 招；叫进；引入；调入
 召来；来访；收回"
construct,"n. 构想，概念
vt. 建造，构造；创立"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
laptop,n. 膝上型轻便电脑，笔记本电脑
on strike,"adj. 罢工
 在罢工；罢工中；在罢工中"
go up,"na. 上升；上城市去；腾贵；烧起来
 上涨；增长；上去"
once more,"na. 再一次；“once again/more”的变体
 又一次；再次；再来一次"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
plenty of,"na. 很多的
 许多；大量的；充足的"
take part in sth.,
luggage,n. 行李；皮箱
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
stupidly,adv. 愚蠢地
be over,"v. 结束了
 完了；完结；已经……了"
be up to,"un. 面对；在干；居心
 胜任；该由…负责；应由"
capable,adj. 能干的，能胜任的；有才华的
set sth. up,"na. 建立；创立；发起；开办
 设立；设置；成立"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
create,vt. 创造，创作；造成
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
ocean,n. 海洋；大量；广阔
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
pop singer,"n. 流行歌歌星
 流行歌手；流行音乐；流行歌曲歌手"
at present,"na. 目前
 现在；当今；眼下"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
performance,n. 性能；绩效；表演；执行；表现
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
invitation,n. 邀请；引诱；请帖；邀请函
probably,adv. 大概；或许；很可能
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
poetry,n. 诗；诗意，诗情；诗歌艺术
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
folk singer,"n. 民歌手；唱民歌者
 民歌演唱者；民谣歌手；民族歌手"
recital,n. 朗诵，吟诵；独奏会；背诵；独唱会
execution,n. 执行，实行；完成；死刑
situation,n. 情况；形势；处境；位置
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
drive on to sth.,
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
properly,adv. 适当地；正确地；恰当地
run away,"na. 私奔；逃；弄不好
 逃跑；逃走；跑开"
explain,v. 说明；解释
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
seat belt,"n. （汽车或飞机上的）安全带
 座椅安全带；保险带；座位安全带"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
except for,"na. 只有
 除了；除…之外；除了……之外"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
hitch hiker,搭便车的人；搭顺风车的人
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
nervous,adj. 神经的；紧张不安的；强健有力的
look up from sth.,
afford,vt. 给予，提供；买得起
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
discussion,n. 讨论，议论
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
irritable,adj. 过敏的；急躁的；易怒的
cover sb. with sth.,
cover sth. with sth.,
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
let sb. go,"v. 放手；解雇；松手；忽视
 展翅高飞；放开；释放"
let sth. go,"v. 放手；解雇；松手；忽视
 展翅高飞；放开；释放"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
traffic police,"un. 交通警
 交通警察；交警；交通警力"
No Parking,
area,n. 区域，地区；面积；范围
reminder,n. 暗示；提醒的人/物；催单
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
disobey,v. 违反；不服从
direction,n. 方向；指导；趋势；用法说明
briefcase,n. 公文包
occupied,"adj. 已占用的；使用中的；无空闲的
v. 占有（occupy的过去分词）"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
unwell,adj. 不舒服的；生病的
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
take care of sb.,
take care of sth.,
remind,vt. 提醒；使想起
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
occasionally,adv. 偶尔；间或
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
district,n. 区域；地方；行政区
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
kingdom,n. 王国；界；领域
amuse,vt. 娱乐；消遣；使发笑；使愉快
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
remembrance,n. 回想，回忆；纪念品；记忆力
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
at least,"na. 至少
 最低限度；起码；最少"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
appear,vi. 出现；显得；似乎；出庭；登场
stocking,n. 长袜
orange-coloured,"a. 橙色的, 桔色的"
grown up,"na. 成人发生
 成年人；长大成人；成熟的，成人的"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
orchestra,n. 管弦乐队；乐队演奏处
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
rehearse,"vt. 排练；预演
vi. 排练；演习"
go to town,"na. 进京；去市区买东西；过浮华生活；会活动
 进城；寻欢作乐；大作一番"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
go to hospital,"na. 入院
 去医院看病；去看病；去住院"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
mountaineer,"n. 登山家，登山运动员；山地人
vi. 登山"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
personally,adv. 亲自地；当面；个别地；就自己而言
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
ready-made,adj. 现成的；做好的；陈旧的；平凡的
fifteenth-century, 十五世纪
in sb's opinion,"依照(某人的)看法, 在(某人)看来"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
pub,n. 酒馆；客栈
landlord,n. 房东，老板；地主
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
Good heavens!,
villa,n. 别墅；郊区住宅
degree,n. 程度，等级；度；学位；阶层
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
Picasso,n. 毕加索(法国画家)
Plato,n. 柏拉图（古希腊哲学家）
end-of-term, 期末
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
take a bath,"na. “have a bath”的变体
 洗澡；洗个澡；沐浴"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
give sth. in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
give sth. up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
give sb. up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
