abnormal,adj. 反常的，不规则的；变态的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
irregularity,n. 不规则；无规律；不整齐
architect,"n. 建筑师
缔造者"
mansion,n. 大厦；宅邸
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
vault,"n. 拱顶；撑竿跳；地下室
vi. 跳跃；成穹状弯曲
vt. 做成圆拱形；撑竿跳过"
aristocrat,n. 贵族
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
majesty,n. 威严；最高权威，王权；雄伟；权威
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
arrogant,adj. 自大的，傲慢的
lofty,adj. 高的；崇高的；高级的；高傲的
haughty,adj. 傲慢的；自大的
aspiration,n. 渴望；抱负；送气；吸气；吸引术
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
aspire,vi. 渴望；立志；追求
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
afloat,"adj. 在海上的；飘浮的；浸满水的；在传播的
adv. 在海上；飘浮著；浸满水"
akin,adj. 类似的；同类的；同族的
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
amass,vt. 积聚，积累
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
onset,n. 开始，着手；发作；攻击，进攻
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
allot,vt. 分配；拨给；分派
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
association,n. 协会，联盟，社团；联合；联想
socialism,n. 社会主义
sociology,n. 社会学；群体生态学
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
audience,n. 观众；听众；读者；接见；正式会见；拜会
auditorium,n. 礼堂，会堂；观众席
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
author,"n. 作者；作家；创始人
vt. 创作出版"
blacksmith,n. 铁匠；锻工
midwife,"n. 助产士；促成因素
vt. 助胎儿出生；促成"
plumber,n. 水管工；堵漏人员
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
jockey,"vt. 驾驶；欺骗；移动
n. 操作工；驾驶员；赛马的骑师
vi. 当赛马的骑师；耍手段图谋；搞欺骗"
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
authority,n. 权威；权力；当局
authorize,vt. 批准，认可；授权给；委托代替
authorise,vt. 授权；批准；允许；委任（等于authorize）
ratify,vt. 批准；认可
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
referendum,n. 公民投票权；外交官请示书
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automation,n. 自动化；自动操作
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
processor,n.  处理器；处理程序；加工者
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
autonomous,adj. 自治的；自主的；自发的
autobiography,n. 自传；自传文学
automobile,"n. 汽车
vt. 驾驶汽车
"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
avert,vt. 避免，防止；转移
adversary,n. 对手；敌手
diverse,adj. 不同的；多种多样的；变化多的
diversion,n. 转移；消遣；分散注意力
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
aviation,n. 航空；飞行术；飞机制造业
aerospace,n. 航空宇宙； 航空航天空间
satellite,n. 卫星；人造卫星；随从；卫星国家
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
glider,n.  滑翔机；滑翔员；滑翔导弹
cockpit,n. 驾驶员座舱；战场
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
airborne,adj.  空运的；空气传播的；风媒的
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
credential,n. 证书；凭据；国书
commencement,n. 开始，发端；毕业典礼
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
barometer,n.  气压计；晴雨表；显示变化的事物
thermometer,n. 温度计；体温计
diameter,n. 直径
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
benevolent,adj. 仁慈的；慈善的；亲切的
merciful,adj. 仁慈的；慈悲的；宽容的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
lenient,adj. 宽大的；仁慈的
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
besiege,vt. 围困；包围；烦扰
beware,"vt. 注意，当心；提防
vi. 当心，小心"
beset,vt. 困扰；镶嵌；围绕
bewilder,vt. 使迷惑，使不知所措
perplex,vt. 使困惑，使为难；使复杂化
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
biography,n. 传记；档案；个人简介
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
fiction,n. 小说；虚构，编造；谎言
novel,"adj. 新奇的；异常的
n. 小说"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
poetry,n. 诗；诗意，诗情；诗歌艺术
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
narration,n. 叙述，讲述；故事
climax,n. 高潮；顶点；层进法；极点
metaphor,n. 暗喻，隐喻；比喻说法
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
masterpiece,n. 杰作；绝无仅有的人
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
hurricane,n. 飓风，暴风
tornado,n.  龙卷风；旋风；暴风；大雷雨
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
grim,adj. 冷酷的；糟糕的；残忍的
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
morale,n. 士气，斗志
logistics,"n.  后勤；后勤学
物流"
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
bloc,n. 集团
foe,n. 敌人；反对者；危害物
confederation,n. 联盟；邦联；同盟
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
bolster,"n. 支持；长枕
vt. 支持；支撑"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
uphold,vt. 支撑；鼓励；赞成；举起
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
repel,vt. 击退；抵制；使厌恶；使不愉快
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
harass,vt. 使困扰；使烦恼；反复袭击
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
abound,vi. 富于；充满
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
bouquet,n. 花束；酒香
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
fragrant,adj. 芳香的；愉快的
botany,n. 植物学；地区植物总称
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
eloquence,n. 口才；雄辩；雄辩术；修辞
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
proficiency,n. 精通，熟练
expertise,n. 专门知识；专门技术；专家的意见
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
pluck,"n. 勇气；内脏；快而猛的拉
vt. 摘；拔；扯
vi. 拉；拽；扯"
Buddhism,n. 佛教
Christ,"n. 基督；救世主
int. 天啊！"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
Easter,n. 复活节
Jesus,n. 耶稣（上帝之子）；杰西（男子名）
Catholic,
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
deter,vt. 制止，阻止；使打消念头
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
bureaucrat,n. 官僚；官僚主义者
bureaucratic,adj. 官僚的；官僚政治的
bureaucracy,n. 官僚主义；官僚机构；官僚政治
calcium,n.  钙
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
calorie,n. 卡路里（热量单位）
carbohydrate,n.  碳水化合物； 糖类
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
producer,n. 制作人，制片人；生产者；发生器
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
episode,n. 插曲；一段情节；插话；有趣的事件
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
casualty,n. 意外事故；伤亡人员；急诊室
victim,n. 受害人；牺牲品；牺牲者
predator,n.  捕食者； 食肉动物；掠夺者
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
balcony,n. 阳台；包厢；戏院楼厅
basement,n. 地下室；地窖
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
porch,n. 门廊；走廊
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
panorama,n. 全景，全貌；全景画；概论
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
cite,vt. 引用；传讯；想起；表彰
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
exert,vt. 运用，发挥；施以影响
utilize,vt. 利用
civic,adj. 市的；公民的，市民的
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
civilization,n. 文明；文化
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
exclamation,n. 感叹；惊叫；惊叹词
proclaim,vt. 宣告，公布；声明；表明；赞扬
climate,n. 气候；风气；思潮；风土
atmosphere,n. 气氛；大气；空气
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
tropic,"n. 热带；回归线
adj. 热带的"
tropical,adj. 热带的；热情的；酷热的
humid,adj. 潮湿的；湿润的；多湿气的
humidity,n.  湿度；湿气
environmental,adj. 环境的，周围的；有关环境的
cling,vi. 坚持，墨守；紧贴；附着
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
affix,"n.  词缀；附加物
vt. 粘上；署名；将罪责加之于"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
conceal,vt. 隐藏；隐瞒
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
