foods,n.  食品
coffee machine,"n. 投币咖啡机
 煮咖啡机；咖啡自动售货机；求购咖啡机"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
traffic flow,"un. 客运流量；运输流量；交通流；交通量
 交通流量；车流量；交通流量控制"
traffic noise,"un. 交通噪声
 交通噪音；交通躁音；船舶噪声"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
public transport,"n. 公共交通；公交车辆
 公共运输；公共交通展区；公共交通工具"
transport service,"un. 运输业；传输服务；传送业务
 运输服务；传送服务；货物运输服务"
transportation,n. 运输；运输系统；运输工具；流放
free transportation,
airline,"n. 航空公司；航线
adj. 航线的"
airplane,n. 飞机
airport,n. 机场；航空站
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
return tickets, 来回车票；双程票；来回交通的套票
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
express train,"na. 特别快车
 特快列车；特快车；高速列车"
railway station,"n. 火车站
 铁路车站；最近的车站；火车站译作"
railway line,"n. 铁路线
 铁路线路；旧铁路线；铁道线"
railway track,"n. 路轨
 铁路轨道；铁轨；轻轨铁路轨迹图片"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
boats,n. 船（boat的复数）；船艇
ships,"n. 舰船（ship的复数）
v. 船运（ship的第三人称单数形式）"
ship bell,船上报时铜钟
ship building,"na. 造船术；造船业
 造船工业；船舶建造；中国造船业"
shipping,"n.  船舶，船舶吨数；海运；运送
v. 运送，乘船（ship的ing形式）"
sailing,"n. 航行，航海；启航；航海术
v. 航行，起航（sail的现在分词形式）
adj. 航行的"
bus,"n. 公共汽车
乘公共汽车"
bus stop,"n. 公共汽车停靠站
 公共汽车站；巴士站；公交车站"
bus tickets,公共汽车票
special buses,
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
bus service,"un. 汽车接送
 公交服务；公交车；公共汽车"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
passengers,n.  旅客， 乘客（passenger的复数）
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
subway,"n. 地铁；地道
vi. 乘地铁"
highway,n. 公路，大路；捷径
lane,n. 小巷； 航线；车道；罚球区
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
plane service,
bicycles,n.  自行车；脚踏车（bicycle的复数）
bikes,"n. 自行车( bike的名词复数 )
v. 自行车( bike的第三人称单数 )"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
tickets,n. 票；罚单（ticket的复数）
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
lists,"n. 竞技场
竞技场围栏"
checklists,n. （记事）清单( checklist的名词复数 )
photographs,"n. 照片；逼真的描绘（photograph的复数）
v. 拍照；逼真地描绘；记入脑中（photograph的三单形式）"
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
take photos, 照相；拍照；拍照片
camera,n. 照相机；摄影机
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
flash light,"n. 闪光灯
 手电筒；手电简；用单片机控制的闪烁灯"
flashing,"n. 闪光；防水板；遮雨板
adj. 闪烁的；闪光的"
scenery,n. 风景；景色；舞台布景
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
lookout point,"un. 侦察哨
 了望点；观景点；看守台"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
villages,n.  村庄（village的复数形式）； 村落
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
countryside living,
different countries,
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
balloons,"n. 汽球（balloon的复数形式）；轻气球
v. 乘气球上升；如气球般膨胀（balloon的三单形式）"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
cable car,"n. 索车；有轨缆车
 叮当车；电缆车；空中缆车"
climbing,"n. 攀登
v. 爬（climb的ing形式）
adj. 上升的；攀缘而登的"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
memories,n. 记忆（memory的复数）；回忆
holidays,"n. 假日（holiday的复数形式）
v. 度假（holiday的单三形式）
adv. 每逢假日，在假日"
national holidays,"na. 国定假日；国庆日
 国家法定假日；全国性假期；全国假日"
vacations,"假期
 休庭期"
traveling,"adj. 旅行（用）的；移动的
v. 旅行（travel的现在分词形式）
n. 走步（等于walking）"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
peak season,"n. 旺季
 高峰期；超级旺季；运输旺季"
embassy,n. 大使馆；大使馆全体人员
visa,"n. 签证
vt. 签发签证"
passport,n. 护照，通行证；手段
passport photos, 护照照片；护照大小的相片；签证照片
personal information, 个人信息；个人情况；个人资料
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
general tour,
tourism,n. 旅游业；游览
tourists,"n. 旅游者（tourist的复数）；（美）冬季到南方做工的流动工人
v. 旅游；观光（tourist的三单形式）"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visitors,n. 访问者，游客（visitor 复数）
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
group trip,
guides,"n. 指南；参考线；辅助线
v. 指导（guide的第三人称单数形式）；带路"
hostel,n. 旅社，招待所（尤指青年旅社）
motel,n. 汽车旅馆
hotels,"n. 酒店；旅馆（hotel的复数）；大饭店
v. 使…在饭店下榻；进行旅馆式办公（hotel的第三人称单数）"
bookings,n. 预约，预订( booking的名词复数 )
book in advance, 提前预订；提前预定；什么情况下用餐要预定
booking form,"un. 挂号单；预订单
 订舱单；预订用的表格；运单表格"
reservation,n. 预约，预订；保留
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
front desk,"n. 总台
 前台；柜台；总服务台"
help desk,"n. （商业公司的）咨询服务；（尤指有关电脑问题的）技术支持服务
 服务台；帮助台；帮助中心"
information desk,"na. 问讯处
 服务台；问询处；问讯台"
reception,n. 接待；接收；招待会；感受；反应
receptionist,n. 接待员；传达员
hospitality,n. 好客；殷勤
home welcome,
unapproachable,adj. 无与伦比的；不可亲的；（地方）不能接近的
waiter,n. 服务员，侍者
waitress,"n. 女服务员；女侍者
vi. 做女服务生"
services,"n. 服务；服务项目（service复数形式）
v. 服务（service的第三人称单数）"
service manager," 服务管理程序, 服务经理, 业务经理"
room service,"n. （旅馆）客房送餐服务
 客房服务；房间服务；送餐部"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
satisfactory,adj. 满意的；符合要求的；赎罪的
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
feedback,n. 反馈；成果，资料；回复
comment card,"un. 注解卡片
 意见卡；注释卡；意见表"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
card index,"n. 卡片目录（或索引）
 卡片索引；卡片式索引；卡式索引"
noisy,adj. .嘈杂的；喧闹的；聒噪的
loud noises,
complaints,n. 投诉（complaint的复数）；埋怨，抱怨
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
apology,n. 道歉；谢罪；辩护；勉强的替代物
car,n. 汽车；车厢
car park,"n. 停车场；停车房
 停车处；停车位；停车库"
car tyre," 汽车轮胎; 卡车轮胎
 乘用车胎"
high car taxes,
nitrogen,n.  氮
automobile,"n. 汽车
vt. 驾驶汽车
"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
minivan,n. 小型货车
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
self-drive,adj. 租车自己驾驶的
test drive,"n. （对想购买的车进行的）试验驾驶
 试驾；试车；名车大赛"
driver,n. 驾驶员；驱动程序；起子；传动器
driving,"n. 驾驶；操纵
adj. 强劲的；推进的；精力旺盛的
v. 驾驶（drive的ing形式）"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
driving license,"n. 驾驶执照
 驾照；驾驶证；外国人驾照变更"
beginners,n. 初学者；生手；首创者（beginner的复数）
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
basic,"n. 基础；要素
adj. 基本的；基础的"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
navigational,adj. 航行的，航运的
pilots,"n.  飞行员；向导；试播节目；自动驾驶仪（pilot的复数）
v. 领航；指引；试用（pilot的三单形式）"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
orientation,n. 方向；定向；适应；情况介绍；向东方
directions,n. 方向；指示；用法说明书（direction的复数形式）
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
uncontrolled,adj. 不受控制的
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
hurry up,"na. 催促；赶快
 快点；赶紧；匆匆完成"
radar,n.  雷达，无线电探测器
limit,"n. 限制；限度；界线
vt. 限制；限定"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
warnings,n. 警告信息（warning的复数形式）
signals,"n. 信号；动机（signal的复数）；标志
v. 表示（signal的第三人称单数）；发信号"
instruction,n. 指令，命令；指示；教导；用法说明
dictation,n. 听写；口述；命令
rules,"n.  规则；条例（rule的复数形式）
v. 统治；支配；裁定（rule的第三人称单数形式）"
antifreeze,n.  防冻剂
petrol,n. （英）汽油
petrol stations,"na. 加油站
 在加油站；家加油站"
gas station,"n. （汽车）加油站
 汽油加油站；汽油站；煤气"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
oil filter,"un. 滤油器；油性过滤器；滑油滤
 机油滤清器；油过滤器；滤油机"
engine,n. 引擎，发动机；机车，火车头；工具
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
tyres,"n.  轮胎；车胎（tyre的复数）
v. 给…装轮胎（tyre的三单形式）"
wheels,"n.  车轮（wheel的复数）；旋转
v. 推动；改变…的方向；装以车轮（wheel的三单形式）"
back wheel,"un. 后轮
 背轮"
wheelchairs,n. 轮椅( wheelchair的名词复数 )
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
child seat, 儿童座椅；儿童坐椅；儿童专用座席
seating,"n. 就座；座位数
v. 为…领座；为…提供座位（seat的ing形式）"
parking,"n. 停车
adj. 停车的
v. 停车（park的ing形式）"
parking space,"n. 停车场
 停车位；停车空间；停车所占空间"
free parking,
disability,n. 残疾；无能；无资格；不利条件
disable people,
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
physical changes, 身体变化；生理爙的改变；物理性变更
internal clock,"un. 体内钟
 生物钟；内部时钟；内时钟"
sleep,"n. 睡眠
vi. 睡，睡觉"
sleeping bag,"n. 睡袋
 携来睡袋；求购睡袋；睡袋系列"
sleeping sickness,"n. 非洲锥虫病
 昏睡病；睡眠病；嗜睡症"
sleeping pills,n. 安眠药片( sleeping pill的名词复数 )
healthy,adj. 健康的，健全的；有益于健康的
health care,"n. 医疗保健；医疗卫生
 卫生保健；健康护理；健康照护"
health service,"n. 公共医疗保健服务
 健康服务；卫生服务；健康服务学士"
health check,"un. 健康检查
 体检；身体检查；体检疫苗"
health department, 卫生部；卫生厅；卫生署
health benefits,n. 医疗保险，简称：医保
unhealthy,adj. 不健康的；危险的；有害身心健康的
fitness,n. 健康；适当；适合性
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
aging,n. 老化；陈化，熟化
lifespan,n. 寿命；预期生命期限；预期使用期限
life cycle,"n. 生命周期；寿命（产品等从开发到使用完毕的一段时间）
 生活史；寿命周期；生活周期"
lifestyle,"n. 生活方式
保健的"
life science,"na. 生命科学
 生命科学系；生命科学研究所；生活科学"
quality of life,"un. 生活质量
 生活品质；生活素质；生活质素"
metabolisms,n. 新陈代谢( metabolism的名词复数 )
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
digestion,n. 消化；领悟
digestive,"n. 助消化药
adj. 消化的；助消化的"
body shape, 体形；体型；塑造体型
body fluids,"un. 体液
 其他体液生理；体液含量"
body language,"n. 身势语
 肢体语言；身体语言；体态语"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
back problems,
legs,n.  腿（leg的复数）；木头支架
leg room,n. 伸腿空间; 尤指指汽车内或其它交通工具; 伸腿余地; （车辆、剧院等座位的）伸脚余地
feet,n. 脚（foot的复数形式）；尺；韵脚
footprints,n. 足迹；脚印（footprint的复数）；足印
footpath,n. 人行道；小路；小径
knee,"n. 膝盖，膝
vt. 用膝盖碰"
arms,"n. 臂（arm的复数）； 武器；纹章
v. 武装；配备（arm的三单形式）"
hands,"n.  手（hand的复数）
v. 给，传递（hand的单三形式）"
fingers,"n. 手指头，指头（finger复数）；梳状剔除器
v. 用指弹奏（finger的第三人称单数）"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
headaches,n.  头痛；头疼；棘手的局面（headache的复数）
faces,"n. 表面（face的复数）；脸色；脸面
v. 向；面对；转向（face的三单形式）"
face painting, 画脸；脸部彩绘；面部彩绘
hairs,"n.  体毛（hair的复数）；几根头发
v. 除去…的毛发（hair的第三人称单数形式）"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
jaws,n. 口；狭口；咽喉
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
necklace,n. 项链
teeth,n. 牙齿
toothache,n.  牙痛
tongues,n. 舌头，语言（tongue复数形式）
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
eyes,n. 眼睛（eye的复数）
eyedrops,n. 眼药水；滴眼剂；眼泪（eyedrop的复数）
eye contacts,目光接触；眼神交会
eyesight,n. 视力；目力
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
listening,"adj. 收听的；助听的
n. 倾听
v. 听（listen的ing形式）"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
clear voice,
kidney,n.  肾脏；腰子；个性
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
heart rate,"n. 心率
 心跳速率；心跳率；心搏率"
heart disease,"na. 心脏病
 心脏疾病；诊断欠明之心脏疾病；防患心脏疾病"
lungs,n.  肺（lung的复数形式）
breathing,"n. 呼吸；瞬间；微风
adj. 呼吸的；逼真的
v. 呼吸（breathe的现在分词）"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
red blood cells,"un. 红细胞
 红血球；红血球浓厚液；红血蛋白"
bones,"n. 骨骼；身体；争议点（bone的复数）
v. 剔去…的骨；专心致志（bone的第三人称单数）"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
mental ability,"un. 心理能力
 心智能力；智力；学习能力，心智能力"
emotions,n.  情绪； 情感（emotion的复数形式）
emotional,adj. 情绪的；易激动的；感动人的
rationally,adv. 理性地；讲道理地
moods,n. 情绪（mood的复数）
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
personality,n. 个性；品格；名人
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negative affect,负面情感、负向情感
negative thinking, 负面思维；负面思考；消极的思维
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
