need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
rose,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
get on,"na. 上马；安上；过日子；相投 (with together)
 上车；进展；相处"
boat,"n. 小船；轮船
vi. 划船"
river,n. 河，江
take a photo,"v. 拍照
 照相；拍照片；拍一张照片"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
sheep,n. 羊，绵羊；胆小鬼
city,"n. 城市，都市
adj. 城市的；都会的"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
different,adj. 不同的；个别的，与众不同的
What's the weather like?,
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
rainy,adj. 下雨的；多雨的
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
windy,adj. 多风的，有风的；腹胀的；吹牛的
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
world,n. 世界；领域；世俗；全人类；物质生活
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
foggy,adj. 有雾的；模糊的，朦胧的
humid,adj. 潮湿的；湿润的；多湿气的
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
Saturday,n. 星期六
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
Maths,
Math,
also,"conj. 并且；另外
adv. 也；而且；同样"
Art,
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
Wednesday,n. 星期三
week,n. 周，星期
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
Friday,n. 星期五
Monday,n. 星期一
Tuesday,n. 星期二
Thursday,n. 星期四
Sunday,n. 星期日；礼拜日
What day is it today?,
usually,adv. 通常，经常
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
supermarket,n. 超级市场；自助售货商店
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
swimming pool,"n. 游泳池；游泳场；游泳馆
 泳池情杀案；酒店泳池；泳池谋杀案"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
go back,"na. “Come back”的变体；回来；追溯到；回顾
 回去；返回；回到"
should,aux. 应该；就；可能；将要
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
trousers,n. 裤子，长裤
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
Teachers' Day,
Mother's Day,"na. (美国和加拿大的)母亲节
 第二个星期日母亲节；月的第二个星期日；月第二个星期日"
Father's Day,"na. 父亲节(每年六月的第三个星期日)
 第三个星期日父亲节；异趣父亲节；父亲忌日"
him,pron. 他（宾格）
shopping centre,"n. 购物中心（集中一批商店，有时在同一建筑物内）
 商业区；商场；商业中心"
shorts,n. 短裤
May I help you?,
Can I help you?,
How much ...?,
I'll take it.,
too much,"na. 太过份
 太多；太多的；过分"
schoolbag,n. 书包
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
a glass of juice,
a cup of tea,"na. 一杯茶
 强调的是茶；请喝杯茶；喝一杯水"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
hometown,n. 家乡；故乡
village,n. 村庄；村民；（动物的）群落
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
aunt,n. 阿姨；姑妈；伯母；舅妈
grandpa,n. 爷爷；外公
grandma,n. 奶奶；外婆
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
boots,n. 靴子（boot的复数）；（英）擦靴的仆役
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
coat,"n. 外套
vt. 覆盖…的表面"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
gloves,"n.  手套（glove的复数）
v. 给…戴手套（glove的三单形式）"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
jeans,n. 牛仔裤；工装裤
pants,n. 裤子
pyjamas,n. 睡衣；宽长裤
sandals,"n.  凉鞋； 拖鞋（sandal的复数）；便鞋
v. 使穿凉鞋（sandal的第三人称单数）"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
shirt,n. 衬衫；汗衫，内衣
shoes,"n. 鞋子（shoe的复数）
v. 穿鞋（shoe的第三人称单数）"
shorts,n. 短裤
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
slippers,n. 拖鞋（slipper的复数形式）
sneakers,n. 胶底运动鞋（sneaker的复数形式）
socks,n. 袜子（sock的复数）
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
T-shirt,n. 短袖圆领汗衫
