abandon,"n. 放任；狂热
vt. 遗弃；放弃"
audio,adj. 声音的； 音频的， 声频的
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
audition,"n. 听力，听觉；试听
vt. 对…进行面试；让…试唱
vi. 试听；试音"
auditorium,n. 礼堂，会堂；观众席
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
authority,n. 权威；权力；当局
authorize,vt. 批准，认可；授权给；委托代替
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
automobile,"n. 汽车
vt. 驾驶汽车
"
available,adj. 可获得的；可购得的；可找到的；有空的
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
avert,vt. 避免，防止；转移
aviation,n. 航空；飞行术；飞机制造业
avoid,vt. 避免；避开，躲避；消除
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
awful,adj. 可怕的；极坏的；使人敬畏的
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
axis,n. 轴；轴线；轴心国
Babylonian,adj. 巴比伦的；罪恶的
backlighting,"n. 逆光
v. 从后面照射；由逆光照明（backlight的ing形式）"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
balcony,n. 阳台；包厢；戏院楼厅
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
barb,"n. 箭头鱼钩等的倒钩；伤人的话
vt. 装倒钩于"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易； 作物物交换；讨价还价"
basin,n. 水池；流域；盆地；盆
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
beaver,n. 海狸；海狸皮毛
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behavior,n. 行为，举止；态度；反应
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
beneficial,adj. 有益的，有利的；可享利益的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
benign,adj. 良性的；和蔼的，亲切的；吉利的
besiege,vt. 围困；包围；烦扰
beverage,n. 饮料
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
biography,n. 传记；档案；个人简介
bison,n. 北美野牛；欧洲野牛
blade,n. 叶片；刀片，刀锋；剑
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
blip,n. （在雷达屏幕显示出的）物体光点
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
bog,"n. 沼泽；泥塘
vt. 使陷于泥沼；使动弹不得
vi. 陷于泥沼；动弹不得"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bony,adj. 骨的；多骨的；瘦骨嶙峋的；似骨的
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
botany,n. 植物学；地区植物总称
boulder,n. 卵石，大圆石；巨砾
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
boundary,n. 边界；范围；分界线
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
breakthrough,n. 突破；突破性进展
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
brighten,"vt. 使闪亮；使生辉；使快乐高兴
vi. 明亮；变亮；活跃；快乐高兴"
brilliance,n. 光辉；才华；宏伟
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
brittle,adj. 易碎的，脆弱的；易生气的
brochure,n. 手册，小册子
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
bulletin,"n. 公告，公报
vt. 公布，公告"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
bureau,n. 局，处；衣柜；办公桌
burgeon,"vt. 萌芽, 发芽
n. 芽, 嫩枝
vi. 萌芽, 发芽"
burrow,"n. （兔、狐等的）洞穴，地道；藏身处，住处
vt. 挖掘，挖出；在…挖洞（或通道）；使躲入洞穴
vi. 探索，寻找；挖地洞，挖通道；住入地洞，躲藏起来；钻进某处；偎依著"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
cactus,n.  仙人掌
cafeteria,n. 自助餐厅
calcium,n.  钙
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
calculus,n.  结石；微积分学
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
calibration,n. 校准；刻度；标度
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
candidate,n. 候选人，候补者；应试者
cannibalism,n. 食人；嗜食同类；残忍的行为
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
canyon,n. 峡谷
capability,n. 才能，能力；性能，容量
capacity,n. 能力；容量；资格，地位；生产力
cape,n.  海角，岬；披肩
capillary,"n. 毛细管
adj. 毛细管的；毛状的"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
cardiac,"n. 强心剂；强胃剂
adj. 心脏的；心脏病的；贲门的"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
cargo,n. 货物，船货
caribou,n. 北美驯鹿
carnivore,n.  食肉动物；食虫植物
carp,"n. 鲤鱼
vi. 吹毛求疵"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
cartilage,n. 软骨
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
cascara,n. 鼠李，用其树皮制成的缓泻剂
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalyst,n.  催化剂；刺激因素
catastrophe,n. 大灾难；大祸；惨败
category,n. 种类，分类； 范畴
caterpillar,"adj. 有履带装置的
n.  毛虫；履带车"
cautious,adj. 谨慎的；十分小心的
cavity,n. 腔；洞，凹处
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
centennial,"n. 百年纪念
adj. 一百年的"
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
chafe,"n. 擦伤；气恼
vt. 擦破；擦热；擦痛；激怒
vi. 擦伤；磨擦；激怒"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
championship,n. 锦标赛；冠军称号；冠军的地位
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
chaos,n. 混沌，混乱
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
charcoal,"n. 木炭；炭笔
vt. 用木炭画（过去式charcoaled，过去分词charcoaled，现在分词charcoaling，第三人称单数charcoals）"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
checked,"v. 检查（check的过去式和过去分词）
adj. 选中的；格子花纹的"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
chilled,"adj. 冷冻了的；已冷的；冷硬了的；淬火迟的
v. 使变冷（chill的过去式）"
chimpanzee,n.  黑猩猩
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
chlorine,n.  氯（17号化学元素）
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
cholesterol,n.  胆固醇
choreographer,n. 编舞者，舞蹈指导
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
chronical,adj. 慢性的；延续很长的
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulation,n. 流通，传播；循环；发行量
circumference,n. 圆周；周长；胸围
circumstance,n. 环境，情况；事件；境遇
cite,vt. 引用；传讯；想起；表彰
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
clam,"n. 蛤；沉默寡言的人；钳子
vi. 捞蛤；保持沉默，闭嘴不言"
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
classify,vt. 分类；分等
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
client,n.  客户；顾客；委托人
cliff,n. 悬崖；绝壁
cling,vi. 坚持，墨守；紧贴；附着
clinical,adj. 临床的；诊所的
clipper,n. 快速帆船；大剪刀；剪削者；理发剪
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
clump,"n. 丛；笨重的脚步声；土块
vt. 使成一丛；使凝结成块
vi. 形成一丛；以沉重的步子行走"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
coarse,adj. 粗糙的；粗俗的；下等的
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
coexist,vi. 共存；和平共处
cognition,n. 认识；知识；认识能力
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
cohesion,n. 凝聚；结合； 内聚力
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
collaborator,n.  合作者；勾结者；通敌者
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collectively,adv. 共同地，全体地
