approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
acknowledge,vt. 承认；答谢；报偿；告知已收到
estate,n. 房地产；财产；身份
expose,vt. 揭露，揭发；使曝光；显示
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
resolution,n.  分辨率；决议；解决；决心
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
core,
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
consistent,adj. 始终如一的，一致的；坚持的
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
criterion,n. （批评判断的）标准；准则；规范；准据
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
convention,n. 大会； 惯例； 约定； 协定；习俗
retain,vt. 保持；雇；记住
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
crucial,adj. 重要的；决定性的；定局的；决断的
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
variation,n. 变化； 变异，变种
undertake,vt. 承担，保证；从事；同意；试图
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
enterprise,n. 企业；事业；进取心；事业心
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
episode,n. 插曲；一段情节；插话；有趣的事件
symptom,n.  症状；征兆
eliminate,vt. 消除；排除
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
exclude,vt. 排除；排斥；拒绝接纳；逐出
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
alter,"vt. 改变，更改
vi. 改变；修改"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
vital,adj. 至关重要的；生死攸关的；有活力的
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
underlie,vt. 成为……的基础；位于……之下
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
perception,n. 知觉； 感觉；看法；洞察力；获取
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
innovation,n. 创新，革新；新方法
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
extension,n. 延长；延期；扩大；伸展；电话分机
remarkable,adj. 卓越的；非凡的；值得注意的
extensive,adj. 广泛的；大量的；广阔的
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
intervention,n. 介入；调停；妨碍
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
subsequent,adj. 后来的，随后的
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
attribute,"n. 属性；特质
vt. 归属；把…归于"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
exposure,n. 暴露；曝光；揭露；陈列
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
precisely,adv. 精确地；恰恰
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
constitute,vt. 组成，构成；建立；任命
consultant,n. 顾问；咨询者；会诊医生
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
passion,n. 激情；热情；酷爱；盛怒
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
literary,adj. 文学的；书面的；精通文学的
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
deficit,n. 赤字；不足额
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
exceed,"vt. 超过；胜过
vi. 超过其他"
expenditure,n. 支出，花费；经费，消费额
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
possession,n. 拥有；财产；领地；自制；着迷
democratic,adj. 民主的；民主政治的；大众的
constraint,n.  约束；局促，态度不自然；强制
undergo,vt. 经历，经受；忍受
inquiry,n. 探究；调查；质询
distinct,adj. 明显的；独特的；清楚的；有区别的
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
regulate,vt. 调节，规定；控制；校准；有系统的管理
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
composition,n. 作文，作曲，作品； 构成；合成物；成分
racial,adj. 种族的；人种的
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
implementation,n.  实现；履行；安装启用
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
reflection,n. 反射；沉思；映象
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
controversial,adj. 有争议的；有争论的
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
genuine,adj. 真实的，真正的；诚恳的
vessel,n. 船，舰； 脉管，血管；容器，器皿
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
qualification,n. 资格；条件；限制；赋予资格
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
hypothesis,n. 假设
theoretical,adj. 理论的；理论上的；假设的；推理的
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
regime,n. 政权，政体；社会制度；管理体制
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
transaction,n. 交易；事务；办理；会报，学报
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
sophisticate,"n. 久经世故的人；精通者
vt. 弄复杂；使变得世故；曲解
vi. 诡辩"
domain,n. 领域；域名；产业；地产
prominent,adj. 突出的，显著的；杰出的；卓越的
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
seminar,n. 讨论会，研讨班
integration,n. 集成；综合
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
conscious,adj. 意识到的；故意的；神志清醒的
interval,n. 间隔；间距；幕间休息
scenario,n. 方案；情节；剧本；设想
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
alliance,n. 联盟，联合；联姻
virtue,n. 美德；优点；贞操；功效
entity,n. 实体；存在；本质
facilitate,vt. 促进；帮助；使容易
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
consensus,n. 一致；舆论；合意
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
valid,adj. 有效的；有根据的；合法的；正当的
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
parameter,n. 参数；系数；参量
fiber,n. 纤维；光纤（等于fibre）
elite,n. 精英；精华；中坚分子
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
physician,n.  医师；内科医师
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
manual,"adj. 手工的；体力的
n. 手册，指南"
particle,n. 颗粒； 质点；极小量；小品词
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
spectrum,n. 光谱；频谱；范围；余象
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
intensity,n. 强度；强烈； 亮度；紧张
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
undermine,vt. 破坏，渐渐破坏；挖掘地基
fraction,n. 分数；部分；小部分；稍微
depict,vt. 描述；描画
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
partial,adj. 局部的；偏爱的；不公平的
resemble,vt. 类似，像
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
linguistic,adj. 语言的；语言学的
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
explicit,adj. 明确的；清楚的；直率的；详述的
projection,n. 投射；规划；突出；发射；推测
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
portray,vt. 描绘；扮演
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
radiation,n. 辐射；发光；放射物
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
commodity,n. 商品，货物；日用品
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
sensation,n. 感觉；轰动；感动
trait,n. 特性，特点；品质；少许
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
commentary,n. 评论；注释；评注；说明
configuration,n. 配置；结构；外形
metaphor,n. 暗喻，隐喻；比喻说法
dilemma,n. 困境；进退两难；两刀论法
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
nucleus,n. 核，核心；原子核
adjacent,adj. 邻近的，毗连的
specimen,n. 样品，样本；标本
empirical,adj. 经验主义的，完全根据经验的；实证的
magnetic,adj. 地磁的；有磁性的；有吸引力的
complement,"n. 补语；余角；补足物
vt. 补足，补助"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
conceptual,adj. 概念上的
magnitude,n. 大小；量级； 震级；重要；光度
circulation,n. 流通，传播；循环；发行量
layout,n. 布局；设计；安排；陈列
viable,adj. 可行的；能养活的；能生育的
bizarre,adj. 奇异的（指态度，容貌，款式等）
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
irrelevant,adj. 不相干的；不切题的
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
problematic,adj. 问题的；有疑问的；不确定的
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
spontaneous,adj. 自发的；自然的；无意识的
fusion,n. 融合；熔化；熔接；融合物； 核聚变
onset,n. 开始，着手；发作；攻击，进攻
aluminum,n. 铝
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
analogy,n. 类比；类推；类似
implicit,adj. 含蓄的；暗示的；盲从的
indigenous,adj. 本土的；土著的；国产的；固有的
basin,n. 水池；流域；盆地；盆
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
reservoir,n. 水库；蓄水池
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
velocity,n. 速度
chunk,n. 大块；矮胖的人或物
derivative,"n.  衍生物，派生物；导数
adj. 派生的；引出的"
predator,n.  捕食者； 食肉动物；掠夺者
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
synthesis,n. 综合， 合成；综合体
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
trivial,adj. 不重要的，琐碎的；琐细的
arbitrary,adj.  任意的；武断的；专制的
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
optical,adj. 光学的；眼睛的，视觉的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
atomic,adj. 原子的，原子能的；微粒子的
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
formulation,n. 构想，规划；公式化；简洁陈述
residual,"n. 剩余；残渣
adj. 剩余的；残留的"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
emit,vt. 发出，放射；发行；发表
elimination,n. 消除；淘汰；除去
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
fungus,n. 真菌，霉菌；菌类
terminology,n. 术语，术语学；用辞
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
pesticide,n. 杀虫剂
sediment,n. 沉积；沉淀物
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
acceleration,n. 加速，促进； 加速度
friction,n. 摩擦， 摩擦力
uplift,"n. 举起，抬起；道德的向上；精神的高涨
vt. 提高；抬起
vi. 提高；上升；升起"
proton,n.  质子
secrete,vt. 藏匿；私下侵吞；分泌
attorney,n. 律师；代理人；检查官
reception,n. 接待；接收；招待会；感受；反应
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
prayer,n. 祈祷，祷告；恳求；祈祷文
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
compel,vt. 强迫，迫使；强使发生
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
anniversary,n. 周年纪念日
inevitable,adj. 必然的，不可避免的
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
prevail,vi. 盛行，流行；战胜，获胜
withdrawal,n. 撤退，收回；提款；取消；退股
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
installation,n. 安装，装置；就职
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
enclose,vt. 围绕；装入；放入封套
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
authorize,vt. 批准，认可；授权给；委托代替
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
retailer,n. 零售商；传播的人
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
endorse,vt. 背书；认可；签署；赞同；在背面签名
violate,vt. 违反；侵犯，妨碍；亵渎
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
obstacle,n. 障碍，干扰；妨害物
pursuit,n. 追赶，追求；职业，工作
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
devastate,vt. 毁灭；毁坏
integrity,n. 完整；正直；诚实；廉正
