feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
become,"vt. 适合；相称
vi. 成为；变得；变成"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
Christmas,n. 圣诞节；圣诞节期间
New Year,"n. 新年
 元旦；新年元旦；公历新年"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
month,n. 月，一个月的时间
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
third,"num. 第三；三分之一
adj. 第三的；三分之一的"
fourth,"num. 第四
n. 第四，月的第四日；四分之一
adj. 第四的，第四个的；四分之一的"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
eighth,"num. 第八；八分之一
adj. 第八的；八分之一的"
ninth,"num. 第九
adj. 第九的；九分之一的
n. 九分之一"
twelfth,"n. 第十二；月的第十二日
adj. 第十二的，第十二个的；十二分之一的"
twentieth,"n. 二十分之一
num. 第二十
adj. 第二十的；二十分之一的"
twenty-fifth,第二十五
village,n. 村庄；村民；（动物的）群落
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
potato,n.  土豆， 马铃薯
tomato,n. 番茄，西红柿
river,n. 河，江
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
other,"adj. 其他的，另外的
pron. 另外一个"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
happily,adv. 快乐地；幸福地；幸运地；恰当地
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
weather report,"na. 气象通报；天气预报
 天气报告；气象报告；气象报告乐团"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
windy,adj. 多风的，有风的；腹胀的；吹牛的
cloudy,adj. 多云的；阴天的；愁容满面的
rainy,adj. 下雨的；多雨的
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
see you,
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
place of interest,"na. 名胜
 名胜古迹；旅游胜地；景点"
the Palace Museum,
the Great Wall,
the West Lake,
May Day,"n. 五一(国际)劳动节
 五月天；五一节；国际劳动节"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
headache,n. 头痛；麻烦；令人头痛之事
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
toothache,n.  牙痛
stomachache,n. 腹痛，肚子痛；胃痛
see a doctor,"na. 去就医；去看医生
 看病；就诊；去医院看医生"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
lesson,"n. 教训；课
vt. 教训；上课"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
loudly,adv. 大声地，响亮地
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
wait in line,"v. 排队等待
 排队等候；排除等候；等候排队"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
read in bed,
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
