consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
depend,vi. 依赖，依靠；取决于；相信，信赖
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
appear,vi. 出现；显得；似乎；出庭；登场
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
might as well,"na. 不如
 不妨；倒不如；最好"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
other,"adj. 其他的，另外的
pron. 另外一个"
important,adj. 重要的，重大的；有地位的；有权力的
success,n. 成功，成就；胜利；大获成功的人或事物
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
talent,n. 才能；天才；天资
create,vt. 创造，创作；造成
person,n. 人；身体；容貌，外表；人称
also,"conj. 并且；另外
adv. 也；而且；同样"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
as long as,"conj. 只要
 长达；如果；既然"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
available,adj. 可获得的；可购得的；可找到的；有空的
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
origin,n. 起源；原点；出身；开端
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
expose,vt. 揭露，揭发；使曝光；显示
electrical,adj. 有关电的；电气科学的
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
container,n. 集装箱；容器
sustain,vt. 维持；支撑，承担；忍受；供养；证实
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
maintain,vt. 维持；继续；维修；主张；供养
retain,vt. 保持；雇；记住
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
mountain,n. 山；山脉
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
occur,vi. 发生；出现；存在
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
attitude,n. 态度；看法；意见；姿势
obvious,adj. 明显的；显著的；平淡无奇的
hard-working,adj. 勤勉的；勤奋的；勤劳的
instead,adv. 代替；反而；相反
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
eventually,adv. 最后，终于
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
attention,n. 注意力；关心；立正！（口令）
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
adapt,"vi. 适应
vt. 使适应；改编"
difficult,adj. 困难的；不随和的；执拗的
involve,vt. 包含；牵涉；使陷于；潜心于
consistent,adj. 始终如一的，一致的；坚持的
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
consist,vi. 由…组成；在于；符合
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
compete,vi. 竞争；比赛；对抗
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
afford,vt. 给予，提供；买得起
alter,"vt. 改变，更改
vi. 改变；修改"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
encourage,vt. 鼓励，怂恿；激励；支持
threat,n. 威胁，恐吓；凶兆
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
devote,vt. 致力于；奉献
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
physics,n. 物理学；物理现象
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
guilt,n. 犯罪，过失；内疚
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
intend,"vi. 有打算
vt. 打算；想要；意指"
similar,"n. 类似物
adj. 相似的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
critic,n. 批评家，评论家；爱挑剔的人
event,n. 事件，大事；项目；结果
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
economy,n. 经济；节约；理财
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
thorough,adj. 彻底的；十分的；周密的
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
confront,vt. 面对；遭遇；比较
extremely,adv. 非常，极其；极端地
in contrast,"adv. 相反
 相比之下；对比；成对比"
by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
thrive,vi. 繁荣，兴旺；茁壮成长
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
different,adj. 不同的；个别的，与众不同的
remind,vt. 提醒；使想起
prove,"vi. 证明是
vt. 证明；检验；显示"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
confident,adj. 自信的；确信的
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
rather than,"na. 而不
 而不是；宁愿；与其"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
require,vt. 需要；要求；命令
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
insensible,adj. 昏迷的；无知觉的；麻木不仁的
language,n. 语言；语言文字；表达能力
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
extent,n. 程度；范围；长度
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
kitchen,n. 厨房；炊具；炊事人员
dictionary,n. 字典；词典
immediate,adj. 立即的；直接的；最接近的
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
picnic,"n. 野餐
vi. 去野餐"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
arrive,vi. 到达；成功；达成；出生
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
Australia,n. 澳大利亚，澳洲
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
among,prep. 在…中间；在…之中
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
secretary,n. 秘书；书记；部长；大臣
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
nervous,adj. 神经的；紧张不安的；强健有力的
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
anxious,adj. 焦虑的；担忧的；渴望的；急切的
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
nation,n. 国家；民族；国民
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
intelligent,adj. 智能的；聪明的；理解力强的
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
shivery,adj. 颤抖的；寒冷的；令人毛骨悚然的
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
business,n. 商业； 生意； 交易；事情
dine,"vi. 进餐，用餐
vt. 宴请"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
tradition,n. 惯例，传统；传说
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
delicious,adj. 美味的；可口的
poet,n. 诗人
north,
system,n. 制度，体制；系统；方法
sometimes,adv. 有时，间或
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
include,vt. 包含，包括
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
protect,vt. 保护，防卫；警戒
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
emphasis,n. 重点；强调；加强语气
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
dorm,n. 宿舍（等于dormitory）
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
infer,"vi. 推断；作出推论
vt. 推断；推论"
option,n.  选项；选择权；买卖的特权
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
camera,n. 照相机；摄影机
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
ignore,vt. 驳回诉讼；忽视；不理睬
violate,vt. 违反；侵犯，妨碍；亵渎
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
indicate,vt. 表明；指出；预示；象征
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
meanwhile,"adv. 同时，其间
n. 其间，其时"
danger,n. 危险；危险物，威胁
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
health,n. 健康；卫生；保健；兴旺
legal,adj. 法律的；合法的；法定的；依照法律的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
lifestyle,"n. 生活方式
保健的"
choose,"vt. 选择，决定
vi. 选择，挑选"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
university,n. 大学；综合性大学；大学校舍
decade,n. 十年，十年期；十
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
prevalent,adj. 流行的；普遍的，广传的
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
accumulate,"vt. 积攒
vi. 累积；积聚"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
obvious,adj. 明显的；显著的；平淡无奇的
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
behalf,n. 代表；利益
context,n. 环境；上下文；来龙去脉
instruction,n. 指令，命令；指示；教导；用法说明
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
organ,n.  器官；机构；风琴；管风琴；嗓音
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
president,n. 总统；董事长；校长；主席
lifelong,adj. 终身的
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
introduce,vt. 介绍；引进；提出；采用
flexible,adj. 灵活的；柔韧的；易弯曲的
