abdicate,"vt. 退位；放弃
vi. 退位；放弃"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
aerodynamic,adj. 空气动力学的， 航空动力学的
affiliation,n. 友好关系；加入；联盟；从属关系
affirmative,"n. 肯定语；赞成的一方
adj. 肯定的；积极的"
afflict,vt. 折磨；使痛苦；使苦恼
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
affordable,adj. 负担得起的
aftermath,n. 后果；余波
aggravate,vt. 加重；使恶化；激怒
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
aggression,n. 侵略；进攻；侵犯；侵害
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
agrarian,adj. 土地的；耕地的；有关土地的
ailment,n. 小病；不安
airliner,n. 班机；大型客机
ale,n. 麦芽酒
alga,n. 水藻
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
alignment,n. 队列，成直线；校准；结盟
allay,vt. 减轻；使缓和；使平静
allege,vt. 宣称，断言；提出…作为理由
allegiance,n. 效忠，忠诚；忠贞
allergic,adj. 对…过敏的；对…极讨厌的
allergy,n. 过敏症；反感；厌恶
alleviate,vt. 减轻，缓和
alliance,n. 联盟，联合；联姻
alligator,"n. 短吻鳄（产于美国及中国）；短吻鳄皮革；鳄口式工具
adj. 鳄鱼般的；鳄鱼皮革的；鳄鱼皮纹的
vi. 皱裂；裂开"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
allotment,n. 分配；分配物；养家费；命运
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
alluvial,adj. 冲积的
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
alpha,n. 希腊字母的第一个字母；开端；最初
alter,"vt. 改变，更改
vi. 改变；修改"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
altruism,n. 利他；利他主义
aluminum,n. 铝
alumna,n. 女毕业生；女校友
alumnus,n. 男校友；男毕业生
amalgam,n.  汞合金， 汞齐；混合物
amass,vt. 积聚，积累
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
amber,"n. 琥珀；琥珀色
adj. 琥珀色的；琥珀制的
vt. 使呈琥珀色"
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
ambiguous,adj. 模糊不清的；引起歧义的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambivalent,adj. 矛盾的；好恶相克的
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
amenity,n. 舒适；礼仪；愉快；便利设施
amino acid,"n. 氨基酸
 胺基酸；天然胺基酸；氨基酸矿物质微量元素"
amphitheater,n. 竞技场； 圆形露天剧场；古罗马剧场
ample,adj. 丰富的；足够的；宽敞的
amplifier,n.  放大器，扩大器；扩音器
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
amplitude,n. 振幅；丰富，充足；广阔
anaerobic,adj.  厌氧的， 厌气的；没有气而能生活的
analog,"n.  模拟；类似物
adj.  模拟的；有长短针的"
analogue,"n. 类似物；类似情况；对等的人
adj. 类似的；相似物的；模拟计算机的"
analogy,n. 类比；类推；类似
analytic,adj. 分析的；解析的；善于分析的
analytical,adj. 分析的；解析的；善于分析的
anatomical,adj. 解剖的；解剖学的；结构上的
anatomy,n. 解剖；解剖学；剖析；骨骼
ancestor,n. 始祖，祖先；被继承人
ancestry,n. 祖先；血统
anecdotal,adj. 轶事的；轶事一样的；多轶事的
anemia,n. 贫血；贫血症
anesthesia,n. 麻醉；麻木（等于anaesthesia）
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
animosity,n. 憎恶，仇恨，敌意
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
announcement,n. 公告；宣告；发表；通告
anole,n. 变色龙
anomaly,n. 异常；不规则；反常事物
anonymous,adj. 匿名的，无名的；无个性特征的
answerable,adj. 应负责任的；可回答的；有责任的
antagonism,n. 对抗，敌对；对立；敌意
antedate,"n. 比实际提前的日期
vt. 先于；前于"
anterior,adj. 前面的；先前的
anthropologist,n. 人类学家；人类学者
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
antibiotics,n.  抗生素；抗生学
antibody,n.  抗体
anticipate,vt. 预期，期望；占先，抢先；提前使用
antifreeze,n.  防冻剂
antiquated,"adj. 过时的；陈旧的；年老的
v. 使古旧；废弃（antiquate的过去分词）"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
antiquity,n. 高龄；古物；古代的遗物
antitrust,adj.  反垄断的； 反托拉斯的
aperiodic,adj. 不定期的；非周期性的
apex,n. 顶点；尖端
apiece,adv. 每人；每个；各自地
apparatus,n. 装置，设备；仪器；器官
apparel,"n. 服装；衣服
vt. 给…穿衣"
apparent,adj. 显然的；表面上的
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
appendicitis,n.  阑尾炎；盲肠炎
appetite,n. 食欲；嗜好
appliance,n. 器具；器械；装置
applicable,adj. 可适用的；可应用的；合适的
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
apportion,vt. 分配，分派；分摊
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
apprenticeship,n. 学徒期；学徒身分
approbation,n. 认可；赞许；批准
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
appropriation,n. 拨款；挪用
approval,n. 批准；认可；赞成
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
aquarium,n. 水族馆；养鱼池；玻璃缸
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
arable,"n. 耕地
adj. 适于耕种的；可开垦的"
arbitrary,adj.  任意的；武断的；专制的
arboreal,adj. 树木的；栖息在树上的
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
archaeological,adj.  考古学的； 考古学上的
archaeologist,n. 考古学家
archaeology,"n. 考古学
考古学的"
archenemy,n. 主要敌人，大敌；撒旦，魔王
architect,"n. 建筑师
缔造者"
ardent,adj. 热情的；热心的；激烈的；燃烧般的
arid,adj. 干旱的；不毛的， 荒芜的
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
arithmetic,n. 算术，算法
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
artery,n. 动脉；干道；主流
arthritis,n.  关节炎
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
artifact,n. 人工制品；手工艺品
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artisan,n. 工匠，技工
ascending,"adj. 上升的
v. 上升；获得（ascend的ing形式）；追溯"
ascribe,vt. 归因于；归咎于
aspect,n. 方面；方向；形势；外貌
aspen,"n. 山杨
adj. 山杨的；类似白杨的；颤抖的"
aspersion,n. 中伤，诽谤；洒水
aspiration,n. 渴望；抱负；送气；吸气；吸引术
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembler,n. 汇编程序；汇编机；装配工
assert,vt. 维护，坚持；断言；主张；声称
assertion,n. 断言，声明；主张，要求；坚持；认定
assess,vt. 评定；估价；对…征税
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
association,n. 协会，联盟，社团；联合；联想
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
asthma,n.  哮喘，气喘
astronomical,adj. 天文的，天文学的；极大的
astronomy,n. 天文学
atmosphere,n. 气氛；大气；空气
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
attendance,n. 出席；到场；出席人数；考勤
attendee,n. 出席者；在场者
attorney,n. 律师；代理人；检查官
attraction,n. 吸引，吸引力；引力；吸引人的事物
attributable,adj. 可归于…的；可归属的
attribute,"n. 属性；特质
vt. 归属；把…归于"
attrition,n. 摩擦；磨损；消耗
auction,"n. 拍卖
vt. 拍卖；竞卖"
audiophile,n. 唱片爱好者；爱玩高级音响的人
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
auditorium,n. 礼堂，会堂；观众席
aura,n. 光环；气氛；（中风等的）预兆；气味
aurora,n.  极光；曙光
austere,adj. 严峻的；简朴的；苦行的；无装饰的
authentic,adj. 真正的，真实的；可信的
authenticate,vt. 鉴定；证明…是真实的
authoritative,adj. 有权威的；命令式的；当局的
authority,n. 权威；权力；当局
authorize,vt. 批准，认可；授权给；委托代替
autobiography,n. 自传；自传文学
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
automation,n. 自动化；自动操作
automobile,"n. 汽车
vt. 驾驶汽车
"
autonomy,n. 自治，自治权
availability,n. 可用性；有效性；实用性
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
aversion,n. 厌恶；讨厌的人
avian,"n. 鸟
adj. 鸟的；鸟类的"
aviation,n. 航空；飞行术；飞机制造业
aviator,n. 飞行员
avidly,adv. 贪心地；热心地
avoid,vt. 避免；避开，躲避；消除
backwater,n. 回水；死水；停滞不进的状态或地方
bacterium,n.  细菌；杆菌属
balcony,n. 阳台；包厢；戏院楼厅
ballistic,adj. 弹道的；射击的
bankruptcy,n. 破产
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
barb,"n. 箭头鱼钩等的倒钩；伤人的话
vt. 装倒钩于"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
battalion,n. 营，军营；军队，部队
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bearer,n. 持票人； 承木； 托架；送信人；搬运工人
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
beehive,n. 蜂窝；蜂箱
behavioral,adj. 行为的
bellows,n. 波纹管；风箱；皮老虎
benchmark,"n. 基准；标准检查程序
vt. 用基准问题测试（计算机系统等）"
benefactor,n. 恩人；捐助者；施主
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
benevolence,n. 仁慈；善行
bestow,vt. 使用；授予；放置；留宿
betrayal,n. 背叛；辜负；暴露
better-off,adj. 较富裕的；境况较好的
beverage,n. 饮料
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bicker,"n. 吵嘴；口角；（水的）潺潺声
vi. 闪动；斗嘴；潺潺而流"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bifurcation,n. 分歧，分叉；分歧点
bilateral,adj. 双边的；有两边的
billing,"n. 广告；记帐；开发票；演员表；总账款
v. 开帐单（bill的ing形式）"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
biodegradable,adj. 生物所能分解的，能进行生物降解的
bioengineer, 生物工程师
biography,n. 传记；档案；个人简介
biomedical,adj. 生物医学的
biophysicist,n. 生物物理学家
biosphere,n. 生物圈
bisect,"vt. 平分；二等分
vi. 横贯；一分为二"
bizarre,adj. 奇异的（指态度，容貌，款式等）
blackout,n. 灯火管制；灯火熄灭；暂时的意识丧失
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
bloc,n. 集团
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
blot,"n. 污点，污渍；墨水渍
vt. 涂污，弄脏；用吸墨纸弄干（或除去）
vi. 吸墨水；弄上墨渍或污渍"
bluegrass,n. 莓系属的牧草；早熟禾属植物
bluntly,adv. 坦率地，直率地；迟钝地
boarder,n. 寄膳者；寄膳宿者；寄宿生
boardinghouse,n. 公寓；供膳食的寄宿处
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
bolster,"n. 支持；长枕
vt. 支持；支撑"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
bombard,"n. 射石炮
vt. 轰炸；炮击"
bona fide,"adj. 善意的；真实的；真诚的
adv. 善意地；真实地；真诚地"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bonus,n. 奖金；红利；额外津贴
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
boomerang,n. 飞去来器；自食其果的行为；回飞棒
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
booth,n. 货摊；公用电话亭
boreal,adj. 北的，北方的；北风的
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
bounty,"n. 慷慨；丰富；奖励金；赠款
vt. 发给…奖金等；为…而发给赏金
vi. 以赏金等形式发放"
bourgeois,"n. 资本家；九点活字；中产阶级的人；追求物质享受和社会地位者
adj. 资产阶级的；中产阶级的；贪图享受的"
bower,n. 凉亭；树阴处
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
brochure,n. 手册，小册子
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
brokerage,n. 佣金；回扣；中间人业务
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
brutal,adj. 残忍的；野蛮的，不讲理的
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
bucolic,"n. 田园诗；农夫
adj. 牧歌的；牧羊的；乡下风味的"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
budworm,n. 任何对苞芽有害的幼虫，芽虫
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
buoyant,adj. 轻快的；有浮力的；上涨的
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
bureau,n. 局，处；衣柜；办公桌
burglarize,"vt. 撬窃；行窃
vi. 夜盗；行窃"
burrow,"n. （兔、狐等的）洞穴，地道；藏身处，住处
vt. 挖掘，挖出；在…挖洞（或通道）；使躲入洞穴
vi. 探索，寻找；挖地洞，挖通道；住入地洞，躲藏起来；钻进某处；偎依著"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
buttress,"n. 扶壁；拱壁；支撑物
vt. 支持；以扶壁支撑"
bygone,"n. 过去的事
adj. 过去的"
bylaw,n. 次要法规；细则；地方法则；（社团制定的）内部章程
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
caffeine,n.  咖啡因；茶精（兴奋剂）
calamitous,adj. 灾难的，悲惨的；不幸的
calcium,n.  钙
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
calculus,n.  结石；微积分学
calefaction, 发暖作用
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
caller,"n. 访客； 呼叫者；打电话者；召集员
adj. 新鲜的"
calligraphic,adj. 书法的；缮写的
camcorder,n. 摄录像机；便携式摄像机
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
campsite,n. 营地
canary,n.  金丝雀；淡黄色
candidate,n. 候选人，候补者；应试者
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
canyon,n. 峡谷
capacity,n. 能力；容量；资格，地位；生产力
capitalize,"vi. 利用；积累资本
vt. 使资本化；以大写字母写；估计…的价值"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
captivate,vt. 迷住，迷惑
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
carbohydrate,n.  碳水化合物； 糖类
carbonate,"n. 碳酸盐
vt. 使充满二氧化碳；使变成碳酸盐"
carcass,n. （人或动物的）尸体；残骸；（除脏去头备食用的）畜体
carcinogen,n. 致癌物质
carcinogenic,adj. 致癌的；致癌物的
cardiac,"n. 强心剂；强胃剂
adj. 心脏的；心脏病的；贲门的"
cardiopulmonary,adj. 心肺的；与心肺有关的
cardiovascular,adj.  心血管的
cargo,n. 货物，船货
caribou,n. 北美驯鹿
carnivore,n.  食肉动物；食虫植物
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carpentry,n. 木器；木工手艺； 木工业
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
carpeting,"n. 毛毯， 地毯；地毯料
v. 铺以地毯（carpet的现在分词）"
cartel,n. 卡特尔；企业联合；垄断联盟；俘虏交换条约
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
caseload,n. 待处理案件之数量
cashew,"n. 腰果（等于cashew nut）；腰果树
adj. 漆树科的"
caste,n. （印度社会中的）种姓；（具有严格等级差别的）社会地位；（排他的）社会团体
casualty,n. 意外事故；伤亡人员；急诊室
cataclysm,n. 灾难；大洪水，地震；（社会政治的）大变动
cataclysmic,adj. 大变动的；洪水的
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
catalyst,n.  催化剂；刺激因素
catalytic,"n. 催化剂；刺激因素
adj. 接触反应的；起催化作用的"
catastrophe,n. 大灾难；大祸；惨败
categorical,adj. 绝对的（名词categoricalness，副词categorically，异体字categoric）；直截了当的；无条件的；属于某一范畴的
category,n. 种类，分类； 范畴
cater,vt. 投合，迎合；满足需要；提供饮食及服务
caterpillar,"adj. 有履带装置的
n.  毛虫；履带车"
cathedral,n. 大教堂
Catholic,
causative,"n. 使役动词
adj. 成为原因的；惹起…的"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
cellular,"n. 移动电话；单元
adj. 细胞的；多孔的；由细胞组成的"
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
centrality,n. 中心；中央；向心性
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
certify,v. 证明；保证
certitude,n. 确信；确实
cessation,n. 停止；中止；中断
chaise,n. 一种轻马车（通常有车蓬，尤指单马双轮者）
chalice,n. 杯；圣餐杯；酒杯
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characterization,n. 描述；特性描述
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
chatty,adj. 饶舌的；爱讲闲话的；非正式的
chauvinism,n. 沙文主义；盲目的爱国心
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
cholesterol,n.  胆固醇
chord,n. 弦；和弦；香水的基调
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
choreographer,n. 编舞者，舞蹈指导
chronic,adj. 慢性的；长期的；习惯性的
chronical,adj. 慢性的；延续很长的
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
chronology,n. 年表；年代学
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circulation,n. 流通，传播；循环；发行量
circulatory,adj. 循环的
circumference,n. 圆周；周长；胸围
circumspect,adj. 细心的，周到的；慎重的
circumstance,n. 环境，情况；事件；境遇
circumvent,v. 包围；智取；绕行，规避
citywide,adj. 全市的，全市性的
civic,adj. 市的；公民的，市民的
civilization,n. 文明；文化
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
clan,n. 宗族；部落；集团
clandestine,adj. 秘密的，私下的；偷偷摸摸的
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clarity,n. 清楚，明晰；透明
classify,vt. 分类；分等
clergy,n. 神职人员；牧师；僧侣
client,n.  客户；顾客；委托人
cliff,n. 悬崖；绝壁
