triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
horizon,n.  地平线；视野；眼界；范围
privilege,"n. 特权；优待
vt. 给与…特权；特免"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
acknowledge,vt. 承认；答谢；报偿；告知已收到
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
acquisition,n. 获得物，获得；收购
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
operation,n. 操作；经营； 手术； 运算
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
pursuit,n. 追赶，追求；职业，工作
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
concept,n. 观念，概念
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
sincere,adj. 真诚的；诚挚的；真实的
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
concise,adj. 简明的，简洁的
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
vicinity,n. 邻近，附近；近处
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
alienate,vt. 使疏远，离间；让与
anecdote,n. 轶事；奇闻；秘史
amiable,adj. 和蔼可亲的，亲切的
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
candidate,n. 候选人，候补者；应试者
cautious,adj. 谨慎的；十分小心的
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
chemical,"n. 化学制品，化学药品
adj. 化学的"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
dedicate,vt. 致力；献身；题献
detect,vt. 察觉；发现；探测
deviate,"vi. 脱离；越轨
vt. 使偏离"
discreet,adj. 谨慎的；小心的
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
explicit,adj. 明确的；清楚的；直率的；详述的
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
feasible,adj. 可行的；可能的；可实行的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
gratitude,n. 感谢（的心情）；感激
hierarchy,n. 层级；等级制度
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
ideology,n. 意识形态；思想意识；观念学
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
judicial,adj. 公正的，明断的；法庭的；审判上的
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
legacy,n. 遗赠，遗产
liability,n. 责任；债务；倾向；可能性；不利因素
maintain,vt. 维持；继续；维修；主张；供养
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
notorious,adj. 声名狼藉的，臭名昭著的
optional,"adj. 可选择的，随意的
n. 选修科目"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
performance,n. 性能；绩效；表演；执行；表现
philosophy,n. 哲学；哲理；人生观
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
recreation,n. 娱乐；消遣；休养
sarcastic,adj. 挖苦的；尖刻的，辛辣的
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
segregate,vt. 使隔离；使分离；在…实行种族隔离
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
similar,"n. 类似物
adj. 相似的"
arbitrary,adj.  任意的；武断的；专制的
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
ascertain,vt. 确定；查明；探知
infrastructure,n. 基础设施；公共建设；下部构造
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhabitant,n. 居民；居住者
lately,adv. 近来，不久前
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
implicit,adj. 含蓄的；暗示的；盲从的
imply,vt. 意味；暗示；隐含
solidarity,n. 团结，团结一致
spacious,adj. 宽敞的，广阔的；无边无际的
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
available,adj. 可获得的；可购得的；可找到的；有空的
auction,"n. 拍卖
vt. 拍卖；竞卖"
attribute,"n. 属性；特质
vt. 归属；把…归于"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
drought,n. 干旱；缺乏
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
seminar,n. 讨论会，研讨班
temptation,n. 引诱；诱惑物
exceed,"vt. 超过；胜过
vi. 超过其他"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
marginal,adj. 边缘的；临界的；末端的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
pessimistic,adj. 悲观的，厌世的；悲观主义的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
precise,adj. 精确的；明确的；严格的
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
recede,"vi. 后退；减弱
vt. 撤回"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
sympathy,n. 同情；慰问；赞同
inspiration,n. 灵感；鼓舞；吸气；妙计
condemn,vt. 谴责；判刑，定罪；声讨
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
legislation,n. 立法；法律
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
surgery,n. 外科；外科手术；手术室；诊疗室
technique,n. 技巧，技术；手法
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
certify,v. 证明；保证
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
gigantic,adj. 巨大的，庞大的
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
thoughtful,adj. 深思的；体贴的；关切的
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
violence,n. 暴力；侵犯；激烈；歪曲
vigorous,adj. 有力的；精力充沛的
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
confer,"vt. 授予；给予
vi. 协商"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
delegate,"n. 代表
vt. 委派…为代表"
deduct,vt. 扣除，减去；演绎
deduce,vt. 推论，推断；演绎出
cultivate,vt. 培养；陶冶；耕作
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
convenience,n. 便利；厕所；便利的事物
convenient,adj. 方便的；适当的；近便的；实用的
contaminate,vt. 污染，弄脏
continuous,adj. 连续的，持续的；继续的；连绵不断的
consensus,n. 一致；舆论；合意
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
massive,adj. 大量的；巨大的，厚重的；魁伟的
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
analyze,vt. 对…进行分析，分解（等于analyse）
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
distribute,vt. 分配；散布；分开；把…分类
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
formulate,vt. 规划；用公式表示；明确地表达
hatred,n. 憎恨；怨恨；敌意
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
confidential,adj. 机密的；表示信任的；获信任的
slippery,adj. 滑的；狡猾的；不稳定的
deceive,v. 欺骗；行骗
decisive,adj. 决定性的；果断的，坚定的
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
decade,n. 十年，十年期；十
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
recur,vi. 复发；重现；采用；再来；循环；递归
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
temperament,n. 气质，性情，性格；急躁
territory,n. 领土，领域；范围；地域；版图
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
controversial,adj. 有争议的；有争论的
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
conspicuous,adj. 显著的；显而易见的
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
property,n. 性质，性能；财产；所有权
prudent,adj. 谨慎的；精明的；节俭的
punctual,adj. 准时的，守时的；精确的
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
qualitative,adj. 定性的；质的，性质上的
quantitative,adj. 定量的；量的，数量的
racial,adj. 种族的；人种的
renovate,vt. 更新；修复；革新；刷新
reproach,"n. 责备；耻辱
vt. 责备；申斥"
retention,n. 保留；扣留，滞留；记忆力；闭尿
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
status,n. 地位；状态；情形；重要身份
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
analogue,"n. 类似物；类似情况；对等的人
adj. 类似的；相似物的；模拟计算机的"
abound,vi. 富于；充满
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
administration,n. 管理；行政；实施；行政机构
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
phenomenon,n. 现象；奇迹；杰出的人才
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
occupy,vt. 占据，占领；居住；使忙碌
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
reliance,n. 信赖；信心；受信赖的人或物
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
practitioner,n. 开业者，从业者，执业医生
precious,adj. 宝贵的；珍贵的；矫揉造作的
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
refute,vt. 反驳，驳斥；驳倒
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
adjacent,adj. 邻近的，毗连的
adjective,"n. 形容词
adj. 形容词的；从属的"
advisable,adj. 明智的，可取的，适当的
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
advent,n. 到来；出现；基督降临；基督降临节
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
agony,n. 苦恼；极大的痛苦；临死的挣扎
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
airline,"n. 航空公司；航线
adj. 航线的"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
deprive,vt. 使丧失，剥夺
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
detach,vt. 分离；派遣；使超然
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
rumor,"n. 谣言；传闻
vt. 谣传；传说"
solution,n. 解决方案；溶液；溶解；解答
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
stubborn,adj. 顽固的；顽强的；难处理的
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
summon,vt. 召唤；召集；鼓起；振作
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
adequate,adj. 充足的；适当的；胜任的
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
alter,"vt. 改变，更改
vi. 改变；修改"
amaze,vt. 使吃惊
ambiguous,adj. 模糊不清的；引起歧义的
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
invent,vt. 发明；创造；虚构
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
literacy,n. 读写能力；精通文学
lofty,adj. 高的；崇高的；高级的；高傲的
loyalty,n. 忠诚；忠心；忠实；忠于…感情
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
profound,adj. 深厚的；意义深远的；渊博的
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
mood,n. 情绪，语气；心境；气氛
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
affirm,"vt. 肯定；断言
vi. 确认；断言"
afford,vt. 给予，提供；买得起
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
latitude,n. 纬度；界限；活动范围
prospective,"n. 预期；展望
adj. 未来的；预期的"
psychology,n. 心理学；心理状态
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
refugee,n. 难民，避难者；流亡者，逃亡者
resident,"n. 居民；住院医生
adj. 居住的；定居的"
saint,
satire,n. 讽刺；讽刺文学，讽刺作品
confuse,vt. 使混乱；使困惑
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
subjective,adj. 主观的；个人的；自觉的
symptom,n.  症状；征兆
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
testimony,n.  证词，证言；证据
tolerate,vt. 忍受；默许；宽恕
agenda,n. 议程；日常工作事项；日程表
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
amuse,vt. 娱乐；消遣；使发笑；使愉快
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
apparatus,n. 装置，设备；仪器；器官
arrogant,adj. 自大的，傲慢的
assert,vt. 维护，坚持；断言；主张；声称
