proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
clicking noise,
fill up,"na. 同“fill”
 装满；填补；填满"
admiring,adj. 赞赏的，羡慕的
peahen,n. 雌孔雀
in particular,"na. 特别；一一
 尤其；特别地；特别是"
admiration,n. 钦佩；赞赏；羡慕；赞美
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
clearly,adv. 清晰地；明显地；无疑地；明净地
Internet,
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
get married,"na. 结婚
 有感情的结婚；成婚；完婚"
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
owner,n.  所有者；物主
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
Speakers' Corner,演讲角
tradition,n. 惯例，传统；传说
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
health,n. 健康；卫生；保健；兴旺
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
speech,n. 演讲；讲话； 语音；演说
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
anybody,"n. 重要人物
pron. 任何人"
somebody,"n. 大人物；重要人物
pron. 有人；某人"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
wardrobe,n. 衣柜；行头；全部戏装
somewhere,"n. 某个地方
adv. 在某处；到某处"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
sitting room,"na. 起居室
 客厅；起居空间；休息室"
bathroom,n. 浴室；厕所；盥洗室
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
jewellery,n. 珠宝（等于jewelry）
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
hanging,"n. 悬挂；绞刑；帘子，幔帐
v. 悬挂（hang的ing形式）
adj. 悬挂着的"
triangular,adj. 三角的， 三角形的；三人间的
aluminium,"n. 铝
adj. 铝的"
native indian,
headdress,n. 头发编梳的式样；饰头巾
art gallery,"n. 美术馆；艺术展览馆
 画廊；艺术画廊；艺廊"
recently,adv. 最近；新近
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
horrible,adj. 可怕的；极讨厌的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
delicious,adj. 美味的；可口的
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
wooden,adj. 木制的；僵硬的，呆板的
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
woollen,"n. 毛织品
adj. 羊毛制的"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
oil lamp, 油灯；特指油灯；油灯图片
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
attractive,adj. 吸引人的；有魅力的；引人注目的
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
solution,n. 解决方案；溶液；溶解；解答
organic,adj.  有机的；组织的；器官的；根本的
inorganic,adj.  无机的；无生物的
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
avoid,vt. 避免；避开，躲避；消除
unnatural,adj. 不自然的；反常的；不近人情的
hydrogen,n.  氢
oxygen,n.  氧气， 氧
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
plain chocolate, 纯巧克力；纯味巧克力；飞鹰牌净朱古力块
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
tricks of the trade, 某门生意或职业的诀窍；嫁祸诀窍；转换的技巧
Gosh!,
turn round,"na. 旋转；(忽然)转过身来
 转身；转头；转过去"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
be able to,"v. 能够
 会；有能力做某事；强调有能力"
fashionable,adj. 流行的；时髦的；上流社会的
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
frightening,adj. 令人恐惧的；引起突然惊恐的
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
deaf,adj. 聋的
limit,"n. 限制；限度；界线
vt. 限制；限定"
decibel,n. 分贝
continuous,adj. 连续的，持续的；继续的；连绵不断的
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
nightclub,"n. 夜总会
vi. 去夜总会"
MP3 player,MP3 播放器
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
unlucky,adj. 不幸的；倒霉的；不吉利的
for ever,"adv. 永远地；永恒地；无休止地；永无止境地
n. 永恒；相当长的时间
 永久；长期地；直到永远"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
it doesn't matter,"un. 在…问题上；没关系
 无所谓；不要紧；那没关系"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
accident,n. 事故；意外； 意外事件；机遇
ambulance,n.  救护车；战时流动医院
robbery,n. 抢劫，盗窃；抢掠
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
fire service,"un. 消防队
 消防业；消防供水系统；消防防护"
thief,n. 小偷，贼
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
a day off, 休息日；休息一天；休息一天，休一天假
pop concert,"n. 通俗音乐会
 流行音乐会；演奏会；文艺"
intern,"n. 实习生，实习医师
vt. 拘留，软禁
vi. 作实习医师"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
market leader,"n. 同类商品的销售大户；市场份额的最大占有者；最畅销产品
 市场领导者；市场上的主导公司；市场主要股份"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
applicant,n. 申请人，申请者；请求者
make somebody an offer,
make an offer to somebody,
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
either way,"na. 总之；反正都；两边都
 不管怎样；无论哪种方式；任何的决定"
résumé,
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
passport,n. 护照，通行证；手段
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
qualification,n. 资格；条件；限制；赋予资格
earn,vt. 赚，赚得；获得，挣得；使得到；博得
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
at last,"na. 终于
 最后；最终；终於"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
equipment,n. 设备，装备；器材
black-soled,
trainers,n. 运动鞋； 训练员；练习器（trainer的复数）
T-shirt,n. 短袖圆领汗衫
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
be allowed to, 允许；被允许；准许
chest,n. 胸，胸部；衣柜；箱子；金库
swimsuit,n. 游泳衣（女式）
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
trousers,n. 裤子，长裤
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
cyclist,n. 骑自行车的人
motorcyclist,n. 骑摩托车的人；乘机车者
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
 下来；动身；离开"
no entry, 禁止进入；不准驶入；不准入内
straight on,"adv. 一直地走
 往前直去；一直往前走；直行"
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
 乱序执行；发生故障；坏了"
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
danger,n. 危险；危险物，威胁
further away,
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
karate,n. 空手道（日本的一种徒手武术）
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
on one's way,"un. 无法；在路上；快要出头了
 在途中；在去……的路上；在……的路上"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
hood,"n. 头巾；覆盖；兜帽
vt. 罩上；以头巾覆盖"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
himself,pron. 他自己；他亲自，他本人
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
artist,n. 艺术家；美术家（尤指画家）；大师
lawyer,n. 律师；法学家
science,n. 科学；技术；学科；理科
air force,"n. 空军
 美国空军；空军部队基地；长空雄鹰"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
army,n. 陆军，军队
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
mechanic,"n. 技工，机修工
adj. 手工的"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
afterwards,adv. 后来；然后
at the latest,"na. “at latest”的变体
 最迟；至迟；最晚"
freedom,n. 自由，自主；直率
a couple of,"det. 一对
 几个；两个；两三个"
as far as I'm concerned, 就我而言；依我看；在我看来
as far as you're concerned,
may,aux. 可以，能够；可能，也许；祝，愿；会，能
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
could,"aux. 能够
v. 能（can的过去式）"
stay in,"na. 在家里
 呆在家里；不外出；停留"
stay out,"na. 不干涉；(在外头)不回家；不在家；坚持到
 呆在户外；外出；呆在外面"
