overcome,"vt. 克服；胜过
vi. 克服；得胜"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
totality,n.  全食；全体；总数
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
actual,adj. 真实的，实际的；现行的，目前的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
aspect,n. 方面；方向；形势；外貌
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
gotta-have,
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
over and over,"na. 转来转去；反反复复
 再三；一再地；一次又一次"
no longer,"na. 不再
 已不；再也；再也不"
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
get there,"na. 达到目的；成功；“be/get there”的变体
 到达那里；到那里；到那儿"
lay out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
keep on track,
ahead of time,"na. 比原定提前地
 提早；事先；预先"
wait around,"v. 等一会
 空等；呆呆地等；呆呆地等空等"
have a hard time,"na. 日子不好过；遭殃
 度过困难时刻；过得困难；做某事很辛苦"
get down on,"na. 产生恶感
 开始不喜欢"
in trouble,"na. 为难；被捕；未婚怀孕
 有麻烦；处于困境中；遇到麻烦"
keep up,"na. 支持；保持；继续；停歇
 维持；坚持；持续"
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
 削减；减少；消减"
get under control,vt.控制住
attentive,adj. 留意的，注意的
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
Turkish,"n. 土耳其语
adj. 土耳其人的，土耳其语的；土耳其的；突厥诸语言的"
maxim,
convey,vt. 传达；运输；让与
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
whereas,conj. 然而；鉴于；反之
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
merely,adv. 仅仅，只不过；只是
consideration,n. 考虑；原因；关心；报酬
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
cooperation,n. 合作，协作； 协力
growth,n. 增长；发展；生长；种植
introspect,"vt. 对…进行自省
vi. 反省；内省"
obtain,"vi. 获得；流行
vt. 获得"
seeker,n. 探求者；搜查人
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
adjustment,n. 调整，调节；调节器
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
unrelated,adj. 无关的，不相干的
undivided,"adj. 专心的；专一的；未分开的；完整的
v. 未分开（undivide的过去式和过去分词）"
acknowledge,vt. 承认；答谢；报偿；告知已收到
non-verbal,adj. 非语言的；非用言语的
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
occasional,adj. 偶然的；临时的；特殊场合的
uh-huh,int. 嗯，哼；啊哈
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
openness,n. 公开；宽阔；率真
argument,n. 论证；论据；争吵；内容提要
disagreement,n. 不一致；争论；意见不同
feedback,n. 反馈；成果，资料；回复
belief,n. 相信，信赖；信仰；教义
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
judgment,n. 判断；裁判；判决书；辨别力
besides,"prep. 除…之外
adv. 此外；而且"
assert,vt. 维护，坚持；断言；主张；声称
respectfully,adv. 尊敬地
tremendous,adj. 极大的，巨大的；惊人的；极好的
willpower,n. 意志力；毅力
purposeful,adj. 有目的的；有决心的
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
communicator,n. 传播者；发报机；通信员
efficiency,n. 效率；效能；功效
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
draw on,"na. 穿；依赖；靠；吸收
 利用；戴上；动用"
take into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
in turn,"na. 挨次
 依次；轮流；反过来"
be made up of, 由…构成；组成；由…组成
the other way around,"na. 从相反方向；用相反方式
 倒过来；反过来；相反地"
indulge in,"v. 沉迷于
 沉溺于；沉湎于；尽情享受"
from time to time,"na. 时时
 有时；不时；不时地"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
come in contact with,"na. 和…接触；碰见
 与…取得联系；接触到；同…接触"
fluorescent,"n. 荧光；日光灯
adj. 荧光的；萤光的；发亮的"
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
countertop,n. 工作台面
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
screwdriver,n. 螺丝刀
manual,"adj. 手工的；体力的
n. 手册，指南"
dexterity,n. 灵巧；敏捷；机敏
improvement,n. 改进，改善；提高
hardware,n. 计算机硬件；五金器具
replacement,n. 更换；复位；代替者；补充兵员
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
home stager,
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
impede,vt. 阻碍；妨碍；阻止
decoration,n. 装饰，装潢；装饰品；奖章
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
slightly,adv. 些微地，轻微地；纤细地
redecorate,"vt. 重新装饰
vi. 重新装饰"
roomy,adj. 宽敞的；广阔的；宽大的
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
recommendation,n. 推荐；建议；推荐信
redesign,"n. 重新设计；新设计
vt. 重新设计"
within,"prep. 在…之内
n. 里面
adv. 在内部"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
contractor,n. 承包人；立契约者
invite,"n. 邀请
vt. 邀请，招待；招致"
critique,"n. 批评；评论文章
vt. 批判；评论"
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
advisor,n. 顾问；指导教师；劝告者
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
take apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
as luck would have it,"na. 碰巧；碰得不巧
 好运自然来；生命的火花；幸运"
in stock,"na. 有货
 备有；现货；有现货"
go ahead,"na. 取得进展
 继续；前进；干吧"
come up,"na. 走近；上升；抬头；(暴风雨等)起
 上来；出现；发生"
in tears,"na. 流着泪
 含泪；在哭着；含着泪"
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
agree with,"na. 适合；赞同；与…一致
 同意；与...一致；同意某人"
agree on,"na. 对…意见一致
 同意；对……取得一致意见；商定"
put up for sale,"na. 拿出拍卖
 拿出销售；可供出售"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
put off,"na. 延期；辩解
 推迟；拖延；推延"
all by oneself, 单独；全靠自己；独立
observation,n. 观察；监视；观察报告
surmise,"n. 推测；猜度
vt. 猜测；推测
vi. 猜测；认为"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
majority,n. 多数；成年
drudgery,n. 苦工，苦差事
excitement,n. 兴奋；刺激；令人兴奋的事物
substitution,n. 代替； 置换；代替物
businessman,n. 商人
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
grateful,adj. 感谢的；令人愉快的，宜人的
multitude,n. 群众；多数
masterpiece,n. 杰作；绝无仅有的人
legendary,"adj. 传说的，传奇的
n. 传说集；圣徒传"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
squander,"n. 浪费
vt. 浪费
vi. 浪费；漂泊"
inventory,n. 存货，存货清单；详细目录；财产清册
relish,"n. 滋味；风味；食欲；开胃小菜；含义；调味品
vt. 盼望;期待;享受; 品味；喜爱；给…加佐料
vi. 有特定意味；味道可口"
operation,n. 操作；经营； 手术； 运算
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
referral,"n. n. 参照；提及；被推举的人；转诊病人
n. 引荐来源(指给某个网站带来了流量的其他网站）"
biography,n. 传记；档案；个人简介
motivational,adj. 动机的；激发性的；有关动机的；动机说明
educate,"vt. 教育；培养；训练
vi. 教育；训练"
friendship,n. 友谊；友爱；友善
honesty,n. 诚实，正直
integrity,n. 完整；正直；诚实；廉正
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
quarterly,"n. 季刊
adj. 季度的，按季度的；一年四次的
adv. 按季度， 一季一次地；纵横四分地"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
endorphin,n. 脑内啡
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
be rolling in money, 非常有钱的；非常阔绰；很有钱
be rolling in money or cash,
adhere to,"v. 坚持；依附
 遵守；附着；粘着"
take an inventory,
drum up,"na. 招揽(顾客等)；招募(新兵等)；鼓励；激起
 招徕；竭力争取；鼓动"
down in the dumps,"un. 拒绝；不高兴
 垂头丧气；心情跌入谷底；愁眉苦脸"
before I knew it,
on your own,"na. 独自地
 靠你自己；独立地；独自攀登"
for life,"na. 终身；为逃命
 终生；一生；为了生命"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
as such,"na. 本身；名符其实地；见 such 条
 照此；同样地；就其本身而论"
put sb. first,
put sth. first,
drive sb. nuts,
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
unfortunately,adv. 不幸地
imaginary,adj. 虚构的，假想的；想像的；虚数的
trainee,n. 练习生，实习生；受训者；新兵；训练中的动物
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
installer,n. 安装程序；安装者，安装工
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
frankly,adv. 真诚地，坦白地
painful,adj. 痛苦的；疼痛的；令人不快的
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
attendee,n. 出席者；在场者
salesmanship,n. 推销；推销术；游说术
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
self-reinforcing,自我强化
move up,"na. 提上
 上移；向上移动；提升"
make notes of,"na. 记录；作(演说等的)草稿；作标记
 记下；纪录；请记录下"
come into existence,"na. 产生；成立
 开始存在；形成；出现"
from the start, 从一开始；从头；离开始太远
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
sign up,"na. 同“sign”
 注册；报名；签约"
in a row,"na. 成一排；连续
 连续的；一连串；接连"
buy into,"na. (出钱)做股东
 买进；买入股票；相信"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
discussion,n. 讨论，议论
deceptive,adj. 欺诈的；迷惑的；虚伪的
consumption,n. 消费；消耗；肺痨
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
infer,"vi. 推断；作出推论
vt. 推断；推论"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
nonexistent,adj. 不存在的
financially,adv. 财政上；金融上
dude,"n. 男人，小伙子
n. （非正式）花花公子；纨绔子弟"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
mutual,adj. 共同的；相互的，彼此的
fund,"n. 基金；资金；存款
vt. 投资；资助"
discretionary,adj. 任意的；自由决定的
chic,"n. 时髦；别致的款式
adj. 别致的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
electronics,n. 电子学；电子工业
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
twentysomething,"n. 二十多个；二十多岁
adj. 二十多个的；二十多岁的"
afford,vt. 给予，提供；买得起
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
starter home,"na. (供财力不足的新婚年轻夫妇购买的)简易房
 起步房；低价住房；简单住房"
reasonable,adj. 合理的，公道的；通情达理的
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
penniless,adj. 身无分文的；贫穷的
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
miraculously,adv. 奇迹般地；神奇地；非凡地；出乎意料地
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
striver,n. 奋斗者
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
rental,"n. 租金收入，租金；租赁
adj. 租赁的；收取租金的"
property,n. 性质，性能；财产；所有权
hands-on,adj. 亲身实践的，亲自动手的
landlord,n. 房东，老板；地主
niece,n. 外甥女，侄女
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
suburb,n. 郊区；边缘
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
Latino,"adj. 拉丁美洲的；拉丁美洲人的
n. 拉丁美洲人"
translation,n. 翻译；译文；转化；调任
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
overspend,"vt. 超支；过度使用；花费过多
vi. 超支，花钱过多"
frugality,n. 俭省，节俭
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
forgo,"vi. 放弃；停止；对…断念
vt. 放弃；停止；对…断念
"
covetous,adj. 贪婪的；贪求的；渴望的
be saddled with, 使负担；承受…的负担；担负
crowd out,"na. 推开
 挤出；驱逐；挤出效应"
be left over, 残留；剩下来；留下来
double up with,
leave behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
fix up,"na. 修理；解决；组织；安顿住处
 安排；修补；商妥"
trade up,"n. 卖次买好；以次换好的买卖
 买更贵的东西；向上消费；向上营销"
live it up,"na. 狂欢；纵情作乐
 狂欢一场；纵情欢乐；过着逍遥的日子"
live within one's means, 量入为出；量入为出地；量入为出地生活
tale,n. 故事；传说；叙述；流言蜚语
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
snugly,adv. 舒适地；隐蔽地；贴身地；紧密地
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
penny,n. （美）分；便士
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
shopkeeper,n. 店主，老板
birdhouse,n. 禽舍；小鸟舍
beveled,adj. 有斜面的
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
mocha,"n. 穆哈咖啡；穆哈（也门一港口）
adj. 用咖啡调味的；深咖啡色的"
silverware,n. 银器；镀银餐具
city hall,"n. 市政府；市政厅
 市政大厅；伦敦市政厅；立体谎言"
manufacturer,n. 制造商； 厂商
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
maintenance,n. 维护，维修；保持；生活费用
insurance,n. 保险；保险费；保险契约；赔偿金
once upon a time,"na. 从前；很久很久以前；古时候
 童话镇；曾经；童话小镇"
cater to,"v. 迎合
 投合；满足某种需要或要求；满足……的需要"
better off,"adj. 富有的；富裕的；境况良好
 情况更好；更富裕；经济状况好的"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
whaling,"n. 捕鲸；捕鲸业；一阵痛打
v. 捕鲸；鞭打（whale的ing形式）"
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
expedition,n. 远征；探险队；迅速
statesman,n. 政治家；国务活动家
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
dabble,"vt. 溅湿；浸入水中
vi. 涉猎；涉足；玩水"
speculation,n. 投机；推测；思索；投机买卖
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
groundbreaking,"n. 动工
adj. 开创性的"
era,n. 时代；年代；纪元
shopper,n. 购物者；顾客
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
norm,n. 标准，规范
ultimately,adv. 最后；根本；基本上
intention,n. 意图；目的；意向；愈合
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
tattoo,"n. 文身
vt. 刺花纹于
vi. 刺花样"
youthful,adj. 年轻的；早期的
symbol,n. 象征；符号；标志
wholesaler,n. 批发商
exclusively,adv. 唯一地；专有地；排外地
recession,n. 衰退；不景气；后退；凹处
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
jewelry,n. 珠宝；珠宝类
housewares,n. 家用器皿
basement,n. 地下室；地窖
glassware,n. 玻璃器皿；玻璃器具类
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
publicity,n. 宣传，宣扬；公开；广告；注意
parcel,"n. 包裹，小包
vt. 打包；捆扎"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
district,n. 区域；地方；行政区
innovative,adj. 革新的，创新的；新颖的；有创新精神的
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
keyword,n. 密码；关键字
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
patron,n. 赞助人；保护人；主顾
obituary,"adj. 讣告的；死亡的
n. 讣告"
accomplishment,n. 成就；完成；技艺，技能
enterprise,n. 企业；事业；进取心；事业心
staunch,"adj. 坚定的；忠诚的；坚固的
vt. 止住；止血"
comparatively,adv. 比较地；相当地
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
flagship,n. 旗舰；（作定语）一流；佼佼者
expansion,n. 膨胀；阐述；扩张物
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
exponentially,adv. 以指数方式
household name,"n. 家喻户晓的名字
 家喻户晓的人；家喻户晓的名人；家喻户晓的事或人"
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
dabble in, 涉猎；涉足；浅尝
a wealth of, 大量的；丰富的；很多的
put to use,"na. 用
 利用；使用；运用"
build on,"na. 依赖；把…建筑于
 以……为基础；建立于；把…建立于"
part and parcel,"na. 重要部分；(…的)重要部分
 主要部分；重要的部分；不可或缺"
draw in,"na. 拉入；引入；收(网等)；收回(借款等)
 引诱；到站；紧缩开支"
again and again,"na. 再三再四
 再三地；反复地；一次又一次"
a host of,"det. 很多
 大量；许多；一大群"
lemonade,n. 柠檬水
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
driveway,n. （从建筑物，住房，车库等通往大路的）私人车道
busybody,n. 好事的人；爱管闲事的人
council,n. 委员会；会议；理事会；地方议会；顾问班子
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
handwritten,"adj. 手写的
v. handwrite的过去分词"
jug,"n.  水壶；监牢
vt. 关押；放入壶中
vi. 模仿夜莺叫"
freshly,adv. 新近；精神饱满地
potter,"n. 陶艺家，制陶工人
vt. 闲混，虚度
vi. 闲逛；慢条斯理地做事"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
apparently,adv. 显然地；似乎，表面上
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
lowlife,n. 卑劣人；下层阶级的人；来历不明的男人
satnav,卫星导航（satellite navigation）
nick,"vt. 刻痕于；挑毛病；用刻痕记
n. 刻痕；缺口
vi. 刻痕；狙击"
petty,adj. 琐碎的；小气的；小规模的
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
scarcely,adv. 几乎不，简直不；简直没有
