birthday,n. 生日，诞辰；诞生的日子
o'clock,abbr. …点钟（等于of the clock）
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
many,"pron. 许多；许多人
adj. 许多的"
so many,"na. 那么多的；很多(的)；和…一样多的；全都是
 这么多；如此多的；很多的"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
mom,n. 妈妈
London,n. 伦敦
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
leg,n. 腿；支柱
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
pupil,n. 学生； 瞳孔；未成年人
put on,"na. 假话
 穿上；上演；戴上"
T-shirt,n. 短袖圆领汗衫
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
too,adv. 太；也；很；还；非常；过度
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
sports,"n. 运动；运动会（sport的复数）；（报纸）体育版面；突变；娱乐
adj. 运动的；适用于运动的
v. 娱乐；戏弄（sport的第三人称单数）"
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
sports shoes,"n. 球鞋
 运动鞋；求购运动鞋；旅游运动鞋"
whose,pron. 谁的（疑问代词）
shirt,n. 衬衫；汗衫，内衣
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
Children's Day,"na. 儿童节
 六一儿童节；国际儿童节；日本儿童节"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
play football,"na. 踢足球；对难办的事采取踢皮球的态度
 玩足球；玩橄榄球；踢球"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
boat,"n. 小船；轮船
vi. 划船"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
