explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
workout,n. 锻炼；练习；试验
hang around,"na. 在附近徘徊；踌躇不前
 闲荡；闲逛；逗留"
sanitation,n.  环境卫生；卫生设备；下水道设施
at the head of,"na. 以…为首
 在……的前面；在……的前头；在……最前头"
infrared-automated,
entitle,vt. 称做…；定名为…；给…称号；使…有权利
be entitled to, 有权；有资格；有权做
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
ripped-up,adj. 被撕裂的
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
be open to,"na. 易受；易接受；对…开着门
 对……开放；易于接受；向---开放"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
attend to,"na. 照料(工作)
 照顾；注意；处理"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
skewer,"n. 烤肉叉子；串肉扦；针
vt. 刺穿；串住"
make history,"na. 做名垂青史的大事
 创造历史；做出永垂史册的事情；创造了历史"
acquire,vt. 获得；取得；学到；捕获
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
obvious,adj. 明显的；显著的；平淡无奇的
layout,n. 布局；设计；安排；陈列
intact,adj. 完整的；原封不动的；未受损伤的
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
good-humored,adj. 心情愉快的；脾气好的
dwell,vi. 居住；存在于；细想某事
dwell on,"na. 细想详述仔细研究强调；拖长(发音)仔细打量；减慢
 详细讲述；凝思；老是想着"
demolition,n. 拆除（等于demolishment）；破坏；毁坏
move out,"na. 搬出；开始行动
 搬出去；搬走；迁出"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
essence,n. 本质，实质；精华；香精
pragmatic,adj. 实际的；实用主义的；国事的
resourceful,adj. 资源丰富的；足智多谋的；机智的
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
incursion,n. 入侵；侵犯
element,n. 元素；要素；原理；成分；自然环境
draw out,"na. 抽出；拔出；掏出；提出
 拉长；取出；拉出"
creative,adj. 创造性的
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
move in,"v. 搬进；迁入
 搬进来；搬入；向内投"
move into,"v. 迁居
 搬进；搬进去了；进入"
move to,"na. 搬到
 移动到；移到；搬到某地"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
prince,n. 王子，国君；亲王；贵族
embassy,n. 大使馆；大使馆全体人员
incarnation,n. 化身；道成肉身；典型
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
lay low,"na. 把…打倒；藏匿
 低调；保持低调；击倒"
amid,prep. 在其中，在其间
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
at one's peak,
at the peak of, 登峰造极之时；在…高峰期；在…的高峰时期
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
forefather,n. 祖先；前辈
exodus,n. 《出埃及记》（《圣经》第二卷）
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
be charged with,"装满, 承担, 被控告
 负...责任, 受...指控"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
hutch,"n. 笼；小屋；贮藏箱；矿车
vt. 把…装箱"
cowshed,n. 牛棚；牛舍
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
rickety,adj. 摇晃的；虚弱的；患佝偻病的
voluptuous,adj. 撩人的；骄奢淫逸的；沉溺酒色的
urinate,vi. 小便，撒尿
obituary-esque,
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
imminent,adj. 即将来临的；迫近的
plight,"n. 困境；境况；誓约
vt. 保证；约定"
significance,n. 意义；重要性；意思
vacate,"vt. 空出，搬出；取消；使撤退
vi. 空出，腾出；辞职；休假"
resettlement,n. 重新安置
subsistence,n. 生活；生存；存在
identikit,"n. （供证人辨认罪犯的）人象拼片；拼图辨认嫌疑犯
adj. （用旧材料）拼凑成的；老一套的"
vaunt,"n. 自吹自擂
vt. 自夸；吹嘘
vi. 自夸；吹嘘"
resemblance,n. 相似；相似之处；相似物；肖像
bear a resemblance to,与…相似，与…相像
bear no resemblance to,
bucolic,"n. 田园诗；农夫
adj. 牧歌的；牧羊的；乡下风味的"
budge,"n. 羔羊皮
vt. 使让步；移动；使改变态度或意见
vi. 挪动；微微移动；改变态度或意见；服从"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
take a back seat,"na. 谦逊；坐下席；谦下
 做在后排座位；处于次要地位；处于默默无闻的地位"
take a back seat to sth.,
take a back seat to sb.,
pragmatism,n. 实用主义；独断
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
megalopolis,n. 特大都市；人口稠密地带
cello,n. 大提琴
be dotted with, 点缀着；点缀著
handful,n. 少数；一把；棘手事
a handful of,"det. 一把；一小撮；少数
 少量的；少数的；少数几位"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
merge with,"v. 使…兼并
 于…联合；与…结合；合并"
suffocate,"vt. 压制，阻碍；使……窒息
vi. 受阻，受扼制；窒息"
suffocating,adj. 令人窒息的；使人呼吸困难的；憋气的（suffocate的ing形式）
vantage,n. 优势；有利情况
urbanise,"v. 使都市化, 使文雅"
undocumented,adj. 无事实证明的；无正式文件的
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
inhabitant,n. 居民；居住者
multitude,n. 群众；多数
reorient,vt. 使适应；再调整
kickstart,"v. 强力启动；为…提供最初推动力
 无人值守安装；摩托特技；踢一脚就启动"
powerhouse,n. 精力旺盛的人；动力室；发电所
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
disoriented,"adj. 无判断力的；分不清方向或目标的
v. 使…迷惑（disorient的过去时和过去分词）"
outpost,n. 前哨；警戒部队；边区村落
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
watchtower,n. 瞭望塔，岗楼
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
at a profit,"na. 赚钱
 获利；出售某物而获利；赢利"
all of a sudden,"na. “all at once”的变体；突然
 突然地；惊变；忽然"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
earmark,"n. 特征；耳上记号
vt. 在耳朵上做记号；标记"
comprise,vt. 包含；由…组成
ultra-connected,
valiant,"n. 勇士；勇敢的人
adj. 英勇的，勇敢的"
encroach,vi. 蚕食，侵占
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
urgency,n. 紧急；催促；紧急的事
dispatch,"n. 派遣；急件
vt. 派遣；分派"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
vice-,pref. 表示“副的，次的”之义
in charge of,"na. 受托…的
 负责；主管；掌管"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
worthless,adj. 无价值的；不值钱的；卑微的
criterion,n. （批评判断的）标准；准则；规范；准据
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
have one's eye on, 注视；看上；留心着
have one's eyes on,"vt.注视,监视"
attribute,"n. 属性；特质
vt. 归属；把…归于"
assess,vt. 评定；估价；对…征税
cognitive,adj. 认知的，认识的
on the fly,"na. 匆匆忙忙地；在空中；飞行中；(计算机)运行中
 在飞行中；凭空地；不工作"
pull ... together,
validate,vt. 证实，验证；确认；使生效
leadership,n. 领导能力；领导阶层
in particular,"na. 特别；一一
 尤其；特别地；特别是"
as opposed to,"adv. 相反于
 和…相反；而不是；与…相对"
get there,"na. 达到目的；成功；“be/get there”的变体
 到达那里；到那里；到那儿"
care about,"v. 在意
 关心；在乎；担心"
be faced with,"v. 面临
 面对；面临着；遇到"
step in,"na. 调停；介入；挤进；走进
 干预；干涉；插手"
relinquish,vt. 放弃；放手；让渡
humility,n. 谦卑，谦逊
ownership,n. 所有权；物主身份
hotshot,"n. 货物快车；能人；快速交通工具
adj. 高手的；特快的"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
genius,n. 天才，天赋；精神
idiot,n. 笨蛋，傻瓜；白痴
like hell,"na. 不顾死活地；哪有这种事
 拼命地；拼命地，猛烈地；绝不会"
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
ego,n. 自我；自负；自我意识
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
most of the time,"n. 时常
 大部分时间；大多数时间；绝大部分时间"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
 搞糟；陷入困境；把…弄糟"
sum up,"na. 概括；总结
 总计；归纳；总括"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
proxy,n. 代理人；委托书；代用品
increasingly,adv. 越来越多地；渐增地
collaboration,n. 合作；勾结；通敌
résumé,
recruiter,n. 招聘人员，征兵人员
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
tailor sth. to sth.,
dedication,n. 奉献；献身；赠言
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
go overboard,"na. (说话,做事)过头；走极端
 过火；过分；别太过火"
make the case for ...,
make the case that ...,
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
go for,"na. 去喊；拥护；被认为；袭击
 适用于；为……去；支持"
applicant,n. 申请人，申请者；请求者
differentiate ... from,
snapshot,"n. 快照，快相；急射，速射；简单印象
vt. 给…拍快照
vi. 拍快照"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
introverted,"adj. 内向的
v. 使...内向（introvert的过去分词形式）；使内翻"
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
entertainment,n. 娱乐；消遣；款待
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
energetic,adj. 精力充沛的；积极的；有力的
irrelevant,adj. 不相干的；不切题的
controversial,adj. 有争议的；有争论的
cross the line,"na. (船等)越过赤道；(船)通过赤道
 跨过线；越线；越界"
open the door to ...,
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
discrimination,n. 歧视；区别，辨别；识别力
conscious,adj. 意识到的；故意的；神志清醒的
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
come into play,"na. 开始活动
 开始起作用；开始运转；产生作用"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
distract from, 分散；转移；使人分心
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
inner,"n. 内部
adj. 内部的；内心的；精神的"
beat a record, 打破记录；打破纪录
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
trait,n. 特性，特点；品质；少许
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
backfire,"n. 逆火，回火
vi. 放出逆火；预先放火；产生出乎意料及事与愿违的结果"
spiel,"n. 流利夸张的讲话；招揽生意的言辞
vt. 演奏音乐；喋喋不休地高谈阔论
vi. 演奏音乐；高谈阔论"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
cover letter,"n. 附信；求职信
 投稿信；封面信；说明信"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
to the point,"na. 露骨；中肯
 切题；切中要害；扼要"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
lecturer,n. 讲师，演讲者
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
aim at,"v. 目的在于
 瞄准；针对；旨在"
put emphasis on,"na. 着重在；强调
 重视；加强；强调某事"
engage in,"na. 从事；参加
 参与；从事于；忙于"
proposal,n. 提议，建议；求婚
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
get down to business,"na. 认真干起来
 言归正传；办正经事；开始做正事"
face-to-face,"adj. 面对面的；当面的
adv. 面对面地"
finance-accounting,
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
breadth,n. 宽度，幅度；宽宏
disposition,n. 处置； 性情； 部署；倾向
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
approachable,adj. 亲切的；可接近的
confident,adj. 自信的；确信的
empathetic,adj. 移情作用的；同感的（等于empathic）
requirement,n. 要求；必要条件；必需品
HR,
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
lose touch with,"v. 失去联系
 与……失去联系；和……失去联系；失去联络"
be involved in,"na. 被包入；被卷入漩涡
 参与；涉及；介入"
profession,n. 职业，专业；声明，宣布，表白
differ from ...,
radium,n.  镭（88号元素符号Ra）
polonium,n.  钋（一种放射性元素）
radiation,n. 辐射；发光；放射物
award,"n. 奖品；判决
vt. 授予；判定"
governess,n. 女家庭教师
look forward to,"na. 盼望
 期待；期望；期盼"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
drafty,adj. 通风良好的
subsist,"vi. 存在；维持生活
vt. 供养"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
arrange for,"na. 约(会面时间)
 安排；准备；为…作安排"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
property,n. 性质，性能；财产；所有权
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
instrument,n. 仪器；工具；乐器；手段；器械
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
emit,vt. 发出，放射；发行；发表
emission,n. （光、热等的）发射，散发；喷射；发行
uranium,n.  铀
ore,n. 矿；矿石
detect,vt. 察觉；发现；探测
be bombarded with,
a great amount of, 大量的；大部分的；许多的
a large amount of,"det. 大量
 大量的；许多；接不可数名词大量"
result in,"na. 终于(失败)
 导致；结果是；造成"
intense,adj. 强烈的；紧张的；非常的；热情的
hypothesis,n. 假设
atomic,adj. 原子的，原子能的；微粒子的
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
