abandon,"n. 放任；狂热
vt. 遗弃；放弃"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
federation,n. 联合；联邦；联盟；联邦政府
formation,n. 形成；构造；编队
friction,n. 摩擦， 摩擦力
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
gratuity,n. 赏钱，小费；赠物； 退职金
harangue,"n. 长篇大论；高谈阔论；热烈的演说
vt. 向…滔滔不绝地演讲；大声训斥
vi. 高谈阔论；慷慨陈词"
hierarchy,n. 层级；等级制度
homestay,n. （在国外的访问者）在当地居民家居住的时期
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
informative,adj. 教育性的，有益的；情报的；见闻广博的
inhabitant,n. 居民；居住者
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
inspection,n. 视察，检查
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
intervene,vi. 干涉；调停；插入
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
legislation,n. 立法；法律
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
martial,adj. 军事的；战争的；尚武的
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
monarchy,n. 君主政体；君主国；君主政治
municipal,adj. 市政的，市的；地方自治的
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
parliament,n. 议会，国会
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
permissible,adj. 可允许的；获得准许的
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
premier,"n. 总理，首相
adj. 第一的；最初的"
prerogative,"n. 特权
adj. 有特权的"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
proclaim,vt. 宣告，公布；声明；表明；赞扬
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
referendum,n. 公民投票权；外交官请示书
regent,"n. 摄政王；摄政者；州立大学董事会董事；统治者
adj. 摄政的；统治的"
regime,n. 政权，政体；社会制度；管理体制
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
remission,n. 缓解；宽恕；豁免
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
statesman,n. 政治家；国务活动家
subsidize,vt. 资助；给与奖助金；向…行贿
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
territorial,"n. 地方自卫队士兵
adj. 领土的；区域的；土地的；地方的"
territory,n. 领土，领域；范围；地域；版图
traitor,n. 叛徒；卖国贼；背信弃义的人
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
tyrannical,adj. 残暴的；暴君的；专横的
undertake,vt. 承担，保证；从事；同意；试图
unify,vt. 统一；使相同，使一致
unrest,n. 不安；动荡的局面；不安的状态
weapon,n. 武器，兵器
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
well-being,n. 幸福；康乐
acquaintance,n. 熟人；相识；了解；知道
acquisition,n. 获得物，获得；收购
applicant,n. 申请人，申请者；请求者
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
at play,"na. 在玩
 在玩耍；正在游戏；正在玩耍"
be delighted to, 高兴；高兴去；喜欢
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
briefcase,n. 公文包
bump into,"v. 偶然碰到；邂逅；遇见；(意外)撞到
 撞上；碰见；撞见"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
civic,adj. 市的；公民的，市民的
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
coincidence,n. 巧合；一致；同时发生
collaboration,n. 合作；勾结；通敌
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
competent,adj. 胜任的；有能力的；能干的；足够的
congratulate,vt. 祝贺；恭喜；庆贺
consumption,n. 消费；消耗；肺痨
convenience,n. 便利；厕所；便利的事物
cooperate,vi. 合作，配合；协力
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
dividend,n. 红利；股息； 被除数；奖金
division,n.  除法；部门；分配；分割；师（军队）；赛区
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
excessive,adj. 过多的，极度的；过分的
expedition,n. 远征；探险队；迅速
expel,vt. 驱逐；开除
formulate,vt. 规划；用公式表示；明确地表达
fortnight,n. 两星期
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
identification,n. 鉴定，识别；认同；身份证明
inalienable,adj. 不可分割的；不可剥夺的；不能让与的
inapt,adj. 不适当的；不熟练的，笨拙的
inattention,n. 不注意；疏忽；粗心
incipient,adj. 初期的；初始的；起初的；发端的
incite,vt. 煽动；激励；刺激
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
inherited,"v. 继承；经遗传而得（inherit的过去分词）
adj. 遗传的；继承权的；通过继承得到的"
insurance,n. 保险；保险费；保险契约；赔偿金
intake,n. 摄取量；通风口；引入口；引入的量
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
intermittent,adj. 间歇的；断断续续的；间歇性
intractable,adj. 棘手的；难治的；倔强的；不听话的
layout,n. 布局；设计；安排；陈列
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
nautical,adj. 航海的，海上的；船员的
naval,adj. 海军的；军舰的
novice,n. 初学者，新手
occupant,n. 居住者；占有者
on receipt of,"na. 一俟收到
 一收到就；在收到…后；当收到…的时候"
palpitate,"vt. 使发抖
vi. 发抖；（心脏）悸动；跳动"
partial,adj. 局部的；偏爱的；不公平的
pavement,"n. 人行道
路面"
payroll,n. 工资单；在册职工人数；工资名单
penury,n. 贫困；贫穷
pester,vt. 纠缠，烦扰；使烦恼
piggyback,"n. 肩扛；背负式运输
adj. 背着的； 在背肩上的
vt. 背负式装运
adv. 在背肩上"
ploy,"n. 策略；活动；工作
vt. 使部队由横队变为纵队
vi. 由横队变为纵队"
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
posthumous,adj. 死后的；遗腹的；作者死后出版的
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
preparation,n. 预备；准备
privacy,n. 隐私；秘密；隐居；隐居处
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
property,n. 性质，性能；财产；所有权
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
proxy,n. 代理人；委托书；代用品
quandary,n. 困惑；窘境；为难
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
redundancy,n.  冗余（等于redundance）；裁员；人浮于事
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
reiterate,vt. 重申；反复地做
reliance,n. 信赖；信心；受信赖的人或物
rely,vi. 依靠；信赖
removal,n. 免职；移动；排除；搬迁
repent,"adj.  匍匐生根的； 爬行的
vi. 后悔；忏悔
vt. 后悔；对…感到后悔"
residence,n. 住宅，住处；居住
resident,"n. 居民；住院医生
adj. 居住的；定居的"
residential,adj. 住宅的；与居住有关的
resignation,n. 辞职；放弃；辞职书；顺从
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
scenario,n. 方案；情节；剧本；设想
sewer,"n. 下水道；阴沟；裁缝师
vt. 为…铺设污水管道；用下水道排除…的污水
vi. 清洗污水管"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
simplify,vt. 简化；使单纯；使简易
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
status,n. 地位；状态；情形；重要身份
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stewardship,n. 管理工作；管事人的职位及职责
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
sustenance,n. 食物；生计；支持
synthesize,"vt. 合成；综合
vi. 合成；综合"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
tranquility,n. 宁静；平静
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
versed,adj. 精通的；熟练的
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
voluptuous,adj. 撩人的；骄奢淫逸的；沉溺酒色的
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
alter,"vt. 改变，更改
vi. 改变；修改"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
asymmetric,adj. 不对称的；非对称的
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
bring out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
campfire,n. 营火；营火会
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
cathedral,n. 大教堂
catholic,"n. 天主教徒；罗马天主教
adj. 天主教的；宽宏大量的"
centenary,"n. 一百年；百年纪念
adj. 一百年的"
centennial,"n. 百年纪念
adj. 一百年的"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
choral,"n. 赞美诗；唱诗班
adj. 合唱的；合唱队的"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
circulation,n. 流通，传播；循环；发行量
civilization,n. 文明；文化
clan,n. 宗族；部落；集团
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
compliance,n. 顺从，服从；承诺
confusion,n. 混淆，混乱；困惑
conservative,
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
crockery,n. 陶器；瓦器；土器
cultural heritage, 文化遗产；文化资产；文化传承
cultural,adj. 文化的；教养的
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cumulative,adj. 累积的
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
demographic,adj. 人口统计学的；人口学的
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
disadvantage,n. 缺点；不利条件；损失
disharmony,n. 不一致；不调和；不融洽
displace,vt. 取代；置换；转移；把…免职；排水
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
Easter,n. 复活节
entitle,vt. 称做…；定名为…；给…称号；使…有权利
epoch,n.  世；新纪元；新时代；时间上的一点
essence,n. 本质，实质；精华；香精
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
eternal,adj. 永恒的；不朽的
etiquette,n. 礼节，礼仪；规矩
heretic,"adj. 异端的；异教的
n. 异教徒，异端者"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
folklore,n. 民俗学；民间传说；民间风俗
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
fraction,n. 分数；部分；小部分；稍微
fruitful,adj. 富有成效的；多产的；果实结得多的
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
graphic,adj. 形象的；图表的；绘画似的
hallow,"n. 圣徒
vt. 使...神圣；把…视为神圣"
historic,adj. 有历史意义的；历史上著名的
hubbub,n. 喧哗；骚动
idiom,n. 成语，习语；土话
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
in the narrow sense,
indelible,adj. 难忘的；擦不掉的
indigenous,adj. 本土的；土著的；国产的；固有的
inestimable,adj. 无价的；难以估计的
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
inhabitant,n. 居民；居住者
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
mischief,n. 恶作剧；伤害；顽皮；不和
muddle,"vt. 混合；使咬字不清晰；使微醉
n. 糊涂；困惑；混浊状态
vi. 胡乱思考；糊里糊涂地行事"
mutate into,
nomad,"n. 游牧民；流浪者
adj. 游牧的；流浪的"
Nordic,"adj. 北欧人的；斯堪的纳维亚的；日耳曼民族的
n. 北欧人；日耳曼民族；斯堪的纳维亚人；具有北欧日尔曼民族外貌特征的人"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
null,"adj. 无效的，无价值的；等于零的
n. 零， 空"
nutrition,n. 营养，营养学；营养品
observance,n. 惯例；遵守；仪式；庆祝
odour,n. 气味；声誉
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
oriental,"adj. 东方的；东方人的
n. 东方人"
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
paradise,"n. 天堂
至福境地"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
platitude,n. 陈词滥调；平凡；陈腐
populace,n. 大众；平民；人口
predictable,adj. 可预言的
prefabricate,vt. 预先制造；预先构思；预制构件
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
prevail upon,"v. 说服；劝说
 劝诱；劝说好；词根记忆"
prophecy,n. 预言；预言书；预言能力
prophet,n. 先知；预言者；提倡者
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
rehearse,"vt. 排练；预演
vi. 排练；演习"
religion,n. 宗教；宗教信仰
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
reverent,adj. 虔诚的；恭敬的；尊敬的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
sacred,adj. 神的；神圣的；宗教的；庄严的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
summon,vt. 召唤；召集；鼓起；振作
superstition,n. 迷信
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
trait,n. 特性，特点；品质；少许
tributary,"n. 支流；进贡国；附属国
adj. 纳贡的；附属的；辅助的"
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
undue,adj. 过度的，过分的；不适当的；未到期的
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
venerable,adj. 庄严的，值得尊敬的；珍贵的
venerate,vt. 崇敬，尊敬
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
a couple of,"det. 一对
 几个；两个；两三个"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
academic atmosphere, 学习氛围；学风；学业风气
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
acquire,vt. 获得；取得；学到；捕获
acquaint,vt. 使熟悉；使认识
admission,n. 承认；入场费；进入许可；坦白；录用
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
analogy,n. 类比；类推；类似
analysis,n. 分析；分解；验定
aphorism,n. 格言；警句
applicant,n. 申请人，申请者；请求者
application form,"na. “application blank”的变体
 申请表；申请表格；申请书"
appointment system,"《英汉医学词典》appointment system
门诊预约制度"
archive,"n. 档案馆；档案文件
vt. 把…存档"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
assignment,n. 分配；任务；作业；功课
astronomy,n. 天文学
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
basic skills,"na. 基本功
 基本技能；基本技巧；共同技能"
be regarded as, 被认为是；被当做是；视为
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
boarding school,"n. 寄宿学校
 寄宿制学校；寄宿中学；寄宿制私立中学"
botanist,n. 植物学家
botany,n. 植物学；地区植物总称
case study,"n. 个案研究；专题研究；案例研究
 案例分析；个案研究法；案例学习"
coed,"n. 男女同校的学生
adj. 男女同校的"
coeducation,n. 男女同校
cognitive,adj. 认知的，认识的
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
computer literate,"adj. 能熟练使用计算机的；会用电脑的
 电脑知识；计算机能力；电脑操作熟练"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concentration,n. 浓度；集中；浓缩；专心；集合
conception,n. 怀孕；概念；设想；开始
considerable,adj. 相当大的；重要的，值得考虑的
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
contestant,n. 竞争者；争辩者
course feedback form,
curriculum,"n. 课程
总课程"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
diagram,"n. 图表；图解
vt. 用图解法表示"
dictation,n. 听写；口述；命令
diligent,adj. 勤勉的；用功的，费尽心血的
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
discussion,n. 讨论，议论
dissertation,n. 论文，专题；学术演讲
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
doctrine,n. 主义；学说；教义；信条
dogma,n. 教条，教理；武断的意见
doing some teaching,
draft version,
dreary,adj. 沉闷的，枯燥的
elitist,"n. 优秀人才；杰出人物
adj. 优秀人才的；杰出人才的"
encourage,vt. 鼓励，怂恿；激励；支持
encyclopaedic,adj. 如百科辞典的，百科全书式的
enlighten,vt. 启发，启蒙；教导，开导；照耀
enquire about,"询问,打听"
enrolment,n. 登记，注册；入学
entitle sb. to,"un. 有资格
 给……权利；赋予…做；拥有…的权利"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
expulsion,n. 驱逐；开除
faculty,n. 科，系；能力；全体教员
fee,"n. 费用；酬金；小费
vt. 付费给……"
fellowship,n. 团体；友谊；奖学金；研究员职位
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
formula,n.  公式，准则；配方；婴儿食品
get off track,
has a vital role to play in,
headmaster,n. 校长
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
in a way,"na. 在某一点上
 在某种程度上；从某种程度上说；在某点"
in broad terms,
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
inductive,adj.  归纳的； 感应的；诱导的
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
instruct,vt. 指导；通知；命令；教授
intake,n. 摄取量；通风口；引入口；引入的量
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
Intensive English,
interchangeable,adj. 可互换的；可交换的；可交替的
intricate,adj. 复杂的；错综的，缠结的
invigilate,"vt. 监考
vi. 监考；看守"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
laboratory,n. 实验室，研究室
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
mathematical,adj. 数学的，数学上的；精确的
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
memorable,adj. 显著的，难忘的；值得纪念的
memorise,vt. （英）记忆；存储（等于memorize）
methodology,n. 方法学，方法论
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
monograph,"n. 专题著作，专题论文
vt. 写关于…的专著"
nil,n. 无，零
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
notational, 记数的
