invite,"n. 邀请
vt. 邀请，招待；招致"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
confident,adj. 自信的；确信的
mood,n. 情绪，语气；心境；气氛
proud,adj. 自豪的；得意的；自负的
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
anyway,adv. 无论如何，不管怎样；总之
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
passport,n. 护照，通行证；手段
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
grandson,n. 孙子；外孙
environment,n. 环境，外界
especially,adv. 特别；尤其；格外
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
fill with sth.,
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
decision,n. 决定，决心；决议
make a decision, 做出决定；做决定；作出决定
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
relaxing,"v. 放松；休息（relax的ing形式）；缓和；松懈
adj. 令人轻松的"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
disappointment,n. 失望；沮丧
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
be in trouble,"un. 自讨苦吃；出事
 遇到麻烦；有麻烦；处于困境中"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
difficulty,n. 困难，困境
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
airline,"n. 航空公司；航线
adj. 航线的"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
sleeper,n. 卧车；卧铺；枕木；睡眠者
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
fridge,n. 电冰箱
refrigerator,n. 冰箱，冷藏库
air conditioner,"n. 空调
 冷气机；空调器；空气调节器"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
dollar,n. 美元
somebody,"n. 大人物；重要人物
pron. 有人；某人"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
receive,"vt. 收到；接待；接纳
vi. 接收"
postcard,n. 明信片
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
on vacation, 度假；在度假；在度假中
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
north,
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
rostrum,n. 讲坛；演讲者；嘴；喙
chairman,n. 主席，会长；董事长
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
republic,n. 共和国；共和政体
meaningful,adj. 有意义的；意味深长的
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
northwest,"adj. 西北的；向西北的；来自西北的
n. 西北
adv. 在西北；向西北；来自西北"
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
be full of,"na. 充满…(的)
 充满了；装满；充满他"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
direction,n. 方向；指导；趋势；用法说明
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
slowly,adv. 缓慢地，慢慢地
beside,prep. 在旁边；与…相比；和…无关
sadly,adv. 悲哀地；悲痛地
as soon as,"na. 一…就；见 soon 条
 一……就；一怎么样就怎么样；一经"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
everywhere,"n. 每个地方
adv. 到处"
Thank goodness!,谢天谢地!感谢上帝!
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
crazy,adj. 疯狂的；狂热的，着迷的
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
pollution,"n. 污染
污染物"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
disagree,vi. 不同意；不一致；争执；不适宜
disagree with sb.,
rider,n. 骑手；附文；扶手
careless,adj. 粗心的；无忧无虑的；淡漠的
helmet,n. 钢盔，头盔
light-colored,adj. 颜色浅的；不黑的
pay attention to,"na. 注意
 重视；对……注意；关心"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
safety,n. 安全；保险；安全设备；保险装置；安打
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
reflector,n.  反射物， 反射镜
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
in case of,"na. 要是
 万一；假使；如果"
injury,n. 伤害，损害；受伤处
in a word,"na. “in a few words”的变体
 总之；简言之；总而言之"
look out,"na. 挑选；注意；看外头；展望 (on；over)
 当心；小心；留神"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
Asia,n. 亚洲
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
among,prep. 在…中间；在…之中
France,n. 法国；法郎士（姓氏）
mile,n. 英里；一英里赛跑；较大的距离
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
winner,n. 胜利者
cyclist,n. 骑自行车的人
motorcycle,"n. 摩托车；机动车
vi. 骑摩托车"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
explain,v. 说明；解释
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
Europe,n. 欧洲
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
town,n. 城镇，市镇；市内商业区
village,n. 村庄；村民；（动物的）群落
death,n. 死；死亡；死神；毁灭
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
slow down,"na. 闲下来；减缓；放慢速度；减速
 慢下来；慢点；慢驶"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
task,"n. 工作，作业；任务
vt. 分派任务"
poster,n. 海报，广告；招贴
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
get in touch with,"na. 和…联系
 与…取得联系；与……联系；和……取得联系"
try one's best,"na. 尽全力
 尽力；努力；竭尽全力"
success,n. 成功，成就；胜利；大获成功的人或事物
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
cookie,n. 饼干；小甜点
pancake,"n. 薄烤饼；粉饼；平降（全称pancake landing）
vt. 使平坠著陆；使平展
vi. 平坠着陆；平展"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
set the table,"na. “lay the table”的变体
 摆饭桌；摆餐具；摆桌子"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
Indian,"n. 印度人；印第安人；印第安语
adj. 印度的；印第安人的；印第安语的"
curry,"n. 咖哩粉，咖喱；咖哩饭菜
vt. 用咖喱烧，给…加咖喱粉；梳刷；鞭打"
fried,"adj. 油炸的，油煎的；喝醉了的
v. 油炸（fry的过去分词）"
sushi,n. 寿司（生鱼片冷饭团）
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
African,"n. 非洲人
adj. 非洲的，非洲人的"
Russian,"n. 俄语；俄国人
adj. 俄国的；俄语的"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
member,n. 成员；会员；议员
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
birthplace,"n. 出生地
发源地"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
finely,adv. 非常地；细微地；美好地；雅致地
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
lightly,adv. 轻轻地；轻松地；容易地；不费力地
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
pork,"n. 猪肉
vt. 与女子性交"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
 切碎；剪碎；宰后得肉"
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
onion,n. 洋葱；洋葱头
noodle,n. 面条；笨蛋
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
junk food,"n. 垃圾食品
 垃圾食物；没有营养的食品；没有营养的垃圾食品"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
healthily,adv. 健康地
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
pear,n.  梨树；梨子
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
slurp,"n. 吃的声音；啜食声
vt. 出声地吃或喝
vi. 出声地吃或喝"
impolite,adj. 无礼的；粗鲁的
noisily,adv. 吵闹地，喧闹地
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
manner,n. 方式；习惯；种类；规矩；风俗
table manners,"n. 餐桌规矩；进餐礼节
 餐桌礼仪；餐桌礼节；用餐的规矩"
napkin,n. 餐巾；餐巾纸；尿布
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
eat up,"na. 吃完；消耗；沉迷于；很快走完(距离)
 吃光；吞灭；吃掉"
quietly,adv. 安静地；秘密地；平稳地
drink to sb.,
drink to sth.,
dine,"vi. 进餐，用餐
vt. 宴请"
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
chopstick,n. 筷子
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
southern,"n. 南方人
adj. 南的；南方的"
seafood,n. 海鲜；海味；海产食品
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
sausage,n. 香肠；腊肠；装香肠的碎肉
lady,n. 女士，夫人；小姐；妻子
gentleman,n. 先生；绅士；有身份的人
sale,n. 销售；出售；拍卖；销售额；廉价出售
for sale,"na. 出售(的)
 待售；供出售；出售的"
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
kind-hearted,adj. 仁慈的，好心肠的
menu,"n. 菜单
饭菜"
beer,"n. 啤酒
vi. 喝啤酒"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
salad,n. 色拉；尤指莴苣
lemon,"adj. 柠檬色的
n. 柠檬"
tofu,n. 豆腐
main course,"abbr. (=mainsail)主要课程；主菜
 主食；主餐；主帆"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
carrot,"n. 胡萝卜
诱饵"
dessert,n. 餐后甜点；甜点心
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
have a seat,"na. 留在原位不动
 坐下；请坐；请坐吧"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
worth,"n. 价值；财产
adj. 值…的"
effort,n. 努力；成就
successfully,adv. 成功地；顺利地
steak,n. 牛排；肉排；鱼排
neatly,adv. 整洁地；熟练地；灵巧地
regularly,adv. 定期地；有规律地；整齐地；匀称地
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
not only ... but ...,
not only ... but also ...,
conclusion,n. 结论；结局；推论
education,n. 教育；培养；教育学
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
cola,n. 可乐；可乐树（其子含咖啡碱）
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
so ... that ...,
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
handbag,n. 手提包
afford,vt. 给予，提供；买得起
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
jeans,n. 牛仔裤；工装裤
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
windbreaker,n. 防风夹克，同windcheater
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
congratulation,n. 祝贺；贺辞
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
suitable,adj. 适当的；相配的
customer,n. 顾客；家伙
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
waist,n. 腰，腰部
cold-colored,
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
business,n. 商业； 生意； 交易；事情
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
kimono,n. 和服
sportswear,n. 运动装；休闲服
easy-going,adj. 随和的，容易相处的
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
discuss,vt. 讨论；论述，辩论
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
depend,vi. 依赖，依靠；取决于；相信，信赖
depend on,"v. 依靠
 依赖；取决于；视……而定"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
plain clothes,"n. 便服
 便衣；校园先锋；便装"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
gatekeeper,n. 看门人
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
correctly,adv. 正确地；得体地
text,"n.  文本；课文；主题
vt. 发短信"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
firefighter,n. 消防队员
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
ceiling,n. 天花板；上限
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
airport,n. 机场；航空站
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
opinion,n. 意见；主张
