spaceship,n.  宇宙飞船
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
suddenly,adv. 突然地；忽然
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
looked,v. 看，瞧( look的过去式和过去分词 )；注意；面向；寻找
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
coughed,v. 咳嗽( cough的过去式和过去分词 ); （从喉咙或肺中）咳出; （突然）发出刺耳的噪音
everywhere,"n. 每个地方
adv. 到处"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
helped,v. 帮助（help的过去分词）
careful,adj. 仔细的，小心的
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
third,"num. 第三；三分之一
adj. 第三的；三分之一的"
fourth,"num. 第四
n. 第四，月的第四日；四分之一
adj. 第四的，第四个的；四分之一的"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
ran,v. 跑（run的过去式）
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
won,vt. 赢得（win的过去式和过去分词）
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decided,"vt. 决定（decide的过去式）
adj. 明确的；显然的；坚决的，果断的"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
happy,adj. 幸福的；高兴的；巧妙的
sixth,"n. 月的第六日，（与the连用的）第六个；六分之一
adj. （与 the 连用）第六的，第六个的；六分之一的"
seventh,"n. 第七；七分之一
adj. 第七的；七分之一的
adv. 居第七位地"
eighth,"num. 第八；八分之一
adj. 第八的；八分之一的"
ninth,"num. 第九
adj. 第九的；九分之一的
n. 九分之一"
tenth,"num. 第十；十分之一
adj. 十分之一的；第十个的"
birthday,n. 生日，诞辰；诞生的日子
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
May,
September,n. 九月
November,n. 十一月
July,n. 七月
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
March,
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
checked,"v. 检查（check的过去式和过去分词）
adj. 选中的；格子花纹的"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
called,"v. 打电话、称呼（call的过去式）； 呼叫；访问
adj. 被呼叫的"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
talked,交谈
December,n. 十二月
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
October,n.  十月
January,n. 一月
February,n. 二月
April,n. 四月
August,
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
height,n. 高地；高度；身高；顶点
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
centimeter,n.  厘米； 公分
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
kilogram,n. 公斤；千克
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
took,v. 拿；取；接受（take的过去式）
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
tall,"adj. 高的；长的；过分的；夸大的
adv. 夸大地"
taller,adj. 更高的；高一点的
tallest,adj. 最高的
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
shorter,adj. 较短的；更短的；更矮的（short的比较级）
shortest,adj. 最短的
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
heavier,adj. 沉重的；巨大的
heaviest,adj. 最重的（heavy的最高级）
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
bigger,adj. 更大的（big的比较级）
biggest,adj. 最大的（big的最高级）
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
smaller,adj. 较小，更小的
smallest,adj. 最小的（small的最高级）
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
longer,长的（long的比较级）
longest,adj. 最长的
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
younger,"n. 年纪较小者；幼辈
adj. 较年轻的"
youngest,"n. 最小的儿子；年纪最小的人
adj. 最年轻的"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
older,adj. 年长的；较旧的
oldest,adj. 最老的（old的最高级）；最旧的
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
thinner,"adj. 较薄的；较瘦的；较细的（thin的比较级）
n. （油漆的）稀释剂；冲淡剂；使变稀薄者，加稀料的制漆工"
thinnest,adj. 薄的，瘦的
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
planet,n. 行星
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
American,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的"
