compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
virtually,adv. 事实上，几乎；实质上
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
deprive,vt. 使丧失，剥夺
deprive sb. of sth.,
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
personality,n. 个性；品格；名人
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
electronics,n. 电子学；电子工业
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
microelectronics,n. 微电子学
miniaturization,n. 小型化，微型化
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
distinct,adj. 明显的；独特的；清楚的；有区别的
apparatus,n. 装置，设备；仪器；器官
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
solder,"n. 焊料；接合物
vt. 焊接；使联接在一起
vi. 焊接"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
occur,vi. 发生；出现；存在
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
faulty,adj. 有错误的；有缺点的
plug in,"v. 插入；插插头；插上
 插件；连接；插上电源"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
distinctly,adv. 明显地；无疑地，确实地
complicated,adj. 难懂的，复杂的
visually,adv. 形象化地；外表上；看得见地
aurally,adv. 听觉上；听起来
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
system,n. 制度，体制；系统；方法
in addition,"na. 加之
 另外；此外；又"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
cuneiform,"n. 楔形文字；楔状骨
adj. 楔形的；楔形文字的；楔状骨的"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
eventually,adv. 最后，终于
scribe,"n. 抄写员；作家；划线器
vt. 写下，记下；用划线器划
vi. 写下，记下；担任抄写员"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
connect ... to ...,
photography,n. 摄影；摄影术
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
newscast,n. 新闻广播
simultaneously,adv. 同时地
tragic,adj. 悲剧的；悲痛的，不幸的
assassination,n. 暗杀，行刺
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
in conjunction with ...,
refinement,n. 精制；文雅； 提纯
laser,n. 激光
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
comprehend,vt. 理解；包含；由…组成
journalist,n. 新闻工作者；报人；记日志者
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
immediate,adj. 立即的；直接的；最接近的
deputy,"n. 代理人，代表
adj. 副的；代理的"
agenda,n. 议程；日常工作事项；日程表
typical,adj. 典型的；特有的；象征性的
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
up-to-date,adj. 最新的，最近的；现代的，新式的
canteen,n. 食堂，小卖部；水壶
committee,n. 委员会
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
open an account,"v. 开帐户
 开户；开账户；开户头"
on a regular basis, 定期地；经常；经常地
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
checking account,"n. 活期存款账户；往来账户
 支票帐户；支票账户；支票户头"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
savings,n. 储蓄；存款；救助；节省物（saving的复数形式）
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
 填表；填好；填充"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
currency,n. 货币；通货
incur,vt. 招致，引发；蒙受
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
negligible,adj. 微不足道的，可以忽略的
fixed,"adj. 确定的；固执的；<美口>处境...的；准备好的
v. 修理（过去式）"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
differ from,"na. 和…不一致；和…意见不同
 不同于；和……不同；区别于"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
removal,n. 免职；移动；排除；搬迁
transaction,n. 交易；事务；办理；会报，学报
constitute,vt. 组成，构成；建立；任命
monetary,adj. 货币的；财政的
exchange rate,"na. 汇率
 兑换率；外汇率；汇价"
variation,n. 变化； 变异，变种
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
take account of ...,
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
uncertainty,n. 不确定，不可靠
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
framework,n. 框架，骨架；结构，构架
inflationary,adj. 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
discrimination,n. 歧视；区别，辨别；识别力
specification,n. 规格；说明书；详述
quotation,n.  报价单；引用语；引证
discourage,vt. 阻止；使气馁
arbitrage,n. 套汇，套利；仲裁
division,n.  除法；部门；分配；分割；师（军队）；赛区
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
competitive,adj. 竞争的；比赛的；求胜心切的
fluctuation,n. 起伏，波动
enable sb. to do sth.,
engage in,"na. 从事；参加
 参与；从事于；忙于"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
represent sth. as ...,
milieu,n. 环境；周围；出身背景
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
basis,n. 基础；底部；主要成分；基本原则或原理
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
rob sb. of ...,
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
impact on, 影响；对…冲击，碰撞；对…之影响
jargon,n. 行话，术语；黄锆石
asymmetric,adj. 不对称的；非对称的
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
sovereignty,n. 主权；主权国家；君主；独立国
integration,n. 集成；综合
coordination,n. 协调，调和；对等，同等
with respect to,"na. 考虑到
 关于；至于；有关"
president,n. 总统；董事长；校长；主席
define,vt. 定义；使明确；规定
strategy,n. 战略，策略
flexible,adj. 灵活的；柔韧的；易弯曲的
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
invest in,"v. 投资到
 投资于；在…上投资；在…投入"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
adapt,"vi. 适应
vt. 使适应；改编"
subcontract,"n. 分包合同； 转包合同
vt. 转包
vi. 转包；分包"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
insurance,n. 保险；保险费；保险契约；赔偿金
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
assure,vt. 保证；担保；使确信；弄清楚
assured,"n. 被保险人
v. 保证；确实（assure的过去分词）
adj. 确定的；自信的"
save sb. from doing,
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
available,adj. 可获得的；可购得的；可找到的；有空的
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
property,n. 性质，性能；财产；所有权
shelf,n. 架子；搁板；搁板状物；暗礁
aisle,n. 通道，走道；侧廊
turnstile,n. 十字转门
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
rectangular,adj. 矩形的；成直角的
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
exit,"n. 出口，通道；退场
vi. 退出；离去"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
ordinarily,adv. 通常地；一般地
poultry,"n. 家禽
家禽肉"
turkey,n. 土耳其（横跨欧亚两洲的国家）
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
refrigerate,vt. 冷藏，冷冻；使冷却；使清凉
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
yogurt,n. 酸奶酪， 酸乳（等于yoghurt）
salami,n. 意大利蒜味腊肠
beverage,n. 饮料
juice,n. （水果）汁，液；果汁
pastry,n. 油酥点心；面粉糕饼
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
be located in, 位于；坐落于；坐落在
be familiar with ...,
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
eye-catching,adj. 引人注目的；耀眼的；显著的
be worth doing,值得做……
innovative,adj. 革新的，创新的；新颖的；有创新精神的
editor,n. 编者，编辑；社论撰写人；编辑装置
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
propel,vt. 推进；驱使；激励；驱策
optimistic,adj. 乐观的；乐观主义的
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
at ... cost,"na. 照成本
 按成本；按成本计算；照原价"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
be keen to do sth.,
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
set forth,"na. 公开；发行；公布；陈述
 阐明；提出；出发"
relativity,n. 相对论；相关性；相对性
have an effect on sb.,
have an effect on sth.,
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
immense,adj. 巨大的，广大的；无边无际的；非常好的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
interchangeable,adj. 可互换的；可交换的；可交替的
atomic,adj. 原子的，原子能的；微粒子的
fission,n. 裂变；分裂；分体；分裂生殖法
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
eventful,adj. 多事的；重要的；多变故的；重大的
hardship,n. 困苦；苦难；艰难险阻
talent,n. 才能；天才；天资
devote oneself to,"na. 专心从事(研究)；一味贪玩
 献身于；致力于；致力于，献身于"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
lead to,"na. 通向
 导致；引起；通往"
honorary,"n. 名誉学位；获名誉学位者；名誉团体
adj. 荣誉的；名誉的；道义上的"
come to power, 上台；掌权；执政
professorship,n.  教授职位
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
wedding vow, 结婚誓言；婚礼誓言；婚礼盟誓
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
traditionally,adv. 传统上；习惯上；传说上
permission,n. 允许，许可
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
fiancee,n. （法）未婚妻
symbol,n. 象征；符号；标志
bridal,"adj. 新娘的；婚礼的
n. 婚礼"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
bachelor party,"n. 男子婚前聚会（常在结婚前一夜举行，招待男性朋友）
 疯狂今晚夜；单身会；单身派对"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
counseling,"n. 咨询服务
v. 建议；劝告；商讨（counsel的ing形式）"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
long-held,长期持有
individualism,n. 个人主义；利己主义；个人特征
scenic,"n. 风景胜地；风景照片
adj. 风景优美的；舞台的；戏剧的"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
decoration,n. 装饰，装潢；装饰品；奖章
bride,n. 新娘；姑娘，女朋友
groom,"vi. 打扮
vt. 整饰；推荐；喂马；刷洗（马等）
n. 新郎；马夫；男仆"
tuxedo,n. 男士无尾半正式晚礼服；无尾礼服
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
audience,n. 观众；听众；读者；接见；正式会见；拜会
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
commitment,n. 承诺，保证；委托；承担义务；献身
reception,n. 接待；接收；招待会；感受；反应
mingle,"vi. 混合；交往
vt. 使混合；使相混"
bouquet,n. 花束；酒香
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
newly-weds,(newly-wed 的复数) n. 新结婚的人
honeymoon,"n. 蜜月；蜜月假期；（新生事物、新建关系等的）短暂的和谐时期
vi. 度蜜月"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
uniquely,adv. 独特地；珍奇地
spacious,adj. 宽敞的，广阔的；无边无际的
transportation,n. 运输；运输系统；运输工具；流放
studio,n. 工作室； 演播室；画室；电影制片厂
terrific,adj. 极好的；极其的，非常的；可怕的
reflection,n. 反射；沉思；映象
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
skyrocket,"n. 流星烟火；冲天火箭
vi. 飞涨，突然高升
vt. 使…猛然上涨"
come to the conclusion,"un. 决定；得出结论；得出一个结论
 得出了这样的结论；形成某种结论；总结出"
construction,n. 建设；建筑物；解释；造句
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
convenience,n. 便利；厕所；便利的事物
basement,n. 地下室；地窖
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
clinic,n. 临床；诊所
refreshment,n. 点心；起提神作用的东西；精力恢复
versatile,adj. 多才多艺的；通用的，万能的；多面手的
stockbroker,n.  股票经纪人
repairer,n. 修理者；修补者
furrier,n. 毛皮商；毛皮衣制作工
florist,n. 花商，种花人；花卉研究者
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
moisture,n. 水分；湿度；潮湿；降雨量
purity,n.  纯度；纯洁；纯净；纯粹
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
generator,n. 发电机；发生器；生产者
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
municipal,adj. 市政的，市的；地方自治的
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
detour,"n. 绕道；便道
vt. 使…绕道而行
vi. 绕道；迂回"
mole,n. 鼹鼠；痣；防波堤；胎块；间谍
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
synonymous,adj. 同义的；同义词的；同义突变的
community,n. 社区； 群落；共同体；团体
definition,n. 定义； 清晰度；解说
variety,n. 多样；种类；杂耍；变化，多样化
vocational,adj. 职业的，行业的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
correspondence,n. 通信；一致；相当
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
humanity,n. 人类；人道；仁慈；人文学科
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
proportionate,"adj. 成比例的；相称的；适当的
vt. 使成比例；使相称"
emphasis,n. 重点；强调；加强语气
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
distinctive,adj. 有特色的，与众不同的
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
debtor,n. 债务人； 借方
satire,n. 讽刺；讽刺文学，讽刺作品
edit,"vt. 编辑；校订
n. 编辑工作"
distribution,n. 分布；分配
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
naked,adj. 裸体的；无装饰的；无证据的；直率的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
utterly,adv. 完全地；绝对地；全然地；彻底地，十足地
intimidate,vt. 恐吓，威胁；胁迫
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
psychoanalyst,n. 精神分析学家；心理分析学家
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
notion,n. 概念；见解；打算
delete,vt. 删除
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
manuscript,"n.  手稿；原稿
adj. 手写的"
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
in advance,"na. 预先；在先头
 事先；提前；事前"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
critic,n. 批评家，评论家；爱挑剔的人
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
mercifully,adv. 仁慈地
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
literary,adj. 文学的；书面的；精通文学的
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
various,adj. 各种各样的；多方面的
commit suicide,"na. 自杀；自尽
 寻短见；自裁；自杀身亡"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
mortify,"vt. 抑制；苦修；使…感屈辱
vi. 禁欲；苦行；约束"
cacophony,n. 刺耳的音调；不和谐音
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
responsible,adj. 负责的，可靠的；有责任的
illusion,n. 幻觉，错觉；错误的观念或信仰
lucrative,adj. 有利可图的，赚钱的；合算的
previously,adv. 以前；预先；仓促地
entertainment,n. 娱乐；消遣；款待
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
