barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
put yourself in sb.'s shoes,
sympathy,n. 同情；慰问；赞同
account for sth.,
empathize,vt. 移情；神会
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
precisely,adv. 精确地；恰恰
vocabulary,n. 词汇；词表；词汇量
preference,n. 偏爱，倾向；优先权
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
intention,n. 意图；目的；意向；愈合
correspond,vi. 符合，一致；相应；通信
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
tolerate,vt. 忍受；默许；宽恕
kindergarten,n. 幼儿园；幼稚园
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
fluent,adj. 流畅的，流利的；液态的；畅流的
cooperate,vi. 合作，配合；协力
cite,vt. 引用；传讯；想起；表彰
broaden one's mind,
tofu,n. 豆腐
bacon,n. 咸肉；腌肉；熏猪肉
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
bilingual,"n. 通两种语言的人
adj. 双语的"
kung fu,"n. 功夫（中国拳术）
v. 用功夫击打(对手)
 中国功夫；功夫片；徒手功夫"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
intervention,n. 介入；调停；妨碍
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
tribe,n. 部落；族；宗族；一伙
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
pessimistic,adj. 悲观的，厌世的；悲观主义的
Germanic,"n. 日耳曼语
adj. 德国的；德语的；日耳曼人的；日耳曼语的"
linguist,"n. 语言学家
学多种外语的人"
tendency,n. 倾向，趋势；癖好
skateboard,"n. 溜冰板
vi. 用滑板滑行"
canteen,n. 食堂，小卖部；水壶
sincerely,adv. 真诚地；由衷地，诚恳地
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
labour,n. （英国）工党
labour force,"n. （全公司或全国的）劳动力
 劳动人口；勞动人口；人力"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
earn a living, 谋生；谋生或维持生活；赚钱谋生
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
passion,n. 激情；热情；酷爱；盛怒
fond,adj. 喜欢的；温柔的；宠爱的
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
anticipate,vt. 预期，期望；占先，抢先；提前使用
status quo,"n. 现状；原来的状况
 维持现状；现状乐团；改变现状"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
lawyer,n. 律师；法学家
servant,n. 仆人，佣人；公务员；雇工
public servant,"n. 公务员；公仆
 公务人员；公职人员；人民公仆"
consultant,n. 顾问；咨询者；会诊医生
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
receptionist,n. 接待员；传达员
respective,adj. 分别的，各自的
zone,  地带、地区（德语）
comfort zone,"n. 舒适区；最佳状态
 舒适圈；舒适地带；舒适区域"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
leadership,n. 领导能力；领导阶层
weigh up,"na. 称量；称出；重得使另一头翘起来
 估量；掂量；衡量"
receipt,"n. 收到；收据；收入
vt. 收到"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
put sth. on the line,
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
client,n.  客户；顾客；委托人
detective,"n. 侦探
adj. 侦探的"
detective work, 侦探工作；小小侦探；当侦探
subjective,adj. 主观的；个人的；自觉的
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
groundwork,n. 基础；地基，根基
premier,"n. 总理，首相
adj. 第一的；最初的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
fabric,n. 织物；布；组织；构造；建筑物
fibre,n. 纤维；纤维制品
qualification,n. 资格；条件；限制；赋予资格
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
swing into action, 迅速采取行动
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
candidate,n. 候选人，候补者；应试者
gain the upper hand, 占上风；处于有利地位；得到优势
applicant,n. 申请人，申请者；请求者
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
prior to,"adj. 前于
 此前；在…之前；先于"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
criterion,n. （批评判断的）标准；准则；规范；准据
concisely,adv. 简明地，简洁地
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
refreshed,"adj. 恢复精神的
v. 使清凉；使重新提起精神；得到补充给养（refresh的过去分词）"
mode,n. 模式；方式；风格；时尚
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
duration,"n. 持续，持续的时间，期间
音长，音延"
for the duration,"na. 战争未结束期间
 在整个非常时期内；在整段时期内；在整段时间内"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
infer,"vi. 推断；作出推论
vt. 推断；推论"
convey,vt. 传达；运输；让与
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
genuine,adj. 真实的，真正的；诚恳的
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
put one's best foot forward,"na. 拼命走；逞能；争先快走；全力以赴
 飞速跑；留一个好印象；企图给人以尽可能好的印象"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
madam,n. 夫人；女士；鸨母
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
tournament,n. 锦标赛，联赛；比赛
auditory,"n. 听众；礼堂
adj. 听觉的；耳朵的"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
composition,n. 作文，作曲，作品； 构成；合成物；成分
educator,n. 教育家；教育工作者；教师
Confucius,n. 孔子（中国哲学家，教育家）
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
be bound to,"v. 一定要；决心
 必定；注定；一定会"
keep pace with sb.,
keep pace with sth.,
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subscribe to,"v. 同意；赞成；订阅；定期捐款
 订购；认购；赞同"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
comprehension,n. 理解；包含
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
self-worth,n. 自我价值；自尊；自负
inductive,adj.  归纳的； 感应的；诱导的
reasoning,"n. 推理；论证；评理
v. 推论；说服（reason的ing形式）
adj. 推理的"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
assumption,n. 假定；设想；担任；采取
domain,n. 领域；域名；产业；地产
vocational,adj. 职业的，行业的
occupation,n. 职业；占有；消遣；占有期
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
recreation,n. 娱乐；消遣；休养
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
statistic,"n. 统计数值
adj. 统计的，统计学的"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
in a flash,"na. 刹那间；瞬间；一下子
 一瞬间；一刹那间；转瞬间"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
compose oneself,"na. 使自己镇定下来
 镇静；使自己镇定下来；镇静下来"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
circus,n. 马戏；马戏团
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
geometry,"n. 几何学
几何结构"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
laptop,n. 膝上型轻便电脑，笔记本电脑
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
sneeze,"n. 喷嚏
vi. 打喷嚏"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
polish,
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
presentation,n. 展示；描述，陈述；介绍；赠送
cafeteria,n. 自助餐厅
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
bounce ideas off sb.,
professor,n. 教授；教师；公开表示信仰的人
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
intimidating,adj. 吓人的
carriage,n. 运输；运费；四轮马车；举止；客车厢
kettle,n. 壶； 釜；罐；鼓
librarian,n. 图书馆员；图书管理员
forehead,n. 额，前额
extension,n. 延长；延期；扩大；伸展；电话分机
