recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
labour,n. （英国）工党
collaborate,vi. 合作；勾结，通敌
collaboration,n. 合作；勾结；通敌
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tendency,n. 倾向，趋势；癖好
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contention,n. 争论，争辩；争夺；论点
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extension,n. 延长；延期；扩大；伸展；电话分机
extent,n. 程度；范围；长度
extensive,adj. 广泛的；大量的；广阔的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intend,"vi. 有打算
vt. 打算；想要；意指"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
intention,n. 意图；目的；意向；愈合
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
emerge,vi. 浮现；摆脱；暴露
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
immerse,vt. 沉浸；使陷入
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
remarkable,adj. 卓越的；非凡的；值得注意的
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
marginal,adj. 边缘的；临界的；末端的
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
extinguish,vt. 熄灭；压制；偿清
distinction,n. 区别；差别；特性；荣誉、勋章
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
distinguishable,adj. 可区别的；辨认得出的；可辨识的
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
instinct,"n. 本能，直觉；天性
adj. 充满着的"
mini,"n. 迷你型；微型汽车；超短裙
adj. 微型的；袖珍的
abbr. 微型汽车（minicar）；微型计算机（minicomputer）"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
majority,n. 多数；成年
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
minimal,adj. 最低的；最小限度的
maximal,adj. 最高的，最大的；最全面的
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
minimise,vt. 使缩到最小；成极小；求最小值
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
maximise,vt. 把…增加到最大限度；尽量增大（等于maximize）
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
privacy,n. 隐私；秘密；隐居；隐居处
deprive,vt. 使丧失，剥夺
privilege,"n. 特权；优待
vt. 给与…特权；特免"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
distribute,vt. 分配；散布；分开；把…分类
attribute,"n. 属性；特质
vt. 归属；把…归于"
attributable,adj. 可归于…的；可归属的
condolence,n. 哀悼；慰问
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
configuration,n. 配置；结构；外形
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discrepancy,n. 不符；矛盾；相差
discreet,adj. 谨慎的；小心的
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
distil,"vt. 蒸馏；提取…的精华；使渗出
vi. 蒸馏；提炼；渗出"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
elicit,vt. 抽出，引出；引起
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
intercourse,n. 性交；交往；交流
interrogation,n. 讯问；审问； 疑问句
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
intermittent,adj. 间歇的；断断续续的；间歇性
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
syndrome,n.  综合症状；并发症状；校验子；并发位
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
questionnaire,n. 问卷；调查表
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
request,"n. 请求；需要
vt. 要求，请求"
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
inquiry,n. 探究；调查；质询
require,vt. 需要；要求；命令
requirement,n. 要求；必要条件；必需品
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
visibility,n. 能见度，可见性；能见距离；明显性
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
supervisor,n. 监督人， 管理人；检查员
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
envisage,vt. 正视，面对；想像
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
driveway,n. （从建筑物，住房，车库等通往大路的）私人车道
expressway,n. （美）高速公路
freeway,n. 高速公路
underway,"n.  水底通道
adj. 进行中的；起步的；航行中的"
convey,vt. 传达；运输；让与
envoy,n. 使者；全权公使
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
deviate,"vi. 脱离；越轨
vt. 使偏离"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
via,prep. 渠道，通过；经由
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
layman,n. 外行；门外汉；俗人；一般信徒
lay-off,n. 临时解雇期； 失业期
layout,n. 布局；设计；安排；陈列
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forerunner,n. 先驱；先驱者；预兆
foresee,vt. 预见；预知
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
forth,adv. 向前，向外；自…以后
forthcoming,"n. 来临
adj. 即将来临的"
henceforth,adv. 今后；自此以后
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
consistency,n.  一致性；稠度；相容性
inconsistency,n. 不一致；易变
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
coexistence,n. 共存；和平共处；并立
subsist,"vi. 存在；维持生活
vt. 供养"
subsistence,n. 生活；生存；存在
insist,"vi. 坚持，强调
vt. 坚持，强调"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persistence,n. 持续；固执；存留；坚持不懈；毅力
persistent,adj. 固执的，坚持的；持久稳固的
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
resistor,n.  电阻器
transistor,n. 晶体管（收音机）
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
underestimate,"n. 低估
vt. 低估；看轻"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
nutrition,n. 营养，营养学；营养品
nourish,vt. 滋养；怀有；使健壮
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
edit,"vt. 编辑；校订
n. 编辑工作"
compile,vt. 编译；编制；编辑； 汇编
compiler,n. 编译器； 编译程序；编辑者，汇编者
edition,"n. 版本
版次
集"
editor,n. 编者，编辑；社论撰写人；编辑装置
editorial,"n. 社论
adj. 编辑的；社论的"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
justice,n. 司法，法律制裁；正义；法官，审判员
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
justification,n. 理由；辩护；认为有理，认为正当；释罪
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
testimony,n.  证词，证言；证据
river,n. 河，江
derive,"vt. 源于；得自；获得
vi. 起源"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
rivalry,n. 竞争；对抗；竞赛
adapt,"vi. 适应
vt. 使适应；改编"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
apt,adj. 恰当的；有…倾向的；灵敏的
aptitude,n. 天资；自然倾向；适宜
opt,vi. 选择
option,n.  选项；选择权；买卖的特权
optional,"adj. 可选择的，随意的
n. 选修科目"
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
optimism,n. 乐观；乐观主义
optimist,n. 乐观主义者；乐天派
optimistic,adj. 乐观的；乐观主义的
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
ratio,n. 比率，比例
ratify,vt. 批准；认可
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
rational,"n. 有理数
adj. 合理的；理性的"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
ministerial,adj. 部长的；内阁的；公使的；牧师的
ministry,n. （政府的）部门
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
administration,n. 管理；行政；实施；行政机构
administrative,adj. 管理的，行政的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
frantic,adj. 狂乱的，疯狂的
empirical,adj. 经验主义的，完全根据经验的；实证的
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
pervasive,adj. 普遍的；到处渗透的；流行的
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
gadget,n. 小玩意；小器具；小配件；诡计
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
pamphlet,n. 小册子
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
genuine,adj. 真实的，真正的；诚恳的
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
generate,vt. 使形成；发生；生殖；产生物理反应
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
generosity,n. 慷慨，大方；宽宏大量
indigenous,adj. 本土的；土著的；国产的；固有的
matter,"n. 物质；事件
vi. 有关系；要紧"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
maternal,adj. 母亲的；母性的；母系的；母体遗传的
maternity,"n. 母性，母道； 妇产科医院
adj. 产科的；产妇的，孕妇的"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
matron,n. 主妇；保姆；妇女；女舍监
patron,n. 赞助人；保护人；主顾
patriot,n. 爱国者
patriotic,adj. 爱国的
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composer,n. 作曲家；作家，著作者；设计者
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
composition,n. 作文，作曲，作品； 构成；合成物；成分
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposal,n. 处理；支配；清理；安排
disposition,n. 处置； 性情； 部署；倾向
expose,vt. 揭露，揭发；使曝光；显示
exposure,n. 暴露；曝光；揭露；陈列
exposition,n. 博览会；阐述；展览会
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
preposition,n. 介词；前置词
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
proposal,n. 提议，建议；求婚
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
reconciliation,n. 和解；调和；和谐；甘愿
council,n. 委员会；会议；理事会；地方议会；顾问班子
councilor,n. 顾问；评议员；参赞
councillor,n. 议员；顾问；参赞（等于councilor）
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
territory,n. 领土，领域；范围；地域；版图
terrify,vt. 恐吓；使恐怖；使害怕
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
terrorism,n. 恐怖主义；恐怖行动；恐怖统治
terrorist,n. 恐怖主义者，恐怖分子
deter,vt. 制止，阻止；使打消念头
terrific,adj. 极好的；极其的，非常的；可怕的
terribly,adv. 非常；可怕地；极度地
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
terrain,n.  地形，地势；领域；地带
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
measurement,n. 测量； 度量；尺寸；量度制
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
immense,adj. 巨大的，广大的；无边无际的；非常好的
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
oracle,n. 神谕；预言；神谕处；圣人
oral,"n. 口试
adj. 口头的，口述的"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
ancestor,n. 始祖，祖先；被继承人
anticipate,vt. 预期，期望；占先，抢先；提前使用
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
approximately,adv. 大约，近似地；近于
proximate,adj. 近似的；最近的
proximity,n. 接近，邻近；接近；接近度，距离；亲近
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
transact,"vt. 办理；处理
vi. 交易；谈判"
transaction,n. 交易；事务；办理；会报，学报
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interaction,"n. 相互作用； 交互作用
n. 互动"
interactive,adj. 交互式的；相互作用的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
reaction,n. 反应，感应；反动，复古；反作用
reactionary,"n. 反动分子；反动派；保守派
adj. 保守的，反动的；反动主义的；反对改革的"
enact,vt. 颁布；制定法律；扮演；发生
actual,adj. 真实的，实际的；现行的，目前的
actuality,n. 现状；现实；事实
agency,n. 代理，中介；代理处，经销处
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
agenda,n. 议程；日常工作事项；日程表
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
antagonism,n. 对抗，敌对；对立；敌意
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
corpse,n. 尸体
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
detach,vt. 分离；派遣；使超然
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
venerable,adj. 庄严的，值得尊敬的；珍贵的
atlas,n. 地图集；寰椎
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
kidnap,vt. 绑架；诱拐；拐骗
recipe,n. 食谱； 处方；秘诀；烹饪法
brochure,n. 手册，小册子
glossary,n. 术语（特殊用语）表；词汇表；专业词典
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
arena,n. 舞台；竞技场
office,n. 办公室；政府机关；官职；营业处
efficient,adj. 有效率的；有能力的；生效的
efficiency,n. 效率；效能；功效
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
proficiency,n. 精通，熟练
sufficient,adj. 足够的；充分的
sufficiency,n. 足量，充足；自满
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
deficient,adj. 不足的；有缺陷的；不充分的
deficiency,n. 缺陷，缺点；缺乏；不足的数额
deficit,n. 赤字；不足额
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beneficial,adj. 有益的，有利的；可享利益的
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
profitable,adj. 有利可图的；赚钱的；有益的
non-profit,adj. 非营利的
feasible,adj. 可行的；可能的；可实行的
feasibility,n. 可行性；可能性
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
expertise,n. 专门知识；专门技术；专家的意见
perilous,adj. 危险的，冒险的
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confident,adj. 自信的；确信的
confidential,adj. 机密的；表示信任的；获信任的
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
defiance,n. 蔑视；挑战；反抗
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
