acknowledge,vt. 承认；答谢；报偿；告知已收到
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
rapture,"n. 兴高采烈
vt. 使…狂喜"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
splendour,n. 显赫（等于splendor）；光彩壮丽
string,n. 线，弦，细绳；一串，一行
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
overpower,vt. 压倒；克服；使无法忍受
emigrate,"vi. 移居；移居外国
vt. 移民"
colony,n. 殖民地；移民队；种群；动物栖息地
jellyfish,n. 水母； 海蜇；软弱无能的人
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
tentacle,n. 触手， 触须， 触角
massive,adj. 大量的；巨大的，厚重的；魁伟的
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
poisonous,adj. 有毒的；恶毒的；讨厌的
venom,"n. 毒液；恶意
vt. 使有毒；放毒"
be home to, 是…的所在地；是……的家园；为……的所在地
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
in trouble,"na. 为难；被捕；未婚怀孕
 有麻烦；处于困境中；遇到麻烦"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
scorpion,n. 蝎子；蝎尾鞭；心黑的人
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
spider,n. 蜘蛛；设圈套者；三脚架
transportation,n. 运输；运输系统；运输工具；流放
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
breathtaking,adj. 惊人的；惊险的；令人激动的
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
variety,n. 多样；种类；杂耍；变化，多样化
enslave,vt. 束缚；征服；使某人成为奴隶
hobbit,n. 霍毕特人（英国作家托尔金笔下的矮人族）
rolling,"n. 旋转；动摇；轰响
adj. 旋转的；起伏的；波动的"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
fiery,adj. 热烈的，炽烈的；暴躁的；燃烧般的
sacred,adj. 神的；神圣的；宗教的；庄严的
trilogy,n. 三部曲；三部剧
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
anthem,"n. 赞美诗；圣歌
vt. 唱圣歌庆祝；唱赞歌"
embody,vt. 体现，使具体化；具体表达
resourcefulness,n. 足智多谋
controversy,n. 争论；论战；辩论
icon,n. 图标；偶像；肖像，画像；圣像
accredit,vt. 授权；信任；委派；归因于
romanticise,v. <主英>（使）浪漫化，（使）传奇化
shearer,n. 剪切机；剪切者
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
squatter,"n. 蹲着的人
vi. 涉水而过"
swagman,n. 流浪汉，收买赃货的人
disturbance,n. 干扰；骚乱；忧虑
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
eucalyptus,n. 桉树；桉属植物
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
aggressively,adv. 侵略地；攻击地；有闯劲地
sinew,"n. 筋；肌腱；体力；精力
vt. 加强；使牢固"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
thigh,n. 大腿，股
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
slavery,n. 奴役；奴隶制度；奴隶身份
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
deserve,"vi. 应受，应得
vt. 应受，应得"
freedom,n. 自由，自主；直率
abolish,vt. 废除，废止；取消，革除
come into existence,"na. 产生；成立
 开始存在；形成；出现"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
agree to,"na. 承认(提议；条件)
 同意；同意某事；赞成"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
be born into, 出身于；出生於；出生在…的家庭
circus,n. 马戏；马戏团
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
runaway,"n. 逃跑；逃走的人
adj. 逃亡的；逃走的"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
superb,adj. 极好的；华丽的；宏伟的
triangular,adj. 三角的， 三角形的；三人间的
numerous,adj. 许多的，很多的
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
abundant,adj. 丰富的；充裕的；盛产
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
indigenous,adj. 本土的；土著的；国产的；固有的
unsuited,adj. 不适宜的；不合适的
cowrie,n. 宝贝；玛瑙贝；货贝（从前南亚和非洲部分地区作货币用的）
textile,"n. 纺织品，织物
adj. 纺织的"
brandy,n. 白兰地酒
leg,n. 腿；支柱
offload,"vt. 卸下；卸货
adj. 卸载的"
smith,n. 史密斯（男子姓氏）
cooper,"n. 制桶工人；修桶匠
vi. 箍桶；修桶
vt. 箍桶；制桶"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
cargo,n. 货物，船货
rum,"n. 朗姆酒
adj. 古怪的；奇特的"
molasses,n. 糖蜜，糖浆
indigo,"n. 靛蓝，靛蓝染料；靛蓝色；槐蓝属植物
adj. 靛蓝色的"
forcibly,adv. 用力地；强制地；有说服力地
exceed,"vt. 超过；胜过
vi. 超过其他"
enslavement,n. 奴役
abduct,vt. 绑架；诱拐；使外展
dislocation,n. 转位；混乱； 脱臼
unimaginable,adj. 不可思议的；难以想像的
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
dedicate,vt. 致力；献身；题献
cemetery,n. 墓地；公墓
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
liberty,n. 自由；许可；冒失
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
consecrate,"adj. 神圣的；被献给神的
vt. 奉献；使神圣；供神用；献身于"
hallow,"n. 圣徒
vt. 使...神圣；把…视为神圣"
detract,"vi. 贬低；减去
vt. 转移，使分心"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
cameraman,n. 摄影师；照相师；摄影记者
symbolic,adj. 象征的；符号的；使用符号的
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
glamorous,adj. 迷人的，富有魅力的
viewer,n. 观察者；观看者；观众； 指示器
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
limousine,n. 豪华轿车；大型豪华轿车
photographer,n. 摄影师；照相师
journalist,n. 新闻工作者；报人；记日志者
intention,n. 意图；目的；意向；愈合
scriptwriter,n. 编剧
vote for,"na. 赞成；建议
 投票赞成；选举；投票选举"
category,n. 种类，分类； 范畴
statue,"n. 雕像，塑像
vt. 以雕像装饰"
in weight,
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
publicity,n. 宣传，宣扬；公开；广告；注意
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
superficially,adv. 表面地；浅薄地
furthermore,adv. 此外；而且
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
musical,"adj. 音乐的；悦耳的
n. 音乐片"
suspense,n. 悬念；悬疑；焦虑；悬而不决
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
animation,n. 活泼，生气；激励；卡通片绘制
realism,n. 现实主义；实在论；现实主义的态度和行为
lifelike,adj. 栩栩如生的；逼真的
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
blockbuster,n. 轰动；巨型炸弹；一鸣惊人者
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
centenary,"n. 一百年；百年纪念
adj. 一百年的"
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
tremendous,adj. 极大的，巨大的；惊人的；极好的
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
revenue,n. 税收，国家的收入；收益
tie-in,"n. （管道的）接头；关系；搭卖的广告
adj. （美）搭卖的"
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
mainstream,n. 主流
deregulate,"vt. 解除对……的管制
vi. 解除控制"
liberalise,vt. 使自由化
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
decisively,adv. 果断地；决然地
eliminate,vt. 消除；排除
restriction,n. 限制；约束；束缚
new-found,adj. 新找到的
milestone,n. 里程碑，划时代的事件
regain,"n. 收复；取回
vt. 恢复；重新获得；收回
vi. 上涨"
setback,n. 挫折；退步；逆流
mistreat,vt. 虐待
lawful,adj. 合法的；法定的；法律许可的
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
faltering,"adj. 蹒跚的；犹豫的；支吾的
v. 支吾地说，蹒跚地走（falter的现在分词）"
PDA,abbr. 个人数字助理（等于Personal Digital Assistant）；秀恩爱（Public Display of Affection）
Personal Digital Assistant,
digital,"n. 数字；键
adj. 数字的；手指的"
constantly,adv. 不断地；时常地
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
non-profit,adj. 非营利的
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
never look back, 永不回头；永不回望；永远不回头
certificated,adj. 具有证明文件的；立有证据的；业经证明的
FAQs,
Frequently Asked Questions,
dream of,"v. 梦想
 梦见；梦到；向往"
sensibly,adv. 明显地；容易感知地；聪明地
curriculum,"n. 课程
总课程"
geek,"n. 做低级滑稽表演的人，反常的人；畸形人；野人
n. （俚）极客，即智力超群，善于钻研但不懂与人交往的怪才"
obsession,n. 痴迷；困扰； 强迫观念
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
chat room,"n. 聊天室
 网络聊天室；交谈室；网路聊天室"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
enrich,vt. 使充实；使肥沃；使富足
virus,n.  病毒；恶毒；毒害
coastguard,n. 海岸警备队；水上警察
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
emergency services,"n. 应急服务机构（治安、消防、救护和海岸警卫）
 紧急服务；紧急事故服务；紧急救援服务"
vocational,adj. 职业的，行业的
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
give in to,"v. 交上；同意；接受
 屈服于；向…让步；投降"
peer pressure, 同侪压力；同伴压力；同辈压力
cable TV,"na. 电缆电视；公共天线
 有线电视；香港有线电视；有线电视网"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
appliance,n. 器具；器械；装置
turn up,"v. 朝上翻；出现
 开大；找到；露面"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
revolutionise,vt. 使彻底变革
enable,vt. 使能够，使成为可能；授予权利或方法
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
feasible,adj. 可行的；可能的；可实行的
efficiently,adv. 有效地；效率高地（efficient的副词形式）
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
effectively,adv. 有效地，生效地；有力地；实际上
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
productivity,n. 生产力；生产率；生产能力
capability,n. 才能，能力；性能，容量
workload,n. 工作量
multitasking,n. 多重任务处理；多重任务执行
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
creativity,n. 创造力；创造性
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
gadget,n. 小玩意；小器具；小配件；诡计
stay abreast of, 保持同步；领先；不落后于
wireless,"n. 无线电
adj. 无线的；无线电的
vt. 用无线电报与…联系；用无线电报发送
vi. 打无线电报；打无线电话"
equip,vt. 装备，配备
distract,vt. 转移；分心
culturally,adv. 从文化角度，文化意义上；在人文学方面
racially,adv. 人种上；按人种
diverse,adj. 不同的；多种多样的；变化多的
totem,n. 图腾；崇拜物
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
shellfish,n. 甲壳类动物；贝类等有壳的水生动物
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
porpoise,n. 海豚；鼠海豚
harmony,n. 协调；和睦；融洽；调和
windsurfing,"n. 帆板运动
v. 风帆冲浪（windsurf的ing形式）"
metropolis,n. 大都市；首府；重要中心
magnet,n. 磁铁； 磁体；磁石
fusion,n. 融合；熔化；熔接；融合物； 核聚变
cuisine,n. 烹饪，烹调法
suburb,n. 郊区；边缘
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
not to mention,"na. …不用说
 更不用说；更不必说；更别提"
prosperous,adj. 繁荣的；兴旺的
microcosm,n. 微观世界；小宇宙；作为宇宙缩影的人类；缩图（等于microcosmos）
multiculturalism,n. 多元文化论
diversity,n. 多样性；差异
full-scale,adj. 全面的；完全的；照原尺寸的
derive,"vt. 源于；得自；获得
vi. 起源"
name after,"na. name for 用(别人,别物的名字)命名
 用…的名字命名；以……命名；用…的名字作名字"
talkative,adj. 饶舌的；多话的；多嘴的；爱说话的
incapable,adj. 不能的；无能力的；不能胜任的
imaginings,n. 想象；想像出来的东西
thoughtful,adj. 深思的；体贴的；关切的
thistle,n.  蓟
skunk,"n. 臭鼬；臭鼬毛皮；讨厌鬼；卑鄙的人
vt. 使惨败；欺骗"
honeysuckle,"n.  金银花；忍冬；忍冬属植物
adj. 忍冬属植物的"
parlor,"n. 客厅；会客室；业务室
adj. 客厅的"
lilac,"n. 淡紫色；丁香花； 紫丁香
adj. 淡紫色的"
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
scrawny,adj. 骨瘦如柴的
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
satire,n. 讽刺；讽刺文学，讽刺作品
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
societal,adj. 社会的
underdog,n. 比赛中不被看好者；失败者；受压迫者；斗败了的狗
tycoon,n. 企业界大亨，巨头；巨富
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
unmistakably,adv. 明白地
deprecation,n. 祈免；贬低；反对
anthology,n. （诗、文、曲、画等的）选集
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
appendage,n. 附加物；下属； 附器（如植物的枝叶和动物的腿尾）
runaway,"n. 逃跑；逃走的人
adj. 逃亡的；逃走的"
confederation,n. 联盟；邦联；同盟
