bewail,v. 悲悼；痛哭；哀叹
wanton,"n. 荡妇；水性杨花的女人
adj. 嬉戏的；繁茂的；荒唐的；无节制的；放纵的
vt. 挥霍
vi. 放肆；嬉戏；闲荡"
adage,n. 格言，谚语；箴言
camaraderie,n. 友情；同志之爱
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
extraneous,adj. 外来的；没有关联的；来自体外的
hubbub,n. 喧哗；骚动
meander,"n. 漫步；曲流（常用复数）
vt. 漫步；蜿蜒缓慢流动
vi. 漫步；漫谈"
odoriferous,adj. 臭的，散发气味的；芬芳的
paraphernalia,n. 随身用具；全部有关的事物；设备
punctilious,adj. 一丝不苟的；精密细心的；拘泥形式的
recuperate,"vi. 恢复，复原；挽回损失
vt. 恢复，使恢复健康"
regale,"n. 款待
vt. 取悦；盛情款待
vi. 参加宴会；享用；享受"
sedentary,adj. 久坐的；坐惯的；定栖的；静坐的
Spartan,"n. 斯巴达人；勇士
adj. 斯巴达的；斯巴达式的；（生活方式）简朴的，清苦的。"
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
wry,"adj. 歪斜的，扭歪的；歪曲的；用反语表达幽默的；揶揄的
vt. 扭曲；扭歪
vi. 扭曲；扭歪"
callow,adj. 年轻而无经验的；羽毛未丰的
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
cynical,adj. 愤世嫉俗的；冷嘲的
despot,n. 专制君主，暴君；独裁者
enunciate,"vt. 发音；阐明；宣布
vi. 阐明；清晰地发音"
impediment,n. 口吃；妨碍；阻止
impoverish,vt. 使贫穷；使枯竭
indolent,adj. 懒惰的；无痛的
sagacious,adj. 睿智的，聪慧的；有远见的，聪慧的
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
speculate,"vi. 推测；投机；思索
vt. 推断"
strife,n. 冲突；争吵；不和
venerate,vt. 崇敬，尊敬
voracious,adj. 贪婪的；贪吃的；狼吞虎咽的
wane,"n. 衰退；月亏；衰退期；缺损
vi. 衰落；变小；亏缺；退潮；消逝"
apropos,"adj. 恰好的；适当的
adv. 恰好地；适当地；恰当地
prep. 关于"
ascendancy,n. 优势；支配地位（等于ascendency，ascendence）
assess,vt. 评定；估价；对…征税
aver,vt. 断言，极力声明；主张
concede,"vi. 让步
vt. 承认；退让；给予，容许"
deficient,adj. 不足的；有缺陷的；不充分的
dogma,n. 教条，教理；武断的意见
embody,vt. 体现，使具体化；具体表达
impart,vt. 给予（尤指抽象事物），传授；告知，透露
oratory,n. 雄辩；演讲术
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
proponent,n. 支持者；建议者；提出认证遗嘱者
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
sojourn,"n. 逗留；旅居
vi. 逗留；旅居"
vociferous,adj. 大声叫的；喊叫的，喧嚷的
amorous,adj. 多情的；恋爱的；热情的；色情的
belittle,vt. 轻视；贬低；使相形见小
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
divulge,vt. 泄露；暴露
exorbitant,adj. （要价等）过高的；（性格等）过分的；不在法律范围之内的
expostulate,vi. 劝诫，告诫；忠告
fateful,adj. 重大的；决定性的；宿命的
ingrate,"n. 忘恩负义的人
adj. 忘恩的；不知恩的"
injunction,n.  禁令；命令；劝告
moribund,"adj. 垂死的；停滞不前的
n. 垂死的人"
motif,n. 主题；动机；主旨；图形；意念
subsidize,vt. 资助；给与奖助金；向…行贿
sumptuous,adj. 华丽的，豪华的；奢侈的
voluble,adj. 健谈的；缠绕的；易旋转的
adroit,adj. 敏捷的，灵巧的；熟练的
affront,"n. 轻蔑；公开侮辱
vt. 冒犯，有意冒犯；面对；公开侮辱"
avocation,n. 副业；业余爱好；嗜好
crusade,"n. 改革运动；十字军东侵
vi. 加入十字军；从事改革运动"
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
demeanor,n. 风度；举止；行为
erudite,"n. 饱学之士
adj. 博学的；有学问的"
induct,vt. 引导；感应；使…就职；征召入伍
lapse,n. (一时的) 走神，判断错误
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
pariah,n. 贱民（印度的最下阶级）
prodigy,n. 奇迹，奇事；奇才；奇观；预兆
protégé,
raucous,adj. 沙哑的；刺耳的；粗声的
tacit,adj. 缄默的；不言而喻的；心照不宣的；默许的
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
antiquity,n. 高龄；古物；古代的遗物
appraise,vt. 评价，鉴定；估价
cleave,"vt. 砍开；使分开；打通
vi. 裂开；披荆斩棘地前进；粘住；坚持"
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
facet,"n. 面；方面；小平面
vt. 在…上琢面"
facsimile,"n. 传真；复写
adj. 复制的
vt. 传真；临摹"
impervious,adj. 不受影响的，无动于衷的；不能渗透的
nondescript,"adj. 平凡的，没有特色的；难以区别的；莫可名状的
n. 不属任何类型的人；难以形容的人或物"
quandary,n. 困惑；窘境；为难
repose,"n. 休息；睡眠；静止
vt. 使休息；寄托于
vi. 休息；座落；长眠；依靠；静卧；建立于"
scintillate,vi. 发出火花；闪烁
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
transmute,"vt. 使变形；使变质
vi. 变形；变质"
amputate,vt. 截肢；切断；删除
aptitude,n. 天资；自然倾向；适宜
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
boon,"n. 恩惠；福利；利益
adj. 愉快的；慷慨的"
commiserate,"vt. 同情，怜悯
vi. 同情，怜悯；吊慰"
garner,"n. 谷仓
vt. 获得；储存；把…储入谷仓"
gratis,"adj. 免费的
adv. 免费地"
incapacitate,vt. 使无能力；使不能；使不适于
inception,"n. 起初；获得学位
n. 《盗梦空间》（电影名）"
magnanimous,adj. 宽宏大量的；有雅量的；宽大的
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
practicable,adj. 可用的；行得通的；可实行的
remunerate,vt. 酬劳；给与报酬；赔偿
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
trite,adj. 陈腐的；平庸的；老一套的
amenity,n. 舒适；礼仪；愉快；便利设施
averse,adj. 反对的；不愿意的
complacent,adj. 自满的；得意的；满足的
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
defray,vt. 支出；支付
emanate,"vi. 发出；散发；发源
vt. 放射（过去式emanated，过去分词emanated，现在分词emanating，第三人称单数emanates，形容词emanative）；发散"
envisage,vt. 正视，面对；想像
facetious,adj. 诙谐的；爱开玩笑的；滑稽的；(尤指在不合适的时候)开玩笑的
fallacy,n. 谬论，谬误
furor,n. 狂热；激怒；喧闹；感动
idyll,n. 田园诗；牧歌；田园生活
paucity,n. 缺乏；少数；少量
porous,adj. 多孔渗水的；能渗透的；有气孔的
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
adversity,n. 逆境；不幸；灾难；灾祸
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
credible,adj. 可靠的，可信的
empathize,vt. 移情；神会
faculty,n. 科，系；能力；全体教员
harrowing,"adj. 痛心的；悲惨的
v. 使痛苦（harrow的ing形式）；开拓"
impair,vt. 损害；削弱；减少
infer,"vi. 推断；作出推论
vt. 推断；推论"
intuition,n. 直觉；直觉力；直觉的知识
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
nuance,n. 细微差别
pernicious,adj. 有害的；恶性的；致命的；险恶的
solace,"n. 安慰；慰藉；安慰之物
vt. 安慰；抚慰；使快乐（过去式solaced，过去分词solaced，现在分词solacing，第三人称单数solaces）"
treatise,n. 论述；论文；专著
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
blandishment,n. 奉承；谄媚；哄诱
deprecate,vt. 反对；抨击；轻视；声明不赞成
discomfit,vt. 挫败；扰乱，破坏；使…为难；使…破灭
meteoric,adj. 大气的；流星的；疾速的
overbearing,"adj. 傲慢的；压倒一切的
v. 压住；否定；专横地对待；繁殖过度（overbear的ing形式）"
precocious,adj. 早熟的；过早发育的
proffer,"n. 提供；提出；提议
vt. 提供；提出；奉献"
remonstrate,"vt. 责备，告诫；抗议；表示异议
vi. 抗议，反对；进谏；告诫"
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
solicitous,adj. 热切期望的；热心的；挂念的
succinct,adj. 简洁的；简明的；紧身的
sylvan,adj. 森林的；农村的
trepidation,n. 恐惧；惊恐；忧虑；颤抖
untoward,adj. 不幸的；麻烦的；倔强的；困难的
virtuoso,"n. 艺术品鉴赏家；古董收藏家；艺术大师
adj. 行家里手的；艺术爱好者的"
amass,vt. 积聚，积累
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
decimate,vt. 十中抽一，取十分之一；大批杀害
dexterous,adj. 灵巧的；敏捷的；惯用右手的
garb,"n. 服装；装束；打扮
vt. 装扮；穿衣"
gregarious,adj. 社交的；群居的
inherent,adj. 固有的；内在的；与生俱来的，遗传的
maternal,adj. 母亲的；母性的；母系的；母体遗传的
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
obtrusive,adj. 突出的；强迫人的；冒失的
parody,"n. 拙劣的模仿；诙谐的改编诗文
vt. 拙劣模仿"
pugnacious,adj. 好斗的，好战的
reprehensible,adj. 应斥责的；应该谴责的
tractable,adj. 易于管教的；易驾驭的；易处理的；驯良的
zany,"n. 小丑；笨人；马屁精
adj. 滑稽的；古怪的；愚蠢的"
accentuate,vt. 强调；重读
aficionado,n. 迷；狂热爱好者
antecedent,"n. 前情；先行词；祖先
adj. 先行的；前驱的；先前的"
centrifugal,"n. 离心机；转筒
adj.  离心的；远中的"
convoluted,"adj. 复杂的；费解的；旋绕的
v. 盘绕；缠绕（convolute的过去分词）"
decapitate,vt. 斩首；解雇；使无效
disingenuous,adj. 虚伪的；不诚实的；不老实的；狡猾的
indubitable,adj. 不容置疑的；明确的
jaded,"adj. 厌倦的；疲倦不堪的
v. 厌倦（jade的过去分词）；变得疲倦；精疲力竭"
masochistic,adj. 受虐狂的；自讨苦吃的
momentum,n. 势头； 动量；动力；冲力
obsolescent,adj. 荒废的；即将过时的；逐渐被废弃的
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
viscera,n. 内脏；内容（viscus的复数）
volition,n. 意志，意志力；决断力
belated,adj. 迟来的；误期的
caliber,n.  口径；才干；水准（等于calibre）；器量
chagrin,"n. 懊恼；委屈；气愤
vt. 使…懊恼"
contravene,vt. 抵触；违反；反驳；否认
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
doldrums,n. 忧郁；赤道无风带
emblazon,vt. 颂扬；用纹章装饰
eminent,adj. 杰出的；有名的；明显的
expend,vt. 花费；消耗；用光；耗尽
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
novice,n. 初学者，新手
spry,adj. 活泼的；敏捷的；精神好的
tenuous,adj. 纤细的；稀薄的；贫乏的
truism,n. 自明之理；老生常谈；老套；众所周知；真实性
blight,"n. 枯萎病；荒芜
vi. 枯萎
vt. 破坏；使…枯萎"
cite,vt. 引用；传讯；想起；表彰
clemency,n. 仁慈；温和；宽厚
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
farce,n. 闹剧；胡闹；笑剧
foray,"n. 涉足，初次尝试；突袭；侵略；攻击
vi. 袭击
vt. 劫掠"
glean,"vt. 收集（资料）；拾（落穗）
vi. 收集；拾落穗"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
ostracize,vt. 放逐；排斥；按贝壳流放法放逐
posthumous,adj. 死后的；遗腹的；作者死后出版的
quash,vt. 撤销；镇压；宣布无效；捣碎
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
ribald,"n. 言谈粗俗的人；说下流话的人
adj. 下流的；言谈粗俗的"
suffrage,n. 选举权；投票；参政权；代祷；赞成票
verve,n. 热情；神韵；活力；气魄
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
aplomb,n. 沉着；垂直；泰然自若
brandish,"n. 挥舞
vt. 挥舞；炫耀"
broach,"n. 钻头；凿子；胸针（等于brooch）
vt. 提出；钻孔；开始讨论；给…开口
vi. 突然横转"
devotee,n. 信徒；爱好者
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
extravaganza,n. 狂妄的言行；内容狂妄的作品；铺张华丽的表演
integrity,n. 完整；正直；诚实；廉正
plaintive,adj. 哀伤的；悲哀的
plaudit,n. 喝彩；赞美
regalia,n. 标记；徽章；王权
resplendent,adj. 光辉的；华丽的
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
surmount,vt. 克服，越过；战胜
tenable,adj. （主张等）站得住脚的；可维持的
apex,n. 顶点；尖端
collusion,n. 勾结；共谋
incinerate,"vt. 焚化；烧成灰
vi. 把……烧成灰；烧弃"
indict,vt. 控告，起诉； 揭发
judicial,adj. 公正的，明断的；法庭的；审判上的
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
multitude,n. 群众；多数
rescind,vi. 解除；废除；撤回
revere,vt. 敬畏；尊敬；崇敬
scion,n.  接穗；子孙
sordid,adj. 肮脏的；卑鄙的；利欲熏心的；色彩暗淡的
suave,adj. 柔和的，温和的；文雅的，娴雅的
travesty,"n. 歪曲；滑稽作品；拙劣的模仿作品
vt. 歪曲；滑稽地模仿"
vindicate,vt. 维护；证明…无辜；证明…正确
vitriolic,adj. 硫酸的；刻薄的
bogus,"n. 伪币
adj. 假的；伪造的"
demise,"n. 死亡，终止；转让；传位
vt. 遗赠；禅让"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
enshrine,vt. 铭记，珍藏；把…置于神龛内；把…奉为神圣
evince,vt. 表明，表示；引起
irrevocable,adj. 不可改变的；不能取消的；不能挽回的
martial,adj. 军事的；战争的；尚武的
memorabilia,n. 大事记；值得纪念的事物
mundane,adj. 世俗的，平凡的；世界的，宇宙的
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
querulous,adj. 易怒的，暴躁的；爱发牢骚的，抱怨的；爱挑剔的
quirk,n. 怪癖；急转；借口
refute,vt. 反驳，驳斥；驳倒
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
tome,n. 册；大本书
