enjoyable,adj. 快乐的；有乐趣的；令人愉快的
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
dynasty,n. 王朝，朝代
somehow,adv. 以某种方法；莫名其妙地
recent,adj. 最近的；近代的
professor,n. 教授；教师；公开表示信仰的人
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
opening hours,"n. （商店、银行等的）营业时间
 开放时间；办公时间；开馆时间"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
schoolmate,n. 同学；同窗
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
preparation,n. 预备；准备
event,n. 事件，大事；项目；结果
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
poet,n. 诗人
generation,n. 一代；产生；一代人；生殖
literary,adj. 文学的；书面的；精通文学的
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
courtyard,n. 庭院，院子；天井
composition,n. 作文，作曲，作品； 构成；合成物；成分
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
can't wait to do something,
soccer,n. 英式足球，足球
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
garbage,n. 垃圾；废物
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
garbage can,"n. （常置于房外的）垃圾桶
 垃圾箱；垃圾筒；垃圾箱图片"
adult,"n. 成年人
adj. 成年的；成熟的"
tolerate,vt. 忍受；默许；宽恕
behavior,n. 行为，举止；态度；反应
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
scene,n. 场面；情景；景象；事件
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
defend,"vi. 保卫；防守
vt. 辩护；防护"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
anyhow,adv. 总之；无论如何；不管怎样
deserve,"vi. 应受，应得
vt. 应受，应得"
explanation,n. 说明，解释；辩解
clinic,n. 临床；诊所
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
now that,"na. 由于
 既然；既然已；现在已经"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
hardworking,"adj. 努力工作的；不辞辛劳的，苦干的
v. 努力工作（hardwork的ing形式）"
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
error,n. 误差；错误；过失
mix up,"na. 调匀；混淆；使结交坏朋友；猛烈互击
 混合；搞糊涂；混合在一起"
guidance,n. 指导，引导；领导
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
insist,"vi. 坚持，强调
vt. 坚持，强调"
DVD,
cafe,n. 咖啡馆；小餐馆
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
at present,"na. 目前
 现在；当今；眼下"
argument,n. 论证；论据；争吵；内容提要
freedom,n. 自由，自主；直率
worried,adj. 担心的
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
foolish,adj. 愚蠢的；傻的
patience,n. 耐性，耐心；忍耐，容忍
selfish,adj. 自私的；利己主义的
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
forbid,vt. 禁止；不准；不允许；严禁
adolescence,n. 青春期
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
misunderstand,vt. 误解；误会
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
psychological,adj. 心理的；心理学的；精神上的
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
limit,"n. 限制；限度；界线
vt. 限制；限定"
wisdom,n. 智慧，才智；明智；学识；至理名言
independence,n. 独立性，自立性；自主
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
weight-loss,"un. 失重；干耗；重量损失；体重减轻
 减肥；减肥的；瘦身的"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
kilogram,n. 公斤；千克
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
energetic,adj. 精力充沛的；积极的；有力的
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
liver,n. 肝脏；生活者，居民
failure,n. 失败；故障；失败者；破产
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
chemical,"n. 化学制品，化学药品
adj. 化学的"
treatment,n. 治疗，疗法；处理；对待
painful,adj. 痛苦的；疼痛的；令人不快的
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
attractive,adj. 吸引人的；有魅力的；引人注目的
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
waist,n. 腰，腰部
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
athlete,n. 运动员，体育家；身强力壮的人
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
fall out,"v. 吵架；争执；闹僵；分手
 争吵；脱落；闹翻"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
achievement,n. 成就；完成；达到；成绩
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
membership,n. 资格；成员资格；会员身份
including,prep. 包含，包括
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
freeway,n. 高速公路
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
equipment,n. 设备，装备；器材
get into shape, 为了健美的体形而进行锻炼等; 使有条理，恰当地安排…
make the most of,"na. 充分使用；尽量使好看；极为重视；尽量称赞
 充分利用；尽量利用；充分展示"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
sadness,n. 悲哀
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
useless,adj. 无用的；无效的
in the long term,"na. 从长期看
 从长远角度看；从长远来看；从长远观点来看"
approximately,adv. 大约，近似地；近于
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
properly,adv. 适当地；正确地；恰当地
mostly,adv. 主要地；通常；多半地
system,n. 制度，体制；系统；方法
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
peaceful,adj. 和平的，爱好和平的；平静的
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
loss,n. 减少；亏损；失败；遗失
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
