bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
chairman,n. 主席，会长；董事长
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
accentuate,vt. 强调；重读
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
innocence,n. 清白，无罪；天真无邪
noxious,adj. 有害的；有毒的；败坏道德的；讨厌的
toxic,adj. 有毒的；中毒的
tonic,"n. 补药；主调音或基音
adj. 滋补的；声调的；使精神振作的"
audio,adj. 声音的； 音频的， 声频的
audience,n. 观众；听众；读者；接见；正式会见；拜会
auditorium,n. 礼堂，会堂；观众席
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
auditor,n. 审计员；听者；旁听生
aural,adj. 听觉的；耳的；气味的；先兆的
oral,"n. 口试
adj. 口头的，口述的"
orchard,n. 果园；果树林
orchestra,n. 管弦乐队；乐队演奏处
route,"n. 路线；航线；通道
vt. 按某路线发送"
router,n.  路由器；刳刨者
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
cop,"n. 巡警，警官
vt. 抓住"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
cope,"n. 长袍
vi. 处理；对付；竞争"
opera,n. 歌剧；歌剧院；歌剧团
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
operational,adj. 操作的；运作的
operator,n. 经营者；操作员；话务员；行家
cooperate,vi. 合作，配合；协力
cooperative,"n. 合作社
adj. 合作的；合作社的"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
sword,n. 刀，剑；武力，战争
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
denial,n. 否认；拒绝；节制；背弃
ounce,n. 盎司；少量；雪豹
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
oriental,"adj. 东方的；东方人的
n. 东方人"
orientation,n. 方向；定向；适应；情况介绍；向东方
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
virus,n.  病毒；恶毒；毒害
virtue,n. 美德；优点；贞操；功效
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
virtually,adv. 事实上，几乎；实质上
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
daunt,vt. 使气馁，使畏缩；威吓
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
gorgeous,adj. 华丽的，灿烂的；极好的
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
glacier,n. 冰河，冰川
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
height,n. 高地；高度；身高；顶点
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
highly,adv. 高度地；非常；非常赞许地
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
hormone,n.  激素，荷尔蒙
tolerant,adj. 宽容的；容忍的；有耐药力的
tolerate,vt. 忍受；默许；宽恕
tolerance,n. 公差；宽容；容忍；公差
talent,n. 才能；天才；天资
latent,adj. 潜在的；潜伏的；隐藏的
potent,adj. 有效的；强有力的，有权势的；有说服力的
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
ore,n. 矿；矿石
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
utilize,vt. 利用
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
icon,n. 图标；偶像；肖像，画像；圣像
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
ironic,adj. 讽刺的；反话的
fiscal,adj. 会计的，财政的；国库的
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
combination,n. 结合；组合；联合； 化合
mania,n. 狂热；狂躁；热衷
pneumonia,n. 肺炎
balcony,n. 阳台；包厢；戏院楼厅
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
nucleus,n. 核，核心；原子核
lest,conj. 唯恐，以免；担心
client,n.  客户；顾客；委托人
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
embody,vt. 体现，使具体化；具体表达
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
enlighten,vt. 启发，启蒙；教导，开导；照耀
enrich,vt. 使充实；使肥沃；使富足
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
entire,adj. 全部的，整个的；全体的
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
tiresome,adj. 烦人的，无聊的；令人讨厌的
wholly,adv. 完全地；全部；统统
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
entitled,"v. 给…权利；给…定书名；授…以荣誉（entitle的过去分词）
adj. 有资格的；给与名称的"
entity,n. 实体；存在；本质
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
unfold,"vi. 展开；显露
vt. 打开；呈现"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
lantern,n. 灯笼；提灯；灯笼式天窗
silicon,n.  硅；硅元素
onion,n. 洋葱；洋葱头
oath,n. 誓言，誓约；诅咒，咒骂
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
mixture,n. 混合；混合物；混合剂
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
emigrate,"vi. 移居；移居外国
vt. 移民"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
hose,"n. 软管；长筒袜；男性穿的紧身裤
vt. 用软管浇水；痛打"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
insight,n. 洞察力；洞悉
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
sly,adj. 狡猾的；淘气的；诡密的
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
slogan,n. 标语；呐喊声
urban,adj. 城市的；住在都市的
suburb,n. 郊区；边缘
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investigate,v. 调查；研究
faith,n. 信仰；信念；信任；忠实
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
confident,adj. 自信的；确信的
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confidential,adj. 机密的；表示信任的；获信任的
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
bureau,n. 局，处；衣柜；办公桌
bureaucracy,n. 官僚主义；官僚机构；官僚政治
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
business,n. 商业； 生意； 交易；事情
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
daze,"n. 迷乱，眼花缭乱
vt. 使茫然；使眼花缭乱；使晕眩"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermometer,n. 温度计；体温计
slit,"n. 裂缝；投币口
vt. 撕裂；使有狭缝
vi. 纵裂"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
slender,adj. 细长的；苗条的；微薄的
herb,n. 香草，药草
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
puppet,n. 木偶；傀儡；受他人操纵的人
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
persuasion,n. 说服；说服力；信念；派别
robust,adj. 强健的；健康的；粗野的；粗鲁的
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
panorama,n. 全景，全貌；全景画；概论
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
addiction,n. 上瘾，沉溺；癖嗜
additional,adj. 附加的，额外的
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
addictive,adj. 使人上瘾的
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
odds,n. 几率；胜算；不平等；差别
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
envelope,n. 信封，封皮；包膜； 包层；包迹
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
jewellery,n. 珠宝（等于jewelry）
jew,
jeopardize,vt. 危害；使陷危地；使受危困
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
mosaic,"adj. 摩西的；拼成的；嵌花式的
n. 马赛克；镶嵌；镶嵌细工"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
mosquito,n. 蚊子
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
courteous,adj. 有礼貌的；谦恭的
exotic,adj. 异国的；外来的；异国情调的
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
clarity,n. 清楚，明晰；透明
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
spicy,adj. 辛辣的；香的，多香料的；下流的
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
species,"n.  物种；种类
adj. 物种上的"
specimen,n. 样品，样本；标本
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
specification,n. 规格；说明书；详述
specify,vt. 指定；详细说明；列举；把…列入说明书
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
specialise,"vt. 使专门化；限定…的范围；深入（等于specialize）
vi. 专门研究（等于specialize）"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
zone,  地带、地区（德语）
Ozone,
X-ray,
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
lawn,n. 草地；草坪
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
pest,n. 害虫；有害之物；讨厌的人
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expansion,n. 膨胀；阐述；扩张物
timid,adj. 胆小的；羞怯的
timidity,n. 胆怯，胆小；羞怯
intimidate,vt. 恐吓，威胁；胁迫
eve,n. 前夕；傍晚；重大事件关头
blade,n. 叶片；刀片，刀锋；剑
aviation,n. 航空；飞行术；飞机制造业
niece,n. 外甥女，侄女
nephew,n. 侄子；外甥
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
fascinated,"v. 使着迷；使陶醉（fascinate的过去分词）
adj. 着迷的；被深深吸引的"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
fashionable,adj. 流行的；时髦的；上流社会的
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
flatter,vt. 奉承；谄媚；使高兴
platform,n. 平台；月台，站台；坛；讲台
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
explain,v. 说明；解释
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
complaint,n. 抱怨；诉苦；疾病；委屈
plaintiff,n. 原告
rural,adj. 农村的，乡下的；田园的，有乡村风味的
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
royalty,n. 皇室；版税；王权；专利税
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honorable,adj. 光荣的；可敬的；高贵的
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
harmful,adj. 有害的；能造成损害的
harmony,n. 协调；和睦；融洽；调和
horizon,n.  地平线；视野；眼界；范围
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
skill,n. 技能，技巧；本领，技术
skilled,adj. 熟练的；有技能的；需要技能的
skillful,adj. 熟练的；巧妙的
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
skull,n. 头盖骨，脑壳
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
dreadful,adj. 可怕的；糟透的，令人不快的
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
threat,n. 威胁，恐吓；凶兆
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
threshold,n. 入口；门槛；开始；极限；临界值
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
sacred,adj. 神的；神圣的；宗教的；庄严的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scarcely,adv. 几乎不，简直不；简直没有
scandal,n. 丑闻；流言蜚语；诽谤；公愤
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
candid,adj. 公正的；坦白的；率直的；偷拍的
