ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
reelect,vt. 重选
chronology,n. 年表；年代学
genealogy,n. 宗谱；血统；家系；系谱学
methodology,n. 方法学，方法论
pathology,n. 病理（学）; 异常状态
physiology,n. 生理学；生理机能
terminology,n. 术语，术语学；用辞
theology,n. 神学；宗教体系
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
denounce,vt. 谴责；告发；公然抨击；通告废除
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
renounce,"n. 垫牌
vt. 宣布放弃；与…断绝关系；垫牌
vi. 放弃权利；垫牌"
omnipotent,adj. 无所不能的；全能的；有无限权力的
omniscient,"adj. 全知的；无所不知的
n. 上帝；无所不知者"
omnivorous,adj. 杂食的；什么都读的；无所不吃的
hypnosis,n. 催眠；催眠状态
neurosis,n.  神经症；神经衰弱症
tuberculosis,n. 肺结核；结核病
paradigm,n. 范例；词形变化表
paralysis,n. 麻痹；无力；停顿
parameter,n. 参数；系数；参量
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
paranoia,n.  偏执狂， 妄想狂
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
department,n. 部；部门；系；科；局
impart,vt. 给予（尤指抽象事物），传授；告知，透露
particularity,n. 特质；个性；讲究
impasse,n. 僵局；死路
passbook,n. 银行存折；赊帐登录本
surpass,vt. 超越；胜过，优于；非…所能办到或理解
trespass,"n. 罪过；非法侵入；过失；擅自进入
vi. 侵入；犯罪；打扰；冒犯"
dispel,vt. 驱散，驱逐；消除（烦恼等）
impel,vt. 推动；驱使；激励
repellent,"n. 防护剂；防水布；排斥力
adj. 排斥的；防水的；弹回的；令人讨厌的"
pend,"n. （苏格兰）挂件
vt. 推迟对…的决定；使悬而不决
vi. 悬而未决"
impending,"adj. 即将发生的；迫切的；悬挂的
v. 迫近；悬空（impend的现在分词）"
interdependent,adj. 相互依赖的；互助的
pendant,n. 下垂物，垂饰
pendulum,n. 钟摆；摇锤；摇摆不定的事态
perpendicular,"n. 垂线；垂直的位置
adj. 垂直的，正交的；直立的；陡峭的"
suspender,n. 袜吊；吊裤带；悬挂物
claustrophobia,n.  幽闭恐怖症
xenophobia,n. 仇外；对外国人的畏惧和憎恨
deport,vt. 驱逐出境；举止；放逐
deportation,n. 驱逐出境；放逐
opportune,adj. 适当的；恰好的；合时宜的
portal,n. 大门，入口
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
depose,"vt. 免职；作证；废黜
vi. 宣誓作证"
expose,vt. 揭露，揭发；使曝光；显示
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
compression,n. 压缩，浓缩；压榨，压迫
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
expressly,adv. 清楚地，明显地；特别地，专门地
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
suppress,vt. 抑制；镇压；废止
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
circumscribe,vt. 外切，外接；限制；在…周围画线
describe,vt. 描述，形容；描绘
inscribe,vt. 题写；题献；铭记；雕
manuscript,"n.  手稿；原稿
adj. 手写的"
proscribe,vt. 剥夺……的公权；禁止
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
consign,vt. 交付；托运；寄存；把…委托给
consignment,n. 委托；运送；托付物
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
insist,"vi. 坚持，强调
vt. 坚持，强调"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
subsistence,n. 生活；生存；存在
abstain,vi. 自制；放弃；避免
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
containment,"n. 包含；牵制；容量；密闭度；抑制, 牵制；牵制  政策"
maintain,vt. 维持；继续；维修；主张；供养
pertain,vi. 属于；关于；适合
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contender,n. 竞争者；争夺者
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
intend,"vi. 有打算
vt. 打算；想要；意指"
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
detest,vt. 厌恶；憎恨
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
testimonial,"n. 证明书；推荐书
adj. 证明的；褒奖的；表扬的"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
detract,"vi. 贬低；减去
vt. 转移，使分心"
extraction,n. 取出；抽出；拔出；抽出物；出身
retract,"n. 收缩核
vt. 缩回；缩进；取消
vi. 缩回；缩进；撤消"
tract,n. 束；大片土地，地带；小册子
advent,n. 到来；出现；基督降临；基督降临节
circumvent,v. 包围；智取；绕行，规避
convent,n. 女修道院
invent,vt. 发明；创造；虚构
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
inadvertently,adv. 非故意地，无心地
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
pervert,"n. 堕落者；行为反常者；性欲反常者；变态
vt. 使堕落；滥用；使反常"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
subvert,vt. 颠覆；推翻；破坏
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
backfire,"n. 逆火，回火
vi. 放出逆火；预先放火；产生出乎意料及事与愿违的结果"
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
enigmatic,adj. 神秘的；高深莫测的；谜一般的
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
denim,n. 斜纹粗棉布，丁尼布；劳动布
beset,vt. 困扰；镶嵌；围绕
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
drummer,n. 鼓手；旅行推销员；跑街
besiege,vt. 围困；包围；烦扰
ardent,adj. 热情的；热心的；激烈的；燃烧般的
adversary,n. 对手；敌手
bolster,"n. 支持；长枕
vt. 支持；支撑"
shake hands with ...,
locust,n.  蝗虫， 蚱蜢
categorize,vt. 分类
endangered,adj. 濒临灭绝的；有生命危险的
endangered species,"na. 濒危物种
 濒临灭绝的物种；濒危种；濒危动物"
clan,n. 宗族；部落；集团
coexist,vi. 共存；和平共处
multicultural,adj. 多种文化的；融合或具有多种文化的
aftermath,n. 后果；余波
turbulence,n. 骚乱，动荡； 湍流；狂暴
peacekeeping,adj. 维护和平的；执行停火协定的
constrain,vt. 驱使；强迫；束缚
UN,abbr. 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）
United Nations,"n. 联合国
 联合国总部；联合国供应合作伙伴；国际连合"
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
counteract,vt. 抵消；中和；阻碍
erosion,n. 侵蚀，腐蚀
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
demise,"n. 死亡，终止；转让；传位
vt. 遗赠；禅让"
bloc,n. 集团
chic,"n. 时髦；别致的款式
adj. 别致的"
pendant,n. 下垂物，垂饰
dangle,"vt. 使摇晃地悬挂
vi. 摇晃地悬挂着"
decease,"n. 死亡
vi. 死，死亡"
coronation,n. 加冕礼
inauguration,n. 就职典礼；开始，开创；开幕式
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
indefinite,adj. 不确定的；无限的；模糊的
deflect,"vt. 使转向；使偏斜；使弯曲
vi. 转向；偏斜"
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
sunburn,"n. 晒黑； 晒斑
vt. 晒伤；晒黑；晒红
vi. 晒伤皮肤；晒红皮肤；晒黑皮肤"
protect ... from ...,
disable,vt. 使失去能力；使残废；使无资格
gymnastics,n. 体操；体育；体操运动
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
brewer,n. 啤酒制造者；阴谋家
diversify,vt. 使多样化，使变化；增加产品种类以扩大
lineup,n. 阵容；一组人；电视节目时间表
foothold,n. 据点；立足处
graveyard,n. 墓地
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
exposition,n. 博览会；阐述；展览会
encompass,vt. 包含；包围，环绕；完成
nostalgia,n. 乡愁；怀旧之情；怀乡病
engulf,vt. 吞没；吞食，狼吞虎咽
volley,"n. 齐射；齐射出的子弹；凌空状态
vt. 截击；齐发；连声发出
vi. 截击；齐鸣；进行群射"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
termination,n. 结束，终止
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
penal,adj. 刑事的；刑罚的
equalize,"vt. 补偿；使相等
vi. 成为相等；打成平局"
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
inaugural,"n. 就职演讲；开幕辞
adj. 开始的；开幕的；就任的，就职的"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
eradicate,vt. 根除，根绝；消灭
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
sandstone,n.  砂岩；沙岩
It is plausible that ...,
exemplify,vt. 例证；例示
haughty,adj. 傲慢的；自大的
bureaucrat,n. 官僚；官僚主义者
resin,"n. 树脂；松香
vt. 涂树脂；用树脂处理"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
vile,adj. 卑鄙的；邪恶的；低廉的；肮脏的
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
neon,n. 霓虹灯；氖（10号元素，符号Ne）
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
flicker,"n. 闪烁；闪光；电影
vi. 闪烁；摇曳；颤动；扑动翅膀；假装昏倒
vt. 使闪烁；使摇曳"
implicate,vt. 使卷入；涉及；暗指；影响
disgraceful,adj. 不名誉的，可耻的
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
consecutive,adj. 连贯的；连续不断的
invalidate,vt. 使无效；使无价值
entitlement,n. 权利；津贴
rebate,"n. 折扣
vt. 减少；打折扣
vi. 退还部分付款，打折扣"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
jeopardize,vt. 危害；使陷危地；使受危困
undercover,adj. 秘密的，秘密从事的；从事间谍活动的
underway,"n.  水底通道
adj. 进行中的；起步的；航行中的"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
an economic recovery,
protectionism,n. 保护主义，贸易保护主义；贸易保护制度
liberalize,"vt. 使自由化；宽大
vi. 自由化"
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
perspiration,n. 汗水；流汗；努力
moisten,"vt. 弄湿；使…湿润
vi. 潮湿；变潮湿"
smock,"n. 工作服；罩衫
vt. 给…穿上罩衫"
necessitate,vt. 使成为必需，需要；迫使
dietary,"n. 规定的食物；饮食的规定；食谱
adj. 饮食的，饭食的，规定食物的"
obliterate,vt. 消灭；涂去；冲刷；忘掉
predominantly,adv. 主要地；显著地
indigenous,adj. 本土的；土著的；国产的；固有的
theology,n. 神学；宗教体系
ordain,"vt. 任命某人为牧师；授某人以圣职；（上帝、法律等）命令；注定
vi. 颁布命令"
vicar,n. 教区牧师，教堂牧师；传教牧师；代理人
after graduation,
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
overrun,"n. 泛滥成灾；超出限度
vt. 泛滥；超过；蹂躏
vi. 泛滥；蔓延"
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
beastly,"adj. 野蛮的；残忍的；可恶的
adv. 极，非常"
midsummer,"n. 仲夏；盛夏；夏至
adj. 仲夏的"
parch,"vt. 烤，烘；使干透
vi. 焦干；烤干"
jargon,n. 行话，术语；黄锆石
pertain,vi. 属于；关于；适合
biochemistry,"n. 生物化学
生物化学过程"
wry,"adj. 歪斜的，扭歪的；歪曲的；用反语表达幽默的；揶揄的
vt. 扭曲；扭歪
vi. 扭曲；扭歪"
stunning,"adj. 极好的；使人晕倒的；震耳欲聋的
v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）"
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
narcotic,"adj. 麻醉的；有麻醉作用的；催眠的
n.  麻醉药；镇静剂；起麻醉作用的事物"
venerable,adj. 庄严的，值得尊敬的；珍贵的
relegate,vt. 把降低到；归入；提交
commoner,n. 平民；自费学生；下议院议员
unaccountable,adj. 无责任的；莫名其妙的；不可理解的
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
relent,"v. 再借给（relend的过去分词）
vt. 使变温和；减轻
vi. 变温和，变宽厚；减弱；缓和"
venue,n. 审判地；犯罪地点；发生地点；集合地点
muddle,"vt. 混合；使咬字不清晰；使微醉
n. 糊涂；困惑；混浊状态
vi. 胡乱思考；糊里糊涂地行事"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
feudalism,n. 封建主义；封建制度
advent,n. 到来；出现；基督降临；基督降临节
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
urine,n. 尿
snowflake,n. 雪花；雪片莲；雪巫
shimmer,"n. 微光；闪光
vt. 使闪烁
vi. 闪烁；发闪烁的微光"
basil,n. 罗勒属植物（用于调味）；斜刃面
broth,n. 肉汤；液体培养基
simmer,"vt. 炖
vi. 炖；内心充满；即将爆发
n. 炖；即将沸腾的状态；即将发作"
cod,abbr. 货到付款（cash on delivery）；货到收款（collect on delivery）；化学需氧量（chemical oxygen demand）
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
promenade,"n. 散步；舞会；骑马
adj. 散步的
vt. 散步，漫步；骑马
vi. 散步"
lance,"n. 长矛；执矛战士；柳叶刀
vt. 以长矛攻击；用柳叶刀割开；冲进
vi. 急速前进"
spurt,"n. 冲刺；喷射
vi. 冲刺；喷出；迸发
vt. 喷射；喷出"
subdivide,"vt. 把……再分，把……细分
vi. 细分，再分"
legality,n. 合法；合法性；墨守法规
questionable,adj. 可疑的；有问题的
glamorous,adj. 迷人的，富有魅力的
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
transcend,vt. 胜过，超越
melodramatic,adj. 夸张的；情节剧的；戏剧似的
undercut,"n. 底切；牛腰部下侧嫩肉；砍口；切球
vt. 廉价出售；较便宜的工资工作；从下边削球
vi. 底切"
authenticity,n. 真实性，确实性；可靠性
flawless,adj. 完美的；无瑕疵的；无裂缝的
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
incomparable,"n. 盖世无双的人
adj. 无比的；无可匹敌的；不能比较的"
saga,n. 传说；冒险故事；英雄事迹
pacifist,"n. 和平主义者
adj. 非战主义的"
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
shortcoming,n. 缺点；短处
bureaucratic,adj. 官僚的；官僚政治的
methodology,n. 方法学，方法论
lousy,adj. 讨厌的；多虱的；污秽的；极坏的
bastard,"n. 私生子
adj. 私生的"
bellow,"n. 吼叫声；轰鸣声
vi. 吼叫；怒吼；咆哮
vt. 大声喊叫；大声发出"
concur,vi. 同意；一致；互助
supposition,n. 假定；推测；想像；见解
causal,"n. 表示原因的连词
adj. 因果关系的；有原因的"
a causal relationship,
elicit,vt. 抽出，引出；引起
candid,adj. 公正的；坦白的；率直的；偷拍的
fruitless,adj. 不成功的，徒劳的；不结果实的
culprit,n. 犯人，罪犯；被控犯罪的人
haunted,"v. 常去；缠住；使担忧（haunt的过去式和过去分词）
adj. 闹鬼的；反复出现的；受到困扰的"
motel,n. 汽车旅馆
fabricate,vt. 制造；伪造；装配
alibi,"n. 不在场证明或辩解；托辞
v. 辩解；找托辞开脱"
treatise,n. 论述；论文；专著
overstate,vt. 夸张；夸大的叙述
instability,n. 不稳定（性）；基础薄弱；不安定
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
duo,n. 二重奏；二重唱；二人组
CD,abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
compact disc,"n. 激光唱片
 光盘；压缩光盘，又称激光唱盘；光碟"
ramble,"vi. 漫步；漫游；闲逛；漫谈；蔓延
vt. 漫步于…
n. 漫步；漫游；随笔"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
diminutive,"adj. 小的，小型的，微小的
n. 爱称；指小词；身材极小的人"
hue,n. 色彩；色度；色调；叫声
alight,"adj. 烧着的；点亮着的
vi. 下来；飞落"
cerebral,adj. 大脑的，脑的
bash,"n. 猛烈的一击，痛击
vt. 猛击，痛击；怒殴"
skull,n. 头盖骨，脑壳
braid,"n. 辫子；穗带；发辫
vt. 编织"
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
buff,"n. 浅黄色；软皮；爱好者； 健康的身体
vt. 有软皮摩擦；缓冲；擦亮，抛光某物"
boutique,"n. 精品店；专卖流行衣服的小商店
adj. 精品屋的；小规模专售精品的"
glossy,adj. 光滑的；有光泽的
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
cutlery,n. 餐具；刀剑制造业
fanatic,"n. 狂热入迷者；盲信者；盲信
adj. 狂热的；盲信的"
chuck,vt. 丢弃，抛掷；驱逐；轻拍
grenade,"n. 手榴弹；灭火弹
vt. 扔手榴弹；用催泪弹攻击"
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
clamber,"vt. 爬，攀登
vi. 攀登，爬上
n. 攀登，爬上"
rung,"n. 横档，脚蹬横木；地位
v. 给…打电话（ring的过去式和过去分词）"
dusky,adj. 暗淡的；微暗的；忧郁的；朦胧的
loft,"n. 阁楼；顶楼；鸽房
vt. 把…储放在阁楼内
vi. 将球高击"
fragmentary,adj. 碎片的；不完全的；断断续续的
embed,vt. 栽种；使嵌入，使插入；使深留脑中
granite,n. 花岗岩；坚毅；冷酷无情
potter,"n. 陶艺家，制陶工人
vt. 闲混，虚度
vi. 闲逛；慢条斯理地做事"
engrave,vt. 雕刻；铭记
dainty,"n. 美味
adj. 美味的；讲究的；秀丽的；挑剔的"
flick,"n. 弹开；快速的轻打；轻打声
vt. 轻弹；忽然摇动；轻轻拂去
vi. 轻弹；忽然摇动；轻轻拂去"
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
mug,"n. 杯子；脸；苦读者
vi. 扮鬼脸，做怪相
vt. 行凶抢劫"
suspender,n. 袜吊；吊裤带；悬挂物
flop,"n. 失败；砰然落下；拍击声
vi. 失败；扑拍；扑通落下；笨重地摔
vt. 笨拙地抛下；扑通放下；拍（翅）
adv. 扑通一声；恰巧"
take off ...,
fumble,"n. 摸索；笨拙的处理；漏球
vi. 摸索；笨拙地行动；漏球
vt. 摸索；笨拙地做；漏接"
ruby,"n. 红宝石；红宝石色
adj. 红宝石色的
vt. 使带红宝石色"
clothesline,n. 晒衣绳
gag,"n. 塞口物；讨论终结；箝制言论
vt. 塞住…的口；钳制…的言论；使窒息
vi. 插科打诨；窒息；作呕"
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
larva,n.  幼体， 幼虫
cobweb,"n. 蜘蛛网；蛛丝；圈套
vt. 使布满蛛网；使混乱"
at the sight of ...,
grimace,"n. 鬼脸；怪相；痛苦的表情
vi. 扮鬼脸；作怪相；作苦相"
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
laurel,"n. 桂冠，殊荣；月桂树
vt. 授予荣誉，使戴桂冠"
wrestler,n. 摔跤选手，搏斗者
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
airship,n. 飞艇
transcontinental,adj. 横贯大陆的；大陆那边的
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
greasy,adj. 油腻的；含脂肪多的；谄媚的
mince,"vt. 切碎；矫揉做作地说
vi. 装腔作势；碎步走
n. 切碎物，肉馅"
prawn,"n. 对虾，明虾
vi. 捕虾"
clam,"n. 蛤；沉默寡言的人；钳子
vi. 捞蛤；保持沉默，闭嘴不言"
casserole,"n. 勺皿；砂锅菜；餐桌上用有盖的焙盘
vi. 用焙盘焙"
bony,adj. 骨的；多骨的；瘦骨嶙峋的；似骨的
prowl,"n. 徘徊，潜行；悄悄踱步
vt. 在…搜寻；潜行于
vi. 徘徊，潜行"
consulate,n. 领事；领事馆；领事任期；领事职位
scrawl,"n. 潦草的笔迹
vt. 潦草地写；乱涂
vi. 乱涂，涂鸦；乱写"
logo,n. 商标，徽标；标识语
scribble,"n. 潦草写成的东西；潦草的写法；杂文
vt. 乱写；滥写；潦草地书写
vi. 乱写；乱涂"
autograph,"n. 亲笔，手稿；亲笔签名
vt. 亲笔签名于…；亲笔书写"
duckling,n. 小鸭子
scurry,"vi. 急赶；急跑
n. 急跑；短距离赛跑（或赛马）
vt. 急赶"
asphalt,"n. 沥青；柏油
adj. 用柏油铺成的
vt. 以沥青铺"
sever,"vt. 割断，断绝；分开；使分离
vi. 断；裂开；分离"
artery,n. 动脉；干道；主流
coma,n.  昏迷； 彗形像差
shuffle,"n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱"
pulpit,n. 讲道坛；高架操纵台；神职人员
bridal,"adj. 新娘的；婚礼的
n. 婚礼"
smear,"n. 涂片；诽谤；污点
vt. 诽谤；弄脏；涂上；把…擦模糊
vi. 被弄脏"
margarine,n. 人造黄油；人造奶油
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
syrup,n. 糖浆，果汁；含药糖浆
snuff,"n. 鼻烟；烛花；灯花
vt. 剪烛花；掐灭；消灭；嗅出
vi. 扑灭；断气；嗅"
mantelpiece,n. 壁炉架；壁炉台
stoke,"vt. 拨旺火；使饱吃一顿
vi. 烧火；做司炉工；大吃大喝"
briskly,adv. 迅速地；活泼地；尖刻地
nominee,n. 被任命者；被提名的人；代名人
