rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
radiator,n. 散热器；暖气片；辐射体
vacuum cleaner,"n. 真空吸尘器
 吸尘机；真空清洁器；真空吸尘机"
water heater,"n. 热水器
 热水炉；水加热器；电热水器"
basin,n. 水池；流域；盆地；盆
kettle,n. 壶； 釜；罐；鼓
dishwasher,n. 洗碗工；洗碟机
microwave oven,"n. 微波炉
 微波烤箱；电子微波炉；微波加热炉"
stereo system,"un. 立体声系统
 立体音响系统；立体声音响；音响设备"
toaster,n. 烤面包器，烤箱；祝酒人；烤面包的人
elevator,n. 电梯；升降机；升降舵；起卸机
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
courtyard,n. 庭院，院子；天井
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
balcony,n. 阳台；包厢；戏院楼厅
corridor,走廊
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
fountain,n. 喷泉，泉水；源泉
swimming pool,"n. 游泳池；游泳场；游泳馆
 泳池情杀案；酒店泳池；泳池谋杀案"
car park,"n. 停车场；停车房
 停车处；停车位；停车库"
laundry room,"n. 洗衣间
 洗衣房；洗衣室；洗衣房图片"
kindergarten,n. 幼儿园；幼稚园
nursery,n. 苗圃；托儿所；温床
primary school,"n. 小学
 本村小学；小学教育；小学组"
elementary school,"n. （美国）小学
 国小；国民小学；小学校"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
bed sheet,"n. 床单
 被单；床单子；求购床单"
mattress,n. 床垫；褥子；空气垫
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
wardrobe,n. 衣柜；行头；全部戏装
requirement,n. 要求；必要条件；必需品
personal detail,
preference,n. 偏爱，倾向；优先权
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
noisy,adj. .嘈杂的；喧闹的；聒噪的
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
special diet,"un. 特别饮食
 特殊饮食；特定饮食；特别食谱"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
red meat,"n. 红肉（指牛肉、羊肉等）
 牛羊肉；红色肉类；未煮前颜色是红色的肉类"
seafood,n. 海鲜；海味；海产食品
peanut,n. 花生
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
catering,"n. 给养；承办酒席；提供饮食及服务
v. 备办食物（cater的ing形式）"
full board,"n. （旅馆的）全食宿
 全膳；全包；全餐"
shared area,
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
kitchen,n. 厨房；炊具；炊事人员
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
bathroom,n. 浴室；厕所；盥洗室
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
dryer,n. 烘干机； 干燥剂
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
restaurant,n. 餐馆； 饭店
UK,"n. 英国
abbr. 联合王国（United Kingdom）"
the United Kingdom,
London,n. 伦敦
Sydney,
New Zealand,"n. 新西兰
 纽西兰；奥克兰；区新西兰"
New York,"n. 纽约州
 美国纽约；纽约市；纽约步"
Canada,n. 加拿大（北美洲国家）
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
Toronto,
Australia,n. 澳大利亚，澳洲
Australian,"adj. 澳大利亚的，澳大利亚人的
n. 澳大利亚人"
United States of America,"un. 美利坚合众国
 美国；美国美利坚合众国；美利坚合衆国"
USA,abbr. 美国；美利坚合众国（the United States of America）
America,n. 美洲（包括北美和南美洲）；美国
the States, 美国；各州；来称呼美国
American,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的"
France,n. 法国；法郎士（姓氏）
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
Paris,n. 巴黎（法国首都）；帕里斯（特洛伊王子）
Italy,n. 意大利（欧洲南部国家）
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
Rome,n. 罗马（意大利首都）
Germany,n. 德国
German,"n. 德语；德国人
adj. 德国的；德语的，德国人的"
Japan,n. 日本（东亚国家名）
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
Switzerland,n. 瑞士（欧洲国家）
Swiss,"n. 瑞士人；瑞士腔调
adj. 瑞士的；瑞士人的；瑞士风格的"
Switzer,n. 瑞士人
Russia,n. 俄罗斯
Russian,"n. 俄语；俄国人
adj. 俄国的；俄语的"
Spain,n. 西班牙
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
Greece,希腊（欧洲南部国家）
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
destination,n. 目的地，终点
lookout point,"un. 侦察哨
 了望点；观景点；看守台"
viewing shelter,
stunning view,
sunrise,n. 日出；黎明
location,n. 位置（形容词locational）；地点；外景拍摄场地
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
region,n. 地区；范围；部位
waterfall,n. 瀑布；瀑布似的东西
museum,n. 博物馆
cinema,n. 电影；电影院；电影业，电影制作术
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
historical interest, 历史古迹；历史名胜；历史遗迹
art gallery,"n. 美术馆；艺术展览馆
 画廊；艺术画廊；艺廊"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
temple,n. 庙宇；寺院；神殿；太阳穴
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
safari park,"n. 野生动物园
 沙法瑞公园；狩猎公园；野生公园"
wildlife,"n. 野生动植物
adj. 野生动植物的"
exhibition,n. 展览，显示；展览会；展览品
statue,"n. 雕像，塑像
vt. 以雕像装饰"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
mountain,n. 山；山脉
palace,n. 宫殿；宅邸；豪华住宅
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
aquarium,n. 水族馆；养鱼池；玻璃缸
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
tropical rainforest,"un. 热带雨林
 热带雨林区；而将其列入热带雨林气候；热带的雨林"
amusement park,"n. 游乐场；娱乐园
 游乐园；娱乐公园；公共游乐场"
theme park,"n. 主题公园
 主题乐园；主题园；主题游乐园"
playground,n. 运动场，操场；游乐场
organic farm,
main entrance,"un. 主要出入口；主通道
 正门；大门；主要入口"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
exit,"n. 出口，通道；退场
vi. 退出；离去"
post office,"n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）
 邮政局；邮电局；邮政署"
ticket office,"na. 票房
 售票处；购票处；售票口"
gift shop,"n. 礼品店
 礼品商店；礼物店；售纪念品处"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
formal garden,"un. 规则式园林
 整型式庭园；正式花园；形式园"
herb garden,"un. 草本植物园
 香草花园；药草园；香草园"
workshop,n. 车间；研讨会；工场；讲习班
street art, 街头艺术；创意生活涂鸦艺术作品；很棒的街头艺术
wretched boat,
agriculture fair, 农业集市
concert hall,"na. 音乐堂
 音乐厅；演奏厅；音乐大厅"
craft shop, 工艺品店
conference centre, 会议中心
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
journey,"n. 旅行；行程
vi. 旅行"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
hiking,n. 徒步旅行
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
entertainment,n. 娱乐；消遣；款待
leisure activity, 休闲活动；休闲活动是什麽；休闲时间如何度过
recreation,n. 娱乐；消遣；休养
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
sailing,"n. 航行，航海；启航；航海术
v. 航行，起航（sail的现在分词形式）
adj. 航行的"
wreck diving,
paddling pool,"n. （尤指小型的塑料）浅水池
 嬉水池；戏水池；涉水池"
rafting,"n. 筏运； 成筏过程
v. 用筏运送（raft的ing形式）"
fishing,"n. 渔业；捕鱼（术）；试探；装配
adj. 钓鱼的；钓鱼用的
v. 捕鱼（fish的ing形式）"
SPA service,
massage,"vt. 按摩；揉
n. 按摩；揉"
camping,"n. 露营；野营
v. 露营；扎营；临时安顿（camp的ing形式）"
horse riding,"n. 骑马
 马术；骑马活动；海滩骑马"
balloon ride,
survival course,
cookery lesson,
feed animals,
donation,n. 捐款，捐赠物；捐赠
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
weather observation,天气观测
cater for,"un. 备办食物:；凑合
 迎合；投合；满足"
transportation,n. 运输；运输系统；运输工具；流放
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
bus service,"un. 汽车接送
 公交服务；公交车；公共汽车"
double-decker bus,n. 双层巴士
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
expressway,n. （美）高速公路
subway,"n. 地铁；地道
vi. 乘地铁"
minivan,n. 小型货车
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
steamship,n. 轮船；汽船
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
pick-up point,收集点
first class,"n. 头等座位（或车厢、舱）；第一类邮件（在英国投递最快的邮件）
adv. 乘坐头等座位（或车厢、舱）；（英国）按最快投递邮件
 头等舱；第一战；一等地"
leg-room,n. (飞机、汽车、影剧院)座位前伸腿的空间
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
departure,n. 离开；出发；违背
arrival,n. 到来；到达；到达者
motorcycle,"n. 摩托车；机动车
vi. 骑摩托车"
walking,"n. 步行；散步
v. 步行（walk的ing形式）
adj. 步行的"
cable car,"n. 索车；有轨缆车
 叮当车；电缆车；空中缆车"
check in,"v. 报到；(旅馆)登记
 入住；办理登记手续；签到"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
foyer,n. 门厅，休息室；大厅
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
B&B,
bed and breakfast,"n. 住宿加（次日）早餐；床位加早餐；提供住宿加早餐的旅馆
 食宿；床和早餐；住宿和早餐"
room service,"n. （旅馆）客房送餐服务
 客房服务；房间服务；送餐部"
cottage,n. 小屋；村舍；（农舍式的）小别墅
locker room,"n. 更衣室
 衣帽间；更农室；更衣间"
ground floor,"n. 底层
 一楼；第一层；底楼"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
fee,"n. 费用；酬金；小费
vt. 付费给……"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
price list,"na. 定价表
 价目表；价格表；价格单"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
pocket money,"n. 零用钱；常用于英式英语
 零花钱；给小孩零用钱的利与弊；两条牛仔龙"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
financial,adj. 金融的；财政的，财务的
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
cheque,n. 支票
pounds,"n. 磅，英镑；重击（pound复数形式）
v. 猛击（pound的第三人称单数）"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
optional,"adj. 可选择的，随意的
n. 选修科目"
exchange rate,"na. 汇率
 兑换率；外汇率；汇价"
currency,n. 货币；通货
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accommodation package,
special offer,"n. 特价；特别优惠
 限时特价；特价商品；特价优惠"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
in advance,"na. 预先；在先头
 事先；提前；事前"
in ahead of time,
return ticket,"n. 往返票
 到阜阳六百里；来回票；往返机票"
round-trip ticket, 往返票，双程票
single ticket,"na. 单程车票
 单程票；分单程票；车票又可细分为单程票"
one-way ticket,n. 单程票
equipment,n. 设备，装备；器材
necessity,n. 需要；必然性；必需品
luggage,n. 行李；皮箱
baggage,n. 行李； 辎重（军队的）
suitcase,n.  手提箱；衣箱
mobile phone,"n. 手机；移动电话
 手机号码；行动电话；手提电话"
digital camera,"na. 数码照相机
 数码相机；数位相机；数字相机"
video camera,"n. 摄像机
 摄影机；录像机；电视摄像机"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
mosquito net,"n. 蚊帐
 帐子；防蚊套；蚊帐都不一定能安心入睡呢"
luxury tent,
glove,"n. 手套
vt. 给…戴手套"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
life jacket,"n. 救生衣
 救身衣；救生背心；航行救生衣"
raincoat,n. （美）雨衣
swimming suit,"n. 游泳衣
 泳装；针织游泳衣；泳衣裤"
casual clothes,"na. 便服
 休闲服；休闲装；休闲服装"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
trousers,n. 裤子，长裤
spare socks,
boots,n. 靴子（boot的复数）；（英）擦靴的仆役
sandals,"n.  凉鞋； 拖鞋（sandal的复数）；便鞋
v. 使穿凉鞋（sandal的第三人称单数）"
sunscreen,n. （防晒油中的）遮光剂；防晒霜
lip balm, 润唇膏；护唇膏；唇部保养
high-energy snacks,
bottled water, 瓶装水；瓶装饮用水；矿泉水
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
traveller,n. 旅行者
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
tour guide,"un. 导游
 导游人员；导游员；观光导游"
travel agency,"n. 旅行社
 旅游公司；旅行代理店；中国旅行社"
adult,"n. 成年人
adj. 成年的；成熟的"
senior citizen,"n. 老年人（委婉说法，尤指退休者）
 老人；资深公民；老年公民"
married couple,"un. 双索吊钩吊索系统
 已婚夫妇；新婚夫妻；伉俪"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
wheelchair,n. 轮椅
backpacker,n. 背包旅行者
hitch-hiker,n. 沿途搭便车的人
retired,"adj. 退休的；退役的；幽闭的
v. 退休（retire的过去分词）"
nationality,n. 国籍，国家；民族；部落
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
signature,n. 署名；签名；信号
notice board,"na. 布告牌
 布告栏；公告栏；公告板"
reception desk,"na. (旅馆的)接待处
 总服务台；前台；接待台"
insurance,n. 保险；保险费；保险契约；赔偿金
health check,"un. 健康检查
 体检；身体检查；体检疫苗"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
passport,n. 护照，通行证；手段
ID card,"n. 身份证
 身分证；身份证号码；身份卡"
driving licence,"n. 驾照；驾驶执照
 驾驶许可证；驾驶证；汽车驾驶执照"
embassy,n. 大使馆；大使馆全体人员
safety regulation,"un. 安全规程；安全规则；安全守则
 管家部安全管理制度；安全调节；安全法规"
safety helmet,"un. 安全帽
 安全头盔；记住安全帽不是；一种安全头盔"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
accident,n. 事故；意外； 意外事件；机遇
non-smoking area,
alarm system,"un. 警报系统；报警系统；告警系统
 防盗系统；防盗报警；报警器"
double-lock,v. 把…双重锁上
time limit,"n. 期限；时限；限期
 时间限制；装运期限；时间限制响应"
thunderstorm,n.  雷暴；雷暴雨；大雷雨
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
radio programme,"n. 广播节目
 电台节目；收音频道；收音机节目"
Internet access,
leaflet,n. 小叶；传单
guide book,"un. 指南；入门书
 导览册；旅游指南；指导书"
visitor centre, 游客中心；访客中心；游客资讯中心
on one side of,
on the other side of, 在……另一边；在…的另一边；在…另一面
on the corner of, 拐角处；在……的拐角处；在…的角落
at the back of,"na. 在…背后
 在…后面；在……背后；在……之后"
beside,prep. 在旁边；与…相比；和…无关
opposite to, 在对面；相反的；与…相对
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
towards,prep. 朝，向；对于；有助于
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
close to,"na. 接近于；在附近
 靠近；亲近；离…近"
go straight ahead, 一直往前走；直走；一直向前走
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
right opposite,"na. 正相反
 正对面"
parallel to,"v. 和…相似
 平行；类似；平行于"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
go across,"na. 渡过；不顺
 穿过；走过；越过"
far from,"na. 远离；决不
 远非；完全不；远远不是"
at the end of,"na. 在…末端；在…的结尾
 在……的尽头；在……的末尾；在…结尾"
go past,"na. 打旁边走过
 路过；经过；走过路过"
crossroad,n. 十字路口；交叉路；岔道；重大的抉择关头
T-junction,n. 丁字路口，T型接合
intersection,n. 交叉；十字路口；交集；交叉点
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
route,"n. 路线；航线；通道
vt. 按某路线发送"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
corridor,走廊
pavement,"n. 人行道
路面"
pedestrian crossing,"n. 人行横道；行人穿越道
 斑马线；行人过路处；行人交叉路"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
half circle,
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
curved,"n. 倒弧角
adj. 弯曲的；弄弯的
vt. 弯曲（curve的过去式）"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
rectangle,n. 矩形；长方形
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
a row of,det. 一排；一行
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
fish farm,"n. 养鱼场
 渔场；鱼塭；四分场养鱼场"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
mountain bike,"n. 山地自行车；越野单车
 山地车；山地自行车赛；登山车"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
holiday house,
waiting room,"n. 候诊室；等候室；候车室
 候机室；等待室；侯诊室"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
"first come, first served",un. 先来先服务
Master Card,
Visa Card,
sunglasses,n. 太阳镜；凸透镜（sunglass的复数）
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
