now that,"na. 由于
 既然；既然已；现在已经"
brand-new,adj. 崭新的；最近获得的
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
perpetuate,"vt. 使不朽；保持
adj. 长存的"
ad infinitum,"adv. 无止境地；无休止地
 无限；无穷；意思是无限地"
guilt,n. 犯罪，过失；内疚
most of all,"adj. 尤其是
 最重要的是；最最；最主要的是"
put it best ...,
put it well ...,
put it cleverly ...,
cultural,adj. 文化的；教养的
meaningless,adj. 无意义的；无目的的
attribute sth. to sb.,
attribute sth. to sth.,
website,n. 网站（全球资讯网的主机站）
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
ultimately,adv. 最后；根本；基本上
buy into,"na. (出钱)做股东
 买进；买入股票；相信"
lead to,"na. 通向
 导致；引起；通往"
disappointment,n. 失望；沮丧
hold onto,"na. 盘据
 紧紧抓住；坚持；保住"
miserable,adj. 悲惨的；痛苦的；卑鄙的
debt,n. 债务；借款；罪过
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
put a cap on,限制；控制；制止
buy on credit,"na. 赊买
 赊购；可以赊购；赊欠"
contentment,n. 满足；满意
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
look back on,"v. 回顾
 回忆；回顾过去；回首"
berate,vt. 严责；申斥
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
flaunt,"n. 炫耀；飘扬；招展
vt. 炫耀；飘扬
vi. 飘扬；夸耀"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
celebrity,n. 名人；名声
conspicuous,adj. 显著的；显而易见的
mansion,n. 大厦；宅邸
reasonable,adj. 合理的，公道的；通情达理的
trappings,n. 服饰，礼服；外部标志；马饰
necessity,n. 需要；必然性；必需品
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
fad,n. 时尚；一时的爱好；一时流行的狂热
sport utility vehicle,"n. 运动型多功能车（四轮驱动、可在崎岖路段行驶）
 运动型多用途车；运动型多用途汽车；运动休闲车"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
guise,"n. 伪装；装束；外观
vt. 使化装
vi. 伪装"
behemoth,"n. 巨兽；河马
adj. 巨大的；高大的"
contractor,n. 承包人；立契约者
landscaper,n. 庭园设计家
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
surgery,n. 外科；外科手术；手术室；诊疗室
appliance,n. 器具；器械；装置
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
popularity,n. 普及，流行；名气；受大众欢迎
category,n. 种类，分类； 范畴
excessive,adj. 过多的，极度的；过分的
satellite,n. 卫星；人造卫星；随从；卫星国家
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
prolific,adj. 多产的；丰富的
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
gratification,n. 满意；喜悦；使人满意之事
SUV,
in debt,"un. 背上了债；负债；欠款
 欠债；欠债，欠情；欠著债"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
statistics,n. 统计；统计学； 统计资料
bankruptcy,n. 破产
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
grim,adj. 冷酷的；糟糕的；残忍的
cite,vt. 引用；传讯；想起；表彰
per capita,"adj. 每人的；人均的
 按人；拉丁语人均；按人口平均计算"
obvious,adj. 明显的；显著的；平淡无奇的
affluence,n. 富裕；丰富；流入；汇聚
fund,"n. 基金；资金；存款
vt. 投资；资助"
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
reevaluate,v. 再评估，再评价
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
in reality,"na. 事实上；实在
 实际上；在现实中；其实"
roll around,"na. (时光)流逝；周而复始；按时到临
 重临；时间的流逝；满地乱滚"
priority,n. 优先；优先权； 优先次序；优先考虑的事
nest egg,"n. 备用的钱；储备金
 私房钱；储蓄；养老金"
stash away,"n. 隐藏处; 藏起, 隐藏（某物）"
by all means,"na. 必定；千方百计；不惜一切；好的
 务必；一定；无论如何"
take a page from,
take a page from sb.,
take a page from sth.,
so-called,adj. 所谓的；号称的
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
billionaire,n. 亿万富翁
have it easy, 放轻松；过得舒服；处境很好
memoir,n. 回忆录；研究报告；自传；实录
scant,"adj. 不足的；缺乏的；勉强够的
vt. 减少；节省；限制"
award,"n. 奖品；判决
vt. 授予；判定"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
considerable,adj. 相当大的；重要的，值得考虑的
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
heir,n.  继承人；后嗣；嗣子
inclination,n. 倾向，爱好；斜坡
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
sponge off,"un. 用海绵洗涤
 依赖他人生活；海绵除色；海棉除色法"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
blog,n. 博客；部落格；网络日志
instill,vt. 徐徐滴入；逐渐灌输
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
critic,n. 批评家，评论家；爱挑剔的人
offspring,n. 后代，子孙；产物
circumstance,n. 环境，情况；事件；境遇
passionate,adj. 热情的；热烈的，激昂的；易怒的
frugally,adv. 节约地；节省地
privilege,"n. 特权；优待
vt. 给与…特权；特免"
from the outset,"na. 从一开始
 从一开始起；从开始时；伊始"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
MTV,
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
soundtrack,n. 声带；声道；声迹；电影配音
miniseries,n. 集数少的电视连续剧
live it up,"na. 狂欢；纵情作乐
 狂欢一场；纵情欢乐；过着逍遥的日子"
step into one's shoes,"un. 拦住…；乘势儿上去；继承…的一切
 接替某人的位置"
retirement,n. 退休，退役
leadership,n. 领导能力；领导阶层
enterprise,n. 企业；事业；进取心；事业心
trainee,n. 练习生，实习生；受训者；新兵；训练中的动物
at the behest of, 在……命令下；命令请求下；听命於
hand on,"na. 依次传递
 把…传下去；传下来；转交"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
nonprofit,adj. 非盈利的；不以盈利为目的的
empower,vt. 授权，允许；使能够
come and go,"na. 来来去去；变化无定；来往
 来来往往；往来；来和去"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
currency,n. 货币；通货
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
negotiation,n. 谈判；转让；顺利的通过
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
skew,"n. 斜交；歪斜
adj. 斜交的；歪斜的
vt. 使歪斜
vi. 偏离，歪斜；斜视"
presence,n. 存在；出席；参加；风度；仪态
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
wobbly,adj. 不稳定的；摆动的；歪斜的
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
leave behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
prominent,adj. 突出的，显著的；杰出的；卓越的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
bonus,n. 奖金；红利；额外津贴
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
occasional,adj. 偶然的；临时的；特殊场合的
devotion,n. 献身，奉献；忠诚；热爱
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
generosity,n. 慷慨，大方；宽宏大量
look over one's shoulder, 严密监视
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
kindness,n. 仁慈；好意；友好的行为
grateful,adj. 感谢的；令人愉快的，宜人的
paranoia,n.  偏执狂， 妄想狂
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
in one's eyes,"na. 在…的心目中
 眼里；在。。。眼里；在心目中，考虑或想到"
in the eyes of,"na. 在…的心目中
 在……看来；眼里；观点看来"
fall short of,"na. “come short”的变体；“fall short”的变体
 达不到；缺乏；不符合"
expectation,n. 期待；预期；指望
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
incense,"n. 香；奉承
vt. 向…焚香；使…发怒
vi. 焚香"
apparent,adj. 显然的；表面上的
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
 洗餐具；洗手洗脸；洗涤餐具"
take aside,v. 把…叫到一旁
aspect,n. 方面；方向；形势；外貌
equation,n. 方程式，等式；相等； 反应式
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
maintain,vt. 维持；继续；维修；主张；供养
rhythm,n. 节奏；韵律
help out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
parenting,"n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲"
management,n. 管理；管理人员；管理部门；操纵；经营手段
relieve ... of,"v. 解除
 减轻；消除；减轻……的"
in one's view, 依某人看来
responsibility,n. 责任，职责；义务
get ... wrong,"get wrong
提供错误情况；对…了解有误：
I'm sorry I got your name wrong in my article.
对不起，我在我的文章里把你的名字写错了。
在(表演、计算等)中有错误：
I shall have to do this sum again, I think I've got the answer wrong.
我必须再计算一次这道题，我想我得出的答案是错误的。"
preference,n. 偏爱，倾向；优先权
involvement,n. 牵连；包含；混乱；财政困难
parental,adj. 父母亲的，父母的；亲代的，亲本的
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
heritage,n. 遗产；传统；继承物；继承权
strike a balance,"na. 结账；衡量得失
 冲帐；取得平衡；冲账"
put ... in perspective,
put ... into perspective,
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
in response to,"na. 应…而
 响应；回答；对…做出反应"
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
dine,"vi. 进餐，用餐
vt. 宴请"
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
get away with,"na. 拿走；避开责备；卷(款)潜逃
 逃避惩罚；被放过；侥幸做成"
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
 坚持到底；显眼；凸出"
vocalise,v. 发声，元音化
criticism,n. 批评；考证；苛求
proactive,adj. 前摄的（前一活动中的因素对后一活动造成影响的）；有前瞻性的，先行一步的；积极主动的
be confined,"na. 闭居；坐月子
 坐困；临盆；系狱"
arise,vi. 出现；上升；起立
arisen,"v. 出现（arise的过去分词）；起身；升起
adj. 兴起的；出现的"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
insecure,adj. 不安全的；不稳定的；不牢靠的
frustration,n. 挫折
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
on the flip side,
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
ground rule,"n. 基本原则；基本准则；（某一体育运动场地等的）比赛规则
 程序；基本规则；场地规则"
deal-breaker,血色交易（电影名）
acknowledge,vt. 承认；答谢；报偿；告知已收到
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
hurtful,adj. 造成损害的
complacent,adj. 自满的；得意的；满足的
arrogant,adj. 自大的，傲慢的
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
eternally,adv. 永恒地；不朽地
eternal,adj. 永恒的；不朽的
unspoken,adj. 无言的；未说出口的；不言而喻的
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
take on board,"v. 装载
 考虑；接某人上车"
mandarin,"n. （中国）普通话；国语；官话；满清官吏；柑橘
adj. 紧身马褂的"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
non-existent,adj. 不存在的
comprehension,n. 理解；包含
fall through,"na. 失败
 落空；成为泡影；告吹"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
appalling,"adj. 可怕的；令人震惊的
v. 使惊愕；惊吓（appal的ing形式）"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
 写下；写下来；减记"
audio,adj. 声音的； 音频的， 声频的
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
metro,n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
accidentally,adv. 意外地；偶然地
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
woot,与“耶！”或“噢吼！”等感叹词类似
suck at,"na. 吸
 抽；在某方面糟透了；不擅长"
vital,adj. 至关重要的；生死攸关的；有活力的
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
royally,adv. 庄严地；像国王似地
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
 弄糟；搞砸；搞砸了"
context,n. 环境；上下文；来龙去脉
run the risk of,"v. 冒…的危险
 冒着……的危险；冒险；冒著…的危险"
mispronunciation,n. 发音错误
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
cutesy,adj. 忸怩作态的；故意讨人喜爱的
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
memorable,adj. 显著的，难忘的；值得纪念的
ado,n. 忙乱，纷扰，麻烦
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
cred,"n. 街头信誉（等于street cred）
abbr. 信誉；可靠性（credibility）"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
ballad,n. 歌谣，民谣；叙事歌谣；流行抒情歌曲
KTV,
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
rant,"n. 咆哮；激昂的演说
vt. 咆哮；痛骂
vi. 咆哮；痛骂；大声责骂"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
option,n.  选项；选择权；买卖的特权
exceed,"vt. 超过；胜过
vi. 超过其他"
enrollment,n. 登记；入伍
be equal to,"na. 等于；胜任；赶得上；忍耐得住
 与……相等；相当；能胜任"
emerging,"v. 形成；浮现；显露（emerge的ing形式）；由…中脱出
adj. 新兴的；出现的；形成的"
typically,adv. 代表性地；作为特色地
typical,adj. 典型的；特有的；象征性的
be typical of,"v. 代表；象征
 是…的特点；典型的；有代表性的"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
head for,"na. 走向
 前往；向…方向前进；朝…方向走去"
move on to, 继续；移到；转向
