ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
rethink,"n. 重新考虑；反思；新想法
vt. 重新考虑；再想
vi. 重新考虑；再想"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
footprint,n. 足迹；脚印
prototype,n. 原型；标准，模范
equip,vt. 装备，配备
microwave,n. 微波
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
facilities,n. 设施；工具，设备
dependence,n. 依赖；依靠；信任；信赖
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
surprisingly,adv. 惊人地；出人意料地
enthusiastic,adj. 热情的；热心的；狂热的
carpool,"vt. 合伙使用汽车
vi. 合伙使用汽车"
direction,n. 方向；指导；趋势；用法说明
eagerly,adv. 急切地；渴望地；热心地
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
dusty,adj. 落满灰尘的
helmet,n. 钢盔，头盔
decent,adj. 正派的；得体的；相当好的
workout,n. 锻炼；练习；试验
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
bookstore,n. 书店（等于bookshop）
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
novel,"adj. 新奇的；异常的
n. 小说"
gym,n. 健身房；体育；体育馆
treadmill,n. 踏车，跑步机；单调的工作
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
departure,n. 离开；出发；违背
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
payoff,"adj. 支付的；决定性的；产生结果的
n. 报酬；结果；发工资；结算"
usage,n. 使用；用法；惯例
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
grocery,"n. 食品杂货店
食品杂货"
rainy,adj. 下雨的；多雨的
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
make do,"na. 用(某物)设法应付
 凑合着用；将就；设法对付"
make do with sth.,
make do without sth.,
shut off,"na. 阻断；使隔开
 关掉；切断；关闭"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
 削减；减少；消减"
opt for,"na. 选取；赞成
 选择；就是选择；选择了"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
from now on,"na. 从今以后
 从现在起；从现在开始；今后"
no longer,"na. 不再
 已不；再也；再也不"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
stop in,"na. 顺便过访某人；同“stop off”
 中途作短暂访问；顺便访问；阻止"
in earnest,"na. 诚挚
 认真地；认真的；诚挚地"
nothing but,"na. 不外；的确
 只有；只不过；只是"
opportunity,n. 时机，机会
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
timer,n.  定时器；计时器；计时员，记时员；跑表；延时调节器
environmental,adj. 环境的，周围的；有关环境的
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
educator,n. 教育家；教育工作者；教师
guilt,n. 犯罪，过失；内疚
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
reuse,"n. 重新使用，再用
vt. 再使用"
notebook,n. 笔记本，笔记簿；手册
folder,n. 文件夹；折叠机；折叠式印刷品
refillable,adj. 适于再装的
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
restroom,n. 厕所；洗手间
convince,vt. 说服；使确信，使信服
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
hallway,n. 走廊；门厅；玄关
veggie,n. 素食者
tofu,n. 豆腐
copresident,"n. (和他人一起担任相同职务的)行政长官之一
 公司共同总裁"
emission,n. （光、热等的）发射，散发；喷射；发行
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
reusable,adj. 可以再度使用的，可重复使用的
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
container,n. 集装箱；容器
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
nonplastic,adj. 非（可）塑性的
protect,vt. 保护，防卫；警戒
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
stash,"n. 藏匿处；藏匿物
vt. 存放；贮藏
vi. 存放；藏起来"
foldable,adj. 可折叠的；可合拢的
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
recipe,n. 食谱； 处方；秘诀；烹饪法
vinegar,n. 醋
lemon,"adj. 柠檬色的
n. 柠檬"
baking soda,"na. 小苏打；碳酸氢钠
 苏打粉；小苏打粉；梳打粉"
digital,"n. 数字；键
adj. 数字的；手指的"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
wrinkly,"n. 老人（俚语）
adj. 有皱纹的；易生皱纹的"
washer,n.  垫圈；洗涤器；洗衣人
unnecessary,adj. 不必要的；多余的，无用的
cut down on,"un. 削减；节省；减轻
 减少；继续，保持；振作"
over time,"conj. 随着时间的过去
 三十拉警报；随着时间的推移；久而久之"
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外；拖延
 闲逛；闲荡；出去消遣"
keep an eye on,"v. 密切注意
 照看；留意；密切注视"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
daunt,vt. 使气馁，使畏缩；威吓
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
transition,n. 过渡；转变； 转换；变调
foothold,n. 据点；立足处
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
internship,n. 实习生；（美）实习期；实习医师职位
trivial,adj. 不重要的，琐碎的；琐细的
alumnus,n. 男校友；男毕业生
hard-wired,adj.  硬连线的，硬接线的
researcher,n. 研究员
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
cognitive,adj. 认知的，认识的
performer,n. 演出者；执行者；演奏者
endow,vt. 赋予；捐赠；天生具有
memory,n. 记忆，记忆力；内存， 存储器；回忆
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
client,n.  客户；顾客；委托人
industry,n. 产业；工业；勤勉
flexibility,n. 灵活性；弹性；适应性
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
solver,n. 解决者； 解算机； 求解程序
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
prioritization,n. 优先次序；优化；优先化
technology,n. 技术；工艺；术语
planner,n. 计划者，规划师
roadmap,n. 路标（等于road map）
initiation,n. 启蒙，传授；开始；入会
exceptional,"n. 超常的学生
adj. 异常的，例外的"
pump up,"na. 充气；打气；促进…大幅增长；使…期盼
 给……打气；热切期望；用泵加压"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
get a foot in the door, 一脚已经进了门里；获得机会参加；迈向目标的第一步
apply to,"v. 应用于
 适用；适用于；应用到"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
get the ball rolling, 开始；让球滚起来；使蓬勃发展
start up,"n. 创办中的公司；开机
v. 开办；发动(机器,引擎等)
adj. 新开张的
 启动；惊起；起动"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
hirable,adj. 能租用的，能雇用的
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
oriented,"adj. 导向的；定向的；以…为方向的
v. 调整；使朝向（orient的过去分词）；确定…的方位"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
linguistic,adj. 语言的；语言学的
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
qualifier,"n.  修饰语
n. 资格赛，预选赛；取得资格的人"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
qualification,n. 资格；条件；限制；赋予资格
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
statement,n. 声明；陈述，叙述；报表，清单
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
assertion,n. 断言，声明；主张，要求；坚持；认定
similar,"n. 类似物
adj. 相似的"
rep,"n. 棱纹平布；雷普（物体伦琴当量）
abbr. 代表（representative）；名声（reputation）"
estimation,n. 估计；尊重
unequivocally,明确地
confident,adj. 自信的；确信的
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
possibly,adv. 可能地；也许；大概
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
veracity,n. 诚实；精确性；老实；说真实话
enhance,vt. 提高；加强；增加
authority,n. 权威；权力；当局
assuredness,n. 确信，确实，自信
interdict,"n. 禁令；禁止
vt. 阻断，封锁；禁止"
banish,vt. 放逐；驱逐
lexicon,n. 词典，辞典
ascribe,vt. 归因于；归咎于
unspecified,adj. 未指明的；未详细说明的
ownership,n. 所有权；物主身份
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
wisdom,n. 智慧，才智；明智；学识；至理名言
edition,"n. 版本
版次
集"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
wallop,"n. 冲击力；重击；快感
vt. 猛击；痛打；击溃
vi. 猛冲；颠簸；沸腾"
specificity,n.  特异性；特征；专一性
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
append,"n. 设置数据文件的搜索路径
vt. 附加；贴上；盖章"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
counterpart,n. 副本；配对物；极相似的人或物
abhor,vt. 痛恨，憎恶
indecision,n. 优柔寡断；犹豫不决
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
persuasion,n. 说服；说服力；信念；派别
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
excessive,adj. 过多的，极度的；过分的
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
crutch,"n. 拐杖；支柱；依靠；胯部
vt. 用拐杖支撑；支持"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
competitor,n. 竞争者，对手
take sb. seriously,"na. 重视；认真(想)；当真
 认真对待；认真看待；高度重视"
weigh down,"na. 使负重担；压迫
 压倒；使…负重担；沉重地压在心头"
rid of, 摆脱；消除；使去掉
rid sb. of,
rid sth. of,
rid sb. of sth.,
rid sth. of sth.,
look out for,"v. 照料；寻求；期待；提防
 当心；留心；寻找"
call into question, 质疑；使……受到质疑；怀疑
call sth. into question, 质疑；使……受到质疑；怀疑
run for,"na. 去叫(…)；做…的候选人
 竞选；让…竞选；竞选职位"
pack a wallop,有巨大力量；起巨大作用
beware of,"v. 注意；谨防
 当心；小心；提防"
power up,"v. 执行电源开启程序
 上电；力量提升；加电"
tranquilizer,n. 镇定剂；使镇定的人或物
dart,"vt. 投掷，投射；使迅速突然移动
vi. 向前冲，飞奔
n. 飞镖，标枪；急驰，飞奔；（虫的）螯；飞快的移动"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
elephant,n. 象；大号图画纸
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
creature,n. 动物，生物；人；创造物
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
satellite,n. 卫星；人造卫星；随从；卫星国家
laptop,n. 膝上型轻便电脑，笔记本电脑
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
airwave,n. 电视，广播的频道；电波
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
forecaster,n. 预报员
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
hurricane,n. 飓风，暴风
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
polar orbit,"un. 两极轨道
 极地轨道；卫星极地轨道；极地轨道卫星"
longitude,n.  经度；经线
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
axis,n. 轴；轴线；轴心国
entire,adj. 全部的，整个的；全体的
earthquake,n. 地震；大动荡
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
weapon,n. 武器，兵器
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
latitude,n. 纬度；界限；活动范围
height,n. 高地；高度；身高；顶点
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
faraway,adj. 遥远的；恍惚的
unthinkable,adj. 不能想象的；过分的
make use of,"na. 使用
 利用；利用某事物；利用好时间"
depend on,"v. 依靠
 依赖；取决于；视……而定"
or so,"un. 与其说…不如说…；大约
 左右；上下；大概"
serve as,"v. 用作；充当
 作为；担任；当作"
a matter of life and death,"na. 生死攸关的事情
 平步青云；性命攸关；生死攸关问题"
in action, 在行动中；在起作用；行动中的
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
 走动；规避；四处走动"
astronaut,n. 宇航员，航天员；太空旅行者
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
pod,"n. 蚕茧；豆荚
vt. 从豆荚中剥出
vi. 结豆荚"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
phew,"int. 唷（表示不快、惊讶的声音）
vi. 咂舌头"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
splinter,"n. 碎片；微小的东西；极瘦的人
vi. 分裂；裂成碎片
vt. 使分裂；使裂成碎片"
leftover,"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
Russian,"n. 俄语；俄国人
adj. 俄国的；俄语的"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
countless,adj. 无数的；数不尽的
bravely,adv. 勇敢地；华丽地
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
accidently,adv. 偶然地，意外地
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
glove,"n. 手套
vt. 给…戴手套"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
cosmonaut,n. （俄）宇航员（等于astronaut）
centimeter,n.  厘米； 公分
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
heat shield,"n. 隔热板；防热盾
 隔热屏障；隔热屏；热隔离"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
solar panel,"n. 太阳能电池板
 太阳能板；太阳电池板；太阳能面板"
debris,n. 碎片，残骸
friction,n. 摩擦， 摩擦力
particle,n. 颗粒； 质点；极小量；小品词
atmosphere,n. 气氛；大气；空气
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
camera,n. 照相机；摄影机
