criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
whispering,"n. 低语；流言；飒飒声
adj. 传播流言蜚语的；发飒飒声的（等于whispery）"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
gratefulness,n. 感激，感恩
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
consciousness,n. 意识；知觉；觉悟；感觉
gorgeous,adj. 华丽的，灿烂的；极好的
talent,n. 才能；天才；天资
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
acquire,vt. 获得；取得；学到；捕获
determination,n. 决心；果断；测定
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
intense,adj. 强烈的；紧张的；非常的；热情的
comparative,"n. 比较级；对手
adj. 比较的；相当的"
generally,adv. 通常；普遍地，一般地
victory,n. 胜利；成功；克服
strength,n. 力量；力气；兵力；长处
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
importance,n. 价值；重要；重大；傲慢
cautious,adj. 谨慎的；十分小心的
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
reputation,n. 名声，名誉；声望
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
consistent,adj. 始终如一的，一致的；坚持的
responsible,adj. 负责的，可靠的；有责任的
assistance,n. 援助，帮助；辅助设备
cooperation,n. 合作，协作； 协力
strategy,n. 战略，策略
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
solution,n. 解决方案；溶液；溶解；解答
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
opportunity,n. 时机，机会
potentially,adv. 可能地，潜在地
approval,n. 批准；认可；赞成
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
unsure,adj. 不确定的；不肯定的；没有自信的
summon,vt. 召唤；召集；鼓起；振作
utilize,vt. 利用
mindset,n. 心态；倾向；习惯；精神状态
affirmation,n. 主张，肯定；断言
statement,n. 声明；陈述，叙述；报表，清单
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
encourage,vt. 鼓励，怂恿；激励；支持
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
attitude,n. 态度；看法；意见；姿势
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
alliance,n. 联盟，联合；联姻
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
unless,"conj. 除非，如果不
prep. 除…之外"
confident,adj. 自信的；确信的
illness,n. 病；疾病
intervene,vi. 干涉；调停；插入
diligent,adj. 勤勉的；用功的，费尽心血的
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
dervish,"n. 托钵僧
像托钵僧似的人"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
extent,n. 程度；范围；长度
cling,vi. 坚持，墨守；紧贴；附着
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
chemical,"n. 化学制品，化学药品
adj. 化学的"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
dividend,n. 红利；股息； 被除数；奖金
dissipation,n. 浪费；消散； 损耗
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
sacred,adj. 神的；神圣的；宗教的；庄严的
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
attribute,"n. 属性；特质
vt. 归属；把…归于"
invariably,adv. 总是；不变地；一定地
tedious,adj. 沉闷的；冗长乏味的
happiness,n. 幸福
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
responsibility,n. 责任，职责；义务
authority,n. 权威；权力；当局
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
relationship,n. 关系；关联
unchecked,adj. 未经核对的；未加抑制的
lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
precious,adj. 宝贵的；珍贵的；矫揉造作的
pollute,vt. 污染；玷污；败坏
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
direction,n. 方向；指导；趋势；用法说明
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
poverty,n. 贫困；困难；缺少；低劣
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
wheel-barrow,手推车；独轮推车
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
edit,"vt. 编辑；校订
n. 编辑工作"
auction,"n. 拍卖
vt. 拍卖；竞卖"
competition,n. 竞争；比赛，竞赛
eliminate,vt. 消除；排除
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
focused,"v.  聚焦；注视（focus的过去分词）
adj. 聚焦的；专心的"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
basis,n. 基础；底部；主要成分；基本原则或原理
nourish,vt. 滋养；怀有；使健壮
disappointment,n. 失望；沮丧
guilt,n. 犯罪，过失；内疚
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
unfortunately,adv. 不幸地
reality,n. 现实；实际；真实
enable,vt. 使能够，使成为可能；授予权利或方法
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
perpetually,adv. 永恒地，持久地
wondering,"v. 想知道（wonder的ing形式）；惊奇
adj. 疑惑的；觉得奇怪的"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
accordingly,adv. 因此，于是；相应地；照著
deluge,"n. 洪水；泛滥；暴雨
vt. 使泛滥；压倒"
distract,vt. 转移；分心
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
amidst,prep. 在…当中
assert,vt. 维护，坚持；断言；主张；声称
willpower,n. 意志力；毅力
marvellous,adj. 不可思议的；惊人的
convey,vt. 传达；运输；让与
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
glorious,adj. 光荣的；辉煌的；极好的
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
create,vt. 创造，创作；造成
absolutely,adv. 绝对地；完全地
dignity,n. 尊严；高贵
behavior,n. 行为，举止；态度；反应
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
wrongdoing,n. 坏事；不道德的行为
adjustment,n. 调整，调节；调节器
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
attainable,adj. 可得到的；可达到的；可到达的
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
encroach,vi. 蚕食，侵占
privacy,n. 隐私；秘密；隐居；隐居处
establish,"vi. 植物定植
vt. 建立；创办；安置"
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
spurn,"n. 藐视，摒弃；踢开
vi. 摒弃；藐视
vt. 唾弃；冷落；一脚踢开"
distortion,n. 变形； 失真；扭曲；曲解
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
vividly,adv. 生动地；强烈地
priceless,"n. 非卖品
adj. 无价的；极贵重的；非常有趣的"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
syndrome,n.  综合症状；并发症状；校验子；并发位
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
belong,vi. 属于，应归入；居住；适宜；应被放置
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
passionate,adj. 热情的；热烈的，激昂的；易怒的
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
failure,n. 失败；故障；失败者；破产
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
discouragement,n. 气馁；挫折；劝阻
setback,n. 挫折；退步；逆流
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
skeptical,adj. 怀疑的；怀疑论的，不可知论的
ironically,adv. 讽刺地；说反话地
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
information,n. 信息，资料；知识；情报；通知
communication,n. 通讯， 通信；交流；信函
quantity,n. 量，数量；大量；总量
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
passively,adv. 被动地；顺从地；消极地
acquaintance,n. 熟人；相识；了解；知道
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
beauteous,adj. 美丽的；美妙的
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
eyesight,n. 视力；目力
underestimate,"n. 低估
vt. 低估；看轻"
forgiveness,n. 宽恕；宽仁之心
path,n. 道路；小路；轨道
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
aggravate,vt. 加重；使恶化；激怒
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
inevitable,adj. 必然的，不可避免的
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
immense,adj. 巨大的，广大的；无边无际的；非常好的
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
perfection,n. 完善；完美
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
enhance,vt. 提高；加强；增加
enrich,vt. 使充实；使肥沃；使富足
perspective,"n. 观点；远景；透视图
adj. 透视的"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
industrious,adj. 勤勉的
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
faculty,n. 科，系；能力；全体教员
require,vt. 需要；要求；命令
ego,n. 自我；自负；自我意识
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
absence,n. 没有；缺乏；缺席；不注意
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
introspection,n. 内省；反省
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
imitate,vt. 模仿，仿效；仿造，仿制
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
proclaim,vt. 宣告，公布；声明；表明；赞扬
goods,n. 商品；动产；合意的人；真本领
thorough,adj. 彻底的；十分的；周密的
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
shortage,n. 缺乏，缺少；不足
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
moment,n. 片刻，瞬间，时刻；重要，契机
irrespective,adj. 无关的；不考虑的；不顾的
aspire,vi. 渴望；立志；追求
efficiency,n. 效率；效能；功效
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
classmate,n. 同班同学
policy,n. 政策，方针；保险单
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
composition,n. 作文，作曲，作品； 构成；合成物；成分
passage,n. 一段（文章）；走廊；通路
growth,n. 增长；发展；生长；种植
entire,adj. 全部的，整个的；全体的
universe,n. 宇宙；世界；领域
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
gazillion,n. 极大量
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
reserved,adj. 保留的，预订的；缄默的，冷淡的，高冷的；包租的
considerate,adj. 体贴的；体谅的；考虑周到的
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
integrity,n. 完整；正直；诚实；廉正
generosity,n. 慷慨，大方；宽宏大量
tolerance,n. 公差；宽容；容忍；公差
belief,n. 相信，信赖；信仰；教义
motivated,"adj. 有动机的；有积极性的
v. 使产生动机；激发…的积极性（motivate的过去式和过去分词）"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
simplify,vt. 简化；使单纯；使简易
misinterpret,vt. 曲解，误解
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
energy,n.  能量；精力；活力；精神
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
technology,n. 技术；工艺；术语
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
accurate,adj. 精确的
investment,n. 投资；投入；封锁
activity,n. 活动；行动；活跃
mode,n. 模式；方式；风格；时尚
attention,n. 注意力；关心；立正！（口令）
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
apt,adj. 恰当的；有…倾向的；灵敏的
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
youth,n. 青年；青春；年轻；青少年时期
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
reflection,n. 反射；沉思；映象
situation,n. 情况；形势；处境；位置
empower,vt. 授权，允许；使能够
onward,"adj. 向前的；前进的
adv. 向前；在前面"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
undergo,vt. 经历，经受；忍受
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
gaze,"n. 凝视；注视
vi. 凝视；注视"
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
resource,n. 资源，财力；办法；智谋
available,adj. 可获得的；可购得的；可找到的；有空的
possibility,n. 可能性；可能发生的事物
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
mourn,v. 哀悼；忧伤；服丧
misfortune,n. 不幸；灾祸，灾难
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
norm,n. 标准，规范
reasonable,adj. 合理的，公道的；通情达理的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
expectation,n. 期待；预期；指望
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
preference,n. 偏爱，倾向；优先权
appreciation,n. 欣赏，鉴别；增值；感谢
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
