actual,adj. 真实的，实际的；现行的，目前的
balcony,n. 阳台；包厢；戏院楼厅
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
volleyball,n. 排球
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
symbol,n. 象征；符号；标志
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
abolish,vt. 废除，废止；取消，革除
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
rebellion,n. 叛乱；反抗；谋反；不服从
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
bandage,"n. 绷带
vt. 用绷带包扎"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
husband,"n. 丈夫
vt. 节约地使用（或管理）"
urban,adj. 城市的；住在都市的
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
embarrass,vt. 使局促不安；使困窘；阻碍
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
blackboard,n. 黑板
cupboard,n. 碗柜；食橱
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
basic,"n. 基础；要素
adj. 基本的；基础的"
basement,n. 地下室；地窖
baseball,n. 棒球；棒球运动
database,n. 数据库，资料库
basin,n. 水池；流域；盆地；盆
basis,n. 基础；底部；主要成分；基本原则或原理
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
basketball,n. 篮球；篮球运动
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
ambassador,n. 大使；代表；使节
embassy,n. 大使馆；大使馆全体人员
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
acrobat,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
bacterium,n.  细菌；杆菌属
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
bathroom,n. 浴室；厕所；盥洗室
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
notebook,n. 笔记本，笔记簿；手册
textbook,n. 教科书，课本
handbook,n. 手册；指南
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
bowling,"n. 滚木球戏；保龄球戏
v. 打保龄球（bowl的现在分词）"
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
born,"v. 出世（bear的过去分词）
adj. 天生的"
stubborn,adj. 顽固的；顽强的；难处理的
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
neighborhood,n. 附近；街坊；接近；街区
bosom,"n. 胸；胸怀；中间；胸襟；内心；乳房；内部
adj. 知心的；亲密的
vt. 怀抱；把…藏在心中"
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
embody,vt. 体现，使具体化；具体表达
everybody,pron. 每个人；人人
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bonus,n. 奖金；红利；额外津贴
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
so-called,adj. 所谓的；号称的
calcium,n.  钙
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
celebrity,n. 名人；名声
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
cancer, 巨蟹座
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
candidate,n. 候选人，候补者；应试者
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
canteen,n. 食堂，小卖部；水壶
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
volcano,n. 火山
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
camera,n. 照相机；摄影机
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
campus,n. （大学）校园；大学，大学生活；校园内的草地
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
capable,adj. 能干的，能胜任的；有才华的
capacity,n. 能力；容量；资格，地位；生产力
cape,n.  海角，岬；披肩
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
capitalism,n. 资本主义
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
cargo,n. 货物，船货
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
carriage,n. 运输；运费；四轮马车；举止；客车厢
carrier,n.  载体；运送者；带菌者；货架
carrot,"n. 胡萝卜
诱饵"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
careful,adj. 仔细的，小心的
careless,adj. 粗心的；无忧无虑的；淡漠的
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
carbohydrate,n.  碳水化合物； 糖类
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
postcard,n. 明信片
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scarcely,adv. 几乎不，简直不；简直没有
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
cigar,n. 雪茄
cigaret,n. 香烟；纸烟（等于cigarette）
garlic,n. 大蒜；蒜头
garbage,n. 垃圾；废物
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
catastrophe,n. 大灾难；大祸；惨败
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
category,n. 种类，分类； 范畴
cathedral,n. 大教堂
Catholic,
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
accident,n. 事故；意外； 意外事件；机遇
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
incidence,n. 发生率；影响； 入射；影响范围
incidentally,adv. 顺便；偶然地；附带地
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincidence,n. 巧合；一致；同时发生
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decision,n. 决定，决心；决议
decisive,adj. 决定性的；果断的，坚定的
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
concise,adj. 简明的，简洁的
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
execute,vt. 实行；执行；处死
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptance,n. 接纳；赞同；容忍
concept,n. 观念，概念
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
deceit,n. 欺骗；谎言；欺诈手段
deceive,v. 欺骗；行骗
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exception,n. 例外；异议
exceptional,"n. 超常的学生
adj. 异常的，例外的"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perception,n. 知觉； 感觉；看法；洞察力；获取
reception,n. 接待；接收；招待会；感受；反应
receipt,"n. 收到；收据；收入
vt. 收到"
receive,"vt. 收到；接待；接纳
vi. 接收"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
municipal,adj. 市政的，市的；地方自治的
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
recipe,n. 食谱； 处方；秘诀；烹饪法
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
reciprocal,"n.  倒数；互相起作用的事物
adj. 互惠的；相互的；倒数的，彼此相反的"
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
cupboard,n. 碗柜；食橱
occupy,vt. 占据，占领；居住；使忙碌
occupation,n. 职业；占有；消遣；占有期
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
ascertain,vt. 确定；查明；探知
certainly,adv. 当然；行（用于回答）；必定
certainty,n. 必然；确实；确实的事情
certify,v. 证明；保证
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
concession,n. 让步；特许（权）；承认；退位
concede,"vi. 让步
vt. 承认；退让；给予，容许"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
excessive,adj. 过多的，极度的；过分的
exceed,"vt. 超过；胜过
vi. 超过其他"
exceedingly,adv. 非常；极其；极度地；极端
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precedent,"n. 先例；前例
adj. 在前的；在先的"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
predecessor,n. 前任，前辈
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
procedure,n. 程序，手续；步骤
success,n. 成功，成就；胜利；大获成功的人或事物
successful,adj. 成功的；一帆风顺的
succession,n. 连续；继位；继承权； 演替
successive,adj. 连续的；继承的；依次的；接替的
successor,n. 继承者；后续的事物
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
recede,"vi. 后退；减弱
vt. 撤回"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circus,n. 马戏；马戏团
circular,"n. 通知，传单
adj. 循环的；圆形的；间接的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circumference,n. 圆周；周长；胸围
circumstance,n. 环境，情况；事件；境遇
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
monocycle,n. （尤指杂技演员用的）独轮车; 单环; 单轮脚踏车
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
tricycle,n.  三轮车
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
encyclopedia,n. 百科全书（亦是encyclopaedia）
disclose,vt. 公开；揭露
enclose,vt. 围绕；装入；放入封套
enclosure,n. 附件；围墙；围场
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
cloth,"n. 布；织物；桌布
adj. 布制的"
clothe,vt. 给…穿衣；覆盖；赋予
clothes,n. 衣服
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
cloudy,adj. 多云的；阴天的；愁容满面的
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
exclude,vt. 排除；排斥；拒绝接纳；逐出
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
include,vt. 包含，包括
inclusive,adj. 包括的，包含的
preclude,vt. 排除；妨碍；阻止
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
accordingly,adv. 因此，于是；相应地；照著
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
recorder,n. 录音机；记录器；记录员；八孔直笛
core,
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
courage,n. 勇气；胆量
