potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
adult,"n. 成年人
adj. 成年的；成熟的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
from one's point of view,
think sth. through,"na. 仔细考虑；全面考虑
 思考…直到得出结论；想通；彻底地全面考虑"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
back down,"na. 打退堂鼓；放弃权利等
 让步；放弃原主张；取消前言"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
editor,n. 编者，编辑；社论撰写人；编辑装置
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
performance,n. 性能；绩效；表演；执行；表现
cheer up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
eager,adj. 渴望的；热切的；热心的
youth,n. 青年；青春；年轻；青少年时期
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
be on sb.'s back about sth.,
kangaroo,n. 袋鼠
flexible,adj. 灵活的；柔韧的；易弯曲的
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
grocery,"n. 食品杂货店
食品杂货"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
draw sth. out of sth.,
operation,n. 操作；经营； 手术； 运算
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
teller,n. （美）出纳员；讲述者；讲故事者；计票员
scene,n. 场面；情景；景象；事件
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
response,n. 响应；反应；回答
on the rocks,"na. 触礁；搁浅；手头拮据；进退两难
 酒加冰块；在岩石上；加冰块的"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
out of one's sight,
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
social media, 社会化媒体（具体形式有博客、维基、播客、论坛、社交网络、内容社区等）
make it,"na. 赶到；办成功；规定时间；性交
 做到；达到目的，获得成功"
horrible,adj. 可怕的；极讨厌的
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
café,
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
loss,n. 减少；亏损；失败；遗失
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
 不知所措；困惑；茫然"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
in the wrong,"na. 不对；不正当
 错误的；有错；负有责任"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
behaviour,n. 行为；习性；运行状况（=behavior）
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
in any case,"na. 无论如何；横竖
 不管怎样；总之；在任何情况下"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
definitely,adv. 清楚地，当然；明确地，肯定地
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
let go of,"v. 释放
 放开；松开；放弃"
ignore,vt. 驳回诉讼；忽视；不理睬
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
misunderstand,vt. 误解；误会
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
eat away at, 侵蚀；腐蚀；烦扰
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
blog,n. 博客；部落格；网络日志
come between ... and ...,
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
high point,"n. 最有意思（或最令人愉快、最好）的部分
 高点；高点市；高点峰"
through thick and thin,"na. 在任何情形下；不避艰险；遍历艰苦
 同甘共苦；共同经历；不畏艰险"
opinion,n. 意见；主张
in one's opinion,"na. 据某人意见
 在……看来；在某人看来；就某人看来"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
basis,n. 基础；底部；主要成分；基本原则或原理
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
get over,"na. 同“get across”
 克服；恢复；越过"
efficient,adj. 有效率的；有能力的；生效的
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
bring out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
reflection,n. 反射；沉思；映象
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
smooth out,"un. 消除；驱除净尽；抻；化除
 解决；弄平；把…开平"
be meant to do sth.,
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
failure,n. 失败；故障；失败者；破产
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
in full measure, 最大限度地；最大程度地
moment,n. 片刻，瞬间，时刻；重要，契机
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
well-meaning,adj. 善意的；好心的
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
thorough,adj. 彻底的；十分的；周密的
death,n. 死；死亡；死神；毁灭
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
poet,n. 诗人
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
yogurt,n. 酸奶酪， 酸乳（等于yoghurt）
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
pass out,"v. 昏倒；分发；主要用于英式英语
 失去知觉；晕倒；昏过去"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
slim down, 消瘦；减肥；瘦身
per cent,"adj. 每一百中
n. 百分之…
 百分数；百分率；百分比"
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
side effect,"n. 副作用；意外结果；函数副作用
 没有副作用；副反应；副效应"
prove,"vi. 证明是
vt. 证明；检验；显示"
slightly,adv. 些微地，轻微地；纤细地
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
nutrition,n. 营养，营养学；营养品
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
take in,"na. 加以考虑；访问；收进；收容
 欺骗；吸收；接受"
energetic,adj. 精力充沛的；积极的；有力的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
get into shape, 为了健美的体形而进行锻炼等; 使有条理，恰当地安排…
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
within,"prep. 在…之内
n. 里面
adv. 在内部"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
aspect,n. 方面；方向；形势；外貌
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
in the short term, 从短期来说；短期内；从眼前的观点看
in the long term,"na. 从长期看
 从长远角度看；从长远来看；从长远观点来看"
memory,n. 记忆，记忆力；内存， 存储器；回忆
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
surgery,n. 外科；外科手术；手术室；诊疗室
plastic surgery,"n. 整形外科
 整形手术；整容手术；整形外科学"
campus,n. （大学）校园；大学，大学生活；校园内的草地
treatment,n. 治疗，疗法；处理；对待
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
addition,n. 添加； 加法；增加物
in addition,"na. 加之
 另外；此外；又"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
hang over,"na. 迫近；接近；挂在…上面；突出
 笼罩；威胁；宿醉"
jeans,n. 牛仔裤；工装裤
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
guard against,"v. 防止；加以预防；抵御
 提防；防备；防范"
beauty,n. 美；美丽；美人；美好的东西
fight a losing battle, 死马当活马医；徒劳无功；做毫无成功希望的事
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
 不辜负；符合；实践"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
digital,"n. 数字；键
adj. 数字的；手指的"
series,n. 系列，连续； 串联；级数；丛书
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
strength,n. 力量；力气；兵力；长处
talent,n. 才能；天才；天资
piano,n. 钢琴
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
individuality,n. 个性；个人；个人特征；个人的嗜好（通常复数）
achievement,n. 成就；完成；达到；成绩
app,
