looter,n. 抢劫者
doubling,"n. 加倍；并线；折回；防护板；衬里
v. 使加倍；使成双（double的ing形式）；绕过；握紧
adj. 双重的；折叠的"
coldly,adv. 冷淡地；不友好地
soot,"n. 煤烟，烟灰
vt. 用煤烟熏黑；以煤烟弄脏"
yam,n. 山药 甘薯 白薯
modular,adj. 模块化的；模数的；有标准组件的
inextricably,adv. 逃不掉地；解不开地；解决不了地
archipelago,n. 群岛，列岛；多岛的海区
congested,"adj. 堵塞的，拥挤的
v. 挤满；超负荷（congest的过去分词）"
nimble,adj. 敏捷的；聪明的；敏感的
gale,n.  大风，狂风；（突发的）一阵
feverish,adj. 发热的；极度兴奋的
labour,n. （英国）工党
interviewee,n. 被接见者；被访问者
secession,n. 脱离；分离
dehydration,n. 脱水
desirability,n. 愿望；有利条件；值得向往的事物；合意
religiosity,n. 虔诚；宗教狂；虚伪信仰
soloist,n. 独奏者；独唱者
uplifting,adj. 令人振奋的；使人开心的
divergence,n. 分歧
karate,n. 空手道（日本的一种徒手武术）
accordion,"n. 手风琴
adj. 可折叠的"
misplace,vt. 放错地方；忘记把…放在什么地方；错误地信任某人
eyesight,n. 视力；目力
extol,vt. 颂扬；赞美；赞颂
tenacious,adj. 顽强的；坚韧的；固执的；紧握的；黏着力强的
tenacity,n. 韧性；固执；不屈不挠；黏性
checker,"n. 检验员；收银员；棋子；方格图案；制止者
vt. 把…画成棋盘形方格图案；使多样化"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
freshness,n. 新；新鲜；精神饱满
befall,"vt. 降临；发生
vi. 降临"
sixty-five,num. 六十五
custodian,n. 管理人；监护人；保管人
genealogy,n. 宗谱；血统；家系；系谱学
likable,adj. 可爱的
countdown,n. 倒数计秒
incessant,adj. 不断的；不停的；连续的
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
rotating,"adj.  旋转的
v. 旋转；轮流（rotate的ing形式）"
couture,n. 服装设计（师）或其服装店
tinge,"n. 淡色；些许味道；风味
vt. 微染；使带气息"
spinning,"n. 纺纱
v. 旋转，纺织（spin的现在分词）
adj. 纺织的"
stationery,n. 文具；信纸
corrugated,"adj. 波纹的；缩成皱纹的；有瓦楞的
v. （使）起皱纹（corrugate的过去式）"
sumptuous,adj. 华丽的，豪华的；奢侈的
featured,"v. 使…有特色；起重要作用（feature的过去分词）
adj. 特定的；被作为特色的；有…的面貌特征的"
grouse,"n. 松鸡；雷鸟科的猎鸟；怨言
vi. 埋怨"
decaying,"n.  衰减；颓坏；腐蚀作用
adj. 衰减的；腐烂的；消散的
v. 腐烂；衰退；消瘦（decay的ing形式）"
dumping,"n. 倾销；倾泻
v. 倾倒（dump的ing形式）"
newsstand,n. 报摊；杂志摊
panda,n. 熊猫；猫熊
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
crucifix,n. 十字架，耶稣受难像
federalism,n. 联邦制；联邦主义
sap,"n.  树液；精力，元气；活力；坑道
vt. 使衰竭，使伤元气；挖掘以破坏基础
vi. 挖坑道"
nondescript,"adj. 平凡的，没有特色的；难以区别的；莫可名状的
n. 不属任何类型的人；难以形容的人或物"
disrespect,n. 无礼，失礼，不敬
commandment,n. 戒律；法令
sash,"n. 腰带；肩带；饰带；框格
vt. 系上腰带；装以窗框"
intricacy,n. 错综，复杂；难以理解
fireball,n. （热核武器爆炸后在空中出现的）火球；大流星；精力充沛的人
rowdy,"n. 粗暴的人；好吵闹的人
adj. 吵闹的；粗暴的"
stash,"n. 藏匿处；藏匿物
vt. 存放；贮藏
vi. 存放；藏起来"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
turban,n. 穆斯林的头巾；女用头巾；无檐帽，狭边帽
attached,"v. 附上（attach的过去分词）
adj. 附加的；依恋的，充满爱心的"
anal,adj.  肛门的，直肠的；肛门附近的
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
virginity,n. 童贞；处女；纯洁
blankly,adv. 茫然地；毫无表情地；茫然若失
spherical,adj. 球形的，球面的；天体的
maroon,"n. 褐红色；逃亡黑人奴隶；孤立的人
v. 使孤立；放逐到无人岛上
adj. 褐红色的"
edifice,n. 大厦；大建筑物
longer-term,更长期的
doorman,n. 看门人
trusting,"v. 信赖（trust的ing形式）
adj. 信任的；轻信的"
laid-back,adj. 懒散的；悠闲的；闲散的
undefeated,adj. 未被击败的
deformed,"adj. 畸形的；丑陋的；残废的
v. 使...残缺，使...变形（deform的过去式和过去分词形式）"
epithet,n. 绰号；浑名
five-day,adj. 每周5天的
awry,"adj. 错误的；扭曲的
adv. 歪曲地；歪斜地；错误地"
fudge,"n. 软糖；胡说；谎话
vt. 捏造；粗制滥造；回避
vi. 逃避责任；欺骗；蒙混
int. 胡说八道！"
co-author,"n. 合著者
vt. 合著"
noose,"n. 套索；束缚；绞刑
vt. 用套索捉；使落入圈套"
snuff,"n. 鼻烟；烛花；灯花
vt. 剪烛花；掐灭；消灭；嗅出
vi. 扑灭；断气；嗅"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
cinder,"n. 煤渣；灰烬
vt. 用煤渣等铺
vi. 用煤渣等铺路面"
odyssey,
grandiose,adj. 宏伟的；堂皇的；浮夸的；宏大的
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
unequivocally,明确地
supple,"adj. 柔软的；灵活的；顺从的；易弯曲的；逢迎的
vt. 使柔软；使顺从
vi. 变柔顺；变柔软"
scourge,"n. 鞭；灾祸；鞭子；苦难的根源
vt. 鞭打；蹂躏；严斥；痛斥"
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
spontaneity,n. 自发性；自然发生
throes,"n. 剧痛；痛苦的挣扎（throe的复数）
v. 苦苦挣扎；使受痛苦（throe的第三人称单数）"
austerity,n. 紧缩；朴素；苦行；严厉
belie,vt. 掩饰；与…不符；使失望；证明…虚假错误
unworthy,adj. 不值得的；无价值的；不相称的
infrequent,adj. 罕见的；稀少的；珍贵的；不频发的
comical,adj. 滑稽的，好笑的
smelly,adj. 有臭味的，发臭的
squirt,"n. 喷射；注射
vt. 喷湿
vi. 喷出"
sweeten,"vt. 减轻；使变甜；使温和；使悦耳
vi. 变甜"
removable,adj. 可移动的；可去掉的；可免职的
minnow,n.  鲦鱼（一种小淡水鱼）
ranked,v. 排名；归类于（rank的过去分词）
wasteland,n. 荒地，不毛之地；未开垦地，荒漠；（精神或文化上的）贫乏
vocalist,n. 歌手；声乐家
outfitter,n.  旅行用品商；运动用具商； 装饰用品商店；机器安装工
fraternal,adj. 兄弟般的；友好的
splinter,"n. 碎片；微小的东西；极瘦的人
vi. 分裂；裂成碎片
vt. 使分裂；使裂成碎片"
martyrdom,n. 殉难，牺牲；受苦，受难
compressor,n. 压缩机；压缩物；收缩肌； 压迫器
naturalistic,adj. 自然的；自然主义的；博物学的
filler,n. （杂志等的）补白；装填者；装填物；充填器
sympathizer,n. 同情者；支持者；交感患病的眼睛（等于sympathiser）
spate,n. 洪水；一阵；大雨；突然迸发
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
dam,"n.  水坝；障碍
v. 控制；筑坝"
hairstyle,n. 发型
inexplicably,adv. 说不清的；无法说明地；令人难以理解地
apologetic,adj. 道歉的；赔罪的
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
intone,"vt. 吟诵；吟咏
vi. 吟诵；吟咏"
repayment,n. 偿还； 付还
categorical,adj. 绝对的（名词categoricalness，副词categorically，异体字categoric）；直截了当的；无条件的；属于某一范畴的
diligence,n. 勤奋，勤勉；注意的程度
throb,"n. 悸动；脉搏
vi. 悸动；抽动；颤动；跳动着作痛；充满活力"
loner,n. 孤独的人；不合群的动物
enslave,vt. 束缚；征服；使某人成为奴隶
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
nourishment,n. 食物；营养品；滋养品
fat-free,adj. 不含脂肪的
puncture,"n. 穿刺；刺痕
vt. 刺穿；揭穿；削弱
vi. 被刺穿；被戳破"
cheery,adj. 愉快的，活泼的
drove,"n. 畜群；牛群、羊群等；移动的人群或大批的东西
v. 驾驶（drive的过去式）；赶(牲畜)；(牲畜贩子)买卖(牲畜)"
overlay,"n. 覆盖图；覆盖物
vt. 在表面上铺一薄层，镀"
awful,adj. 可怕的；极坏的；使人敬畏的
every,adj. 每一的，每个的；每隔…的
distinguishing,"v. 区别；表现突出（distinguish的ing形式）
adj. 有区别的"
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
schoolhouse,n. 校舍
icing,"n. 结冰；糖衣；酥皮
v. 冰冻（ice的ing形式）"
anyplace,adv. 任何地方
restrained,"v. 抑制；约束（restrain的过去分词）
adj. 克制的，受限制的；拘谨的"
fictitious,adj. 虚构的；假想的；编造的；假装的
embankment,n. 路堤；堤防
ripen,"vt. 使成熟
vi. 成熟"
methodical,adj. 有系统的；有方法的
blacksmith,n. 铁匠；锻工
restraining,"v. 抑制；束缚（restrain的ing形式）
adj. 抑制的；控制的；遏制的"
interdependent,adj. 相互依赖的；互助的
conceptually,adv. 概念地
old-timer,n. 老前辈；旧式的人；老人；老资格的人
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
induct,vt. 引导；感应；使…就职；征召入伍
at-bat,轮到击球
bridal,"adj. 新娘的；婚礼的
n. 婚礼"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
riverbank,n. 河堤
audiotape,n. 录音带
post-traumatic,adj. 受伤后的
pummel,"n. （马鞍的）前鞍桥；球壮末端；（刀把或剑柄的）圆头（等于pommel）
vt. 击；打；用拳头连续揍"
fearsome,adj. 可怕的；害怕的；极大的
discouraging,"v. 沮丧（discourage的ing形式）；失去勇气
adj. 使人沮丧的；令人气馁的"
grading,"n. 分阶段；定等级；坡度缓和
v. 定等级；减缓坡度（grade的现在分词形式）"
affluence,n. 富裕；丰富；流入；汇聚
documented,adj. 备有证明文件的
crimson,"n. 深红色
adj. 深红色的
vt. 使变为深红色；脸红
vi. 变为深红色；脸红"
Kenyan,
throbbing,"n. 跳动，激动
adj. 悸动的；跳动的
v. 跳动，悸动（throb的ing形式）"
Nordic,"adj. 北欧人的；斯堪的纳维亚的；日耳曼民族的
n. 北欧人；日耳曼民族；斯堪的纳维亚人；具有北欧日尔曼民族外貌特征的人"
dabble,"vt. 溅湿；浸入水中
vi. 涉猎；涉足；玩水"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
Pulitzer,
tycoon,n. 企业界大亨，巨头；巨富
blower,n. 鼓风机，吹风机；吹制工；<俚>爱吹牛的人
agility,n. 敏捷；灵活；机敏
shyness,n. 羞怯
stagnation,n. 停滞；滞止
evergreen,"n. 常绿树；常绿植物
adj.  常绿的；永葆青春的"
definitively,adv. 决定性地；最后地
huff,"n. 发怒
vt. 把…吹胀；激怒；蔑视
vi. 吹气；发怒；恫吓"
concomitant,"n. 伴随物
adj. 相伴的；共存的；附随的"
one-hour,一小时
molasses,n. 糖蜜，糖浆
wobbly,adj. 不稳定的；摆动的；歪斜的
meaty,adj. 肉的；多肉的；似肉的
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
indignant,adj. 愤愤不平的；义愤的
greenery,n. 绿色植物；温室
smolder,"n. 阴燃；闷烧
vi. 闷烧；郁积"
thirty-three,num. 三十三
gauze,n. 纱布；薄纱；薄雾
soft-spoken,adj. 说话温和的；善于言辞的
nuts,"adj. 发狂的；热衷的；狂热的
int. 胡说；呸
n. 坚果；螺母（nut的复数）；核心
v. 采坚果；用头撞（nut的三单形式）"
escalator,n. （美）自动扶梯；电动扶梯
dizziness,n. 头晕；头昏眼花
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
brazen,"adj. 厚颜无耻的；无所顾忌的；黄铜制的
vt. 使变得无耻；厚脸皮地做"
Basque,"n. 巴斯克人（居住在西班牙北部和法国南部）；巴斯克语
adj. 巴斯克人的；巴斯克语的"
innuendo,"n. 暗讽，讽刺；影射
vt. 暗示，旁敲侧击地表达
vi. 影射；说讽刺话"
howling,"n. 啸鸣
adj. 咆哮的；极大的；哭哭啼啼的
v. 咆哮（howl的ing形式）"
medallion,n. 大奖章；圆形浮雕
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
quickest,adj. 最快的
speculator,n. 投机者；思索者
undeniably,adv. 不可否认地；确凿无疑地
infraction,n. 违反
adaptable,adj. 适合的；能适应的；可修改的
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
retina,n.  视网膜
botanist,n. 植物学家
trailhead,n. 小道的起点
qualm,n. 疑虑；不安
sentry,"n. 哨兵；岗哨
vi. 放哨
vt. 设岗哨"
high-tech,"n. 高科技
adj. 高科技的，高技术的；仿真技术的"
rigidity,n.  硬度， 刚性；严格，刻板；僵化；坚硬
Trojan,"n. 勇士；特洛伊人；勤勉的人
adj. 特洛伊的；特洛伊人的"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
cosmological,adj. 宇宙论的；宇宙哲学的
deft,adj. 灵巧的；机敏的；敏捷熟练的
hairdresser,n. 美发师
ballast,"n. 压舱物， 压载物；道渣，碎石
vt. 给…装压舱物；给…铺道渣"
misinformation,n. 误报；错误的消息
sickening,adj. 令人厌恶的；患病的
worst-case,adj. 作最坏打算的；最糟情况的
up-front,adj. 预先的；坦率的
impunity,n. 不受惩罚；无患； 免罚
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
cower,vi. 退缩；抖缩；蜷缩；弯腰屈膝
swagger,"n. 大摇大摆；吹牛；威吓；下摆散开状的女式短大衣
vi. 大摇大摆；吹牛；虚张声势吓人
vt. 吓唬；趾高气扬地行走或行事
adj. 炫耀的；时髦的"
outage,n. 储运损耗；中断供应；运行中断
rightfully,adv. 正当地；正直地
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
walleye,n.  角膜白斑； 外斜视
etching,"n. 蚀刻术；蚀刻版画
adj. 蚀刻的
v. 蚀刻；刻画（etch的ing形式）"
mainframe,n.  主机；大型机
mercenary,"adj. 雇佣的；唯利是图的
n. 雇佣兵；唯利是图者"
entry-level,adj. 入门的；初级的；最低阶层的；适合于初学者的
unduly,adv. 过度地；不适当地；不正当地
emblematic,adj. 象征的；可当标志的
corral,"n. 畜栏；环形车阵
vt. 把…关进畜栏；捕捉；把…布成车阵"
spoonful,n. 一匙；一匙的量
courteous,adj. 有礼貌的；谦恭的
ballplayer,n. 棒球手；参加球赛的人（尤指棒球）
caseworker,n. 社会工作者；个案工作者
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
overworked,"adj.  工作过度的；劳累过度的
v.  使工作过度；使过分劳累（overwork的过去分词）"
hush,"vt. 安静；肃静；缄默
n. 安静；肃静；沉默
vi. 沉默；安静下来
int. 嘘；别作声"
frenzied,"adj. 疯狂的；狂乱的；激怒的
v. 使狂乱（frenzy的过去式）"
individualistic,adj. 个人主义的；利己主义的
preview,"n. 预览；试映；事先查看
vt. 预览；预演；事先查看"
carpeting,"n. 毛毯， 地毯；地毯料
v. 铺以地毯（carpet的现在分词）"
marketable,adj. 市场的；可销售的；有销路的
slug,"n. 鼻涕虫；动作缓慢的人；金属小块
vt. 重击
vi. 偷懒；动作迟缓"
eureka,int. 有了！；找到了！
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
well-educated,adj. 受过良好教育的
synergy,n. 协同；协同作用；增效
Pentecostal,"n. 圣灵降临教派之教友
adj. 五旬节的；圣灵降临节的"
jurisprudence,n. 法律体系；法学及其分支；法律知识；法院审判规程
single-handedly,独力地; 单独地
extravaganza,n. 狂妄的言行；内容狂妄的作品；铺张华丽的表演
collagen,n.  胶原，胶原质
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
Zionist, 犹太复国主义者；锡安主义者；复国运动者
unsatisfactory,adj. 不令人满意的；不满足的；不符合要求的
repeating,adj. 重复的；反复的；循环的
accelerating,adj. 促进的， 加速的；催化的
multi-party,adj. 多党的；包括多党的；导致多党并存的选举制度的；包含多党党员的
rationally,adv. 理性地；讲道理地
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
fleshy,adj. 肉的；肉质的；丰满的
capitol,
flavorful,adj. 可口的（等于flavourful）；充满…味道的；有香味的
subtest,n. 分测验；子测验
besiege,vt. 围困；包围；烦扰
housekeeping,n. 家政；家务管理；家用开支
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
beep,"n. 哔哔的声音；警笛声
vt. 嘟嘟响
vi. 嘟嘟响"
contemplative,adj. 沉思的；冥想的；默想的
sterilize,vt. 消毒，杀菌；使成不毛；使绝育；使不起作用
cross-border,adj. 跨越边界的；国境线交叉的
normalcy,n. 常态
heron,n. 鹭，苍鹭；深紫灰
jab,"n. 戳；猛击；注射
vi. 戳；刺；用拳猛击
vt. 戳；猛击；用拨火棒等捅"
cataract,"n.  白内障；大瀑布；暴雨，洪水；奔流
vt. 倾注"
screaming,"n. 尖叫声；啸声；振动
v. 尖叫；大笑；呼啸着前进（scream的ing形式）
adj. 尖叫的；使人惊叹的；使人捧腹大笑的"
forty-two,四十二
carcinogen,n. 致癌物质
leaky,adj. 漏的；有漏洞的
opportunistic,adj. 机会主义的；投机取巧的
crystalline,adj. 透明的；水晶般的；水晶制的
eavesdrop,"n. 屋檐上流下来的水
vi. 偷听，窃听"
cylindrical,adj. 圆柱形的；圆柱体的
luscious,adj. 甘美的；满足感官的
masonry,n. 石工；石工行业；石造建筑
pelvic,adj. 骨盆的
sonar,n. 声纳；声波定位仪（等于asdic）
macroeconomic,"adj. 宏观经济的，总体经济的
n. 整体经济"
laughing,"adj. 可笑的；高兴的；带笑的
n. 笑；笑声
v. 笑（laugh的ing形式）"
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
epidemiology,n. 流行病学；传染病学
propane,n.  丙烷
succeeding,adj. 随后的，以后的
roundup,n. 综述；集拢；围捕；摘要
thickly,adv. 厚地；浓地
toll-free,adj. 不用付电话费的
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
rekindle,"vt. 重新点燃；再点火
vi. 重新点燃"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
dunk,vt. 扣篮；泡；浸
intuitively,adv. 直观地；直觉地
tireless,adj. 不知疲倦的；不疲劳的
blip,n. （在雷达屏幕显示出的）物体光点
