hi,int. 嗨！（表示问候或用以唤起注意）
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
OK,"adj. 好的；不错的
adv. 行；很好
int. 好；可以
vt. 对…表示同意
n. 同意"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
song,n. 歌曲；歌唱；诗歌；鸣声
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
our,pron. 我们的
everybody,pron. 每个人；人人
with,prep. 用；随着；支持；和…在一起
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
school,"n. 学校；学院；学派；鱼群
vt. 教育"
thing,n. 事情；东西；事物；情况
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
pencil case,"n. 铅笔盒；铅笔袋
 文具盒；笔会用到笔袋；笔筒"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
ruler,n. 尺；统治者； 划线板，划线的人
eraser,n. 橡皮；擦除器； 清除器
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
schoolbag,n. 书包
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
yes,"n. 是（表示肯定）
adv. 是, 是的"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
lost and found,"n. 失物招领处
 天涯海角；远在天边；失而复得"
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
take care of sb.,
take care of sth.,
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
come back,"na. 回来；想起来；复原；归
 恢复；回来吧；回想起来"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
look at sb.,
look at sth.,
colourful,adj. 鲜艳的；生动的；色彩丰富的；富有趣味的
world,n. 世界；领域；世俗；全人类；物质生活
hooray,"n. 万岁
vt. 呼万岁
int. 万岁
vi. 呼万岁"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
clothes,n. 衣服
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
magical,adj. 魔术的；有魔力的
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
many,"pron. 许多；许多人
adj. 许多的"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
today,"n. 今天；现今
adv. 今天；现今"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
two,"num. 二
n. 两个
adj. 两个的"
three,"num. 三
n. 三，三个
adj. 三的，三个的"
four,"num. 四；四个
adj. 四的；四个的"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
six,"num. 六，六个
n. 六，六个"
seven,"num. 七个，七
n. 七个，七
adj. 七的；七个的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
ten,num. 十个，十
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
who,pron. 谁；什么人
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
Chinese knot,
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
cheep,"n. 吱吱的叫声
vt. 吱吱地叫（过去式cheeped，过去分词cheeped，现在分词cheeping，第三人称单数cheeps，名词cheeper）"
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
all around,"na. 四处；全面地；遍处；一一
 到处；周围；四周"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
everywhere,"n. 每个地方
adv. 到处"
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
dad,n. 爸爸；爹爹
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
grandpa,n. 爷爷；外公
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandma,n. 奶奶；外婆
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
photo,n. 照片
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
daddy,n. 爸爸
mummy,n. 妈妈；木乃伊；干瘪的人
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
bathroom,n. 浴室；厕所；盥洗室
kitchen,n. 厨房；炊具；炊事人员
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
door,n. 门；家，户；门口；通道
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
miaow,"vi. 猫叫
n. 猫叫声"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
cat,n. 猫，猫科动物
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
their,pron. 他们的，她们的；它们的
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
cooking,"n. 烹饪
adj. 烹调的
v. 烹调；筹划（cook的ing形式）"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
lucky,adj. 幸运的；侥幸的
