aha,int. 啊哈（表示喜悦、轻蔑、惊讶等）
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
ragged,adj. 衣衫褴褛的；粗糙的；参差不齐的；锯齿状的；刺耳的；不规则的
refold,v. 再摺起，再打摺
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
serviceman,n. 军人；维修人员
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
act on,"na. “Act upon”的变体
 按照…而行动；对…起作用；按照…行动"
blurt out,"n. 漏嘴说出的话
v. 突然说出
 脱口而出；不假思索说出；冲口"
get out of hand,"un. 从…里走出来；拿到；搞僵；失去控制
 失控；无法控制；难以控制"
if only,"na. 只要；只要…就好了
 如果能再爱一次；要是……就好了；但愿"
make ... of,"na. “make certain”的变体
 了解；理解；对待"
move on,"na. 继续前进；(使)继续前进；向前!
 继续移动；往前走；继续前行"
once too often,"adv. 再三
 又一次；次数太多；太多次"
tear off,"na. 扯下来；扯掉；飞跑；急急忙忙做成某事
 撕下；撕掉；撕纸"
to this day,"na. 到今天
 直到今天；至今；迄今"
assumption,n. 假定；设想；担任；采取
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
conditional,"n. 条件句；条件语
adj. 有条件的；假定的"
disprove,vt. 反驳，证明…是虚假的
empirical,adj. 经验主义的，完全根据经验的；实证的
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
evoke,vt. 引起，唤起；博得
expressive,adj. 表现的；有表现力的；表达…的
grammatical,adj. 文法的；符合语法规则的
guise,"n. 伪装；装束；外观
vt. 使化装
vi. 伪装"
imagery,n. 像；意象；比喻；形象化
imperfect,"n. 未完成体
adj. 有缺点的；未完成的；半过去的；未完成时的
adv. 有瑕疵地；有缺点地"
imperfectly,adv. 有缺点地；不完美地；未完成地
intimacy,n. 性行为；亲密；亲昵行为；隐私
nominalize,vt. 使名词化
perception,n. 知觉； 感觉；看法；洞察力；获取
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
pre-med,n. 医学预科
rebellious,adj. 反抗的；造反的；难控制的
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
significantly,adv. 显著地；相当数量地
sociological,adj. 社会的（等于sociologic）；社会学的；针对社会问题的
soundness,n. 健康；稳固；完整；公正
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
stockbroker,n.  股票经纪人
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
tolerate,vt. 忍受；默许；宽恕
visual,adj. 视觉的，视力的；栩栩如生的
vivid,adj. 生动的；鲜明的；鲜艳的
wholeness,n. 完整；完全；全体
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
go into,"na. 进入；(门等)通着；加入；参与
 调查；从事；研究"
take someone seriously,take sth seriously认真对待
take something seriously, 认真看待某事
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
biased,adj. 有偏见的；结果偏倚的，有偏的
sex-biased, 体性别不均
constitute,vt. 组成，构成；建立；任命
culturally,adv. 从文化角度，文化意义上；在人文学方面
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
genetic,adj. 遗传的；基因的；起源的
indirectly,adv. 间接地；不诚实；迂回地
innumerable,adj. 无数的，数不清的
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
neatness,n. 干净，整洁
nonsexist,adj. 非性歧视的
northeastern,adj. 在东北的；东北方的；来自东北的
noticeably,adv. 显著地，明显地；引人注目地
nursery,n. 苗圃；托儿所；温床
participation,n. 参与；分享；参股
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
preschooler,n. （美）学龄前儿童
subordination,n. 从属；附属；主从关系
unintentional,adj. 非故意的；无意识的
unknowingly,adv. 不知不觉地
vital,adj. 至关重要的；生死攸关的；有活力的
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
carry over,"na. 贮存(货物等)供下季供应；将(账目等)结转(次页)
 继续下去；遗留下来；重赛"
fall behind,"na. 落后；跟不上；落下；拖欠
 落在后面；落后于；掉队"
put ... away,"v. 把…收起来；储存
 放好；把……收起来；收好"
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
contempt,n. 轻视，蔑视；耻辱
discrimination,n. 歧视；区别，辨别；识别力
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
lecturer,n. 讲师，演讲者
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
pervade,vt. 遍及；弥漫
rightful,adj. 合法的；正当的；公正的；正直的
sloppy,adj. 草率的；粗心的；泥泞的；肥大的；稀薄的
unladylike,adj. 不像淑女的
at a disadvantage,"un. 反而不妙；损失；处于劣势；处于不利地位
 吃亏；处于不利位置地；使某人处于不利地位"
be accustomed to something, 习惯作；主谓式
be accustomed to doing something,
be in a minority,是少数派(尤指在投票的两部分人中)
be typical of,"v. 代表；象征
 是…的特点；典型的；有代表性的"
burn to death,烧死
be burnt to death,
for ages,"na. 久远
 很久；很长时间；好久"
go too far,"na. 走极端
 过火；太过分了；走太远了"
make a thing of, 认为……重要；认为…非常重要；把……作为争论点
allay,vt. 减轻；使缓和；使平静
amniotic,adj.  羊膜的
anecdotal,adj. 轶事的；轶事一样的；多轶事的
balanced,"adj. 平衡的；和谐的；安定的
v. 用天平称；保持稳定；使…相称（balance的过去分词）"
constructional,adj. 构造的；装配的；解释的
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
determinant,"n. 决定因素； 行列式
adj. 决定性的"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
DIY,abbr. 自己动手做（Do It Yourself）
empathise,"vi.,vt.  ＝ empathize"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
hard-wired,adj.  硬连线的，硬接线的
hi-fi,"n. 高保真度的音响设备
adj.  高保真度的"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
newsagent,n. 报刊经销商
onwards,adv. 向前；在前面
origin,n. 起源；原点；出身；开端
parenting,"n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲"
predominantly,adv. 主要地；显著地
prenatal,adj. 产前的；胎儿期的； 出生以前的
profession,n. 职业，专业；声明，宣布，表白
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
ram,abbr. 随机访问内存（random-access memory的缩写）；随机存取存储器（random access memory的缩写）
self-centred,adj. 自我中心的；自私自利的
socialisation,n. 社会化
systemise,vt.  = systemize
testosterone,n.  睾酮，睾丸素（男性荷尔蒙的一种）
toddlerhood,n. 童年
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
workplace,n. 工作场所；车间
a bunch of,"det. 一束
 一群；一堆；一串"
go beyond,"na. 越过
 超出；超过；超越"
light up,"na. 点灯；照亮；点香烟；变快活
 点燃；点亮；点火"
pull together,"na. 通力合作；拼凑
 齐心协力；团结起来；同心协力"
put together,"na. 编辑；拼拢；比较考虑；使结婚
 装配；把……放在一起；加在一起"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
educator,n. 教育家；教育工作者；教师
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
motivation,n. 动机；积极性；推动
multiplication,n.  乘法；增加
practically,adv. 实际地；几乎；事实上
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
workable,adj. 切实可行的；可经营的；能工作的
be up to ...,
involve ... in,
sacrifice ... for ...,
agenda,n. 议程；日常工作事项；日程表
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
awkwardly,adv. 笨拙地；无技巧地
dexterity,n. 灵巧；敏捷；机敏
expectantly,adv. 期望地，期待地
exploratory,adj. 勘探的；探究的；考察的
incomplete,adj. 不完全的； 不完备的
intervene,vi. 干涉；调停；插入
intervention,n. 介入；调停；妨碍
intrusive,adj. 侵入的；打扰的
manual,"adj. 手工的；体力的
n. 手册，指南"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
passer-by,n. 过路人；经过的人
rectangular,adj. 矩形的；成直角的
reorient,vt. 使适应；再调整
shirttail,"n. 衬衣下摆；社论栏
adj. 远房的；幼小的；随便的"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
socialization,n. 社会化，社会主义化
stroller,n. 散步者；流浪者；（美）折叠式婴儿车；巡回演出的演员
vicinity,n. 邻近，附近；近处
vigorously,adv. 精神旺盛地，活泼地
Westerner,
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
not in the least,"na. 一点也不
 毫不；绝不；一点儿也不"
on occasion,"na. 有时；遇必要时
 间或；偶尔；不时"
time and again,"na. “time after time”的变体
 一次又一次；一再；屡次"
anecdote,n. 轶事；奇闻；秘史
contrasting,"adj. 形成鲜明对比的；差异大的
v. 使对比；显示差别（contrast的现在分词形式）"
cultivation,n. 培养；耕作；耕种；教化；文雅
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
flail,"n. 连枷（打谷物用的工具）
vt. 打；用连枷打
vi. 打；用连枷打"
fledgling,n. 无经验的人；刚会飞的幼鸟
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
mimetic,adj. 模仿的；拟态的；类似的
misdeed,n. 罪行；犯罪
opposed,"adj. 相反的；敌对的
v. 反对（oppose的过去分词）；使对立"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
rooster,n. 公鸡；狂妄自负的人
self-reliance,n. 自力更生，依靠自己；自恃
stimulation,n. 刺激；激励，鼓舞
subsequent,adj. 后来的，随后的
sympathetically,adv. 悲怜地，怜悯地；富有同情心地
toddler,n. 学步的小孩；幼童装
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
unquestioned,adj. 无争议的；不成问题的；无需调查的
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
feed back,"adj. 反馈的
 回声效果的反馈率；回馈；回授"
in the hope that,"na. “in hopes of”的变体
 希望；希望能；怀着…的希望"
proceed to,"un. 前进；继续进行:
 着手；继续完成某事；前往"
to the point,"na. 露骨；中肯
 切题；切中要害；扼要"
athlete,n. 运动员，体育家；身强力壮的人
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
championship,n. 锦标赛；冠军称号；冠军的地位
confining,adj. 受限的，限制的；狭窄的，偏狭的；拘束的
dunk,vt. 扣篮；泡；浸
endorsement,n. 认可，支持；背书；签注（文件）
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
halftime,"n. 中场休息；半日工作
adj. 正常时间一半的"
honesty,n. 诚实，正直
impossibly,adv. 不可能地；难以置信地；无法可想地
life-size,adj. 与实物大小一样的；与真人实物一样大小的
life-sized,adj. 原物大小的；与原物一样大小的
Olympics,
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
pedestal,"n. 基架，基座；基础
vt. 搁在台上；支持；加座"
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
sneaker,n. 运动鞋；卑鄙者；鬼鬼祟祟做事的人
tightrope,n. 拉紧的绳索
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
follow one's lead,
give of, 奉献；贡献；提供
give of oneself, 腾出时间和力量来帮助别人；贡献自己的时间和精力；牺牲自己的时间和精力
give of one's time, 对某人的时间而言
give of one's money,
give of etc.,
have a fit,"na. 大发脾气
 勃然大怒；生气；大吃一惊"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
measure up to,"na. 达到(希望等)
 符合；够得上；符合标准"
put somebody on a pedestal,
put somebody upon a pedestal,
place somebody on a pedestal,
place somebody upon a pedestal,
take ... too far,
go too far,"na. 走极端
 过火；太过分了；走太远了"
take the place of someone,
take someone's place,替代(或继承)某人；接替…的位置
you name it,
arena,n. 舞台；竞技场
artificially,adv. 人工地；人为地；不自然地
athletics,n. 竞技；体育运动；田径运动
attorney,n. 律师；代理人；检查官
bless,vt. 祝福；保佑；赞美
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
conceited,adj. 自负的；狂想的；逞能的
courageous,adj. 有胆量的，勇敢的
deform,"adj. 畸形的；丑陋的
vi. 变形；变畸形
vt. 使变形；使成畸形"
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
eligibility,n. 适任，合格；被选举资格
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
flatter,vt. 奉承；谄媚；使高兴
fundamentally,adv. 根本地，从根本上；基础地
gloriously,adv. 光荣地；辉煌地；壮观地，壮丽地
heavyweight,"n. 重量级拳击手；有影响的人物；聪明绝顶的人
adj. 重量级的；特别厚重的"
indomitable,adj. 不屈不挠的；不服输的；不气馁的
inevitably,adv. 不可避免地；必然地
invariably,adv. 总是；不变地；一定地
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
legitimately,adv. 合理地；正当地
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
needless,adj. 不必要的，不需要的；多余的，无用的
overprotect,vt. 溺爱；过分地保护
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
pipefitter,  管工
privilege,"n. 特权；优待
vt. 给与…特权；特免"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
reasoning,"n. 推理；论证；评理
v. 推论；说服（reason的ing形式）
adj. 推理的"
rightfully,adv. 正当地；正直地
selflessness,n. 无私；忘我
sexual,adj. 性的；性别的；有性的
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
statewide,"adj. 遍及全州的
遍及全州地"
status,n. 地位；状态；情形；重要身份
talented,adj. 有才能的；多才的
thankfully,adv. 感谢地；感激地
thrilling,adj. 毛骨悚然的；令人兴奋的；颤动的
unheard-of,adj. 空前的；前所未闻的
unremarkable,adj. 平凡的；不显著的；不值得注意的
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
and the like,"na. “and such like”的变体
 等等；诸如此类；之类"
look to,"na. 依赖；注意；照料；倾向…
 指望；照顾；期望"
measure somebody against,
measure something against,
on the surface,"na. 表面上
 外表上；在表面上；表面上的"
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
 在…上面；除…之外；另外"
advocacy,n. 主张；拥护；辩护
annoying,"v. 骚扰（annoy的ing形式）
adj. 讨厌的；恼人的"
award,"n. 奖品；判决
vt. 授予；判定"
bedraggled,"adj. 全身泥污的；满身湿透的；荒废的，破烂的
v. 把…在泥水中拖脏；把…拖湿（bedraggle的过去分词）"
