enable,vt. 使能够，使成为可能；授予权利或方法
letter of recommendation,"un. 推荐书
 推荐信；专家推荐信；介绍信"
academic background, 教育背景；学历；学术背景
professional expertise,
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
vacancy,n. 空缺；空位；空白；空虚
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
further talk,
pay offer, 工资待遇；建议
annual income,"un. 年收入；全年所得额
 岁入；年度收入；年薪"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
bonus,n. 奖金；红利；额外津贴
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
paid vacation,"un. 带薪假日；重叠；照付薪资的休假
 带薪假期；带薪休假；不扣工资的假期"
annual leave,"un. 年假；每年一次的休假
 年休假；带薪休假；特休"
sick leave,"n. 病假；病假期
 请病假；病假工资；薪病假"
working hours,"na. 工作时间
 工时；工作时数；上班时间"
difficult,adj. 困难的；不随和的；执拗的
night shift,"na. 夜班(时间)；夜班工人
 晚班；大夜班；销魂大夜班"
flexible working hours,"un. 弹性工时；机动工时
 弹性工作时间；灵活的工作时间；弹性工作制"
odd job,"n. 零工
 临时工作；零活；零星工作"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
in charge of,"na. 受托…的
 负责；主管；掌管"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
slacker,n. 懒鬼；逃避兵役者
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
dismissal,n. 解雇；免职
out of work,"na. 失业；(机器等)有毛病
 失业了；失业的；没有工作"
unemployment,n. 失业；失业率；失业人数
subway,"n. 地铁；地道
vi. 乘地铁"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
metro,n. 地铁；大都市；伦敦地下铁道；麦德隆（财富500强公司之一，总部所在地德国，主要经营零售）
flyover,n. 天桥；立交桥；立交马路
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
motorcycle,"n. 摩托车；机动车
vi. 骑摩托车"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
express train,"na. 特别快车
 特快列车；特快车；高速列车"
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
one-way ticket,n. 单程票
return ticket,"n. 往返票
 到阜阳六百里；来回票；往返机票"
round-trip ticket, 往返票，双程票
airline,"n. 航空公司；航线
adj. 航线的"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
direct flight,n. 直航：飞行于两地之间，经停一个或以上机场，但不更换航班号或飞行器的航班
airport,n. 机场；航空站
departure time,"un. 出动时间；起程时间；开航时间；离地时间
 起飞时间；出发时间；发车时间"
behind schedule,"na. 比预定时间晚
 晚点；误点；落后于预定计划"
security check,"n. 安全调查
 安全检查；安检；安检处"
luggage,n. 行李；皮箱
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
jet lag,"n. 时差反应；时差综合症
 飞行时差反应；时差失调；缘来有转机"
airsick,adj. 晕机的；患航空病的
seasick,"adj. 晕船的
晕船"
blacktop,n. 柏油路；沥青质原料
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
speeding,"n. 超速行驶
v. 促进（speed的ing形式）
adj. 高速行驶的"
parking meter,"n. 停车计时器
 停车收费表；停车计费表；停车计时表"
rush hour,"n. (上,下班的)高峰期
 尖峰时刻；高峰时间；尖峰时间"
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
package tour,"n. 包价旅游（费用固定、一切由旅行社代办的度假旅游）
 跟团旅游；套装行程；包办旅行"
summer vacation,"n. 暑假
 暑期；夏日假期；放暑假"
travel agency,"n. 旅行社
 旅游公司；旅行代理店；中国旅行社"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
vacationer,n. 休假者；度假者
expedition,n. 远征；探险队；迅速
visa,"n. 签证
vt. 签发签证"
passport,n. 护照，通行证；手段
motel,n. 汽车旅馆
single room,"un. 单人房间
 单人间；单间；单人客房"
double room,"n. 双人房间
 双人间；带一张双人床的房间；大床间"
twin room,"n. 双人房
 双人间；双床房；两张单人床的双人房"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
reservation,n. 预约，预订；保留
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
destination,n. 目的地，终点
sleeping bag,"n. 睡袋
 携来睡袋；求购睡袋；睡袋系列"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
adventurous,adj. 爱冒险的；大胆的；充满危险的
sailing,"n. 航行，航海；启航；航海术
v. 航行，起航（sail的现在分词形式）
adj. 航行的"
diving,"n. 跳水，潜水
adj. 跳水的，潜水的
v. 跳水（dive的现在分词）；潜水"
mountain climbing,"n. 爬山；登山；攀岩
 登山用具；登山运动；登山英语翻译"
rock-climbing, 攀岩
skiing,"n. 滑雪运动；滑雪术
v. 滑雪（ski的ing形式）"
soccer,n. 英式足球，足球
fitness center,"n. 健身中心
 健身房；健康中心；体适能中心"
sauna,"n. 桑拿浴
vi. 洗桑拿浴"
family reunion, 家庭团聚；团圆；家人团聚
quiz show,"un. 广播
 机智问答；幕后谎言；智力竞赛节目"
folk art,"n. 民间艺术
 民间艺术之都；民俗艺术；民间美术"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
oil painting,"n. 油画；油画艺术
 油画作品；油画类；油画儿"
comedy,n. 喜剧；喜剧性；有趣的事情
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
symphony orchestra,"n. 交响乐团
 交响乐队；交响管弦乐队；管弦乐团"
pop music,"n. 流行乐曲
 流行音乐；流行歌曲；通俗音乐"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
exotic,adj. 异国的；外来的；异国情调的
academy,n. 学院；研究院；学会；专科院校
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
nursery school,"n. 幼儿园
 托儿所；保育学校；保育院"
coeducational,adj. 男女合校的
popularity,n. 普及，流行；名气；受大众欢迎
practicality,n. 实用性，实际性；实际，实例
admission,n. 承认；入场费；进入许可；坦白；录用
deadline,n. 截止期限，最后期限
tuition,n. 学费；讲授
accommodation,n. 住处，膳宿；调节；和解；预订铺位
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
semester,n. 学期；半年
elementary,adj. 基本的；初级的； 元素的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
instruct,vt. 指导；通知；命令；教授
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
facilitate,vt. 促进；帮助；使容易
curriculum,"n. 课程
总课程"
optional,"adj. 可选择的，随意的
n. 选修科目"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
faculty,n. 科，系；能力；全体教员
scholar,n. 学者；奖学金获得者
scholarship,n. 奖学金；学识，学问
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
applicant,n. 申请人，申请者；请求者
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
prominent,adj. 突出的，显著的；杰出的；卓越的
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
award,"n. 奖品；判决
vt. 授予；判定"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
elite,n. 精英；精华；中坚分子
alumnus,n. 男校友；男毕业生
prestige,n. 威望，声望；声誉
self-assessment,n. 自我评估
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
ability,n. 能力，能耐；才能
achievement,n. 成就；完成；达到；成绩
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
norm,n. 标准，规范
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
requirement,n. 要求；必要条件；必需品
talent,n. 才能；天才；天资
mediocrity,n. 平庸之才；平常
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
dogma,n. 教条，教理；武断的意见
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
interaction,"n. 相互作用； 交互作用
n. 互动"
specialise,"vt. 使专门化；限定…的范围；深入（等于specialize）
vi. 专门研究（等于specialize）"
expertise,n. 专门知识；专门技术；专家的意见
bibliography,n. 参考书目；文献目录
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
absence,n. 没有；缺乏；缺席；不注意
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
expel,vt. 驱逐；开除
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
violent,adj. 暴力的；猛烈的
aggression,n. 侵略；进攻；侵犯；侵害
obligation,n. 义务；职责；债务
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
philosophy,n. 哲学；哲理；人生观
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
origin,n. 起源；原点；出身；开端
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
controversy,n. 争论；论战；辩论
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
privacy,n. 隐私；秘密；隐居；隐居处
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
morality,n. 道德；品行，美德
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
heritage,n. 遗产；传统；继承物；继承权
heir,n.  继承人；后嗣；嗣子
traditional,adj. 传统的；惯例的
literacy,n. 读写能力；精通文学
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
literature,n. 文学；文献；文艺；著作
ideology,n. 意识形态；思想意识；观念学
humanity,n. 人类；人道；仁慈；人文学科
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
civilise,"vt. 教化；文明化；使开化
vi. 变成文明社会（等于civilize）"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
commitment,n. 承诺，保证；委托；承担义务；献身
dedication,n. 奉献；献身；赠言
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
derive,"vt. 源于；得自；获得
vi. 起源"
bilingual,"n. 通两种语言的人
adj. 双语的"
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
fluent,adj. 流畅的，流利的；液态的；畅流的
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
acquire,vt. 获得；取得；学到；捕获
racial,adj. 种族的；人种的
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
behavior,n. 行为，举止；态度；反应
behaviour,n. 行为；习性；运行状况（=behavior）
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
critic,n. 批评家，评论家；爱挑剔的人
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contempt,n. 轻视，蔑视；耻辱
perspective,"n. 观点；远景；透视图
adj. 透视的"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
insight,n. 洞察力；洞悉
convey,vt. 传达；运输；让与
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
depict,vt. 描述；描画
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
edition,"n. 版本
版次
集"
novelist,n. 小说家
journal,n. 日报，杂志；日记；分类账
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
prevalent,adj. 流行的；普遍的，广传的
collaborate,vi. 合作；勾结，通敌
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
sacred,adj. 神的；神圣的；宗教的；庄严的
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
doctrine,n. 主义；学说；教义；信条
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
genetic,adj. 遗传的；基因的；起源的
emergency room,"n. （医院）急诊室
 急救室；急症室；急诊抢救室"
ambulance,n.  救护车；战时流动医院
inject,vt. 注入；注射
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
lifespan,n. 寿命；预期生命期限；预期使用期限
surgical,"n. 外科手术；外科病房
adj. 外科的；手术上的"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
kidney,n.  肾脏；腰子；个性
lung,n. 肺；呼吸器
organ,n.  器官；机构；风琴；管风琴；嗓音
chronic,adj. 慢性的；长期的；习惯性的
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
therapy,n. 治疗，疗法
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
symptom,n.  症状；征兆
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
infect,vt. 感染，传染
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
bacteria,n.  细菌
virus,n.  病毒；恶毒；毒害
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
cavity,n. 腔；洞，凹处
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
dentist,"n. 牙科医生
牙医诊所"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
paralyze,vt. 使麻痹；使瘫痪
paralyse,vt. 使……无力；使……麻痹；使……瘫痪
detect,vt. 察觉；发现；探测
allergic,adj. 对…过敏的；对…极讨厌的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
thermometer,n. 温度计；体温计
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
recovery,n. 恢复，复原；痊愈；重获
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
laser,n. 激光
cancer, 巨蟹座
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
surgeon,n. 外科医生
physician,n.  医师；内科医师
psychotherapist,n. 精神治疗医师
neuroscientist,n. 神经系统科学家
consultant,n. 顾问；咨询者；会诊医生
resident,"n. 居民；住院医生
adj. 居住的；定居的"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
nutrition,n. 营养，营养学；营养品
appetite,n. 食欲；嗜好
calorie,n. 卡路里（热量单位）
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
psychology,n. 心理学；心理状态
mentality,n. 心态； 智力；精神力；头脑作用
mindset,n. 心态；倾向；习惯；精神状态
intuitive,adj. 直觉的；凭直觉获知的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
conscious,adj. 意识到的；故意的；神志清醒的
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
attachment,n. 附件；依恋；连接物；扣押财产
perception,n. 知觉； 感觉；看法；洞察力；获取
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
questionnaire,n. 问卷；调查表
analysis,n. 分析；分解；验定
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
empirical,adj. 经验主义的，完全根据经验的；实证的
feedback,n. 反馈；成果，资料；回复
hypothesis,n. 假设
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
cognitive,adj. 认知的，认识的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
adversity,n. 逆境；不幸；灾难；灾祸
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
imperfection,n. 不完美；瑕疵；缺点
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
be inclined to,"v. 倾向于；想要
 有意；有某种倾向；倾向做某事"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
passion,n. 激情；热情；酷爱；盛怒
emotional,adj. 情绪的；易激动的；感动人的
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
insane,adj. 疯狂的；精神病的；极愚蠢的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
frantic,adj. 狂乱的，疯狂的
optimistic,adj. 乐观的；乐观主义的
pessimistic,adj. 悲观的，厌世的；悲观主义的
destiny,n. 命运，定数，天命
miserable,adj. 悲惨的；痛苦的；卑鄙的
agonizing,"adj. 苦恼的；痛苦难忍的
vt. 使极度痛苦；折磨（agonize的ing形式）
vi. 感到极度痛苦（agonize的ing形式）"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
afflict,vt. 折磨；使痛苦；使苦恼
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
rational,"n. 有理数
adj. 合理的；理性的"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
cautious,adj. 谨慎的；十分小心的
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
hostility,n. 敌意；战争行动
vigorous,adj. 有力的；精力充沛的
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
technology,n. 技术；工艺；术语
innovation,n. 创新，革新；新方法
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
groundbreaking,"n. 动工
adj. 开创性的"
unconventional,adj. 非常规的；非传统的；不依惯例的
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
spacecraft,n.  宇宙飞船，航天器
satellite,n. 卫星；人造卫星；随从；卫星国家
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
complicated,adj. 难懂的，复杂的
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
artificial intelligence,"n. 人工智能
 人工智慧；人工智能专业研究生排名；人工知能"
generate,vt. 使形成；发生；生殖；产生物理反应
optical,adj. 光学的；眼睛的，视觉的
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
device,n. 装置；策略；图案
automation,n. 自动化；自动操作
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
capacity,n. 能力；容量；资格，地位；生产力
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
precise,adj. 精确的；明确的；严格的
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
formula,n.  公式，准则；配方；婴儿食品
statistic,"n. 统计数值
adj. 统计的，统计学的"
measurement,n. 测量； 度量；尺寸；量度制
graph,"n. 图表；曲线图
vt. 用曲线图表示"
semiconductor,n.  半导体
magnetic,adj. 地磁的；有磁性的；有吸引力的
electrical,adj. 有关电的；电气科学的
refine,vt. 精炼，提纯；改善；使…文雅
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
silicon,n.  硅；硅元素
radioactive,adj.  放射性的；有辐射的
telecommunications,n. 通讯行业：服务类型变更，缴纳话费，账户总览等所有业务均可通过移动设备完成
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
radar,n.  雷达，无线电探测器
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
download,vt.  下载
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
hardware,n. 计算机硬件；五金器具
software,n. 软件
disk,n.  磁盘，磁碟片；圆盘，盘状物；唱片
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
