physiology,n. 生理学；生理机能
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
passion,n. 激情；热情；酷爱；盛怒
doctorate,n. 博士学位；博士头衔
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
gradually,adv. 逐步地；渐渐地
photoelectric,adj.  光电的
come to power, 上台；掌权；执政
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
consequence,n. 结果；重要性；推论
take up a position, 采取某种立场；占据适当位置；就职
moustache,n. 小胡子；髭；触须
mustache,n. 胡子，髭
peculiarity,n. 特性；特质；怪癖；奇特
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
professor,n. 教授；教师；公开表示信仰的人
mourn,v. 哀悼；忧伤；服丧
remarkable,adj. 卓越的；非凡的；值得注意的
device,n. 装置；策略；图案
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
sum up,"na. 概括；总结
 总计；归纳；总括"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
Nobel Prize,
Alexander Fleming, 弗莱明；佛莱明；亚历山大·弗莱明
Albert Einstein, 爱因斯坦；阿尔伯特·爱因斯坦；美国科学家爱因斯坦
Hitler,
Elon Musk,
Florence Nightingale, 南丁格尔；弗洛伦斯·南丁格尔；弗罗伦斯·南丁格尔
SARS,
Switzerland,n. 瑞士（欧洲国家）
Swiss,"n. 瑞士人；瑞士腔调
adj. 瑞士的；瑞士人的；瑞士风格的"
Isaac Newton,艾萨克·牛顿（英国物理学家和数学家以及天文学家）
Jewish,adj. 犹太人的；犹太族的
Princeton,n. 普林斯顿（美国新泽西州中部的自治市镇）
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
appliance,n. 器具；器械；装置
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
remote control,"n. 遥控；遥控器
 远程控制；摇控器；遥控装置"
air conditioner,"n. 空调
 冷气机；空调器；空气调节器"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
integrated,"adj. 综合的；完整的；互相协调的
v. 整合；使…成整体（integrate的过去分词）"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
sensor,n. 传感器
efficient,adj. 有效率的；有能力的；生效的
mode,n. 模式；方式；风格；时尚
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
daily routine,"na. 日常工作
 日常生活；例行公事；日常杂务"
preference,n. 偏爱，倾向；优先权
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
early on,"adj. 不久之前
 前一阵子；在早期；继续下去"
abnormal,adj. 反常的，不规则的；变态的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
cancer, 巨蟹座
potentially,adv. 可能地，潜在地
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
electrical,adj. 有关电的；电气科学的
wiring,"n.  接线，架线；线路；金属线缝术
v. 装电线（wire的现在分词）"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
detect,vt. 察觉；发现；探测
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
catch fire,"na. 着火
 失火；著火；发火"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
innovation,n. 创新，革新；新方法
available,adj. 可获得的；可购得的；可找到的；有空的
in this sense,
in ... sense,
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
nanobot,n. 奈米机器人；毫微瓦，纳级泥塞
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
artificial intelligence,"n. 人工智能
 人工智慧；人工智能专业研究生排名；人工知能"
AI,abbr. 人工智能（artificial intelligence）
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
occupation,n. 职业；占有；消遣；占有期
oppose,"vt. 反对；对抗，抗争
vi. 反对"
hence,adv. 因此；今后
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
deceased,"n. 死者； 被继承人
adj. 已故的
vi. 死亡（decease的过去式）"
absence,n. 没有；缺乏；缺席；不注意
rural,adj. 农村的，乡下的；田园的，有乡村风味的
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
emphasis,n. 重点；强调；加强语气
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
keep in touch, 保持联系；保持联络；再联系
keep in touch with ...,
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
signpost,n. 路标；指示牌
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
accurate,adj. 精确的
librarian,n. 图书馆员；图书管理员
Melbourne,n. 墨尔本（澳大利亚一座城市）
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
the Amish,"n. 阿曼门诺派（北美洲戒律严谨的宗教团体，过简朴的农耕生活，拒绝使用某些现代技术）
 亚米希人；阿米什人；艾米胥"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
cloth,"n. 布；织物；桌布
adj. 布制的"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
valley,n. 山谷；流域；溪谷
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
glacier,n. 冰河，冰川
reindeer,n.  驯鹿
territory,n. 领土，领域；范围；地域；版图
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
boundary,n. 边界；范围；分界线
cottage,n. 小屋；村舍；（农舍式的）小别墅
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
on the move,"na. 一直在动；开始活动；(事件)正在发展；动着
 在活动中；移动中；在移动中"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
set out,"n. 开始；出发；动身；准备
 陈列；着手；陈述"
bless,vt. 祝福；保佑；赞美
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
prohibit,vt. 阻止，禁止
journalist,n. 新闻工作者；报人；记日志者
sneeze,"n. 喷嚏
vi. 打喷嚏"
teapot,"n. 茶壶
小题大做"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
cream,n. 奶油，乳脂；精华；面霜；乳酪
leopard,n. 豹；美洲豹
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
rewarding,adj. 有益的，值得的；有报酬的，报答的
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
lung,n. 肺；呼吸器
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
corridor,走廊
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
fountain,n. 喷泉，泉水；源泉
route,"n. 路线；航线；通道
vt. 按某路线发送"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
theme park,"n. 主题公园
 主题乐园；主题园；主题游乐园"
roller coaster,"n. 过山车；剧烈起伏(的事物)
 云霄飞车；游乐场过山车；摩天轮"
incredible,adj. 难以置信的，惊人的
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
appeal to,"v. 求助于；引起N
 呼吁；吸引；上诉"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
adorable,adj. 可爱的；可敬重的，值得崇拜的
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
amusement,n. 消遣，娱乐；乐趣
amuse,vt. 娱乐；消遣；使发笑；使愉快
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
superb,adj. 极好的；华丽的；宏伟的
aquarium,n. 水族馆；养鱼池；玻璃缸
aquariums,n. 养鱼缸，水族馆( aquarium的名词复数 )
aquaria, 养鱼池，玻璃缸，水族馆
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
upside down,"adv. 颠倒；倒转；翻转
 颠倒世界；逆世界；上下颠倒"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
appetite,n. 食欲；嗜好
entertainment,n. 娱乐；消遣；款待
column,n. 纵队，列；专栏；圆柱，柱形物
Sami,
Sarek National Park, 萨雷克国家公园；萨勒克国家公园；瑞典的萨勒克国家公园
Sweden,n. 瑞典（欧洲国家）
the Arctic Circle,"na. 北极圈
 北极圈分界线；专辑；北极圈艺术旅行计画"
Rapa River,
Siberian,
Dollywood,
interaction,"n. 相互作用； 交互作用
n. 互动"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
interpret,"vi. 解释；翻译
vt. 说明；口译"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
by comparison,"na. 比较起来
 相比之下；相比较；通过对比"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
waist,n. 腰，腰部
make inferences,
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
slightly,adv. 些微地，轻微地；纤细地
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
nonverbal,adj. 不用语言的；不用动词的
assessment,n. 评定；估价
assess,vt. 评定；估价；对…征税
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
straighten up,"na. 改善；正派地过日子
 好转；清理；整理"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
bent,"n. 爱好，嗜好
adj. 弯曲的；决心的"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
in other words,"na. 换句话说
 换言之；也就是说；也就是"
educator,n. 教育家；教育工作者；教师
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
tendency,n. 倾向，趋势；癖好
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
imply,vt. 意味；暗示；隐含
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
occupy,vt. 占据，占领；居住；使忙碌
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
ceiling,n. 天花板；上限
distract,vt. 转移；分心
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
chest,n. 胸，胸部；衣柜；箱子；金库
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
merely,adv. 仅仅，只不过；只是
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
at work,"na. 做着；在工作；起着作用；运转中
 在上班；起作用；在起作用"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
ultimately,adv. 最后；根本；基本上
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
intervene,vi. 干涉；调停；插入
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
Brazil,n. 巴西（拉丁美洲国家）
Bulgaria,n. 保加利亚
Albania,n. 阿尔巴尼亚（位于欧洲）
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
devote,vt. 致力于；奉献
devote ... to,"v. 把…贡献给
 致力于；献身于；把……献给"
shortage,n. 缺乏，缺少；不足
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
crises,n. 危机，紧要关头；危险期（crisis的复数形式）
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
convince,vt. 说服；使确信，使信服
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
pollinate,vt. 对...授粉
assumption,n. 假定；设想；担任；采取
intense,adj. 强烈的；紧张的；非常的；热情的
overcome,"vt. 克服；胜过
vi. 克服；得胜"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
output,"n. 输出，输出量；产量；出产
vt. 输出"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
consumption,n. 消费；消耗；肺痨
comprise,vt. 包含；由…组成
be comprised of, 强调由什么成分所组成；由…组成；长期被批评或认为是错误的
generate,vt. 使形成；发生；生殖；产生物理反应
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
deep down, 本质上; 实际上; 事实上; 在内心深处
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
celebrity,n. 名人；名声
envision,vt. 想象；预想
sorghum,n. 高粱； 蜀黍；甜得发腻的东西
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
reality,n. 现实；实际；真实
salty,adj. 咸的；含盐的
urban,adj. 城市的；住在都市的
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
extension,n. 延长；延期；扩大；伸展；电话分机
chemical,"n. 化学制品，化学药品
adj. 化学的"
wheat,n. 小麦；小麦色
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
fertiliser,n. 化肥（等于fertilizer）
fertilizer,n.  肥料；受精媒介物；促进发展者
nutritional,adj. 营养的；滋养的
nutritious,adj. 有营养的，滋养的
nutrition,n. 营养，营养学；营养品
alleviate,vt. 减轻，缓和
poverty,n. 贫困；困难；缺少；低劣
organic,adj.  有机的；组织的；器官的；根本的
pesticide,n. 杀虫剂
widespread,adj. 普遍的，广泛的；分布广的
bacterium,n.  细菌；杆菌属
in turn,"na. 挨次
 依次；轮流；反过来"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
grocery,"n. 食品杂货店
食品杂货"
instance,"n. 实例；情况；建议
vt. 举...为例"
for instance,"na. 例如
 比如；举例说；举例来说"
depth,n.  深度；深奥
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
entirely,adv. 完全地，彻底地
aspect,n. 方面；方向；形势；外貌
Vietnam,n. 越南（东南亚国家）
LED,
light-emitting diode,"un. 发光两极管
 发光二极管；发光二极体；发光二级管"
DDT,abbr. 数字资料发送机（Digital Data Transmitter）；开发与技术部（Department of Development and Technology）；二氯二苯三氯乙烷（Dichloro-Diphenyl-Tricgloroethane）；数字调试带（Digital Debugging Tape）；双二极-三极管（Double Diode-Triode）
