abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
ascertain,vt. 确定；查明；探知
ascribe,vt. 归因于；归咎于
aspect,n. 方面；方向；形势；外貌
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
assert,vt. 维护，坚持；断言；主张；声称
assignment,n. 分配；任务；作业；功课
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
astonish,vt. 使惊讶
astronomy,n. 天文学
atmosphere,n. 气氛；大气；空气
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
authentic,adj. 真正的，真实的；可信的
authorize,vt. 批准，认可；授权给；委托代替
automaton,n. 自动机；机器人；自动机器
autonomy,n. 自治，自治权
avert,vt. 避免，防止；转移
aviation,n. 航空；飞行术；飞机制造业
axis,n. 轴；轴线；轴心国
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
baggage,n. 行李； 辎重（军队的）
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
bandage,"n. 绷带
vt. 用绷带包扎"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
basement,n. 地下室；地窖
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
beneath,"prep. 在…之下
adv. 在下方"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bewilder,vt. 使迷惑，使不知所措
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bibliography,n. 参考书目；文献目录
biography,n. 传记；档案；个人简介
bizarre,adj. 奇异的（指态度，容貌，款式等）
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
blazing,"adj. 燃烧的；强烈的；闪耀的
adv. 非常
v. 燃烧；闪耀；迸发；公开（blaze的ing形式）"
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
bless,vt. 祝福；保佑；赞美
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
brittle,adj. 易碎的，脆弱的；易生气的
brochure,n. 手册，小册子
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
brood,"n. 一窝；一伙
vt. 孵；沉思"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
brutal,adj. 残忍的；野蛮的，不讲理的
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
bulletin,"n. 公告，公报
vt. 公布，公告"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
by-product,n. 副产品；附带产生的结果；意外收获
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
cargo,n. 货物，船货
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
casualty,n. 意外事故；伤亡人员；急诊室
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
category,n. 种类，分类； 范畴
cater,vt. 投合，迎合；满足需要；提供饮食及服务
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cavity,n. 腔；洞，凹处
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
certainty,n. 必然；确实；确实的事情
certify,v. 证明；保证
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
childish,adj. 幼稚的，孩子气的
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
chronic,adj. 慢性的；长期的；习惯性的
civilization,n. 文明；文化
clarity,n. 清楚，明晰；透明
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
client,n.  客户；顾客；委托人
climax,n. 高潮；顶点；层进法；极点
cling,vi. 坚持，墨守；紧贴；附着
clinic,n. 临床；诊所
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
cohesion,n. 凝聚；结合； 内聚力
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
collaborate,vi. 合作；勾结，通敌
colleague,n. 同事，同僚
collection,n. 采集，聚集； 征收；收藏品；募捐
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
colonize,"vt. 将…开拓为殖民地；移于殖民地；从他地非法把选民移入
vi. 开拓殖民地；移居于殖民地"
commander,n. 指挥官；司令官
commemorate,vt. 庆祝，纪念；成为…的纪念
commence,v. 开始；着手；<英>获得学位
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
commodity,n. 商品，货物；日用品
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
community,n. 社区； 群落；共同体；团体
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
comparable,adj. 可比较的；比得上的
comparatively,adv. 比较地；相当地
compatible,adj. 兼容的；能共处的；可并立的
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compete,vi. 竞争；比赛；对抗
compile,vt. 编译；编制；编辑； 汇编
complaint,n. 抱怨；诉苦；疾病；委屈
complement,"n. 补语；余角；补足物
vt. 补足，补助"
complication,n. 并发症；复杂；复杂化；混乱
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
comply,vi. 遵守；顺从，遵从；答应
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
composition,n. 作文，作曲，作品； 构成；合成物；成分
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
conception,n. 怀孕；概念；设想；开始
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
concise,adj. 简明的，简洁的
condensation,n. 冷凝；凝结；压缩；缩合聚合
confer,"vt. 授予；给予
vi. 协商"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
confidential,adj. 机密的；表示信任的；获信任的
configuration,n. 配置；结构；外形
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
congratulation,n. 祝贺；贺辞
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
consecutive,adj. 连贯的；连续不断的
consensus,n. 一致；舆论；合意
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
conspicuous,adj. 显著的；显而易见的
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constrain,vt. 驱使；强迫；束缚
construct,"n. 构想，概念
vt. 建造，构造；创立"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
contaminate,vt. 污染，弄脏
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
contempt,n. 轻视，蔑视；耻辱
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
continuity,n. 连续性；一连串；分镜头剧本
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
controversial,adj. 有争议的；有争论的
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
cope,"n. 长袍
vi. 处理；对付；竞争"
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correspondence,n. 通信；一致；相当
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
cosmic,adj. 宇宙的（等于cosmical）
costly,adj. 昂贵的；代价高的
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
counterpart,n. 副本；配对物；极相似的人或物
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
criterion,n. （批评判断的）标准；准则；规范；准据
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
cruelty,n. 残酷；残忍；残酷的行为
cue,"n. 提示，暗示；线索
vt. 给…暗示"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
cumulative,adj. 累积的
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
curriculum,"n. 课程
总课程"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
cynical,adj. 愤世嫉俗的；冷嘲的
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
dazzling,"adj. 耀眼的；眼花缭乱的
v. 使…眼花（dazzle的ing形式）"
deadline,n. 截止期限，最后期限
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
decimal,"n. 小数
adj. 小数的；十进位的"
decisive,adj. 决定性的；果断的，坚定的
dedicate,vt. 致力；献身；题献
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
deficit,n. 赤字；不足额
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
denial,n. 否认；拒绝；节制；背弃
denote,vt. 表示，指示
denounce,vt. 谴责；告发；公然抨击；通告废除
dentist,"n. 牙科医生
牙医诊所"
departure,n. 离开；出发；违背
depict,vt. 描述；描画
deprive,vt. 使丧失，剥夺
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
despise,vt. 轻视，鄙视
dessert,n. 餐后甜点；甜点心
destine,vt. 注定；命定；预定
destruction,n. 破坏，毁灭；摧毁
destructive,adj. 破坏的；毁灭性的；有害的，消极的
detach,vt. 分离；派遣；使超然
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
detective,"n. 侦探
adj. 侦探的"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
deviate,"vi. 脱离；越轨
vt. 使偏离"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
dictator,n. 独裁者；命令者
differentiate,"vt. 区分，区别
vi. 区分，区别"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
dignity,n. 尊严；高贵
dilemma,n. 困境；进退两难；两刀论法
diligent,adj. 勤勉的；用功的，费尽心血的
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
dine,"vi. 进餐，用餐
vt. 宴请"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
disable,vt. 使失去能力；使残废；使无资格
disaster,n. 灾难，灾祸；不幸
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
disclose,vt. 公开；揭露
discourage,vt. 阻止；使气馁
discrepancy,n. 不符；矛盾；相差
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
dishonor,"n. 拒付；不名誉；丢脸
vt. 使蒙羞；玷辱"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
displace,vt. 取代；置换；转移；把…免职；排水
disposal,n. 处理；支配；清理；安排
disposition,n. 处置； 性情； 部署；倾向
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distract,vt. 转移；分心
district,n. 区域；地方；行政区
disturbance,n. 干扰；骚乱；忧虑
diversion,n. 转移；消遣；分散注意力
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
doctrine,n. 主义；学说；教义；信条
domain,n. 领域；域名；产业；地产
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
drainage,n. 排水；排水系统；污水；排水面积
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
drawback,n. 缺点，不利条件；退税
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
drought,n. 干旱；缺乏
dual,"n. 双数；双数词
adj. 双的；双重的"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
duration,"n. 持续，持续的时间，期间
音长，音延"
dwell,vi. 居住；存在于；细想某事
earnings,n. 收入
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
ecology,n. 生态学；社会生态学
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
edible,"n. 食品；食物
adj. 可食用的"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
eject,vt. 喷射；驱逐，逐出
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
elderly,adj. 上了年纪的；过了中年的；稍老的
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elicit,vt. 抽出，引出；引起
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
elite,n. 精英；精华；中坚分子
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embassy,n. 大使馆；大使馆全体人员
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embody,vt. 体现，使具体化；具体表达
emigrate,"vi. 移居；移居外国
vt. 移民"
emission,n. （光、热等的）发射，散发；喷射；发行
empirical,adj. 经验主义的，完全根据经验的；实证的
encourage,vt. 鼓励，怂恿；激励；支持
endanger,vt. 危及；使遭到危险
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endow,vt. 赋予；捐赠；天生具有
endurance,n. 忍耐力；忍耐；持久；耐久
energetic,adj. 精力充沛的；积极的；有力的
enforce,vt. 实施，执行；强迫，强制
enlighten,vt. 启发，启蒙；教导，开导；照耀
enrich,vt. 使充实；使肥沃；使富足
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
ensure,vt. 保证，确保；使安全
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
entertainment,n. 娱乐；消遣；款待
entity,n. 实体；存在；本质
entrepreneur,n. 企业家；承包人；主办者
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
envisage,vt. 正视，面对；想像
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
episode,n. 插曲；一段情节；插话；有趣的事件
epoch,n.  世；新纪元；新时代；时间上的一点
equilibrium,n. 均衡；平静；保持平衡的能力
erosion,n. 侵蚀，腐蚀
erroneous,adj. 错误的；不正确的
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
essence,n. 本质，实质；精华；香精
eternal,adj. 永恒的；不朽的
ethics,n. 伦理学；伦理观；道德标准
ethnic,adj. 种族的；人种的
eventually,adv. 最后，终于
everlasting,adj. 永恒的；接连不断的
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evoke,vt. 引起，唤起；博得
exception,n. 例外；异议
exceptional,"n. 超常的学生
adj. 异常的，例外的"
excessive,adj. 过多的，极度的；过分的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
execution,n. 执行，实行；完成；死刑
exemplify,vt. 例证；例示
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
exotic,adj. 异国的；外来的；异国情调的
expedition,n. 远征；探险队；迅速
expel,vt. 驱逐；开除
expend,vt. 花费；消耗；用光；耗尽
expertise,n. 专门知识；专门技术；专家的意见
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
explicit,adj. 明确的；清楚的；直率的；详述的
exposition,n. 博览会；阐述；展览会
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
extension,n. 延长；延期；扩大；伸展；电话分机
extensive,adj. 广泛的；大量的；广阔的
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinguish,vt. 熄灭；压制；偿清
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
fabricate,vt. 制造；伪造；装配
facet,"n. 面；方面；小平面
vt. 在…上琢面"
facilitate,vt. 促进；帮助；使容易
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
