unit,n. 单位，单元；装置； 部队；部件
at the back of,"na. 在…背后
 在…后面；在……背后；在……之后"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
bookcase,n.  书柜，书架
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
at school,"na. 在学校；在上课；在求学
 在上学；在校；在学校里"
different from,"n. 异于；和…不同
 不同于；与……不同；与……不相同"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
do exercises, 做练习；运动出汗法；做操
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
delicious,adj. 美味的；可口的
How about ...?,
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
similar,"n. 类似物
adj. 相似的"
similar to,"v. 与…类似
 相似；与……相似；与……类似"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
bye for now,
Flora,
biology,n. （一个地区全部的）生物；生物学
IT,
information technology,"n. 信息技术
 资讯科技；信息科技；资讯技术"
geography,n. 地理；地形
history,n. 历史，历史学；历史记录；来历
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
useful,adj. 有用的，有益的；有帮助的
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
good with, 善于使用；处理某物或对待某人；高考善于使用
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
help sb. with,"v. 帮助
 帮助做；帮助做某事；帮忙某人做"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
listen to,"v. 听
 倾听；收听；听从"
good at,"un. 擅长；一清二楚；拿手的；精明的
 擅长于；善于；你擅长的技能"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
AM,"abbr. 调幅
v. 是"
a.m.,abbr. 上午，午前（ante meridiem）
PM,"abbr. （拉）下午（Post Meridiem，等于afternoon）；调相（Phase Modulation）
abbr. 产品经理（Product Manager）"
p.m.,
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
excellent,adj. 卓越的；极好的；杰出的
instrument,n. 仪器；工具；乐器；手段；器械
singer,n. 歌手，歌唱家
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
in the future,"adv. 今后
 将来；在将来；在未来"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
in class,"na. 在上课；在上课中
 在课堂上；在课上；上课时"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
life,n. 生活，生存；寿命
scientist,n. 科学家
Baker,
Mike,
Davis,
Canada,n. 加拿大（北美洲国家）
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
choose,"vt. 选择，决定
vi. 选择，挑选"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
play Chinese chess,
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
news,n. 新闻，消息；新闻报导
musical,"adj. 音乐的；悦耳的
n. 音乐片"
musical instrument,"n. 乐器
 西式乐器；琴；音乐器材"
exactly,adv. 恰好地；正是；精确地；正确地
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
ability,n. 能力，能耐；才能
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
act on,"na. “Act upon”的变体
 按照…而行动；对…起作用；按照…行动"
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
 在家里；在国内；自在"
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
interested in,"un. 感兴趣；尽力；关心；对…关注
 对……感兴趣；兴趣于；对…有兴趣"
nature,n. 自然；性质；本性；种类
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
soon,adv. 快；不久，一会儿；立刻；宁愿
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
more than,"na. …以上；比…更
 多于；超过；不止"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
fall in love with,"na. 爱上
 爱上某人；与……相爱；爱上某物"
take photos, 照相；拍照；拍照片
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
insect,n. 昆虫；卑鄙的人
discover,"vi. 发现
vt. 发现；发觉"
wildlife,"n. 野生动植物
adj. 野生动植物的"
Linda,
Alice,
Bill,
Jenny,
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
famous,adj. 著名的；极好的，非常令人满意的
mountain,n. 山；山脉
kiwi,n. 猕猴桃；几维（一种新西兰产的无翼鸟）；新西兰人
forest,"n. 森林
vt. 植树于，使成为森林"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
famous for,"v. 以…著称
 闻名；驰名；以……闻名"
lotus,n. 莲花（汽车品牌）
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
adult,"n. 成年人
adj. 成年的；成熟的"
tooth,"n. 牙齿
vt. 给……装齿
vi. 啮合"
teeth,n. 牙齿
province,n. 省；领域；职权
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
volleyball,n. 排球
seashell,n. 海贝，贝壳；海贝壳
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
sea lion,"n. 海狮
 北海狮；小海狮；海狮图片"
flying fish,"n. 飞鱼（分布于暖水海洋，有翼状鳍）
 遥控飞天鱼；飞翔的鱼；飞鱼来袭"
sea horse,n. 海马
New Zealand,"n. 新西兰
 纽西兰；奥克兰；区新西兰"
Daming Lake,
Mount Huangshan,
West Lake,
Zhangjiajie National Forest Park,
Mount Taishan,
Five Great Mountains,
Waikiki,
Hawaii,n. 夏威夷（美国州名）；夏威夷岛
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
an,art. 一（在元音音素前）
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
afternoon,n. 午后，下午
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
ago,"adj. 以前的；过去的
adv. 以前，以往"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
also,"conj. 并且；另外
adv. 也；而且；同样"
always,adv. 永远，一直；总是；常常
and,conj. 和，与；就；而且；但是；然后
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
animal,"n. 动物
动物的"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
astronaut,n. 宇航员，航天员；太空旅行者
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
aunt,n. 阿姨；姑妈；伯母；舅妈
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
banana,n. 香蕉；喜剧演员；大鹰钩鼻
basketball,n. 篮球；篮球运动
be,vt. 是； 有，存在； 做，成为； 发生
am,
is,"v. 是（be的三单形式）
n. 存在"
are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
because,conj. 因为
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
bee,n. 蜜蜂，蜂；勤劳的人
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
begin,"vi. 开始；首先
vt. 开始"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
beside,prep. 在旁边；与…相比；和…无关
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
between,"prep. 在…之间
adv. 在中间"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
birthday,n. 生日，诞辰；诞生的日子
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
blackboard,n. 黑板
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
boat,"n. 小船；轮船
vi. 划船"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
boy,n. 男孩；男人
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
brought,v. 带来（bring的过去分词）
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
bus,"n. 公共汽车
乘公共汽车"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
bye,"n. 轮空；次要的东西
int. 再见
adj. 次要的"
goodbye,"int. 再见
放弃
告别"
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
