golden,adj. 金色的，黄金般的；珍贵的；金制的
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
applause,n. 欢呼，喝采；鼓掌欢迎
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
achievement,n. 成就；完成；达到；成绩
universe,n. 宇宙；世界；领域
philosopher,n. 哲学家；哲人
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
exactly,adv. 恰好地；正是；精确地；正确地
action,n. 行动；活动；功能；战斗；情节
sense of humour, 幽默感；有幽默感；幽默之作
let ... down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
by heart, 牢记；凭记忆；熟记
take a seat,"na. 坐下
 请坐；就座；就坐"
without difficulty,"na. 容容易易就…
 毫不费力地；毫无困难地；没有困难"
join in,"na. 参加；参与
 加入；加盟；参加某种活动"
have no idea,"un. 心中有数；对…一无所知；感到茫无头绪；不想
 不知道；不清楚；一点不知道"
be in trouble,"un. 自讨苦吃；出事
 遇到麻烦；有麻烦；处于困境中"
play a joke on sb.,
turning point,"n. 转折点；转捩点；转机
 转向点；转点；转折关头"
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
decision,n. 决定，决心；决议
possessions,n.  财产；所有物（possession的复数形式）
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
business,n. 商业； 生意； 交易；事情
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
fashionable,adj. 流行的；时髦的；上流社会的
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
event,n. 事件，大事；项目；结果
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
relationship,n. 关系；关联
invite,"n. 邀请
vt. 邀请，招待；招致"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
help with,"v. 帮助
 帮助做；帮助做某事；帮忙某人做"
on business,"na. 因公
 因事；出差办事；有事"
be on business,
have no interest in,对…不感兴趣
online,"adj. 联机的；在线的
adv. 在线地"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
awful,adj. 可怕的；极坏的；使人敬畏的
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
situation,n. 情况；形势；处境；位置
braces,n. 背带；吊带（brace的复数）
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
annoying,"v. 骚扰（annoy的ing形式）
adj. 讨厌的；恼人的"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
careless,adj. 粗心的；无忧无虑的；淡漠的
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
request,"n. 请求；需要
vt. 要求，请求"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
exam,n. 考试；测验
be on a diet, 节食；节食减肥；正在节食
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
feel ashamed of, 对…感到惭愧；感到羞愧；对……感到羞愧
drive sb. mad,un. 变疯
make a mess, 弄乱；搞成一团糟；搞得乱七八糟
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
 不合适；格格不入的；不恰当"
none of one's business,
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
director,n. 主任，主管；导演；人事助理
make-up,n. 化妆品；（美）补考；性格；构造；排版
artist,n. 艺术家；美术家（尤指画家）；大师
studio,n. 工作室； 演播室；画室；电影制片厂
contestant,n. 竞争者；争辩者
upon,prep. 根据；接近；在…之上
among,prep. 在…中间；在…之中
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
relaxed,"v. relax的过去式和过去分词
adj. 松懈的，放松的；悠闲的，自在的；不严格的，不拘束的"
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
beaten,"v. 打败（beat的过去分词）
adj. 被打败了的；筋疲力竭的；踏平的"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
victory,n. 胜利；成功；克服
England,n. 英格兰
lucky,adj. 幸运的；侥幸的
news,n. 新闻，消息；新闻报导
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
floor plan,"n. 楼层平面图
 楼面平面图；平面布置图；平面配置图"
talent show,n. 业余歌手演唱会; 选秀节目，选秀比赛
pass out,"v. 昏倒；分发；主要用于英式英语
 失去知觉；晕倒；昏过去"
keep still,"un. 置之不理；不要动；默不作声；忍在肚里
 保持不动；别动；安静"
emergency exit,"na. 太平门
 紧急出口；安全出口；安全门"
on weekdays, 在工作日；在平日；在周日
preference,n. 偏爱，倾向；优先权
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
product,n. 产品；结果； 乘积；作品
protein,"n. 蛋白质；朊
adj. 蛋白质的"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
cola,n. 可乐；可乐树（其子含咖啡碱）
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
salad,n. 色拉；尤指莴苣
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
usual,adj. 通常的，惯例的；平常的
coffee,n. 咖啡；咖啡豆；咖啡色
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
customer,n. 顾客；家伙
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
a balanced diet,"un. 均衡饮食
 均衡的饮食；饮食平衡；平衡的饮食"
dairy product,"un. 乳制品
 奶制品；奶类制品；乳产品"
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
 远离；与……保持距离；离…远点"
fried food,"un. 油炸食物
 油炸食品；煎炸食品；油炸类食品"
soft drink,"n. 软饮料（不含酒精）
 汽水；软性饮料；清凉饮料"
medical examination,"un. 医学检查
 体检；体格检查；健康检查"
lose weight,"un. 体重减轻
 减肥；减轻体重；减重"
plenty of,"na. 很多的
 许多；大量的；充足的"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
treat oneself to sth.,
be prepared to do sth.,
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
novel,"adj. 新奇的；异常的
n. 小说"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
congratulations,n. 祝贺；恭喜；贺词（congratulation的复数形式）
sympathy,n. 同情；慰问；赞同
steamboat,n. 汽船，轮船
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
writer,n. 作家；作者
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
task,"n. 工作，作业；任务
vt. 分派任务"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
careful,adj. 仔细的，小心的
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
coat,"n. 外套
vt. 覆盖…的表面"
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
have a rest,"v. 休息一下
 休息一会儿；休憩；好好休息"
think of,"na. 想起
 考虑；认为；想到"
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
what a pity,"un. 真可惜
 真遗憾；真是遗憾；多可惜"
go on doing, 继续做；继续做原来做的事；继续做同一件事
in silence,"na. 沉默着
 沉默地；静静地；沉默不语"
after a while,"na. 过了一会儿
 不久；过一会儿；隔了一会儿"
turn sth. over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
trick sb. into doing sth.,
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
afford,vt. 给予，提供；买得起
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
goods,n. 商品；动产；合意的人；真本领
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
drew,draw的过去式
drawn,"v. 画，绘图（draw的过去分词）
adj. 拔出的"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
America,n. 美洲（包括北美和南美洲）；美国
wife,n. 妻子，已婚妇女；夫人
album,n. 相簿；唱片集；集邮簿；签名纪念册
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
at last,"na. 终于
 最后；最终；终於"
fix ... on,
hold out,"na. 伸出；提出；维持；制止
 坚持；支持；坚持，不屈服"
be accused of ...,
under the name ...,
under the name of ...,
