maple,n. 枫树；淡棕色
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
steak,n. 牛排；肉排；鱼排
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
slightly,adv. 些微地，轻微地；纤细地
incredibly,adv. 难以置信地；非常地
pizzeria,n. 意大利肉饼店，匹萨饼店
vegetarian,"n. 素食者；食草动物
adj. 素食的"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
bakery,n. 面包店
cheesecake,n. 奶酪蛋糕；半裸体的女人照片
creamy,adj. 奶油色的；乳脂状的；含乳脂的
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
within,"prep. 在…之内
n. 里面
adv. 在内部"
lifestyle,"n. 生活方式
保健的"
belong,vi. 属于，应归入；居住；适宜；应被放置
belong to,"v. 属于；附属
 归于；归属；属於"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
 赶上；追上；跟上"
construction,n. 建设；建筑物；解释；造句
satisfying,adj. 令人满意的；令人满足的
homemade,adj. 自制的；国产的；像家里做的
chef,n. 厨师，大师傅
convenient,adj. 方便的；适当的；近便的；实用的
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
recipe,n. 食谱； 处方；秘诀；烹饪法
blog,n. 博客；部落格；网络日志
originally,adv. 最初，起初；本来
ranking,"n. 等级；地位
adj. 上级的；头等的；超群的
v. 排列；归类于（rank的ing形式）"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
reconstruct,vt. 重建；改造；修复；重现
salty,adj. 咸的；含盐的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
adapt,"vi. 适应
vt. 使适应；改编"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
onion,n. 洋葱；洋葱头
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
poet,n. 诗人
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
decoration,n. 装饰，装潢；装饰品；奖章
freedom,n. 自由，自主；直率
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
inequality,n. 不平等；不同；不平均
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
novel,"adj. 新奇的；异常的
n. 小说"
limitless,adj. 无限制的；无界限的
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
regard ... as ...,
literature,n. 文学；文献；文艺；著作
envelope,n. 信封，封皮；包膜； 包层；包迹
pole,
handwritten,"adj. 手写的
v. handwrite的过去分词"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
starving,"v. 挨饿（starve的ing形式）；使饿死
adj. 饥饿的；挨饿的"
indicate,vt. 表明；指出；预示；象征
request,"n. 请求；需要
vt. 要求，请求"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fancy dress,"n. 化装服；化装舞会服
 聚会时所穿的奇装异服；化装服装；化妆服"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
lantern,n. 灯笼；提灯；灯笼式天窗
dessert,n. 餐后甜点；甜点心
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
firework,n. 烟火；激烈情绪
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
competition,n. 竞争；比赛，竞赛
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
editor,n. 编者，编辑；社论撰写人；编辑装置
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
effort,n. 努力；成就
loss,n. 减少；亏损；失败；遗失
eve,n. 前夕；傍晚；重大事件关头
software,n. 软件
adult,"n. 成年人
adj. 成年的；成熟的"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
retired,"adj. 退休的；退役的；幽闭的
v. 退休（retire的过去分词）"
exist,vi. 存在；生存；生活；继续存在
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
global,adj. 全球的；总体的；球形的
citizen,n. 公民；市民；老百姓
nationality,n. 国籍，国家；民族；部落
audience,n. 观众；听众；读者；接见；正式会见；拜会
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
phenomenon,n. 现象；奇迹；杰出的人才
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
basis,n. 基础；底部；主要成分；基本原则或原理
equipment,n. 设备，装备；器材
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
to one's heart's content,"na. 尽情
 心满意足；尽情地；尽兴"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
defend,"vi. 保卫；防守
vt. 辩护；防护"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
death,n. 死；死亡；死神；毁灭
assure,vt. 保证；担保；使确信；弄清楚
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
adjustable,adj. 可调节的
available,adj. 可获得的；可购得的；可找到的；有空的
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
plank,"n.  厚木板；支架；政纲条款
vt. 在…上铺板；撂下；立刻付款"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
upper,adj. 上面的，上部的；较高的
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
involve,vt. 包含；牵涉；使陷于；潜心于
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
response,n. 响应；反应；回答
interpret,"vi. 解释；翻译
vt. 说明；口译"
data,n. 数据（datum的复数）；资料
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
asthma,n.  哮喘，气喘
lung,n. 肺；呼吸器
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
network,n. 网络；广播网；网状物
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
gorilla,n. 大猩猩
die out,"na. 死绝
 灭绝；消失；逐渐消失"
sweaty,adj. 出汗的；吃力的；使人出汗的
ache,"n. 疼痛
vi. 疼痛；渴望"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
am,
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
opera,n. 歌剧；歌剧院；歌剧团
movement,n. 运动；活动；运转；乐章
aspect,n. 方面；方向；形势；外貌
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
prince,n. 王子，国君；亲王；贵族
version,n. 版本；译文；倒转术
string,n. 线，弦，细绳；一串，一行
exaggerated,"v. 夸张，夸大（exaggerate的过去式）
adj. 夸张的，言过其实的"
mime,"n. 哑剧；小丑；滑稽戏
vi. 摸拟表演
vt. 摸拟表演"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
 讲清楚；说明；使被理解"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
technique,n. 技巧，技术；手法
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
universe,n. 宇宙；世界；领域
backflip,"n. 后翻式；后滚翻；倒翻筋斗
vi. 后空翻；表演后空翻"
incredible,adj. 难以置信的，惊人的
dazzling,"adj. 耀眼的；眼花缭乱的
v. 使…眼花（dazzle的ing形式）"
energetic,adj. 精力充沛的；积极的；有力的
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
on the edge of one's seat, （非正式）十分兴奋的，兴奋得坐不住的，全神贯注的
emotion,n. 情感；情绪
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
grief,n. 悲痛；忧伤；不幸
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
poetry,n. 诗；诗意，诗情；诗歌艺术
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
tick all the right boxes,
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
grateful,adj. 感谢的；令人愉快的，宜人的
extremely,adv. 非常，极其；极端地
overcome,"vt. 克服；胜过
vi. 克服；得胜"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
absorbed,"v. 吸收；使全神贯注（absorb的过去分词形式）
adj. 被吸收的；一心一意的"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
comedy,n. 喜剧；喜剧性；有趣的事情
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
absolutely,adv. 绝对地；完全地
episode,n. 插曲；一段情节；插话；有趣的事件
put on,"na. 假话
 穿上；上演；戴上"
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
definitely,adv. 清楚地，当然；明确地，肯定地
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
arrangement,n. 布置；整理；准备
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
cinematic,adj. 电影的；影片的
turkey,n. 土耳其（横跨欧亚两洲的国家）
storytelling,"n. 讲故事；说谎话
adj. 讲故事的；说谎的"
wonderland,n. 奇境，仙境；非常奇妙的地方
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
disappointed,adj. 失望的，沮丧的；受挫折的
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
 不辜负；符合；实践"
extent,n. 程度；范围；长度
to some extent,"na. 在某种程度上
 在一定程度上；从某种程度上讲；从某种程度来讲"
in one's own right,"na. 依据自己的权利；依据自己生来应有的权利
 凭本身的头衔；独立的；依照自己的权利"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
fictional,adj. 虚构的；小说的
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
responsibility,n. 责任，职责；义务
absence,n. 没有；缺乏；缺席；不注意
destination,n. 目的地，终点
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
indigenous,adj. 本土的；土著的；国产的；固有的
kangaroo,n. 袋鼠
crocodile,n. 鳄鱼
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
profession,n. 职业，专业；声明，宣布，表白
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
route,"n. 路线；航线；通道
vt. 按某路线发送"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
volcano,n. 火山
embassy,n. 大使馆；大使馆全体人员
visa,"n. 签证
vt. 签发签证"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
luggage,n. 行李；皮箱
currency,n. 货币；通货
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
credit card,"n. 信用卡
 贷记卡；申请信用卡；意思是信用卡"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
café,
soccer,n. 英式足球，足球
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
deer,n. 鹿
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
poutine, 肉汁乳酪薯条（以软乳酪覆盖，浇肉汁等食用）
gravy,n. 肉汁；不法利润；轻易得来的钱
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
fin,"n. 鳍；鱼翅；鳍状物
vt. 切除鳍；装上翅
vi. 猛挥鳍；潜泳"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
fortunately,adv. 幸运地
extinction,n. 灭绝；消失；消灭；废止
attitude,n. 态度；看法；意见；姿势
devote,vt. 致力于；奉献
ocean,n. 海洋；大量；广阔
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
cruelty,n. 残酷；残忍；残酷的行为
hunting,"n. 打猎；追逐；搜索
v. 狩猎；寻找（hunt的ing形式）；追捕
adj. 打猎的；振荡的"
presentation,n. 展示；描述，陈述；介绍；赠送
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
establish,"vi. 植物定植
vt. 建立；创办；安置"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
drought,n. 干旱；缺乏
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
greenhouse,"n. 温室
造成温室效应的"
reusable,adj. 可以再度使用的，可重复使用的
brochure,n. 手册，小册子
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
smog,n. 烟雾
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
infection,n. 感染；传染；影响；传染病
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
permission,n. 允许，许可
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
majority,n. 多数；成年
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
device,n. 装置；策略；图案
stand-by,"n. 备用；备用设备
adj. 备用的；辅助的"
mode,n. 模式；方式；风格；时尚
electricity,n. 电力；电流；强烈的紧张情绪
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
appliance,n. 器具；器械；装置
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
take ... into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
litre,n.  公升（米制容量单位）
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
canteen,n. 食堂，小卖部；水壶
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
