see,"vi. 看；看见；领会
vt. 看见；理解；领会"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
fourteen,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪"
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
sheep,n. 羊，绵羊；胆小鬼
sixteen,"num. 十六
adj. 十六的，十六个的"
how much,"conj. 多少
 多少钱；做多少；有多少"
seventeen,"n. 十七，十七个
num. 十七
adj. 十七岁的；十七的，十七个的"
twenty,"num. 二十
n. 二十；二十年代
adj. 二十的"
eighteen,"n. 十八，十八个
num. 十八
adj. 十八个的，十八的"
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
clever,"adj. 聪明的；机灵的；熟练的
"
nineteen,num. 十九
thirty,"num. 三十
n. 三十年代
adj. 三十个的"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
sleep,"n. 睡眠
vi. 睡，睡觉"
have a sleep, 睡觉；睡一会儿觉；睡一觉
fifty,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的"
winner,n. 胜利者
forty,"n. 四十
adj. 四十的；四十个的"
begin,"vi. 开始；首先
vt. 开始"
bus,"n. 公共汽车
乘公共汽车"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
car,n. 汽车；车厢
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
at,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
go to school,"na. 到校上课；上学去；开始求学
 去上学；去学校；到学校去"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
go to bed,"na. 睡；同床；付印
 上床睡觉；去睡觉；就寝"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
tomato,n. 番茄，西红柿
them,pron. 他们；它们；她们
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
dinner,n. 晚餐，晚宴；宴会；正餐
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
potato,n.  土豆， 马铃薯
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
Christmas,n. 圣诞节；圣诞节期间
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
email,"n. 电子信函
vt. 给…发电子邮件"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
the Spring Festival,
Chinese,"n. 中文，汉语；中国人
adj. 中国的，中国人的；中国话的"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
dumpling,n. 饺子，汤团；面团布丁
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
TV,abbr. 电视（television）
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
money,n. 钱；货币；财富
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
friend,n. 朋友；助手；赞助者
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
