education,n. 教育；培养；教育学
situation,n. 情况；形势；处境；位置
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
grammar,n. 语法；语法书
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
turn ... into,
parking lot,"n. 停车场
 停车处；停车位；平面停车场"
ask for,"na. 要(价)；来找
 请求；要求；要求得到"
teach someone a lesson,"na. 给…一点教训
 给某人一个教训；教训别人；给某人一点教训"
be afraid of,"na. 怕
 害怕；害怕某物；害怕某事"
dare to,"v. 胆敢
 敢于；要敢于；敢于用"
dare to do something,
take a leaf out of someone's book, 学某人的样子；用；拿某人当榜样
USA,abbr. 美国；美利坚合众国（the United States of America）
the United States of America,"na. 美利坚合众国
 美国；国名美利坚合众国；美利坚合衆国"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
slang,"n. 俚语；行话
adj. 俚语的
vt. 用俚语说
vi. 用粗话骂"
addition,n. 添加； 加法；增加物
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
actor,n. 男演员；行动者；作用物
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
context,n. 环境；上下文；来龙去脉
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
vocabulary,n. 词汇；词表；词汇量
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
coursework,n. 作业，修习；指定功课，职业培训
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
whenever,"conj. 每当；无论何时
adv. 不论何时；随便什么时候"
online,"adj. 联机的；在线的
adv. 在线地"
rewind,"n. 重绕；倒带器
vt. 倒回；重绕
vi. 倒回；重绕"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
in addition,"na. 加之
 另外；此外；又"
get the most out of, 最有效的使用；充分利用……的机会；最充分理解
match ... to ...,
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
provide somebody with something,
be tied to,"v. 被束缚着
 被绑在；被系在；系在一起"
back to back,"na. 背对背
 背靠背；背对背拥抱；背至背"
turn off,"v. 关掉
 关上；关闭；解雇"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
look up,"v. 查找；查阅；探望；看望
 向上看；抬头看；仰望"
Wall Street,"n. 华尔街（美国纽约金融中心和证券交易所所在地）
 纽约华尔街；美国华尔街；墙街"
Office Space,
wealth,n. 财富；大量；富有
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
somehow,adv. 以某种方法；莫名其妙地
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
tale,n. 故事；传说；叙述；流言蜚语
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
sympathy,n. 同情；慰问；赞同
exactly,adv. 恰好地；正是；精确地；正确地
invite,"n. 邀请
vt. 邀请，招待；招致"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
extremely,adv. 非常，极其；极端地
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
daughter-in-law,n. 儿媳妇
suggestion,n. 建议；示意；微量，细微的迹象
advice,n. 建议；忠告；劝告；通知
amazed,"v. 使…吃惊；把…弄糊涂（amaze的过去分词）
adj. 惊奇的，吃惊的"
wherever,"conj. 无论在哪里；无论什么情况下
adv. 无论什么地方；究竟在哪里"
as well,"na. 也；同样
 又；还；也倒不如"
out of,"prep. 来自；离开
 从...中；由于；从……向外"
point to,"v. 指向；针对
 指着；表明；指出"
fill ... with ...,
jump in,"un. 倒退；投入；从中间插话；打圆场
 跃动青春；跳跃青春；跳进"
take someone's advice,
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
error,n. 误差；错误；过失
various,adj. 各种各样的；多方面的
recently,adv. 最近；新近
invitation,n. 邀请；引诱；请帖；邀请函
fashionable,adj. 流行的；时髦的；上流社会的
hostess,n. 女主人，女老板；女服务员；舞女；女房东
secretly,adv. 秘密地；背地里
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
smartly,adv. 刺痛地；漂亮地；潇洒地；火辣辣地
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
politely,adv. 有礼貌地；客气地；委婉地；殷勤地
secretary,n. 秘书；书记；部长；大臣
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
department,n. 部；部门；系；科；局
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
president,n. 总统；董事长；校长；主席
obvious,adj. 明显的；显著的；平淡无奇的
well known,"adj. 众所周知的；著名的；出名的；为人所熟知的（或熟悉的、认可的）
 知名的；人所共知"
because of,"na. 因
 因为；由于；由于，因为"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
make friends with,"na. 跟…做朋友
 与……交朋友；和……交朋友；与……交友"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
on top of the world,"na. “on top of the heap”的变体
 幸福到极点；世界顶端；在世界的顶端"
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
at the end of,"na. 在…末端；在…的结尾
 在……的尽头；在……的末尾；在…结尾"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
cry out,"na. 大叫；喊着要求
 大声呼喊；喊叫；吆喝"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
laptop,n. 膝上型轻便电脑，笔记本电脑
ex-,prep. 从；外；离；除；超过；以前的（附在名词前，用于带连词号的复合词）
girlfriend,"n. 女朋友
女伴"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
safety,n. 安全；保险；安全设备；保险装置；安打
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
summon,vt. 召唤；召集；鼓起；振作
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
avoid,vt. 避免；避开，躲避；消除
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
e-mail,
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
ceiling,n. 天花板；上限
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
fall asleep,"na. 入睡
 睡着；睡着了；睡觉"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
 唤醒；起床；醒醒"
let go,"v. 放手；解雇；松手；忽视
 展翅高飞；放开；释放"
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
shut somebody out,
reach for,"v. 伸手去取；伸手拉起
 伸手去拿；伸手拿东西；伸手去抓"
pull back,"na. 拉回来；节省；改变主意
 撤退；撤回；向后拉"
at work,"na. 做着；在工作；起着作用；运转中
 在上班；起作用；在起作用"
will somebody to do something,
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
Paul,
Internet,
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
gigabyte,n. 十亿字节；十亿位组
memory,n. 记忆，记忆力；内存， 存储器；回忆
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
novel,"adj. 新奇的；异常的
n. 小说"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
convenience,n. 便利；厕所；便利的事物
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
digital,"n. 数字；键
adj. 数字的；手指的"
camera,n. 照相机；摄影机
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
per,prep. 每；经；按照；每一
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
razor,"n. 剃刀
vt. 剃，用剃刀刮"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
customer,n. 顾客；家伙
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
automated,"adj. 自动化的；机械化的
v. 自动化（automate的过去分词）；自动操作"
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
trying,"v. 尝试（try的ing形式）；试验
adj. 难受的；难堪的；费劲的；令人厌烦的"
request,"n. 请求；需要
vt. 要求，请求"
operator,n. 经营者；操作员；话务员；行家
alive,adj. 活着的；活泼的；有生气的
do somebody good,"na. 对某人有益
 给某人带来好处"
work on,"na. 对…有效；动(人,感情等)；向…做工作；左右
 从事；致力于；继续工作"
no more than,"na. 不过是；仅仅
 至多；只是；只不过"
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
lead to,"na. 通向
 导致；引起；通往"
add up,"na. 合计；符合预期的数目
 加起来；相加；把……加起来"
in want of,"na. 需要…(的)
 缺少；缺乏；急需"
put up with,"na. 忍住
 忍受；容忍；忍耐"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
Apple,
iPad 4,
Samuel Beckett, 贝克特；塞缪尔·贝克特；当代最著名的荒诞剧作家
Waiting for Godot,
winning,"n. 胜利；获得；成功
v. 获胜（win的ing形式）
adj. 胜利的；获胜的"
personality,n. 个性；品格；名人
badminton,n. 羽毛球
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
tennis,n. 网球（运动）
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
grand slam,
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
ranking,"n. 等级；地位
adj. 上级的；头等的；超群的
v. 排列；归类于（rank的ing形式）"
heroine,n. 女主角；女英雄；女杰出人物
federation,n. 联合；联邦；联盟；联邦政府
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
ability,n. 能力，能耐；才能
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
tournament,n. 锦标赛，联赛；比赛
generation,n. 一代；产生；一代人；生殖
include,vt. 包含，包括
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
individualism,n. 个人主义；利己主义；个人特征
one-of-a-kind,adj. 每种只有一个的
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
semi-,pref. 半；部分
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
snore,"n. 鼾声
vt. 打鼾
vi. 打呼噜；打着鼾声渡过"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
can't help doing something,
stand out,"na. 突出；显著；不参加战争；抵抗到底
 显眼；引人注目；站出来"
as of,"na. 自…
 自…起；截至；在…时"
off the court,
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
let on,"na. 假装；泄密
 泄露；透露；泄漏"
make one's way,"na. 前往；发迹
 前进；行进；走去"
French Open, 法国网球公开赛；法国公开赛；法网
Asian Tennis Federation,
"the ""Golden Flowers""",
Caroline Wozniacki,
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
truth,n. 真理；事实；诚实；实质
teamwork,n. 团队合作；协力
competitive,adj. 竞争的；比赛的；求胜心切的
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
connection,n. 连接；关系；人脉；连接件
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
skill,n. 技能，技巧；本领，技术
footwork,n. 步法；需跑腿的工作；策略
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
talent,n. 才能；天才；天资
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
strength,n. 力量；力气；兵力；长处
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
performance,n. 性能；绩效；表演；执行；表现
whilst,conj. 同时；时时，有时；当…的时候
definitely,adv. 清楚地，当然；明确地，肯定地
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
available,adj. 可获得的；可购得的；可找到的；有空的
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
championship,n. 锦标赛；冠军称号；冠军的地位
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
wonder at,"na. 看见…而惊奇；惊讶
 对…感到惊讶；吃惊；对……感到惊奇"
take a day off,"v. 休假一天
 休息一天；请一天假；放一天假"
take ... for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
practice doing something,
in the end,"na. 终于
 最后；最终；结果到头来"
try hard to do something,
give a hand,"un. 制住；帮着干一点
 帮助；帮忙；提供帮助"
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
at ease,"na. 自由自在；=stand at ease.
 稍息；安逸；舒适"
Michael Jordan, 乔丹；迈克尔·乔丹；麦可乔丹
Grant Hill,
Kobe Bryant, 布莱恩；科比；科比-布莱恩特
eve,n. 前夕；傍晚；重大事件关头
celebration,n. 庆典，庆祝会；庆祝；颂扬
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
united,adj. 一致的，统一的；团结的，和睦的
Christmas,n. 圣诞节；圣诞节期间
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
importance,n. 价值；重要；重大；傲慢
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
recent,adj. 最近的；近代的
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
tradition,n. 惯例，传统；传说
century,n. 世纪，百年；（板球）一百分
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
firework,n. 烟火；激烈情绪
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
activity,n. 活动；行动；活跃
resolution,n.  分辨率；决议；解决；决心
European,"n. 欧洲人
adj. 欧洲的；欧洲人的"
involve,vt. 包含；牵涉；使陷于；潜心于
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
give importance to,
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
in common,"un. 和…有相通之处；公有
 共同；共有的；共同的"
drive away,"v. 赶走
 开走；把车开走；离开"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
 免除；放过；放出"
in the shape of,"na. 以…的形状；呈…的形状；以…的形式；作为…
 以……的形状；呈...形状；以……形状"
light up,"na. 点灯；照亮；点香烟；变快活
 点燃；点亮；点火"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
join in,"na. 参加；参与
 加入；加盟；参加某种活动"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
Europe,n. 欧洲
Asia,n. 亚洲
Times Square,"n. 时代广场
 时报广场；纽约时代广场；纽约时报广场"
New York City, 纽约市；纽约城；美国纽约市
warmth,n. 温暖；热情；激动
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
death,n. 死；死亡；死神；毁灭
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
fir,"n. 冷杉；枞木
abbr. 弗京（firkin）"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
artist,n. 艺术家；美术家（尤指画家）；大师
