the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
your,pron. 你的，你们的
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
say,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵"
would,"aux. 将，将要；愿意
v. will的过去式"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
or,conj. 或，或者；还是
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
other,"adj. 其他的，另外的
pron. 另外一个"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
who,pron. 谁；什么人
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
them,pron. 他们；它们；她们
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
could,"aux. 能够
v. 能（can的过去式）"
may,aux. 可以，能够；可能，也许；祝，愿；会，能
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
life,n. 生活，生存；寿命
our,pron. 我们的
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
why,"int. 哎呀！什么？
adv. 为什么"
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
woman,n. 妇女；女性；成年女子
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
me,"pron. 我（宾格）
n. 自我；极端自私的人；自我的一部分"
food,n. 食物；养料
where,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
world,n. 世界；领域；世俗；全人类；物质生活
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
us,pron. 我们
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
these,"adj. 这些的
pron. 这些"
should,aux. 应该；就；可能；将要
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
also,"conj. 并且；另外
adv. 也；而且；同样"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
student,n. 学生；学者
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
its,pron. 它的
author,"n. 作者；作家；创始人
vt. 创作出版"
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
those,"adj. 那些的
pron. 那些（that的复数）"
because,conj. 因为
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
him,pron. 他（宾格）
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
become,"vt. 适合；相称
vi. 成为；变得；变成"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
thing,n. 事情；东西；事物；情况
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
car,n. 汽车；车厢
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
big,"adj. 大的；重要的；量大的
adv. 大量地；顺利；夸大地"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
small,"n. 小件物品；矮小的人
adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地"
too,adv. 太；也；很；还；非常；过度
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
friend,n. 朋友；助手；赞助者
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
something,"n. 重要的人；值得重视的事
adj. 大约；有点象
adv. 非常；有点；大约
pron. 某事；某物"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
very,"adv. 非常，很；完全
adj. 恰好是，正是；甚至；十足的；特有的"
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
probably,adv. 大概；或许；很可能
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
begin,"vi. 开始；首先
vt. 开始"
few,"n. 很少数
adj. 很少的；几乎没有的
pron. 很少"
college,n. 大学；学院；学会
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
between,"prep. 在…之间
adv. 在中间"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
city,"n. 城市，都市
adj. 城市的；都会的"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
used,"v. 用（use的过去式）；（used to）过去常做
adj. 习惯的；二手的，使用过的"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
hour,n. 小时；钟头；课时；…点钟
parent,n. 父亲（或母亲）；父母亲；根源
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
important,adj. 重要的，重大的；有地位的；有权力的
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
early,"adj. 早期的；早熟的
adv. 提早；在初期"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
such,adj. 这样的，如此的
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
team,"n. 队；组
vt. 使合作
vi. 合作"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
money,n. 钱；货币；财富
idea,n. 想法；主意；概念
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
never,adv. 从未；决不
every,adj. 每一的，每个的；每隔…的
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
often,adv. 常常，时常
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
music,n. 音乐，乐曲
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
week,n. 周，星期
human,"n. 人；人类
adj. 人的；人类的"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
writing,"n. 书写；作品；著作； 笔迹
v. 书写（write的ing形式）"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
No.,
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
different,adj. 不同的；个别的，与众不同的
passage,n. 一段（文章）；走廊；通路
can't,abbr. 不能（can not）
cannot,v. 不能；无法
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
teacher,n. 教师；导师
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
seem,vi. 似乎；像是；装作
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
business,n. 商业； 生意； 交易；事情
enjoy,vt. 欣赏，享受；喜爱；使过得快活
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
information,n. 信息，资料；知识；情报；通知
month,n. 月，一个月的时间
scientist,n. 科学家
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
happen,vi. 发生；碰巧；偶然遇到
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
text,"n.  文本；课文；主题
vt. 发短信"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
away,adv. 离去，离开；在远处
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
bad,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地"
sleep,"n. 睡眠
vi. 睡，睡觉"
sleep,"n. 睡眠
vi. 睡，睡觉"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
create,vt. 创造，创作；造成
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
library,n. 图书馆，藏书室；文库
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
without,"prep. 没有；超过；在…外面
n. 外部；外面
adv. 户外；在外面；没有或不显示某事物"
during,prep. 在…的时候，在…的期间
area,n. 区域，地区；面积；范围
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
effort,n. 努力；成就
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
technology,n. 技术；工艺；术语
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
data,n. 数据（datum的复数）；资料
