identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
chuckle,"n. 轻笑，窃笑
vi. 咯咯的笑，轻声地笑
vt. 轻声笑着表示"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
aggression,n. 侵略；进攻；侵犯；侵害
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
aggressor,n. 侵略者；侵略国；挑衅者
congress,n. 国会；代表大会；会议；社交
congressman,n. 国会议员；众议院议员
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
election,n. 选举；当选；选择权；上帝的选拔
elector,n. 选举人；有选举权的人；总统选举人
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collection,n. 采集，聚集； 征收；收藏品；募捐
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
collector,n. 收藏家； 集电极；收税员；征收者
eclectic,"n. 折衷派的人；折衷主义者
adj. 折衷的；选择的；折衷学派的
adj. 不拘一格的"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
recollect,v. 回忆，想起
recollection,n. 回忆；回忆起的事物
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
selection,n. 选择，挑选；选集；精选品
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
elegance,n. 典雅；高雅
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligent,adj. 智能的；聪明的；理解力强的
intelligible,adj. 可理解的；明了的；仅能用智力了解的
unintelligible,adj. 莫名其妙的；无法了解的
elite,n. 精英；精华；中坚分子
lexis,n. 词汇；词语
lexical,adj. 词汇的； 词典的；词典编纂的
lexicography,n. 词典编纂
delegate,"n. 代表
vt. 委派…为代表"
delegation,n. 代表团；授权；委托
relegate,vt. 把降低到；归入；提交
exhibition,n. 展览，显示；展览会；展览品
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
inhibit,vt. 抑制；禁止
prohibit,vt. 阻止，禁止
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
inclination,n. 倾向，爱好；斜坡
recline,"vt. 使躺下；使斜倚
vi. 靠；依赖；斜倚"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
bandage,"n. 绷带
vt. 用绷带包扎"
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
binder,n.  粘合剂；活页夹；装订工；捆缚者；用以绑缚之物
binding,"n. 装订；捆绑；粘合物
v. 捆绑（bind的ing形式）
adj. 有约束力的；捆绑的"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
bondage,n. 奴役，束缚；奴役身份
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
boundary,n. 边界；范围；分界线
boundless,adj. 无限的；无边无际的
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
disband,"vt. 解散；遣散
vi. 解散"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
location,n. 位置（形容词locational）；地点；外景拍摄场地
locality,n. 所在；位置；地点
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
allocation,n. 分配，配置；安置
dislocate,vt. 使脱臼；使混乱
two,"num. 二
n. 两个
adj. 两个的"
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
twine,"n. 麻线；细绳；搓；合股线
vt. 使缠绕；使交织；编饰
vi. 缠绕；搓；交织；编饰"
entwine,"vt. 缠住；盘绕；使缠绕
vi. 缠住；盘绕"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
motorway,n. 高速公路，汽车高速公路
emotion,n. 情感；情绪
emotional,adj. 情绪的；易激动的；感动人的
emotive,adj. 感情的；情绪的；表现感情的
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
motionless,adj. 静止的；不运动的
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
motivate,vt. 刺激；使有动机；激发…的积极性
motivation,n. 动机；积极性；推动
motif,n. 主题；动机；主旨；图形；意念
demote,vt. 使降级；使降职
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automation,n. 自动化；自动操作
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
mobility,n. 移动性；机动性； 迁移率
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
demobilize,vt. 遣散；使复员；使退伍（demobilise）
automobile,"n. 汽车
vt. 驾驶汽车
"
immobile,adj. 固定的；稳定的；不变的
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
depend,vi. 依赖，依靠；取决于；相信，信赖
dependant,n. 家眷；侍从；食客（等于dependent）
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
dependence,n. 依赖；依靠；信任；信赖
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
independence,n. 独立性，自立性；自主
interdependent,adj. 相互依赖的；互助的
fury,n. 狂怒；暴怒；激怒者
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
infuriate,"vt. 激怒；使大怒
adj. 狂怒的"
enrage,vt. 激怒；使暴怒
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
outrageous,adj. 粗暴的；可恶的；令人吃惊的
gourmet,"n. 美食家
菜肴精美的"
clan,n. 宗族；部落；集团
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
hog,"n. 猪，象猪般的人；贪婪者
vt. 使拱起
vi. 拱起"
hoggish,adj. 利己的；贪婪的；猪一般的
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
thrive,vi. 繁荣，兴旺；茁壮成长
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
pamphlet,n. 小册子
metaphor,n. 暗喻，隐喻；比喻说法
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
boulevard,"n.  林荫大道；（美）大马路
adj. 娱乐性的
vt. 给…提供林阴大街；把…建成林阴大街"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
relic,n. 遗迹，遗物；废墟；纪念物
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
syntax,n. 语法；句法；有秩序的排列
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
bewilder,vt. 使迷惑，使不知所措
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
lest,conj. 唯恐，以免；担心
bastion,n. 堡垒；棱堡
bazaar,n. 集市；市场；义卖市场
boutique,"n. 精品店；专卖流行衣服的小商店
adj. 精品屋的；小规模专售精品的"
chivalry,n. 骑士精神（复数chivalries）；骑士制度
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
enhance,vt. 提高；加强；增加
feud,"n. 不和；争执；封地;（部落或家族间的）世仇
vi. 长期不和；长期争斗"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
conformity,n. 一致，适合；符合；相似
deform,"adj. 畸形的；丑陋的
vi. 变形；变畸形
vt. 使变形；使成畸形"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
formality,n. 礼节；拘谨；仪式；正式手续
formalize,"vt. 使形式化；使正式；拘泥礼仪
vi. 拘泥于形式"
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
formation,n. 形成；构造；编队
formative,"n. 构词要素
adj. 形成的；造型的；格式化的"
formula,n.  公式，准则；配方；婴儿食品
formulate,vt. 规划；用公式表示；明确地表达
formulation,n. 构想，规划；公式化；简洁陈述
forum,n. 论坛，讨论会；法庭；公开讨论的广场
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
reformer,n. 改革家；改革运动者；改良者
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
transformation,n.  转化；转换；改革；变形
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
emerge,vi. 浮现；摆脱；暴露
emergent,adj. 紧急的；浮现的；意外的；自然发生的
emergence,n. 出现，浮现；发生；露头
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
immerse,vt. 沉浸；使陷入
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
commandant,n. 司令官，指挥官；军事学校的校长
commander,n. 指挥官；司令官
commandment,n. 戒律；法令
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
migration,n. 迁移；移民；移动
immigrate,"vi. 移入
vt. 使移居入境"
immigration,n. 外来移民；移居
emigrate,"vi. 移居；移居外国
vt. 移民"
emigration,n. 移民；移民出境；移居外国
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
emigrant,"n. 移民；侨民
adj. 移民的；移居的"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
inner,"n. 内部
adj. 内部的；内心的；精神的"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
innermost,adj. 内心的；最里面的，最深处的；秘密的
outermost,adj. 最外面的；最远的
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intimacy,n. 性行为；亲密；亲昵行为；隐私
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
extremely,adv. 非常，极其；极端地
extremism,n. 极端主义（尤指政治上的极右或极左）；极端性；过激主义
extremist,n. 极端主义者，过激分子
extremity,n. 极端；绝境；非常手段；手足
extremities,n. 四肢，骨端；末端，极限（extremity复数形式）；手足
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
intern,"n. 实习生，实习医师
vt. 拘留，软禁
vi. 作实习医师"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
extraneous,adj. 外来的；没有关联的；来自体外的
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
donation,n. 捐款，捐赠物；捐赠
donator,n. 捐赠者; 供体; 给予体
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
endow,vt. 赋予；捐赠；天生具有
dowager,n. 贵妇；继承亡夫爵位的遗孀；老年贵妇人
dowry,n. 嫁妆；天资；亡夫遗产
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
dosage,n. 剂量，用量
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
newsletter,n. 时事通讯
literal,adj. 文字的；逐字的；无夸张的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
literacy,n. 读写能力；精通文学
illiteracy,n. 文盲；无知
literate,"adj. 受过教育的；精通文学的
n. 学者"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
obliterate,vt. 消灭；涂去；冲刷；忘掉
literary,adj. 文学的；书面的；精通文学的
literature,n. 文学；文献；文艺；著作
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
amoral,adj. 与道德无关的；无从区分是非的；超道德的
immoral,adj. 不道德的；邪恶的；淫荡的
morality,n. 道德；品行，美德
morale,n. 士气，斗志
demoralize,vt. 使道德败坏；使堕落；使士气低落
mores,n. 习惯，习俗；风俗；道德观念
virtue,n. 美德；优点；贞操；功效
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
virtually,adv. 事实上，几乎；实质上
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
exporter,n. 出口商；输出国
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
importer,n. 进口商；输入者
opportunity,n. 时机，机会
porch,n. 门廊；走廊
porter,n. 门房；服务员；行李搬运工；守门人
deport,vt. 驱逐出境；举止；放逐
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
porter,n. 门房；服务员；行李搬运工；守门人
purport,"n. 意义，主旨；意图
vt. 声称；意图；意指；打算"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transportation,n. 运输；运输系统；运输工具；流放
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambiguous,adj. 模糊不清的；引起歧义的
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
ambience,n. 气氛，布景；周围环境
ambivalent,adj. 矛盾的；好恶相克的
astonish,vt. 使惊讶
astonishment,n. 惊讶；令人惊讶的事物
astound,vt. 使惊骇；使震惊
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
flaunt,"n. 炫耀；飘扬；招展
vt. 炫耀；飘扬
vi. 飘扬；夸耀"
frill,"n. 装饰；褶边
vt. 折成皱边
vi. 起边皱"
hearth,n. 灶台；炉边；炉床；壁炉地面
hub,n. 中心；毂；木片
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
hype,"n. 大肆宣传；皮下注射
vt. 大肆宣传；使…兴奋"
ode,n. 赋；颂歌；颂诗
pidgin,n. 洋泾滨语；混杂语言；事务
pier,n. 码头，直码头；桥墩；窗间壁
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
emir,n. 埃米尔（穆斯林酋长等的称号）；穆罕默德后裔的尊称；土耳其高级官员的尊称（等于emeer，amir，ameer）
